"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","continentOcean","country","stateProvince","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","recordNumber","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"14","2020-07-10 09:47:15-03","MBML","MBML-HERBARIO","23158",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","M.N. Saka/XII-2012",NA,NA,NA,"L. Kollmann; et al","2004","10","16",NA,"Brasil","Espírito Santo",NA,"Erva 60cm, na sombra. Flores branca.","MBML023158","MBML023158","7050","São Roque do Canaã","Distrito São Jacinto, Militon","-40.608333","-19.725",NA,NA,NA,NA,"40W36'30","19S43'30",NA,NA,NA,NA,NA
"15","2020-07-10 09:47:15-03","MBML","MBML-HERBARIO","23664",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","M.N. Saka/XII-2012",NA,NA,NA,"A. P. Fontana; et al","2004","10","16",NA,"Brasil","Espírito Santo",NA,"Herbácea, umbrófila. Flores brancas, folhas com margem ondulada.","MBML023664","MBML023664","926","São Roque do Canaã","Militon","-40.608333","-19.725",NA,NA,NA,NA,"40W36'30","19S43'30",NA,NA,NA,NA,NA
"16","2020-07-10 09:47:15-03","MBML","MBML-HERBARIO","41019",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","M.N. Saka/XII-2012",NA,NA,NA,"A. M. Assis; R. Santos & L. Canal","2008","12","05",NA,"Brasil","Espírito Santo",NA,"Erva. Folha vistosa na face adaxial e opaca na abaxial. Bracteas verdes e marrons. Flores brancas. Floresta Ombrofila Densa - estagio medio de regeneração.","MBML041019","MBML041019","1910","São Domingos do Norte","Sítio Santa Rita - Prop. Laerth Canal - Córrego da Saúde","-40.629333","-19.104167",NA,NA,NA,NA,"40W37'45,6","19S6'15",NA,NA,NA,NA,NA
"17","2021-02-25 10:11:37-03","CVRD","CVRD","14985","PreservedSpecimen","Plantae","Liliopsida","Zingiberales","Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka, M.N.","2012","12","05","Saka, M.N.","2012","12","06","América do Sul","BRASIL","ES",NA,"Erva, folhas papiráceas verde ecuras na face adaxial, na face abaxial arroxeadas às vezes com margens verde acizentadas. Brácteas rosa <ll>dwc_commonname:</ll> Caeté mirim","CVRD014985",NA,"185","Linhares",NA,"-39.953083","-19.195667",NA,NA,NA,NA,"39°57'11,1'' W","19°11'44,4''S","Magnoliophyta","51","51",NA,NA
"18","2021-02-25 10:11:37-03","CVRD","CVRD","4619","PreservedSpecimen","Plantae","Liliopsida","Zingiberales","Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka, M.N.","2012","12","05","Folli, D.A.","1993","09","17","América do Sul","BRASIL","ES",NA,"<ll>dwc_commonname:</ll> Caeté mirim","CVRD004619","CVRD004619","2008","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA
"19","2021-02-25 10:11:37-03","CVRD","CVRD","11982","PreservedSpecimen","Plantae","Liliopsida","Zingiberales","Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka, M.N.","2012","12","05","Folli, D.A.","2008","10","20","América do Sul","BRASIL","ES",NA,"Coleta de Solo <ll>dwc_commonname:</ll> Caeté mirim","CVRD011982",NA,"6211","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3070936","PreservedSpecimen","Plantae","Monocotyledonae","Zingiberales","Marantaceae","Calathea","neoviedii","Calathea neoviedii",NA,"Smith, S. F., (US), NMNH",NA,NA,NA,"T. S. Santos & E. J. Judziewicz","1986","2","26","South America - Neotropics","Brazil","Bahia",NA,NA,"US00366823","US00366823_01","4026",NA,"Mun of una, km 15.6 da rodovia sao jose/una, serra no lado s da rodivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2019-09-04 18:46:59-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii",NA,NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"26",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"Type [status unknown]"
"22","2020-07-23 12:12:21-03","CEPLAC","CEPEC","39434","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii",NA,"S. F. Smith",NA,NA,NA,"T. S. dos Santos","1986","03","12",NA,"Brasil","Bahia","30/08/1986",NA,NA,NA,"4026","UNA","Km 15.6 Rod. S. Jose/Una. Serra ao S Rod.","-38.268056","-15.115278",NA,NA,NA,NA,"38W16'5","15S6'55",NA,NA,NA,NA,NA
"23","2020-07-23 12:12:25-03","CEPLAC","CEPEC","7556","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa",NA,"M. N. Saka",NA,NA,NA,"T. S. dos Santos","1979","11","01",NA,"Brasil","Espírito Santo","30/10/2014",NA,NA,NA,"2032","LINHARES","Km 6 a 8 do ramal a L, prox. Vale do Rio Doce.","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen",NA,NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"P03P3N0029","1624",NA,"prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen",NA,NA,NA,NA,"Wied-Neuwied, MAP Prince",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"P03P3N0029","s.n.",NA,"Habitat in Brasilia in prov. Espiritu Santo ad Itapimirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:10:49-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","tuberosa","Calathea tuberosa","(Vell.) Körn.",NA,NA,NA,NA,"?",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,"s.n.",NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
