"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","fieldNumber","individualCount","class"
"21","2020-12-21 16:22:55-03","MBM","MBM","425636","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Sucre; Barroso; Guimarraes","Sucre, D.","7478","1971","02","17","Southern America","Brazil","Rio de Janeiro","Serra do Barata, Antigo estado da Guanabara, Reserva do Piracuara",NA,NA,NA,"Dióica, destrogera, rupícola, umbrófila. Tuberculos pouco enterrados e cobertos por densa camada de matéria orgânica de forma discoide com meristema central (até 13cm de diâmetro e 4cm de espessura), margem lobada com os lobos ocasio","MBM425636",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","1971","11",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"22","2020-12-21 16:22:55-03","MBM","MBM","425640","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Sucre, D.","Sucre, D.","9921","1973","04","02","Southern America","Brazil","Rio de Janeiro","Serra do Barata, Reserva da Represa do Piraraquara, Realengo",NA,NA,NA,"Material coletado de tubérculos em cultura no fitotério do S.B.S. e proveniente da coleta Sucre, D. 7478. Pedunculo e rachis amarelos, ovário idem. Sépalas e pétalas creme. Frutos novos verde escuro. Frutos maduros na carpoteca.","MBM425640",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","1971",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"23","2015-09-30 22:03:18-03","MNHN","RECOLNAT_MNHN_P","P00748438","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,"Mato Masao, Tapabina",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00748438' target='other'> <mi>dwc_moreinfo</mi></a>","P00748438","P00748438_01 P00748438_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paratype",NA,"14349",NA,NA
"24","2014-04-04 05:46:00-03","MO","MOBOT","619281","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 1574","1981","3","31","South America","Peru","Ucayali","Bosque Nacional Alexander Von Humboldt. Bosque primario.","270.00000000",NA,NA,NA,NA,NA,"Coronel Portillo","-74.75","-8.66666",NA,NA,NA,NA,NA,NA,NA,NA,NA,"387","3",NA
"25","2014-01-02 05:36:00-02","MO","MOBOT","3329878","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Luzmila Arroyo P","D. Villarroel|Marcelo Vargas|F. Seidel","Villarroel Segarra 443","2006","2","7","South America","Bolivia","Santa Cruz","Comunidad de Bella Vista, Camino principal entre la escuela y el sendero del Chorro del Fraile, Bosque semidecíduo Chiquitano.","1715.00000000",NA,NA,NA,NA,NA,"Florida","-64.6763889","-18.3319445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","1091640","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","T. Killeen (USZ, MO)","Timothy J. Killeen|M. Toledo G.","Killeen 7877","1996","5","2","South America","Bolivia","Santa Cruz","Concesión Minera Don Mario, 100 km al NE de San Juan; bosque seco chiquitano, dosel dominado por Anadenanthera colubrina y Poeppigia procera.","280.00000000","350.00000000",NA,NA,NA,NA,"Chiquitos","-59.6825","-17.33833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","1091710","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","M. Toledo (USZ)","Timothy J. Killeen|M. Toledo G.","Killeen 7944","1996","5","3","South America","Bolivia","Santa Cruz","Concesión Don Mario; orilla del aereopuerto; bosque alto deciduo dominado por Calycophyllum, Amburana y Caesalpinia.","300.00000000",NA,NA,NA,NA,NA,"Chiquitos","-59.68055","-17.33861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"28","2012-03-18 05:12:00-03","MO","MOBOT","1195397","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","F. Mamani (USZ)","Fabiana Mamani M.","Mamani M. 457A","1995","2","20","South America","Bolivia","Santa Cruz","Lomerio. A 12 km al Norte de la comunidad Las Trancas. Parcelas permanente del proyecto Bolfor, Las Trancas 95. Bosque seco chiquitano. Especies muy frecuentes de Anadenanthera colubrina, Poeppigia procera, etc. Suelos lateríticos.","450.00000000",NA,NA,NA,NA,NA,"Nuflo de Chavez","-61.84638","-16.52027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","1716529","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","A. Fuentes","Bonifacio Mostacedo C.|V. Medina","Mostacedo C. 3581","1998","3","8","South America","Bolivia","Santa Cruz","Campamento Las Trancas, Lomerio. Las Lajas. Rocas lateriticas. Especies características: Urera baccifera, Cereus tacuaralensis, Sterculia apetala, Monvillea cavendishii.","400.00000000",NA,NA,NA,NA,NA,"Nuflo de Chavez","-61.84805","-16.52166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-09-25 06:24:00-03","MO","MOBOT","1805463","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"René Chávez A.","Chávez Alfaro 3385","1976","1","6","South America","Peru","Cusco","Quiteni.","700.00000000",NA,NA,NA,NA,NA,"La Convención",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
