"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","eventTime"
"11","2021-03-15 16:37:00-03","NY","NYBG","971026","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","F. Sellow","94",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971026",NA,NA,"Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","440534","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","R. A. Wasum",NA,"1995","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440534",NA,"Erebango","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00440534_01","S. F. Smith","Rio Grande do Sul","-52.3017","-27.8556","Erebango","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 12:04:00-03","NY","NYBG","644020","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","S. M. de Campos","120","1959","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644020",NA,"Estaçao Eng° Hermilo.Beira da estrada.(mais 100-200 m. da estaçao)","Magnoliophyta","Gentianales",NA,"NY00644020_01","M. F. de Sales","São Paulo","-48.446634","-23.604448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","644022","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","R. Reitz","4945","1952","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644022",NA,"Campo Massiambú, Palhoça","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00644022_01","F. Markgraf","Santa Catarina","-48.62515","-27.834087","Palhoça","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","971024","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971024",NA,NA,"Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","971021","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","A. F. Regnell","s.n.","1867","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971021",NA,"Caldas.","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971021_01",NA,"Minas Gerais","-46.3858","-21.9236","Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 12:04:00-03","NY","NYBG","440419","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","E. Hassler","9807",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440419",NA,"Sierra de Amambay","Magnoliophyta","Gentianales",NA,"NY00440419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1183035","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","R. Kummrow","804","1974","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418038' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183035",NA,"Rio Jaguariaiva","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY01183035_01","G. G. Hatschbach","Paraná","-49.7056","-24.2511","Jaguariaiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-30 02:30:00-03","NY","NYBG","1183025","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","S. M. de Campos","120","1959","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183025",NA,"Estaçao Eng° Hermilo.Beira da estrada.(mais 100-200 m. da estaçao)","Magnoliophyta","Gentianales",NA,"NY01183025_01","F. Markgraf","São Paulo","-48.446634","-23.604448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","971020","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971020",NA,NA,"Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-30 02:30:00-03","NY","NYBG","1183038","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","L. B. Smith","7259","1956","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183038",NA,"Ilha do Papgaio Grande and Praia do Massiambú.","Magnoliophyta","Gentianales",NA,"NY01183038_01","M. F. de Sales","Santa Catarina","-48.6678","-27.6456","Palhoça",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","971025","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971025",NA,NA,"Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","440417","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","P. K. H. Dusén","15914","1914","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440417",NA,"Jaguariaíva","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00440417_01",NA,"Paraná","-49.7056","-24.2511","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","9726","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Gemtchújnicov, I.D.",NA,"1959","11","20",NA,"Brasil",NA,NA,NA,"BOTU009726",NA,NA,NA,NA,"(Vell.) Woodson","BOTU009726","Kinoshita, L.S.",NA,NA,NA,NA,NA,NA,"1996","11","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:28:55-03","UFRJ","RFA","8157","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","P. Occhioni","3435","1966","11","09",NA,"Brasil",NA,NA,"Flor vermelho","RFA36283",NA,"Parque Estadual de Vila Velha",NA,NA,"(Hook. & Arn.) Woodson",NA,NA,"Paraná","-50.1618995666504","-25.0949993133545","Ponta Grossa",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:28:55-03","UFRJ","RFA","11255","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","P. Occhioni","4752","1971","11","09",NA,"Brasil",NA,NA,"Planta 30 cm de altura; flor escarlate","RFA36284",NA,"Vila Velha",NA,NA,"(Hook. & Arn.) Woodson",NA,"M.B. Vasconcellos","Paraná","-50.1618995666504","-25.0949993133545","Ponta Grossa",NA,NA,"1988","09",NA,NA,"46557","auto","29",NA,NA,NA,NA,NA,NA
"27","2020-12-15 11:14:19-03","FUNED","FUNED-POL","2935","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","cf. coccinea","Mandevilla cf. coccinea","Sandra matoso",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"POL002935",NA,"Brasilandia de Minas",NA,NA,NA,NA,NA,"MG","-46.009444","-17.009722",NA,NA,NA,NA,NA,"46W 00' 34","17S 00' 35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-15 11:14:19-03","FUNED","FUNED-POL","2934","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","cf. coccinea","Mandevilla cf. coccinea","Sandra matoso",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"POL002934",NA,"Brasilandia de Minas",NA,NA,NA,"POL002934_p03 POL002934_p04 POL002934_p08 POL002934_p09 POL002934_p10",NA,"MG","-46.009444","-17.009722",NA,NA,NA,NA,NA,"46W 00' 34","17S 00' 35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:17:07-03","NBC","NL-BOTANY","AMD.24986","PreservedSpecimen","Plantae","Apocynaceae","Dipladenia","xanthostoma","Dipladenia xanthostoma","Herter WG",NA,"1933","12","02","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.24986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD24986",NA,"Dep de Rivera, Galgo.",NA,"Gentianales","(Stadelm.) Müll.Arg.","NL-AMD24986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"30","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103369","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Riedel L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103369",NA,"Brasilia.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"31","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103367","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Regnell AF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103367",NA,"Minas Geraes.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103368","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Lindeman JC; Porto ML; et al.",NA,"1971","11","19","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103368",NA,"Butiazal E da estrada, ca. 5 km W de Torres.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 09:17:56-03","NBC","NL-BOTANY","L.2707158","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Pedersen TM",NA,"1979","12","17","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707158 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707158",NA,"Brasilienses. Rio Grande do Sul, mun. Vacaría: about 25 km W of Vacaría, near Capão de Harança. Rough grassland.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-L2707158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 09:17:56-03","NBC","NL-BOTANY","L.2707159","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Reitz R; Klein RM",NA,"1962","12","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707159 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707159",NA,"Santa Catarina - Brasil. Campos Novos. Campo. Erva.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-L2707159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 09:17:56-03","NBC","NL-BOTANY","L.2707160","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Rambo B",NA,"1954","05","05","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707160",NA,"Brasiliae australis. RGS., Morro da Polícia p. Porto Legre. In rupestribus graminosis.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-L2707160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"36","2020-02-08 09:17:56-03","NBC","NL-BOTANY","L.2707161","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Hatschbach GG",NA,"1967","12","05","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707161",NA,"Est. Paraná ( Brasil ) Mun. Ponta Grossa. Passo do Pupo.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-L2707161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1091105","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Herter WG",NA,"1933","12","02","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1091105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1091105",NA,"Rivera, Galgo.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1091105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103365","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Lindeman JC; Haas JH de",NA,"1966","12","15","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103365",NA,"Brasiliae Australis, Santa Catarina, N. of Lajes; campo near road BR2.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103366","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Widgren JF",NA,"1845","01","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103366",NA,"Prov. Minas Geraes.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"40","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103370","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Riedel L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103370 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103370",NA,"Brasilia.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"41","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103371","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Hatschbach GG; Lindeman H; Haas H",NA,"1965","12","08","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103371",NA,"Campo Mourão, Paraná.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103372","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Lindeman JC; Haas JH de",NA,"1966","11","09","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103372",NA,"Brasiliae Australis, Est. Paraná, Campo 6 km W. of Laranjeiras do Sul.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103373","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Lindeman JC; Haas JH de",NA,"1966","12","13","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103373",NA,"Brasiliae Australis, Rio Grande do Sul, 15 km N.W. of Carazinho.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"44","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U.1103374","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Regnell AF",NA,"1867","11","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103374 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103374",NA,"Brasilia, Minas Geraes, cidade de Caldas.",NA,"Gentianales","(Hook. & Arn.) Woodson","NL-U1103374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
