"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus"
"28","2019-08-27 13:27:45-03","IAP","PACA-AGP","29834","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"Friderichs","1943","01","08","Brasil","RS","Vacaria","-50.9338989257812","-28.5121994018555",NA,NA,"Fenofase: flor","PACA029834",NA,"Magnoliophyta","Asterales",NA,NA,"in aerodromo",NA,"63451","auto","Magnoliatae",NA,NA,NA,NA,NA
"29","2019-08-27 13:27:45-03","IAP","PACA-AGP","60170","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","08",NA,"Rambo, B.","1957","01","23","Brasil","SC","Bom Retiro","-49.489200592041","-27.7971992492676",NA,NA,"VULNERÁVEL Habitat: in paludosis graminosis Fenofase: flor","PACA060170",NA,"Magnoliophyta","Asterales",NA,NA,"Campo dos Padres",NA,"35974","auto","Magnoliatae",NA,NA,NA,NA,NA
"30","2021-03-01 16:24:55-03","UNICAMP","UEC","141034","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Moraes, MD",NA,NA,NA,"Moraes, MD","2005","11","12","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"Flores brancas.; Campo sobre pedras entre musgos e poças de água de chuva.","UEC086962","UEC086962","Magnoliopsida",NA,"788b",NA,"Ca. 10 km de Bom Jardim da Serra para Lauro Miller.",NA,NA,NA,NA,"1400","1400",NA,NA,NA
"31","2021-03-01 16:24:55-03","UNICAMP","UEC","155973","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera",NA,NA,NA,NA,"Hatschbach, G","1963","10","04","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"Do campo graminoso, principalmente junto à mata de galeria.&nf;Capítulos alvo. Raro.; Junto à mata de galeria.","UEC076159","UEC076159","Magnoliopsida",NA,"10227",NA,"Parque Estadual de Vila Velha.&nf;Arroio quebra Perna.&nf;Elev.: 805msm.",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:24:55-03","UNICAMP","UEC","36738","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Sobral, M","1984","10",NA,"Sobral, M","1984","10","31","Brazil","Rio Grande do Sul","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"Erva; capítulos brancos.; Campo.","UEC086963","UEC086963","Magnoliopsida",NA,"3193",NA,"Faxinal.",NA,"30776","auto",NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:24:55-03","UNICAMP","UEC","36041","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Sobral, M","1983","12",NA,"Sobral, M; Stehmann, JR","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"Erva em banhado; capítulos brancos.","UEC086964","UEC086964","Magnoliopsida",NA,"2715",NA,"Faxinal.",NA,"30776","auto",NA,NA,NA,NA,NA,NA
"34","2019-01-17 11:24:34-02","PUCRS","MPUC","2588","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","N.I. Matzenbacher","1985","01","01",NA,"1985","04","27","Brasil","RS","Cambará do Sul","-50.1444444","-29.0477778","-50.1444444000","-29.0477778000",NA,NA,NA,NA,"Asterales",NA,"South America",".",NA,NA,NA,"Magnoliopsida",NA,NA,"1",NA,NA
"35","2019-01-17 11:24:34-02","PUCRS","MPUC","14784","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","S.G. Banermann","1983","01","01",NA,"1983","06","28","Brasil","RS","Cambará do Sul","-50.1444444","-29.0477778","-50.1444444000","-29.0477778000",NA,NA,NA,NA,"Asterales",NA,"South America","Parque Nacional dos Aparados da serra. Itaimbezinho",NA,NA,NA,"Magnoliopsida",NA,NA,"1",NA,NA
"36","2021-03-16 17:51:02-03","UCS","HUCS","03010","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.","1987","05",NA,"Hatschbach, G.","1986","11","28","Brasil","Paraná","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"Em campo limpo",NA,NA,"Angiospermae","Asterales","50821",NA,"Rod. BR 277 - Rio Papagaios",NA,"35166","auto",NA,NA,NA,NA,NA,NA
"37","2021-03-16 17:51:02-03","UCS","HUCS","12180","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Robinson, H.","1998","01",NA,"Molon, R.C.","1997","11","22","Brasil","Rio Grande do Sul","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"No campo",NA,NA,"Angiospermae","Asterales","s.n.",NA,"Serra da Rocinha",NA,"42598","auto",NA,NA,NA,NA,NA,NA
"38","2021-02-11 16:52:58-03","UFSM","SMDB","10700","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera",NA,NA,NA,NA,"Záchia, R.A","2004","12","03","Brasil","Rio Grande do Sul","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"Erva com capítulos brancos no campo","SMDB010700",NA,NA,NA,"5826",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:16:49-03","MBM","MBM","18551","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","1967","10","03","Brazil","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"MBM018551","MBM018551",NA,NA,"25505","Southern America","Sertão de Cima",NA,"44368","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:16:50-03","MBM","MBM","2666","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Cabrera, A.","1972",NA,NA,"Hatschbach, G.","1966","10","19","Brazil","Paraná","Palmas","-51.9906005859375","-26.4841995239258",NA,NA,"Capítulos alvecentes.; Do campo.","MBM002666","MBM002666",NA,NA,"15010","Southern America",NA,NA,"46666","auto",NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:16:49-03","MBM","MBM","113661","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.","1987","05",NA,"Hatschbach, G.; Souza, A.; Souza, A.","1986","11","28","Brazil","Paraná","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"Capítulos alvos.; Campo limpo, solo levemente úmido.","MBM113661","MBM113661",NA,NA,"50821","Southern America","Rio dos Papagaios",NA,"35166","auto",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:16:50-03","MBM","MBM","42752","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Barroso, G.M.","1966",NA,NA,"Hatschbach, G.","1965","09","29","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"Capítulos alvescentes.; Do campo seco.","MBM042752","MBM042752",NA,NA,"12832","Southern America","Parque Estadual de Vila Velha",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:16:50-03","MBM","MBM","53603","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.","1977","09",NA,"Hatschbach, G.","1963","10","04","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"Capítulos alvos. Raro.; Do campo graminoso, principalmente junto a mata de galeria.","MBM053603",NA,NA,NA,"10227","Southern America","Parque Estadual Vila Velha, Arroio Quebra Perna.",NA,"46557","auto",NA,"805","805",NA,NA,NA
"44","2020-12-21 16:16:49-03","MBM","MBM","190624","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Dombrowski, L.T.",NA,NA,NA,"Dombrowski, L.T.","1976","10","11","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"MBM190624",NA,NA,NA,"6321","Southern America","Próximo a Vila Velha",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:16:50-03","MBM","MBM","261181","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.","2001",NA,NA,"Silva, J.M.; Ribas, O.S.; Ribas, O.S.","2001","10","05","Brazil","Paraná","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,NA,"Capítulo alvo.; Campo limpo. Solo úmido.","MBM261181","MBM261181",NA,NA,"3487","Southern America","Recanto dos Papagaios",NA,"14684","auto",NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:16:50-03","MBM","MBM","263319","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Robinson, H.","2002",NA,NA,"Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","2001","11","13","Brazil","Rio Grande do Sul","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"Ereta, capítulo alvo.; Campo limpo, seco.","MBM263319","MBM263319",NA,NA,"72674","Southern America",NA,NA,"42598","auto",NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:16:50-03","MBM","MBM","227144","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Jarenkow, J.A.","1998","01",NA,"Jarenkow, J.A.; Garcia, E.N.; Garcia, E.N.","1997","11","16","Brazil","Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555",NA,NA,"Erva, capítulos com filárias verdes. Flores brancas.; Campo nativo, úmido, sob pastejo.","MBM227144","MBM227144",NA,NA,"3630","Southern America",NA,NA,"63451","auto",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:16:49-03","MBM","MBM","109413","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Sobral, M.","1986",NA,NA,"Sobral, M.","1986","01",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","-49.624698638916","-28.3369007110596",NA,NA,"Erva, capítulos brancos.; Em campo.","MBM109413","MBM109413",NA,NA,"4843","Southern America","Desfiladeiro do Funil.",NA,"32577","auto",NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:16:49-03","MBM","MBM","169170","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Hatschbach, G.","1994",NA,NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","1994","09","17","Brazil","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621",NA,NA,"Capítulos alvos.; Campo limpo, seco, solo rochoso.","MBM169170","MBM169170",NA,NA,"61985","Southern America",NA,NA,"43319","auto",NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:16:50-03","MBM","MBM","347640","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Robinson, H.; Smith, S.F.","2010",NA,NA,"Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.","2008","11","18","Brazil","Santa Catarina","Timbó do Sul",NA,NA,NA,NA,"Erva, capítulo creme.; Campo úmido de altitude.","MBM347640","MBM347640",NA,NA,"7308","Southern America","Serra da Rocinha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-12-21 16:16:50-03","MBM","MBM","6912","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Cabrera, A.","1969","01",NA,"Hatschbach, G.","1967","10","03","Brazil","Paraná","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"Capítulos alvos.; Campo levemente úmido.","MBM006912","MBM006912",NA,NA,"17263","Southern America","Rio Canguiri",NA,"13536","auto",NA,NA,NA,NA,NA,NA
"52","2020-12-21 16:16:50-03","MBM","MBM","190629","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Dombrowski, L.T.",NA,NA,NA,"Dombrowski, L.T.; et al.; et al.","1980","11","20","Brazil","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"MBM190629",NA,NA,NA,"12230","Southern America","Chapada Santo Antônio",NA,"44368","auto",NA,NA,NA,NA,NA,NA
