"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"15","2021-03-15 16:37:00-03","NY","NYBG","00983412","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","F. E. Drouet","2555","1935","10","04","South America","Brazil","Ceará","Fortaleza","At east end of Avenida Heraclito Graça","-38.5431","-3.7172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983412",NA,"NY00983412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","585765","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","H. S. Irwin","55921a","1963","09","22","South America","Suriname",NA,NA,"Zuid Rivier, Kayser Airstrip, 45 km above confluence with Lucie Rivier","-56.65","3.25","sheet","[Mixed collection: 55921 a & 55921 b both mounted on same sheet, separated by P. Fantz] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585765","H. S. Irwin",NA,NA,NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01303507","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. M. Pires","52034","1962","07","10","South America","Brazil","Amapá",NA,"Road to Amapa, Km 48.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611551' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303507",NA,"NY01303507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01303511","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","R. de Lemos Fróes","27870","1952","05","16","South America","Brazil","Pará",NA,"Estrada de Rodagem para a Vigia, Campina do Palha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303511",NA,"NY01303511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00983486","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","K. Mizoguchi","379","1978","02","07","South America","Brazil","São Paulo","Itanhaém","Gaibõta","-46.834771","-24.201377","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983486","R. C. Barneby","NY00983486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1144304","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","S. F. Conceição","470","2005","12","28","South America","Brazil","Bahia","Una","Praia de Ilhéus.","-38.9958","-15.1139","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287124' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144304",NA,"NY01144304_01",NA,NA,"22","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","585767","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","M. M. Arbo","7127","1997","01","12","South America","Brazil","Bahia","Ilhéus","10 km al S de Pontal (Ilhéus), y 2.5 km al oeste de la rodovia Ilhéus-Olivença","-39.03","-14.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585767","R. C. Barneby",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","585761","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","K. Lems","s.n.","1964","03","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Barra de Tijuca","-43.369099","-22.995332","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585761",NA,"NY00585761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","585759","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","D. O. Norris","278","1964","05","26","South America","Brazil","São Paulo","Matao","At Fazenda Cambuhy, 4 km from Matao","-48.36","-21.6003","sheet","Source of cultivated plant: in yellow clay at Caraguatatuba, Sao Paulo State. Collected for cult. on 15 Mar 1962. In cult. flowers in Jan.-Feb.; not attacked by fungus or insects <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585759",NA,"NY00585759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","585753","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. C. de Moraes Vasconcelos","2282","1959","10","18","South America","Brazil","Paraíba","Baía da Traiçao","Baía da Traiçao","-34.940962","-6.695913","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585753","R. S. Cowan","NY00585753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1019636","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","S. F. Conceição","387","2005","11","17","South America","Brazil","Bahia","Conde","Estrada Conde/Sibirinha.","-37.5303","-11.7756","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019636",NA,"NY01019636_01",NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","585760","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. S. Blanchet","3130",NA,NA,NA,"South America","Brazil",NA,NA,"Brasil trop.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585760",NA,"NY00585760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","585754","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","F. C. Hoehne","23911","1929","03","28","South America","Brazil","São Paulo","Sao Vicente","S. Vicente","-46.3897","-23.96","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585754",NA,"NY00585754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","585758","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","K. Mizoguchi","2616","1986","04","09","South America","Brazil","São Paulo","Ubatuba","Bairro de Parqueaçu","-45.07","-23.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585758","R. C. Barneby","NY00585758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","585747","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.",NA,NA,"1887","01","18","South America","Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,"The only thing legible on the hand-written label is Bahia. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585747",NA,"NY00585747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","585743","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","R. P. Belém","1783","1965","09","13","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau, CEPEC","-39.2281","-14.7536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585743",NA,"NY00585743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","585748","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","C. E. F. von Glocker","171","1842",NA,NA,"South America","Brazil","Bahia",NA,NA,"-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585748",NA,"NY00585748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00983388","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","E. W. D. Holway","1314","1921","11","16","South America","Brazil","Rio de Janeiro",NA,"Jacarepagua",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983388",NA,"NY00983388_01",NA,NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","585744","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","L. P. de Queiroz","3371","1993","06","22","South America","Brazil","Bahia","Seabra","Ca. 3 km S de Lagoa do Chure na estrada para Seabra (Seabra-Lagoa Boa Vista)","-41.7697","-12.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585744","L. P. de Queiroz","NY00585744_01",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02636790","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","P. da C. Gadelha Neto","3809","2014","02","28","South America","Brazil","Paraíba","Pedras de Fogo","Granja Mauriceia","-34.961944","-7.423611","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952463' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636790",NA,"NY02636790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00983364","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. B. E. Pohl","335","1818","02",NA,"South America","Brazil",NA,NA,"as Coral falsa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983364",NA,"NY00983364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01303508","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. M. Pires","1025","1947","11","15","South America","Brazil","Amazonas",NA,"Rio Uaupés, Panuré","-68.5121369","0.2251762","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611554' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303508",NA,"NY01303508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","585742","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","Wilkes Expedition","s.n.","1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Near Rio Janeiro","-43.448386","-22.913514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585742",NA,"NY00585742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","585750","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","R. M. Harley","18530","1977","02","03","South America","Brazil","Bahia",NA,"Coastal zone. Near Maraú, 12 km North from road junction from Maraú towards Ponta do Mutá","-38.97","-14.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585750","G. P. Lewis","NY00585750_01",NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","585751","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","R. M. Harley","18063","1977","01","18","South America","Brazil","Bahia","Prado","Cumuruxatiba, 47 km N of Prado on the coast","-39.18","-17.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585751","G. P. Lewis","NY00585751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01303512","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","G. H. H. Tate","131","1928","09","13","South America","Brazil","Amazonas",NA,"Rio Negro, Yucabí",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303512",NA,"NY01303512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","585757","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","Wilkes Expedition","s.n.","1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Near Rio Janeiro","-43.448386","-22.913514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585757",NA,"NY00585757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01303506","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","J. M. Pires","52009","1962","07","10","South America","Brazil","Amapá",NA,"Road to Amapa, Km 48.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611548' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303506",NA,"NY01303506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","01303510","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","G. A. Black","48-2403","1948","04","27","South America","Brazil","Amazonas",NA,"Rio Nêgro, Camundê",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611558' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303510",NA,"NY01303510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","585749","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","D. O. Norris","279","1964","05","26","South America","Brazil","São Paulo","Matao","At Fazenda Cambuhy, 4 km from Matao","-48.36","-21.6003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585749",NA,"NY00585749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
