"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","469481","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. C. Lindeman","J. C. Lindeman","1967","03","16","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469481","NY00469481_01",NA,NA,NA,"4921","Fazenda Reserva, ca. 85km SW of Guarapuava. Forest on hill N of Barbaquá","1000","1000","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","886962","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff","G. G. Hatschbach","1998","11","16","Brazil","Paraná","Mangueirinha","-52.1756","-25.9411",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886962","NY00886962_01",NA,NA,NA,"68760","Rod. BR-449, próximo da Reserva Indígena de Manguerinha.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00918357","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. G. Rohwer","C. E. O. Kuntze","1892","08",NA,"Brazil","Mato Grosso do Sul","Corumbá","-57.6531","-19.0094",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918357","NY00918357_01",NA,NA,NA,"s.n.","Mattogrosso. Corumba.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","469479","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff","P. I. Oliveira","1982","05","20","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469479","NY00469479_01",NA,NA,NA,"527","Guaricana",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","469486","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","L. B. Smith","1964","11","12","Brazil","Santa Catarina","Itapiranga","-53.78","-27.15",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469486","NY00469486_01",NA,NA,NA,"13189","Linha Becker","200","250","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00918356","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. B. Baitello","G. H. von Langsdorff",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918356","NY00918356_01",NA,NA,NA,"s.n.","Iter Brasiliense, pr. Campinas.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","469484","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","S. F. Smith; L. B. Smith","M. Viana","1991","10","31","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469484","NY00469484_01",NA,NA,NA,"8219","Caxias do Sul, Campus da UCS","750","750","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00918354","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"G. G. Hatschbach","1974","07","19","Brazil","Goiás","Bom Jesus de Goiás","-49.7406","-18.2142",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918354","NY00918354_01",NA,NA,NA,"34574","Rio Meia Ponte.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 15:22:00-03","NY","NYBG","469493","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia",NA,"H. H. van der Werff","E. M. Zardini","1988","10","21","Paraguay","Paraguarí",NA,"-56.83","-26.05",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469493",NA,NA,NA,NA,"7485","Parque Nacional Ybycu'i. Cerrado vegetation near road to Cesar Barrientos",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","886961","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","A. P. Duarte","1961","03","01","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886961","NY00886961_01",NA,NA,NA,"5518","São Conrado",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-29 23:37:00-03","NY","NYBG","01400514","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia",NA,"H. H. van der Werff","I. L. Basualdo","1987","10","03","Paraguay","Cordillera",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01400514",NA,NA,NA,NA,"1300","Tobati.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","469489","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","L. B. Smith","1964","10","19","Brazil","Santa Catarina","Itapiranga","-53.78","-27.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469489","NY00469489_01",NA,NA,NA,"12733","Santo Antonio","200","250","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 21:39:00-03","NY","NYBG","00918360","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia",NA,NA,"J. A. Ratter","1985","10","03","Brazil","Mato Grosso do Sul",NA,"-57.02","-19.23",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918360","NY00918360_01",NA,NA,NA,"R5079","Fazenda Nhumirim (Pantanal subregion of Nhecolândia), ca. 100 km SE of Corumbá","89","89","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00918359","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"M. Macedo","1977","06","20","Brazil","Mato Grosso",NA,"-56.6067","-16.2567",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918359","NY00918359_01",NA,NA,NA,"665","Pocone. 8 km from Transpantaneira Highway.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00918355","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"G. T. Prance","1979","06","07","Brazil","Mato Grosso",NA,"-57.53","-17.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918355","NY00918355_01",NA,NA,NA,"26089","Fazenda Acurizal, Rio Paraguai.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","886960","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff","R. Callejas Posada","1983","12","07","Brazil","Paraná","Cerro Azul","-48.72","-24.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886960","NY00886960_01",NA,NA,NA,"1882","Estrada antiga Cerro Azul Jaguariaiva, cabvecera do Ribeirão do Tigre, km 15 al N de Cerro Azul.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1144971","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. B. Baitello","P. L. Rodrigues de Moraes","2001","01","23","Brazil","São Paulo","Santo Antônio de Posse","-46.8247","-22.58061",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301725' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144971","NY01144971_01",NA,NA,NA,"2361","Fazenda Palmital.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","469477","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","R. M. Klein","1962","12","13","Brazil","Santa Catarina","Monte Castelo","-50.2308","-26.4622",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469477","NY00469477_01",NA,NA,NA,"3962","Lajeadinho, Monte Castelo","750","750","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","469487","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","L. B. Smith","1964","12","16","Brazil","Santa Catarina","Chapecó","-52.62","-27.1",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469487","NY00469487_01",NA,NA,NA,"14043","Seminario Diocesiano, west of Chapecó","350","450","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00918358","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"B. Dubs","1988","05","22","Brazil","Mato Grosso do Sul",NA,"-56.17","-19.5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918358","NY00918358_01",NA,NA,NA,"800","Fazenda Salina, Pantanal do Rio Negro",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","469482","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","S. M. Silva","S. M. Silva","1998","02","18","Brazil","Paraná","Fênix","-51.97","-23.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469482","NY00469482_01",NA,NA,NA,"s.n.","Parque Estadual de Vila Rica do Espirito Santo",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","469476","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. G. Rohwer","H. M. Curran","1918","12","11","Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469476","NY00469476_01",NA,NA,NA,"671","Vicinity of Nova Friburgo",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","469492","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. B. Baitello","H. de F. Leitão Filho","1979","11","05","Brazil","São Paulo","Joanópolis","-46.27","-22.9303",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469492","NY00469492_01",NA,NA,NA,"10611","Rodovia para Montes-Verdes",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","469483","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff","J. M. Silva","1998","10","30","Brazil","Paraná","Fênix","-51.9792","-23.9161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469483","NY00469483_01",NA,NA,NA,"2568","Parque Estadual de Vila Rica do Espirito Santo. Mata da bacia do rio Ivaí",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","469490","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","B. Coe-Teixeira","W. Hoehne","1946","10","30","Brazil","São Paulo","Caieiras","-46.740798","-23.374672",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469490","NY00469490_01",NA,NA,NA,"2306","Caieiras",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","469491","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","B. Coe-Teixeira","M. Kuhlmann","1946","03","08","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469491","NY00469491_01",NA,NA,NA,"3222","Sao Paulo, nativo no Jardim Botanico",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","469488","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","L. B. Smith","1957","02","19","Brazil","Santa Catarina","Xanxerê","-52.4042","-26.8769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469488","NY00469488_01",NA,NA,NA,"11506","3-4km south of Abelardo Luz","500","600","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","469485","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","L. B. Smith","1964","12","15","Brazil","Santa Catarina","Catanduvas","-51.75","-27.05",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469485","NY00469485_01",NA,NA,NA,"13945","17-19km west of Joaçaba","700","800","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","469475","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff; J. G. Rohwer","H. M. Curran","1918","12","11","Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469475","NY00469475_01",NA,NA,NA,"671","Vicinity of Nova Friburgo",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02703809","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"J. Braga","1995","11","06","Brazil","Rio de Janeiro","Itatiaia","-44.566667","-22.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989105' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703809","NY02703809_01",NA,NA,NA,"2943","Parque Nacional de Itatiaia. Trilha para a cachoeira Poranga.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","355710","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","diospyrifolia","Oreodaphne diospyrifolia","Meisn.",NA,"L. Riedel","1825","11",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355710","NY00355710_01",NA,NA,NA,"74","In sylvaticis prope Campinas.",NA,NA,"Magnoliophyta","Laurales","South America","sheet","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","355711","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","diospyrifolia","Oreodaphne diospyrifolia incompta","Meisn.",NA,"R. Spruce","1853",NA,NA,"Venezuela",NA,NA,"-67.0579264","1.9218151",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355711","NY00355711_01",NA,NA,NA,"3122","Prope San Carlos, ad rio Negro. Brasilia borealis.",NA,NA,"Magnoliophyta","Laurales","South America","sheet","isotype","incompta",NA,NA,NA,NA,NA,NA,NA
"43","2016-09-29 10:46:00-03","NY","NYBG","355785","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","suaveolens","Oreodaphne suaveolens",NA,NA,"J. E. Gibert","1858","06",NA,"Paraguay",NA,NA,NA,NA,NA,NA,"Packet includes a fragment of Gibert 56 from Asunción, collected on Jul 1858. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355785","NY00355785_01",NA,NA,NA,"21","Chaco. Grand Chaco",NA,NA,"Magnoliophyta","Laurales","South America","sheet","syntype",NA,NA,NA,NA,NA,NA,NA,NA
