"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"12","2019-11-21 14:40:40-03","UFJF","CESJ","53942","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr) Schltr.","M.G. Rezende; R.C.L. Elias; G.F.M.Alfenas","370","2009","07","23","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Mineradora Emon","-46.386100769043","-21.9235992431641",NA,"Erva ca. 40cm, campo de altitude, flores alvas.","CESJ053942","CESJ053942",NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-10-14 10:03:58-03","FURB","FURB","42165","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Caetano, J.O.","26","2012","12","25",NA,"Brasil","Santa Catarina","Benedito Novo","Próximo a PCH Ceesam Liberdade.","-49.4230556","-26.7866666",NA,NA,"FURB04704","FURB04704","Caetano, JO",NA,NA,"2013","09","11","-49.4230556","-26.7866666",NA,NA,NA,"373","373",NA,NA,NA
"14","2020-10-14 10:03:58-03","FURB","FURB","51922","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Schwirkowski, P.","1815","2016","08","07",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Estrada de Ferro próximo à Igreja de Rio Natal.","-49.2958333","-26.3575",NA,"Herbácea rupícola, semi-ciófita, em substrato em meio a paredão de pedra","FURB51922","FURB51922","Caetano, J.",NA,NA,"2016","08","07","-49.2958333","-26.3575000",NA,NA,NA,"400","400",NA,NA,NA
"15","2020-10-14 10:03:58-03","FURB","FURB","61122","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Schwirkowski, P.","3035","2018","08","29",NA,"Brasil","Santa Catarina","São Bento do Sul","Bairro Centenário. Fundos da FETEP. Área do futuro Jardim Botânico Municipal.","-49.3483333","-26.2505556",NA,"FOM. Esciófita. Cálice verde, corola branca Habitat: No subbosque Habito: Herbácea","FURB61122","FURB61122","Schwirkowski, P.",NA,NA,"2018","08","29","-49.3483333","-26.2505556",NA,NA,NA,"850","850",NA,NA,NA
"16","2020-12-09 14:47:24-03","FURB","FURB","66805","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Schwirkowski, P.","4147","2020","07","09",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, próximo à antiga estação de trem.","-49.2869444","-26.3552778",NA,"FOD Habitat: Heliófita. Rupícola. Cálice verde, corola branca Habito: Herbácea","FURB66805","FURB66805","Schwirkowski, P.",NA,NA,"2020","07","09","-49.2869444","-26.3552778",NA,NA,NA,"350","350",NA,NA,NA
"17","2020-09-02 11:21:30-03","UFSM","SMDB","13787","S","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","Portalet, A","56",NA,NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Maria","Morro do cerrito","-53.8069000244141","-29.6842002868652",NA,"Terrestre, planta de interior de mata; folhas verdes concolores; haste floral longa e multiflora, flores pilosas e esverdeadas com labelo branco.","SMDB013787",NA,"Portalet, A","37819","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-03 19:48:24-03","MNHN","RECOLNAT_MNHN_P","P00340908","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Regnell, A.F.",NA,"1879","7","31",NA,"Brésil",NA,NA,NA,NA,NA,"hb","Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00340908' target='other'> <mi>dwc_moreinfo</mi></a>","P00340908","P00340908_01 P00340908_02","Correa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1197 iii",NA,NA
"19","2020-12-11 11:44:26-03","UFMG","BHCB","90129","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Melo, PHA de; Coelho, LHL","1240","2004","08","13","Southern America","Brasil","Minas Gerais","Arcos","Fazenda Faroeste, Margem direita do Rio São Miguel, afloramento da Bocaina","-45.660528","-20.266389",NA,"Herbácea, flores brancas.; Sobre afloramento calcário,","BHCB001140","BHCB001140",NA,NA,NA,"2005","04",NA,"-45.660528","-20.266389",NA,NA,NA,"630","630",NA,NA,NA
"20","2020-12-11 11:44:26-03","UFMG","BHCB","78283","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Melo, PHA de; Viana, PL","13","2002","08","08","Southern America","Brasil","Minas Gerais","Pains","Fazenda Massambará","-45.6613998413086","-20.3705997467041",NA,"Herbácea, flores brancas.","BHCB039667",NA,NA,"18263","auto","2005","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:44:26-03","UFMG","BHCB","64745","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Mota, RC da; Ribeiro, SP","1247","2001","10","09","Southern America","Brasil","Minas Gerais","Camanducaia","Fazenda Melhoramentos","-46.1446990966797","-22.7553005218506",NA,"Erva rupestre; flores esverdeadas.; Planta coletada em mata ciliar","BHCB039668",NA,NA,"22140","auto","2006","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:44:26-03","UFMG","BHCB","32883","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Lombardi, JA","1346","1996","07","24","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Parque de Furnas do Catete","-42.5311012268066","-22.2819004058838",NA,"Erva rupícola. Folhas carnosas, flores verdes.; Mata atlântica secundária e antropizada","BHCB039666",NA,NA,"33190","auto","2006","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2011-02-22 06:42:00-03","MO","MOBOT","2255069","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","F. Biganzoli|Paola Peralta|A. Giallorenzo|V. Moreno","Biganzoli 243","1998","7","24","South America","Argentina","Misiones","Libertador General San Martín","Predio UNLP : valle del arroyo Cuña Pirú. Picada en sotobosque cerca del balneario","-54.93333","-27.08333",NA,NA,NA,NA,"Correa, M. N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2013-10-09 05:41:00-03","MO","MOBOT","635307","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","Elsa M. Zardini|Ramón Velásquez","Zardini 14246","1989","9","20","South America","Paraguay","Guairá",NA,"Cordillera de Ybytyruzú. Road to Cantera Jhú. Gallery forest along Gervasia Creek.","-56.33333","-25.8",NA,NA,NA,NA,"J. T. Atwood (SEL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138","3",NA
"25","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","21504",NA,"Plantae",NA,NA,"Orchidaceae","Beadlea","longibracteata","Beadlea longibracteata","(Barb.Rodr.) Garay","M. V. S. Berger; et al","108","2003","08","10",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,"Epífita, na sombra, perto de pedra, mata. Folhas com face adaxial verde e abaxial verde-claro, uniforme e sem listras em ambas as faces. Trilha das bromélias. Flor mont.","MBML021504","MBML021504","M. V. S. Berger/06-10-2003",NA,NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","3170094","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Beadlea","longibracteata","Beadlea longibracteata",NA,"R. A. Wasum","6263","1989","10","9","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,"US00162755","US00162755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1",NA
"27","2021-03-25 13:53:02-03","UNIVILLE","JOI","10350","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Mancinelli, W.S.","982","2009","08","22",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha.","-50.1618995666504","-25.0949993133545",NA,"; HABITO: terrícola; TIPO VEGETACIONAL: Floresta Ombrófila Mista","JOI010350",NA,"Mancinelli, W. S.","46557","auto","2010","10","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-25 13:53:02-03","UNIVILLE","JOI","15232","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Mancinelli, W.S.","1247","2010","06","27",NA,"Brasil","Santa Catarina","São Francisco do Sul","Morro da Palha.","-48.6380996704102","-26.2432994842529",NA,"; HABITO: erva rupícola; TIPO VEGETACIONAL: Floresta de Terras Baixas","JOI015232",NA,"Mancinelli, W. S.","23627","auto","2010","06","27",NA,NA,NA,NA,NA,"20","20",NA,NA,NA
"29","2019-10-07 09:19:53-03","UEFS","HUEFS","133471","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr) Schltr.","Tressens, S.G.","6021","1998","09","15",NA,"Argentina","Misiones","Guaraní","Predio Guaraní.","-54.2","-26.9",NA,"Interior de selva","HUEFS0133471",NA,"M.Correa",NA,NA,"2002",NA,NA,"54W12'","26S54'",NA,NA,"Lilianae",NA,NA,NA,NA,NA
"30","2017-09-11 17:12:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Spiranthes","longibracteata","Spiranthes longibracteata","Barb.Rodr.","Regnell, AF","ser. III.1197",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","ad Pedra Branca prope Caldas","-46.3861","-21.9236",NA,NA,NA,"P03P4N0044",NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:12:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Spiranthes","longibracteata","Spiranthes longibracteata","Barb.Rodr.","Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Rio Pardo de Minas","ad margines viarum prope Rio Pardo prov. Minas Geraës","-42.5397","-15.6097",NA,NA,NA,"P03P4N0044",NA,"62891","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:12:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Spiranthes","rodriguesii","Spiranthes rodriguesii","Cogn.","Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João del Rei","in sylvis solo pingui ad Serra de S. José d'El Rey","-44.2617","-21.1356",NA,NA,NA,"P03P4N0046",NA,"39093","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:13:03-03","IBt","SP","320138","S","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Lombardi, JA","1346","1996","07","24",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Parque de Frunas do Catete. Trilha rumo ao Cão Sentado","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:13:03-03","IBt","SP","373453","S","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Zaldini, CA; Forzza, RC; Fraga, CN","5","2003","06","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal da Prainha. Paredão trilha para o Moro da Boa Vista","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:13:03-03","IBt","SP","29034","S","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb.Rodr.) Schltr.","Campos Novaes, J","CGG3162","1895","04",NA,NA,"Brasil","São Paulo","Espírito Santo do Pinhal",NA,"-46.7400016784668","-22.1900005340576",NA,"Herb. terr.","SP009506","SP009506",NA,"18890","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-03-20 19:02:21-03","GH","HU-HERB","GH 02092716","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Beadlea","longibracteata","Beadlea longibracteata","(Barbosa Rodrigues) Garay","A. L. Cabrera","7424","1941","12","5","South America","Argentina",NA,NA,"Partido de: Magdalena. Rincón de Noario.",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7424",NA,"undetermined"
