"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","recordNumber","continentOcean","coordinatePrecision","preparationType","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"22","2021-03-15 16:37:00-03","NY","NYBG","378719","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"A. P. Duarte","1950","12","08","Brazil","Santa Catarina","Florianópolis","Prope Florianópolis","-48.4934807","-27.5942613",NA,NA,NA,NA,"NY00378719","NY00378719_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251298' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","3388","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","378721","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"P. von Luetzelburg","1912",NA,NA,"Brazil","Bahia",NA,"Rio Preto.",NA,NA,NA,NA,NA,NA,"NY00378721","NY00378721_01","sheet 1/2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251303' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","322","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","538485","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","P. J. M. Maas",NA,NA,NA,"W. W. Thomas","1993","10","17","Brazil","Bahia","Ilhéus","40 km north of Ilhéus on road to Serra Grande, at river marking boundary of municipio with Mun. Uruçuca","-39.07","-14.53",NA,NA,NA,NA,"NY00538485",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251296' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","9954","South America",NA,"fluid-preserved",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","04086968","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","D. Piotto",NA,NA,NA,"D. Piotto","2010","06","10","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42",NA,NA,"120","300","NY04086968","NY04086968_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671241' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","2329","South America",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02104346","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","P. J. M. Maas",NA,NA,NA,"R. M. Déda","2012","11","13","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto: Poç dos bois","-37.448299407959","-11.3507995605469",NA,NA,NA,NA,"NY02104346","NY02104346_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2278845' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","201","South America","26417","sheet","auto",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1738334","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"P. da C. Gadelha Neto","2012","01","02","Brazil","Paraíba","João Pessoa","Jardim Botânico. Trilha do Bambuzal.","-34.8667","-8.02",NA,NA,NA,NA,"NY01738334","NY01738334_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1996593' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","3139","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1738289","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"P. da C. Gadelha Neto","2012","01","03","Brazil","Paraíba","João Pessoa","Jardim Botânico: Trilha do Bambuzal. Mata Ciliar. Vegetando as mardens do Rio Jaguaribe.","-34.8667","-8.02",NA,NA,NA,NA,"NY01738289",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1987839' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","3139","South America",NA,"separate fruit",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","778616","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","G. L. Esteves",NA,NA,NA,"G. L. Esteves","1987","02","16","Brazil","Alagoas","Piaçabuçu","Soares. Várzea do Rio Marituba.","-36.38333333","-10.3",NA,NA,NA,NA,"NY00778616",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796463' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","1938","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","778615","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","G. L. Esteves",NA,NA,NA,"G. L. Esteves","1987","02","16","Brazil","Alagoas","Piaçabuçu","Soares. Várzea do Rio Marituba.","-36.38333333","-10.3",NA,NA,NA,NA,"NY00778615","NY00778615_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796458' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","1938","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 09:28:36-03","UNESP-IBB","BOTU","29081","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Gottsberger, I.S.","2012","12","04","Brasil",NA,NA,NA,NA,NA,"9999","9999",NA,NA,"BOTU029081","BOTU029081",NA,NA,NA,"11-041212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-18 09:28:36-03","UNESP-IBB","BOTU","29071","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Gottsberger, I.S.","2012","11","23","Brasil","São Paulo","Bertioga",NA,NA,NA,"9999","9999",NA,NA,"BOTU029071","BOTU029071",NA,NA,NA,"11-231112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-13 09:18:47-03","UFRJ","RFA","27428","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","A. F. Pontes","2002","02","04","Flavio Britto Pereira","2001","04","01","Brasil","Espírito Santo","Mimoso do Sul","Fazenda Gabiroba","-41.355556","-21.208889","41º21'20''W","21º12'32''S","41","41","RFA32311",NA,"Arbusto, folha e frutos verdes, comum no local",NA,NA,"30/84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:28:48-03","UFRJ","RFA","8847","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"P. Occhioni","1968","11","21","Brasil","Santa Catarina","Florianópolis","Lagoa da Conceição, p#?#roximo ao mar","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"RFA27762",NA,"Arbusto, flor verde Habito: Arbusto",NA,NA,"3727",NA,"27000",NA,"auto",NA,NA,NA,NA,NA,NA
"35","2019-11-19 15:43:06-03","UNEB","HUNEB","9839","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Guedes, M.L.","2003","02","14","Brasil","Bahia","Belmonte","Extremo Sul, Canal Norte em uma área de apicum.","-38.866667","-15.85","38W52'0''","15S51'0''",NA,NA,"HUNEB0009839",NA,NA,"Angiospermae","Florideophycidae","10127ALCB 61718",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"36","2019-11-19 15:43:06-03","UNEB","HUNEB","9157","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra",NA,NA,NA,NA,NA,"Jesus, N.G.","2004","01","08","Brasil","Bahia","Conde","Cajueirinho","-37.6105995178223","-11.8135995864868","37W31'84''","11S44'85''",NA,NA,"HUNEB0009157",NA,NA,"Angiospermae","Florideophycidae","2002PS339",NA,"31737",NA,"auto","Dicotyledoneae",NA,NA,NA,NA,NA
"37","2019-11-19 15:43:06-03","UNEB","HUNEB","2180","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Santos, J.B.","1995","11","14","Brasil","Bahia","Ilhéus","Ponta de Ramos a 90 km de Ponta da Tulha.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"HUNEB0002180",NA,"arbórea, substrato arenoso rico em líter.","Angiospermae","Florideophycidae","34244",NA,"61245",NA,"auto","Dicotyledoneae",NA,NA,NA,NA,NA
"38","2021-03-30 12:33:30-03","EAO","IAN","197673","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Nunes, CS","2018","10","23","Rodrigues, CB","2018","09","11","Brasil","Maranhão","Pinheiro","Solo argiloso marrom, área em estagio de regeneração natural.&nf;Conglomerado MA-66, avaliação da regeneração natural, subunidade 1, subpárcela 10, individuo 1.","-45.300253","-2.876633","-45.300253","-2.876633",NA,NA,"IAN197673",NA,"Arbusto com 2,6m de altura, base reta, fruto imaturo com dimensões de 4cm de forma arredondado, cores externas verde e interna branco, consistência externa seco e presença de polpa internamente.","Dicotiledônea",NA,"564","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:33:30-03","EAO","IAN","183674","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Costa Neto, SV","2005","11","11","Brasil","Amapá","Amapá","Igarapé São Raimundo, margem esquerda do rio Araguari.","-50.793098449707","2.0533299446106",NA,NA,NA,NA,"IAN183674",NA,"Arbusto com cerca de 2,5m de altura. Botões florais cremes e frutos imaturos verdes.","Dicotiledônea",NA,"1990","Southern America","134143",NA,"auto",NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:33:30-03","EAO","IAN","183619","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Costa Neto, SV",NA,NA,NA,"Silva, SRM; Cardoso, J; Viana, AF","2006","08","02","Brasil","Amapá","Oiapoque","Ponta do Cassiporé. Parque nacional do Cabo Orange.","-51.8349990844727","3.84306001663208",NA,NA,NA,NA,"IAN183619",NA,"Arbusto com frutos imaturos verdes.","Dicotiledônea",NA,"40","Southern America","254902",NA,"auto",NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:33:30-03","EAO","IAN","199184","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Cordeiro, MR","2019","08","21","Brasil","Pará","Belém","Arbusto de 3 m, terra firme, solo argiloso. EMBRAPA.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN199184",NA,"Frutos marrom.","Dicotiledônea",NA,"5155","Southern America","48462",NA,"auto",NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:33:30-03","EAO","IAN","183193","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Menezes, TO de","2008","01","10","Brasil","Pará","Belém","EMBRAPA Amazônia Oriental.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN183193",NA,NA,"Dicotiledônea",NA,"1","Southern America","48462",NA,"auto",NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:33:30-03","EAO","IAN","165920","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Lobato, LC","1994","01","22","Brasil","Pará","Maracanã","Fortalezinha, vegetação de restinga.","-47.581901550293","-0.595000028610229",NA,NA,NA,NA,"IAN165920",NA,"Árvore de 3m de altura, botões verdes, flores creme.","Dicotiledônea",NA,"1577","Southern America","48335",NA,"auto",NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:33:30-03","EAO","IAN","165440","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Nitta, A","1996","08","08","Brasil","Pará","Tomé-Açu","Jardim do Sr. Tsubaki.","-48.1521987915039","-2.41888999938965",NA,NA,NA,NA,"IAN165440",NA,NA,"Dicotiledônea",NA,"17090","Southern America","97524",NA,"auto",NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:33:30-03","EAO","IAN","165440","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"Nitta, A","1996","08","08","Brasil","Pará","Tomé-Açu","Jardim do Sr. Tsubaki.","-48.1521987915039","-2.41888999938965",NA,NA,NA,NA,"IAN165440",NA,NA,"Dicotiledônea",NA,"17090","Southern America","97524",NA,"auto",NA,NA,NA,NA,NA,NA
"46","2013-07-03 10:26:39-03","EBDA","BAH","3702","S","Plantae","Annonaceae","Annona","glabra","Annona glabra","Forssk.",NA,NA,NA,NA,"E. P. Heringer","1973","01","20","Brasil","Pernambuco","Porto de Galinhas","Pernambuco, Porto de Galinhas",NA,NA,NA,NA,NA,NA,NA,NA,"Árvore de 5 m de altura, raiz parenquimatosa sem formar madeira.",NA,NA,"12778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-02-20 13:41:59-03","INPA","INPA-CARPOTECA","140588","Carpo","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Maas, PJM","1995",NA,NA,"Ferreira, CAC","1986","04","25","Brasil","Amazonas","Japurá","Limoeiro, Rio Puruê afluente da margem direita do rio Japurá. Mata baixa de terra firme, solo argiloso.","-69.15","-1.033333","-69.15","-1.033333",NA,NA,"INPA0140588","INPA0140588 INPA0140588_e INPA0140588_nd",NA,"Dicotyledon Magnoliids","Magnoliales","7201","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-02-27 21:09:26-03","PUCPR","HUCP","17759","S","Plantae","Annonaceae","Annona","glabra","Annona glabra","Bittencourt","Bonaldi, R","2007","05","16","Bonaldi, R","2007","03","25","Brasil","Paraná","Paranaguá","Tinguçu","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"HUCP00005377","HUCP00005377",NA,"Magnoliidae",NA,"181",NA,"24916",NA,"auto",NA,NA,NA,NA,NA,NA
"49","2019-10-09 11:08:37-03","UFBA","ALCB","023757","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Mello-Silva, R de","2002","08",NA,"Guedes, ML","1992","09","12","Brasil","Bahia","Camaçari","Canto do Sol","-38.316667","-12.683333","-38.316667","-12.683333",NA,NA,"ALCB003875","ALCB003875","ca. 4m de altura. Flores amarelas vistosas.; Margem de rio.","Dicotyledon",NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
