"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"11","2016-09-29 23:07:00-03","NY","NYBG","1013952","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,"C. A. O'Donell",NA,NA,NA,"A. F. M. Glaziou","13006","1880","06","16","Brazil","Minas Gerais",NA,"Serra de Lenheiro, pes de Saõ João d' El Rei.","-44.302262","-21.145111",NA,NA,"NY01013952","NY01013952_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106820' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 23:07:00-03","NY","NYBG","1013958","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"J. M. Pires","58092","1964","06","30","Brazil","Distrito Federal","Brasília","Margem do rio Maranhão.","-47.9294","-15.7797",NA,NA,"NY01013958","NY01013958_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106850' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","486399","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"H. S. Irwin","31639","1971","03","06","Brazil","Bahia","Barreiras","Ca. 5 km E of Barreiras","-44.99","-12.15",NA,NA,"NY00486399","NY00486399_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529548' target='other'> <mi>dwc_moreinfo</mi></a>","500","500",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1013959","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"E. P. Heringer","6938","1981","05","08","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE.","-47.9294","-15.7797",NA,NA,"NY01013959","NY01013959_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 14:37:00-03","NY","NYBG","494058","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,"D. F. Austin",NA,NA,NA,"E. Asplund","7679","1939","07","14","Ecuador","Guayas",NA,"Hacienda Santa Lucia, between Guayaquil and Chongón, 2 km towards Chongón",NA,NA,NA,NA,"NY00494058",NA,"Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529552' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1013956","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","M. G. da Silva",NA,NA,NA,"L. M. M. Carreira","814","1983","05","05","Brazil","Mato Grosso","Vila Bela de Santíssima Trindade","Km 23 de Vila Bela, caminho da Cachoeira.",NA,NA,NA,NA,"NY01013956","NY01013956_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106844' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 14:37:00-03","NY","NYBG","486392","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"I. Sazima","2618","1974","06","02","Brazil","São Paulo","Campinas","Distrito de Souzas","-46.963459","-22.866176",NA,NA,"NY00486392","NY00486392_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529558' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01081043","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","J. R. I. Wood",NA,NA,NA,"H. C. H. Silva","43","2001","07","18","Brazil","Pernambuco","Igarassu","Mata da Usina São José","-35.0028","-7.8389",NA,NA,"NY01081043","NY01081043_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214741' target='other'> <mi>dwc_moreinfo</mi></a>","25","25",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1013960","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"E. P. Heringer","11482","1967","05","25","Brazil","Goiás","Formosa","Rio Tiquiri.","-47.3342","-15.5372",NA,NA,"NY01013960","NY01013960_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106856' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1581512","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","R. Simão-Bianchini",NA,NA,NA,"H. S. Irwin","15456","1966","05","01","Brazil","Distrito Federal","Brasília","Ca. 3 km S. of Sobradinho.","-47.8167","-15.66041",NA,NA,"NY01581512","NY01581512_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1856472' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-27 04:07:00-03","NY","NYBG","01922751","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"G. H. H. Tate","107","1927","09","21",NA,NA,NA,"Plants of Mount Roraima and vicinity. Along the river, Limao",NA,NA,NA,NA,"NY01922751","NY01922751_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150134' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","494057","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"F. J. Fernández Casas","FC6196","1982","02","11","Paraguay","Amambay",NA,"Unos 40 km al Norte de cruce de Bellavista y Pedro Juan Caballero, linde de la pista con bosque denso",NA,NA,NA,NA,"NY00494057",NA,"Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529551' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","486401","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"R. M. Harley","19993","1977","03","25","Brazil","Bahia",NA,"13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura","-41.75","-13.58",NA,NA,"NY00486401","NY00486401_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529566' target='other'> <mi>dwc_moreinfo</mi></a>","700","700",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","486398","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"W. R. Anderson","36954","1972","03","14","Brazil","Bahia","Cocos","Ca. 3 km South of Cocos","-44.53","-14.18",NA,NA,"NY00486398","NY00486398_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529547' target='other'> <mi>dwc_moreinfo</mi></a>","535","535",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1013954","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","C. A. O'Donell",NA,NA,NA,"Y. E. J. Mexia","4690","1930","05","12","Brazil","Minas Gerais","Viçosa","Trail Areponga to São Miguel; near Palestina.","-42.8817","-20.7542",NA,NA,"NY01013954","NY01013954_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106837' target='other'> <mi>dwc_moreinfo</mi></a>","700","700",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02637387","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"D. S. Correia","45","2011","06","17","Brazil","Pernambuco","Igarassu","Usina São José. Mata de Macacos.","-35.072222","-7.786111",NA,NA,"NY02637387","NY02637387_01","Magnoliophyta","Solanales",NA,NA,"South America","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3677056' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-29 14:37:00-03","NY","NYBG","486396","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"Z. A. Trinta","697","1964","04","18","Brazil","Rio de Janeiro","Três Rios","Bemposta","-43.2092","-22.1169",NA,NA,"NY00486396","NY00486396_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529559' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","494059","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"J. C. Solomon","7324","1982","03","25","Bolivia","La Paz","Nor Yungas","10.1 km N (below) Yolosa","-67.72","-16.15",NA,NA,"NY00494059",NA,"Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529549' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","486403","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","M. H. Nee",NA,NA,NA,"C. E. F. von Glocker","59750E",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00486403","NY00486403_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","Coll. Shuttleworth <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1013957","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","M. G. da Silva",NA,NA,NA,"L. M. M. Carreira","851","1983","05","05","Brazil","Mato Grosso","Vila Bela de Santíssima Trindade","Km 8 da estrada Vila Bela a Pontes e Lacera-Picada da estrada de Sararé.",NA,NA,NA,NA,"NY01013957","NY01013957_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106847' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1013964","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","C. A. O'Donell",NA,NA,NA,"W. J. Burchell","8809",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"NY01013964","NY01013964_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106868' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1013951","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","C. A. O'Donell",NA,NA,NA,"R. de Lemos Fróes","1847","1932","08","31","Brazil","Maranhão","Cândido Mendes","Maracassumé River Region. Ilha do Trauira.","-45.5592889","-1.2143892",NA,NA,"NY01013951","NY01013951_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 14:37:00-03","NY","NYBG","486397","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"Liene","3993","1958","07","15","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada das Canoas","-43.2075","-22.9031",NA,NA,"NY00486397","NY00486397_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529556' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","191823","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"B. C. Bennett","3775","1989","04","21","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. Near house and chacra of Maria and Pedro Kunkumas","-78.17","-3.5",NA,NA,"NY00191823",NA,"Magnoliophyta","Solanales",NA,NA,"South America","sheet","Shuar voucher <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529565' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01922750","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"W. W. Thomas","5023","1986","06","09","Brazil","Rondônia","Porto Velho","Represa Samuel: road leading to quarry west of dike road before southern hills. Terra firme forest and disturbed vegetation on granite outcrops.","-63.23","-9",NA,NA,"NY01922750","NY01922750_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150133' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01922748","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"R. Spruce","695","1850","07",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,"NY01922748","NY01922748_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150131' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 23:07:00-03","NY","NYBG","1013955","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,"D. F. Austin",NA,NA,NA,"R. R. de Santos","R.1790","1968","06","14","Brazil","Mato Grosso",NA,"Northern Mato Grosso Expedition. 40 km N. of the Base Camp of the Expedition. (Base Camp, c. 270 km N. of Xavantina on the Xavantina-São Felix road).","-51.87","-12.9",NA,NA,"NY01013955","NY01013955_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106841' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1013962","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"H. S. Irwin","15077","1966","04","20","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 40 km N.E. of Formosa","-47.06965","-15.27769",NA,NA,"NY01013962","NY01013962_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106862' target='other'> <mi>dwc_moreinfo</mi></a>","800","800",NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 14:37:00-03","NY","NYBG","486391","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia",NA,NA,NA,NA,NA,"F. R. Martins","10066","1979","04","30","Brazil","São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro, Parque Estadual de Vassununga","-47.47","-21.71",NA,NA,"NY00486391","NY00486391_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529555' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01922749","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.",NA,NA,NA,NA,"C. A. Cid Ferreira","4894","1984","06","29","Brazil","Rondônia","Ouro Preto do Oeste","BR-364, rodovia Cuiabá-Porto Velho, km 378, Reserva Ecológica do CNPq-INPA.","-63.05","-10.183333",NA,NA,"NY01922749","NY01922749_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150132' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","486402","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","M. H. Nee",NA,NA,NA,"C. E. F. von Glocker","597","1842",NA,NA,"Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,"NY00486402","NY00486402_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529562' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1013953","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","C. A. O'Donell",NA,NA,NA,"Y. E. J. Mexia","5691","1931","04","22","Brazil","Minas Gerais","Corinto","Fazenda do Diamante; near Corriga do Angico.","-44.4564","-18.3808",NA,NA,"NY01013953","NY01013953_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106834' target='other'> <mi>dwc_moreinfo</mi></a>","600","600",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","486394","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","hederifolia","Ipomoea hederifolia","L.","D. F. Austin",NA,NA,NA,"S. Tsugaru","B1218","1987","08","27","Brazil","Rio Grande do Norte","Natal","Ponta Negra","-35.2092","-5.7953",NA,NA,"NY00486394","NY00486394_01","Magnoliophyta","Solanales",NA,NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529550' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
