"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","locality","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber"
"11","2019-08-27 13:26:30-03","IAP","PACA-AGP","32806","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","Rambo, B.",NA,"1945","12",NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva campestri, epiphytica Fenofase: flor","PACA032806",NA,"12","Vila Manresa",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"29946","auto",NA,NA,NA,NA,NA
"12","2019-08-27 13:26:30-03","IAP","PACA-AGP","565","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","C. Orth SJ",NA,"1931","11",NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva campestri, epiphytica Fenofase: flor","PACA000565",NA,"12","Vila Manresa",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"29946","auto",NA,NA,NA,NA,NA
"13","2019-08-27 13:26:30-03","IAP","PACA-AGP","7467","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","F. Theissen SJ",NA,"1907",NA,NA,"Brasil","RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,"Habitat: In silva campestri, epiphytica Fenofase: estéril","PACA007467",NA,NA,NA,NA,NA,"Liliatae","J. L. waechter","2005","05","11",NA,"10287","auto",NA,NA,NA,NA,NA
"14","2019-08-27 13:26:30-03","IAP","PACA-AGP","71158","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","V. F. Nunes et al.","1306","1991","11",NA,"Brasil","RS","Sapiranga","-51.0069007873535","-29.6380996704102",NA,"Flores amarelas. Mesófita, luz direta ou difusa. Habitat: Epífita Fenofase: flor","PACA071158",NA,"09","Recanto da Cascata - Picada Verão",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"11711","auto",NA,NA,NA,NA,NA
"15","2019-08-27 13:26:30-03","IAP","PACA-AGP","62881","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","Camargo, O. R.","3040","1957","12",NA,"Brasil","RS","Taquari","-51.8643989562988","-29.7996997833252",NA,"Habitat: In silva Fenofase: flor","PACA062881",NA,"10",NA,NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"21657","auto",NA,NA,NA,NA,NA
"16","2019-08-27 13:26:38-03","IAP","PACA-AGP","62829","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pleurothallis","crocea","Pleurothallis crocea","Barb. Rodr.","Camargo, O. R.","2458","1957","11",NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva Fenofase: flor","PACA062829",NA,"02",NA,NA,NA,"Liliatae","Emrich-Rambo","1958","09","25",NA,"29946","auto",NA,NA,NA,NA,NA
"17","2019-08-27 13:26:38-03","IAP","PACA-AGP","84963","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pleurothallis","crocea","Pleurothallis crocea","Barb. Rodr.","Sehnem, A.","2770","1947","04",NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,"Habitat: Em árvore epiphytum","PACA084963",NA,"07","Campestre",NA,NA,"Liliatae","A. Sehnem","1947","04","07",NA,"21601","auto",NA,NA,NA,NA,NA
"18","2021-04-07 11:46:50-03","UFMS","CGMS","43586","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","A. Bresolin","50","1970","12",NA,"Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,"Flor amarela. Fruto ausente. Labelo marrom. Habitat: Mata de morro. Habito: Erva epífita.","CGMS1073565",NA,"18","Naufragados, Ilha de Santa catarina,.","250","250",NA,"G.F.J. Pabst","1971",NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"19","2021-04-07 11:46:50-03","UFMS","CGMS","43585","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","R.M. Klein; A. Bresolin","8502","1969","12",NA,"Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,"Flor amarela-ouro. Fruto ausente. Habitat: Mata. Habito: Erva epífita.","CGMS1073564",NA,"16","Tapera, Ribeirão, Ilha de Santa Catarina,.","100","100",NA,"G.F.J. Pabst","1971",NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"20","2019-01-17 11:24:01-02","PUCRS","MPUC","15310","S","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.",NA,NA,"1983","11","South America","Brasil","RS","Guaíba","-51.3280556","-30.1011667",NA,"Epifito em mata de galeria",NA,NA,"30","BR 116, km 32",NA,NA,"Magnoliopsida","J.L. Waechler",NA,NA,NA,NA,NA,NA,"-51.3280556000","-30.1011667000","1",NA,NA
"21","2021-03-16 17:50:14-03","UCS","HUCS","50715","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W. Chase","Gonzatti, F.","5214","2019","11",NA,"Brasil","Rio Grande do Sul","Torres","-49.761389","-29.379167",NA,"Erva rastejante epífita pendente em tronco de árvore, interior da mata ombrófila.",NA,NA,"12","Parque Estadual do Itapeva,ao longo da Trilha principal de Educação Ambiental, saindo do Parque","40","40",NA,"Gonzatti, F.","2020","01",NA,NA,NA,NA,"-49.761389","-29.379167",NA,NA,NA
"22","2021-03-16 17:50:18-03","UCS","HUCS","5108","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W. Chase","Wasum, R.A.","s.n.","1989","01",NA,"Brasil","Rio Grande do Sul","Paverama","-51.7303009033203","-29.551700592041",NA,"epífita em coqueiro",NA,NA,"04",NA,NA,NA,NA,"Gonçalves, C.N.","2006","02","16",NA,"12402","auto",NA,NA,NA,NA,NA
"23","2020-12-21 16:38:13-03","MBM","MBM","392880","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Fraga, C.N.; Goldenberg, R.; Forzza, R.C.; Goldenberg, R.; Forzza, R.C.","2355","2009","01","Southern America","Brazil","Espírito Santo","Castelo","-41.083611","-20.516111",NA,"Erva epífita. Folhas verdes com pontuações vinosas. Flores amarelas, labelo amarelo com ponto vermelho na base.; Floresta Ombrófila Densa Altomontana.","MBM392880","MBM392880","20","Parque Estadual do Forno Grande, Brejo próximo da sede do Parque","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,"-41.083611","-20.516111",NA,NA,NA
"24","2020-12-21 16:38:44-03","MBM","MBM","51058","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Reitz, R.; Klein, R.M.; Klein, R.M.","9303","1959","10","Southern America","Brazil","Santa Catarina","Sombrio","-49.61669921875","-29.113899230957",NA,NA,"MBM051058","MBM051058","31","Pirão Frio",NA,NA,NA,"Pabst, G.",NA,NA,NA,NA,"16515","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:38:44-03","MBM","MBM","130129","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Lindeman, J.; Haas, H.; Haas, H.","3932","1966","12","Southern America","Brazil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"MBM130129","MBM130129","29","Lagoa ao norte de Osório",NA,NA,NA,"Pabst, G.",NA,NA,NA,NA,"27350","auto",NA,NA,NA,NA,NA
"26","2015-09-04 14:08:17-03","MNHN","RECOLNAT_MNHN_P","P00485599","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","glaziovii","Pleurothallis glaziovii","Cogn.","Glaziou, A.",NA,"1888","11",NA,"Brésil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485599' target='other'> <mi>dwc_moreinfo</mi></a>","P00485599","P00485599_01 P00485599_02",NA,"Alto Macahé de Novo-Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17796"
"27","2015-09-03 19:57:35-03","MNHN","RECOLNAT_MNHN_P","P00485559","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Kotschy, C.G.T.",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485559' target='other'> <mi>dwc_moreinfo</mi></a>","P00485559","P00485559_01",NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:44:17-03","UFMG","BHCB","145168","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase",NA,"s.n.",NA,NA,"Southern America","Brasil","Bahia","Buerarema","-39.2997016906738","-14.959400177002",NA,"Em cultivo na coleção de orquídeas do Museu de História Natural e Jardim Botânico da UFMG, com o acesso MHNJB1333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14251","auto",NA,NA,NA,NA,NA
"29","2021-02-11 17:20:51-03","UFPR","UPCB","66152","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Fraga, C.N.","2355","2009","01",NA,"Brasil","Espírito Santo","Castelo",NA,NA,NA,"Erva epífita. Folhas verdes com pontuações vinosasa. Flores amarelas, labelo amarelo com ponto vermelho na base..",NA,NA,"20","BLOQUEADO","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA
"30","2021-02-11 17:20:51-03","UFPR","UPCB","85666","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Klein, J.","182",NA,NA,NA,"Brasil","Rio Grande do Sul","Três Cachoeiras","-49.9244003295898","-29.4556007385254",NA,"Amostra conservada em solução de glicerina com álcool..",NA,NA,NA,NA,NA,NA,NA,"Smidt, E.C.",NA,NA,NA,NA,"17224","auto",NA,NA,NA,NA,NA
"31","2015-03-29 18:38:00-03","MO","MOBOT","2483367","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","glaziovii","Pleurothallis glaziovii","Cogn.","J. Eugenio Leite","Leite 426",NA,NA,"South America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"São Leopoldo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","12795",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","C. N. de Fraga","586","2000","01",NA,"Brasil","Espírito Santo","Santa Teresa","-40.6","-19.936111",NA,"Jardim do Museu. Epífita, flores amarelas, labelo lilás.","MBML012795","MBML012795","25","Museu de Biologia Mello Leitão",NA,NA,NA,"H.L. Silva/16-01-2020",NA,NA,NA,NA,NA,NA,"40W36'0","19S56'10",NA,NA,NA
"33","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","38598",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","C. N. de Fraga; R.Goldenberg & R.C.Forzza","2355","2009","01",NA,"Brasil","Espírito Santo","Castelo","-41.083611","-20.516111",NA,"Erva epífita. Folhas verdes com pontuações vinosas. Flores amarelas, labelo amarelo com ponto vermelho na base.","MBML038598","MBML038598","20","Parque Estadual do Forno Grande. Brejo próximo da sede do Parque. Floresta Ombrófila Densa Altomontana.",NA,NA,NA,"H.L. Silva/16-01-2020",NA,NA,NA,NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA
"34","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","537",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","W. Emmerich",NA,"1976","07",NA,"Brasil","Espírito Santo","Conceição da Barra","-39.803889","-18.263889",NA,"Curso pós-graduação, biologia das epífitas.","MBML000537","MBML000537",NA,"Fazenda Klabin",NA,NA,NA,"H.L. Silva/16-01-2020",NA,NA,NA,NA,NA,NA,"39W48'14","18S15'50",NA,NA,NA
"35","2020-07-10 09:48:07-03","MBML","MBML-HERBARIO","48271",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Chiron; F. Tesch","14024","2013","03",NA,"Brasil","Espírito Santo","Marechal Floriano","-40.6831016540527","-20.4127998352051",NA,NA,"MBML048271","MBML048271","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23038","auto",NA,NA,NA,NA,NA
"36","2021-03-04 11:06:01-03","UFRB","HURB","24759","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Aona, L.Y.S.; Costa, G.; E.H. Souza; Vitório, C.D.P.; Fonseca, W.O.","4986","2019","02",NA,"Brasil","Bahia","Ilhéus","-39.0494003295898","-14.7889003753662",NA,"PM 19","HURB000024759","HURB000024759","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA
"37","2019-11-07 11:44:40-03","FUVATES","HVAT","483","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","E. Freitas","s.n.","2000","11",NA,"Brasil","Rio Grande do Sul","Estrela","-51.966389","-29.501944",NA,NA,"HVAT00000483",NA,"04","Novo Paraíso.",NA,NA,NA,"E. Freitas","2000","11","20",NA,NA,NA,"-51º57'59''W","-29º30'7''S",NA,NA,NA
"38","2019-11-07 11:44:40-03","FUVATES","HVAT","855","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","?","s.n.","2001","11",NA,"Brasil","Rio Grande do Sul","Tabaí","-51.682222","-29.643056",NA,"Exemplar apreendido pela FEPAM","HVAT00000855",NA,"19",NA,NA,NA,NA,"E. Freitas","2001","11","27",NA,NA,NA,"-51º40'56''W","-29º38'35''S",NA,NA,NA
"39","2019-11-07 11:44:40-03","FUVATES","HVAT","214","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","E. Freitas","s.n.","1999","11",NA,"Brasil","Rio Grande do Sul","Lajeado","-51.961389","-29.466944",NA,"epífita, forma touceiras; Coletada nas margens do banhado, perto do inicio das lagoas.","HVAT00000214",NA,"06","Bairro Carneiros.",NA,NA,NA,"E. Freitas","1999","11","06",NA,NA,NA,"-51º57'41''W","-29º28'1''S",NA,NA,NA
"40","2019-11-07 11:44:40-03","FUVATES","HVAT","1737","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","E. Freitas","s.n.","2005","11",NA,"Brasil","Rio Grande do Sul","Cruzeiro do Sul","-51.985278","-29.512778",NA,"epífita; Coletada sobre árvore na margem da lagoa.","HVAT00001737",NA,"24","Lagoa Criim.",NA,NA,NA,"E. Freitas","2007","03","01",NA,NA,NA,"-51º59'7''W","-29º30'46''S",NA,NA,NA
"41","2019-11-07 11:44:40-03","FUVATES","HVAT","1260","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","J. Bruxel","s.n.","2002","10",NA,"Brasil","Rio Grande do Sul","Tabaí","-51.682222","-29.643056",NA,NA,"HVAT00001260",NA,"10",NA,NA,NA,NA,"E. Freitas","2006","09","22",NA,NA,NA,"-51º40'56''W","-29º38'35''S",NA,NA,NA
"42","2019-11-07 11:44:40-03","FUVATES","HVAT","1043","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","T. Klein","s.n.","2002","11",NA,"Brasil","Rio Grande do Sul","Tabaí","-51.682222","-29.643056",NA,NA,"HVAT00001043",NA,"04",NA,NA,NA,NA,"E. Freitas","2003","01","07",NA,NA,NA,"-51º40'56''W","-29º38'35''S",NA,NA,NA
"43","2019-11-07 11:44:40-03","FUVATES","HVAT","3157","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","T. Klein","s.n.","2002","08",NA,"Brasil","Rio Grande do Sul","Tabaí","-51.682222","-29.643056",NA,"Epífita","HVAT00003157",NA,"28",NA,NA,NA,NA,"E. Freitas","2002","01","07",NA,NA,NA,"-51º40'56''W","-29º38'35''S",NA,NA,NA
"44","2021-01-28 11:37:22-03","IMA","MAC","39383","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","M.S.Leão","01","2009","02",NA,"Brasil","Alagoas","Arapiraca","-36.663964","-9.755586",NA,"Epífita. Flores amarelas.; Local de cultivo de sabiá.","MAC0039383",NA,"26","Fazenda Mutirão.",NA,NA,NA,"W.T.C.C.Santos; V.Brito","2019","05","30",NA,NA,NA,"-36.663964","-9.755586",NA,NA,NA
"45","2021-01-26 13:56:57-03","IMA","MAC","41153","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Chagas-Mota; A.I.L.Pinheiro; J.W.A.Silva","3412","2009","05",NA,"Brasil","Alagoas","Murici","-35.942003","-9.309531",NA,"Epífita. Inflorescência seca.; Mata Pluvial Atlântica.","MAC0041153",NA,"02","Serra do Ouro.",NA,NA,NA,"V.Brito-NOA","2019","05","30",NA,NA,NA,"-35.942003","-9.309531",NA,NA,NA
"46","2021-01-26 13:56:57-03","IMA","MAC","45645","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","Chagas-Mota","7149","2010","01",NA,"Brasil","Alagoas","Viçosa","-36.306458","-9.384961",NA,"Epífita. Inflorescência passada.; Mata Atlântica.","MAC0045645",NA,"28","Fazenda Jussara.",NA,NA,NA,"V.Brito-NOA","2019","05","30",NA,NA,NA,"-36.306458","-9.384961",NA,NA,NA
"47","2021-02-25 10:11:27-03","CVRD","CVRD","4754","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Folli, D.A.","2136","1993","12","América do Sul","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Orquídea do jequitibá","CVRD004754","CVRD004754","22","Erva epífita.",NA,NA,"Liliopsida","Claudio Nicoletti Fraga","2002","01","24",NA,"48094","auto",NA,NA,NA,NA,NA
"48","2021-02-25 10:11:27-03","CVRD","CVRD","4745","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Folli, D.A.","2128","1993","12","América do Sul","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Orquídea do jequitibá","CVRD004745",NA,"17","Erva epífita.",NA,NA,"Liliopsida","Claudio Nicoletti Fraga","2002","01","24",NA,"48094","auto",NA,NA,NA,NA,NA
"49","2021-02-25 10:11:27-03","CVRD","CVRD","4201","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Folli, D.A.","1773","1993","01","América do Sul","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Orquídea do jequitibá","CVRD004201",NA,"06","Erva epífita, próximo a Casa de vigilância.",NA,NA,"Liliopsida","Claudio Nicoletti Fraga","2002","01","24",NA,"48094","auto",NA,NA,NA,NA,NA
