"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem"
"11","2020-11-04 11:12:34-03","ESALQ","ESA","78132","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis",NA,"Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","28634.0","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 121. Próximo à sede do IBAMA. Campo rupestre. 1300 m.s.m.","-43.7144012451172","-19.1688995361328",NA,"Arbusto, ca. 1,4 m alt.; pétalas alvas com labelo passando de amarelo para laranja-avermelhado.","ESA078132","ESA078132","Elias, S.I. /2002",NA,NA,"-43,527,222","-19,253,611","26557","auto",NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:44:47-02","IPA","IPA","18036","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Giulietti, A.M.;","842","1969","07","03","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Serra do Cipó, km 116 da rodovia Belo Horizonte - Vespasiano. Fazenda Chapéu de Sol. Sobre pedras.","-43.4249992370605","-19.0372009277344",NA,"Subarbusto lenhoso ca. 40cm, muito ramificado; flor alva com pétala diferente amarela; glândulas alvas; frutos verdes.","IPA0018036",NA,"Francener, A.","2015","08",NA,NA,"60318","auto","11",NA,NA,NA,NA,NA
"13","2019-02-15 11:44:47-02","IPA","IPA","18037","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Giulietti, A.M.;","842","1969","07","03","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Serra do Cipó, km 116 da rodovia Belo Horizonte - Vespasiano. Fazenda Chapéu de Sol. Sobre pedras.","-43.4249992370605","-19.0372009277344",NA,"Subarbusto lenhoso ca. 40cm, muito ramificado; flor alva com pétala diferente amarela; glândulas alvas; frutos verdes.","IPA0018037",NA,"Francener, A.","2015","08",NA,NA,"60318","auto","11",NA,NA,NA,NA,NA
"14","2019-02-15 11:44:47-02","IPA","IPA","62160","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Pirani, J.R.; Henrique, M.C.; Cordeiro, I.; Furlan, A.; Henrique, M.C.; Cordeiro, I.; Furlan, A.","CFSC-6579","1980","10","10","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 115 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,"Arbusto 50cm, flores alvas, labelo amarelo.","IPA0062160","IPA0062160","Henrique Mamede, M.C.",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"15","2019-11-27 13:50:04-03","UFS","ASE","9695","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Prata, AP; Vitta, FA; T.Konno","1074","2000","11","30","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, lado esquerdo da estrada partindo de Belo Horizonte, logo após a Fazenda Palácio","-43.578056","-19.2825",NA,NA,"ASE0018829","ASE0018829","A.H.Amorim","2001","03","-43.578056","-19.2825",NA,NA,"01",NA,NA,NA,NA,NA
"16","2020-01-28 15:53:32-03","UNICAMP","UEC","103996","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Feres, FR; Belinello, R; Aona, LYS; Mansanares, ME; Mendonça, TG; Faria, AD","98/25","1998","12","15",NA,"Brazil","Minas Gerais","Cardeal Mota","Serra do Espinhaço. Serra do Cipó. Km 12",NA,NA,NA,"flor, Arbusto ca. 60 cm. Pétalas brancas.","UEC173493",NA,"Mamede, MCH","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:33:22-03","UNICAMP","UEC","195219","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Monge, M; Shimizu, GH; Brito, VLG; Carmo, JAM","2195","2013","11","17",NA,"Brazil","Minas Gerais","Conceição do Mato Dentro","Serra do Cipó. À 200 m antes do trevo de Morro do Pilar, planta presnsada em Álcool.","-43.835806","-19.374167",NA,"&nf;; Capão de mata","UEC135849","UEC135849","Monge, M",NA,NA,"-43.835806","-19.374167",NA,NA,NA,"1327","1327",NA,NA,NA
"18","2021-03-01 16:33:22-03","UNICAMP","UEC","203773","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","52","2019","05","20",NA,"Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.515833","-19.247139",NA,"10cm, subarbusto, petalá branca/rosa, estame branco; Campo Rupreste","UEC163185",NA,"Silva, IDS","2019","05","-43.515833","-19.247139",NA,NA,"28","1293","1293",NA,NA,NA
"19","2021-03-01 16:33:22-03","UNICAMP","UEC","54190","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Begnami, CN","22217a","1989","10","14",NA,"Brazil","Minas Gerais",NA,"Serra do Cipó km 127 da rodovia MG-10 (Estátua do Juquinha)",NA,NA,NA,"Arbusto, com ca. de 1,3m de alt. Flores amarelas","UEC037526",NA,"Francener, A","2013","09",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA
"20","2020-01-28 15:53:33-03","UNICAMP","UEC","76016","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Castro, NM","49","1981","10","30",NA,"Brazil","Minas Gerais",NA,"Estrada da mineração. Serra do cipó.",NA,NA,NA,"flor, Terreno arenoso. Subarbusto, ca. 0,5 m. corola alva, amarelada.","UEC173491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:33:22-03","UNICAMP","UEC","9672","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Semir, J; et al.","885","1972","03","04",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Flor branca com labelo amarelo. Arbusto 60 a 70 cm.","UEC173479",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:33:22-03","UNICAMP","UEC","9664","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","4482","1973","10","18",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, Km 114 ao longo da rodovia.&nf;Conceição do mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Subarbusto + ou - 60cm. Flores brancas com labelo amarelo. (Tudo queimado).","UEC173488",NA,"Rolim, GS; Elias, SI","2001","10",NA,NA,"31264","auto","02",NA,NA,NA,NA,NA
"23","2021-03-01 16:33:22-03","UNICAMP","UEC","9667","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Semir, J; Sazima, M","3388","1972","09","06",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 114 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Flor amarelo rosada, semi decumbente.","UEC173482",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:33:22-03","UNICAMP","UEC","9668","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Martins, FR; Joly, AM; Sendulsky, T; Pereira, SMB","1773","1972","04","16",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 118 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Subarbusto 40cm, flor rosa + amarelo.","UEC173478",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,"1140","1140",NA,NA,NA
"25","2021-03-01 16:33:22-03","UNICAMP","UEC","9670","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Giulietti, AM; Martins, FR; Joly, AM; Pereira, SMB; Sendulsky, T","1622","1972","04","15",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 118 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Flor branca-vermelha, subarbusto 40cm.","UEC173480",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,"1140","1140",NA,NA,NA
"26","2021-03-01 16:33:22-03","UNICAMP","UEC","9674","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","4510","1973","10","18",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, Km 120 ao longo da rodovia.&nf;Conceição do mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Subarbusto + ou + 50cm.","UEC173487",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:33:22-03","UNICAMP","UEC","9666","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Semir, J","3250","1972","08","22",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 120 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Altura 30 a 40cm., flor esbranquiçada.","UEC173483",NA,"Rolim, GS; Elias, SI","2001","10",NA,NA,"31264","auto","02",NA,NA,NA,NA,NA
"28","2021-03-01 16:33:22-03","UNICAMP","UEC","9669","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Semir, J; Sazima, M","2679","1972","07","21",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 120 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"40cm.","UEC173484",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:33:22-03","UNICAMP","UEC","9671","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Martins, FR; Semir, J; Joly, AM","2400","1972","05","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, km 124 da rodovia.&nf;Conceição do Mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Flor branco-abóbora-amarelo. Altura 40 a 50cm.","UEC173481",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:33:22-03","UNICAMP","UEC","9665","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Makino, H","s.n.","1977","10","24",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da Rodovia Lagoa Santa - Concei, Km 91 ao longo da rodovia.&nf;Conceição do mato dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,"Arbusto até 2m de altura, flores rosa pálidas.","UEC173485",NA,"Elias, SI","2003","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"31","2020-01-28 15:53:33-03","UNICAMP","UEC","9929","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Joly, AB; Semir, J; Joly, AM; Martins, F","2211","1972","05","27",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 126 ao longo da rodovia Lagoa Santa -","-43.7449989318848","-19.513599395752",NA,"flor, Altura até 50 a 60 cm. Flores brancos-amareladas.","UEC173489",NA,"Mamede, MCH","1982","05",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"32","2020-01-28 15:53:32-03","UNICAMP","UEC","46517","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Sazima, M","18935","1987","03","09",NA,"Brazil","Minas Gerais","Santana do Riacho","Km 114.","-43.7144012451172","-19.1688995361328",NA,"fruto, Subarbusto até 70 cm. Flores brancas, labelo amarelo, glândulas calicinas. Frutos drupas.","UEC173492",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"33","2020-01-28 15:53:33-03","UNICAMP","UEC","60193","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Mamede, MCH","CFSC 5592","1979","08","14",NA,"Brazil","Minas Gerais","Santana do Riacho","Km 220 da rodovia Belo Horizonte - Conce","-43.7144012451172","-19.1688995361328",NA,"flor, Campo rupestre. Subarbusto 20 - 40 cm. Flores alvas. Labelo amarelo.","UEC173490",NA,NA,"1980",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:33:22-03","UNICAMP","UEC","28113","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Mamede, MCH","CFSC5592","1979","08","14",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 120 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,"Subarbusto 20-40cm. Flores alvas, labelo amarelo.; campo rupestre","UEC055480","UEC055480","Mamede, MCH",NA,NA,NA,NA,"26557","auto",NA,NA,NA,"isotypus",NA,NA
"35","2020-01-28 15:53:32-03","UNICAMP","UEC","125060","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Yamamoto, K; Sanches, AM","2000-101","2000","11","22",NA,"Brazil","Minas Gerais","Santana do Riacho","Vellozia Gigente.","-43.7144012451172","-19.1688995361328",NA,"Flor, Arbusto ca. 40 cm. Flores com pétalas brancas, uma das pétalas variando do amarelo ao laranja.","UEC173477",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:32:35-03","MBM","MBM","234530","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Castro, N.M.","49",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Estrada da Mineração, Serra do Cipó",NA,NA,NA,NA,"MBM234530","MBM234530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:32:35-03","MBM","MBM","85601","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Henrique, M.C.; et al.; et al.","6619","1980","10","11","Southern America","Brazil","Bahia","Santana do Riacho","Km 126 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro",NA,NA,NA,"Arbusto 50-70 cm. Flores alvas, labelo amarelo.","MBM085601","MBM085601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:32:35-03","MBM","MBM","243816","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Henrique, M.C.","CFSC5797","1979","12","18","Southern America","Brazil","Minas Gerais","Santana do Riacho","Km 115 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,"Herbácea. Folha glabra. Frutos verdes. Campo rupestre; Herbácea, flolha glabra, frutos verdes.; Campo rupestre.","MBM243816","MBM243816",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,"PARATYPE",NA,NA
"39","2020-12-21 16:32:35-03","MBM","MBM","223315","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Furlan, A.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santana do Riacho","Km 115, Rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,"MBM223315","MBM223315","Mamede, M.C. .H.",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:37:30-03","UFMG","BHCB","39742","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:37:30-03","UFMG","BHCB","24193","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:37:30-03","UFMG","BHCB","20987","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Lombardi, JA","s.n.","1992","12","08","Southern America","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:37:30-03","UFMG","BHCB","52287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Mamede, MCH","5751","1978","11","03","Southern America","Brasil","Minas Gerais","Santana do Riacho","km120 ao longo da rodovia Belo Horizonte - Conceição","-43.7144012451172","-19.1688995361328",NA,"Prostrada? Flores alvas, labelo amarelo. Etiqueta quase ilegível.","BHCB000200","BHCB000200",NA,"1978","11",NA,NA,"26557","auto","03",NA,NA,"Paratypus",NA,NA
"44","2020-12-11 11:37:30-03","UFMG","BHCB","19815","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Pereira, M; Lucca, M","783","1991",NA,NA,"Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:37:30-03","UFMG","BHCB","19813","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Pereira, M; Lucca, M","781","1992","03","21","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,"coletada na região do Congonhas. Abaixo da casa de Pedra, próximo ao córrego Gavião.",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,"1100","1100",NA,NA,NA
"46","2020-12-11 11:37:30-03","UFMG","BHCB","19808","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Pereira, M; et al.","776","1991","11","26","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,"coltada na região do Congonhas em frente ao Morro do Palácio.Afloramento rochoso",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,"1300","1300",NA,NA,NA
"47","2021-03-15 18:28:15-03","USP","SPF","109079","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Souza, VC","8178","1995","03","10",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rod. Belo Horizonte - Conceição do Mato Dentro, ca. 9 km após Chapéu de Sol. Campo arenoso.","-43.567389","-19.290417",NA,"Subarbusto, ca. 30 cm alt., pétalas amarelas, sendo a superior ligeiramente alaranjada.","SPF00109079","SPF00109079","Queiroz, EP","2013","09","-43.567389","-19.290417",NA,NA,"12","1200","1200",NA,NA,NA
