"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","600936","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","T. Sendulsky","1969","08","12","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00600936",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433593' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"10 km. south of center of city of Sâo Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,"Magnoliophyta","Fabales","s/n¦","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01058571","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","R. C. Barneby","B. A. S. Pereira","1995","08","13","Brazil","Goiás","São Domingos","-46.33","-13.67",NA,NA,"600","600","NY01058571","NY01058571_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142584' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"no km 01 da estrada Terra Ronca/São Domingos.",NA,NA,"Magnoliophyta","Fabales","2826","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","600942","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","N. F. de Mattos","1972","08","08","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"NY00600942","NY00600942_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433596' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Ignorada. Cultivada no Jardim Botânico de S. Paulo",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","776884","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews",NA,"P. L. B. Tomasulo","1993","09","14","Brazil","São Paulo","Moji das Cruzes","-46.1881","-23.5231",NA,NA,NA,NA,"NY00776884","NY00776884_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Moji das Cruzes. Parque Municipal da Serra do Itapety",NA,NA,"Magnoliophyta","Fabales","387","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","600939","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","F. C. Hoehne","1933","08","10","Brazil","São Paulo",NA,"-46.502069","-24.003914",NA,NA,NA,NA,"NY00600939","NY00600939_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433606' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Praia Grande, Santos",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","600944","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","S. J. Smith; L. B. Smith","G. G. Hatschbach","1967","07","25","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,"10","10","NY00600944",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433587' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rio Cambará",NA,NA,"Magnoliophyta","Fabales","16798","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","600940","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","J. Aloisi","1940","09",NA,"Brazil","São Paulo","Campinas","-47.06","-22.9",NA,NA,NA,NA,"NY00600940","NY00600940_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433602' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Fazenda Santa Elisa",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","600947","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","A. E. Burkart","R. Reitz","1959","08","21","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"350","350","NY00600947",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433600' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Morro Spitzkopf, Blumenau",NA,NA,"Magnoliophyta","Fabales","8970","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","600933","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. de Lemos Fróes","1942","11","08","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600933","NY00600933_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433605' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Basin of Rio Pardo near Sapucaia",NA,NA,"Magnoliophyta","Fabales","12664/30","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01058574","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","E. P. Heringer","1965","08","31","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY01058574","NY01058574_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142596' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Zoobotânico",NA,NA,"Magnoliophyta","Fabales","10524","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01058593","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","H. S. Irwin","1966","07","07","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"1000","1000","NY01058593","NY01058593_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rio Torto, ca. 10 km. N. of Brasília.",NA,NA,"Magnoliophyta","Fabales","18085","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","600931","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. P. Belém","1965","05","22","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600931","NY00600931_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433591' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rodovia Rio Branco-Itabuna",NA,NA,"Magnoliophyta","Fabales","1092","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","600932","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. P. Belém","1965","05","22","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600932","NY00600932_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433604' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rodovia Rio Branco-Itabuna",NA,NA,"Magnoliophyta","Fabales","1092","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","600937","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews",NA,"M. C. Camara","1977","07","20","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00600937","NY00600937_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433611' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Sâo Paulo, Sâo Paulo, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica, Jardim Botânico. Area 6",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","600926","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","J. W. C. Harshberger","1927","07","17","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00600926","NY00600926_01","Harold N. Moldenke N°. 3267 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433609' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"In negro shantytown, Ipanema",NA,NA,"Magnoliophyta","Fabales","844","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","600948","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","A. E. Burkart","R. Reitz","1956","08","03","Brazil","Santa Catarina",NA,"-48.694057","-27.77489",NA,NA,"20","20","NY00600948",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433601' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Pilôes, Palhoça",NA,NA,"Magnoliophyta","Fabales","3553","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","600928","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","N. T. da Silva","1964","07","11","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600928","NY00600928_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433595' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Itabuna. Rio Branco",NA,NA,"Magnoliophyta","Fabales","58369","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","600930","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. P. Belém","1965","05","22","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600930","NY00600930_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433598' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rodovia Rio Branco-Itabuna",NA,NA,"Magnoliophyta","Fabales","1092","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01058572","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","J. B. E. Pohl",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY01058572","NY01058572_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Ad Agua quente",NA,NA,"Magnoliophyta","Fabales","1881","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","600934","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. P. Belém","1965","05","23","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00600934","NY00600934_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rodovia Rio Branco-Itabuna",NA,NA,"Magnoliophyta","Fabales","1092","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","600927","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","J. N. Rose","1915","07","20","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00600927","NY00600927_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433590' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Nictheroy",NA,NA,"Magnoliophyta","Fabales","20319","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01058575","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","H. S. Irwin","1965","09","18","Brazil","Distrito Federal","Brasília","-47.88","-15.72",NA,NA,"975","975","NY01058575","NY01058575_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Rio Torto, immediately N. of Brasília",NA,NA,"Magnoliophyta","Fabales","8428","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","600943","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","F. C. Hoehne","1932","10","27","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00600943","NY00600943_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433608' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Jardim Botanico",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","600946","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","G. G. Hatschbach","G. G. Hatschbach","1982","08","10","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,NA,NA,"NY00600946",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433589' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Sapitanduva",NA,NA,"Magnoliophyta","Fabales","45194","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","600935","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","R. P. Belém","1965","08","12","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"NY00600935","NY00600935_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433603' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Linhares. Margem do Rio Doce",NA,NA,"Magnoliophyta","Fabales","1572","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","02679176","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews",NA,"B. A. Krukoff","1942","10","10","Brazil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"NY02679176","NY02679176_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941750' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Parque Florestal Estação Exper. de Agr. de Belo Horizonte","17082","auto","Magnoliophyta","Fabales","16348","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","32703","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Fortuna-Perez, A.P.","Dias, H.B.A.","2016","08","12","Brasil","São Paulo","Botucatu","-48.433333","-22.983333","48º26'w","22º59's",NA,NA,"BOTU032703",NA,"<ll>dwc_commonname:</ll> Candelabro","2016","08","19","Distrito de Rubião Júnior, campus da UNESP, Jardim Botânico, margem do lago",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","29431","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Bignotto, R.B.","Bignotto, R.B.","2003","09","09","Brasil","São Paulo","Botucatu","-48.433333","-22.866667","48°26'w","22°52's",NA,NA,"BOTU029431",NA,"Árvore de 2,5m, espinhos no tronco, cálice vermelho, corola vermelha amarronzada.; Coleção: Jardim Botânico UNESP Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","19372","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa",NA,"Monteiro, T.C.","Grombone, M.T.","1986","06","19","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU019372",NA,NA,"2018","09","21",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","33136","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Monteiro, T.C.","Silva, T.T.","2017","08","28","Brasil","Bahia","Lajeado Grande","-39.337222","-13.150278","39°20'14w","13°09'01s",NA,NA,"BOTU033136",NA,NA,"2019","07","02","Fazenda Sete Voltas",NA,NA,NA,NA,"123",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-13 09:19:47-03","UFRJ","RFA","24988","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","C. M. Vieira","Flávio Britto Pereira","2000","07","20","Brasil","Rio de Janeiro","Guapimirim","-42.986667","-22.586667","42º59'12''W","22º35'12''S",NA,NA,"RFA40360",NA,"Arbusto, 3m de altura, 8cm de DAP, flores brancas, folhas vermelhas, comum no local, de sua casca se faz calmante","2000","08","17","Fazenda São Francisco de Paula.",NA,NA,NA,NA,"42/22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-06-29 11:30:31-03","UFRJ","RFA","39498","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","N.G. Antas","N.G. Antas","2013","04","23","Brasil","Rio de Janeiro","Silva Jardim","-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,"RFA52254",NA,"Arbusto 2 m altura, tronco cilíndrico armado. Flores vermelhas","2013","06","25","Correntezas","29995","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-24 17:10:40-03","UTFPR","DVPR","6087","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Silva, DR","Silva, DR; Pereira, JP; Piva, J; Machado, C; Moura, AP","2018","07","25","Brasil","Paraná","Capitão Leonidas Marques","-53.3918","-25.3018","-53.3918","-25.3018","246","246","DVPR006087",NA,"Árvore 5 m. Sem folhas. Corola vermelho.Pto138; Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo e Nitossolo Vermelhos.","2018","11","20","Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro.",NA,NA,"Magnoliophyta",NA,"422",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-24 17:10:40-03","UTFPR","DVPR","6087","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Silva, DR","Silva, DR; Pereira, JP; Piva, J; Machado, C; Moura, AP","2018","07","25","Brasil","Paraná","Capitão Leonidas Marques","-53.614200592041","-25.4792003631592",NA,NA,"246","246","DVPR006087",NA,"Árvore 5 m. Sem folhas. Corola vermelho.Pto138; Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo e Nitossolo Vermelhos.","2018","11","20","Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro.","14258","auto","Magnoliophyta",NA,"422",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-15 11:14:39-03","FUNED","FUNED-POL","3418","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa",NA,NA,NA,"1998","07","16","Brasil","MG",NA,NA,NA,NA,NA,NA,NA,"POL003418","POL003418_p01 POL003418_p02 POL003418_p03 POL003418_p04 POL003418_p05",NA,NA,NA,NA,"Funed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-15 11:14:39-03","FUNED","FUNED-POL","4747","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa",NA,NA,"Kamilla Castelan","2018","07","30","Brasil","MG","Mariana","-43.4160995483398","-20.377799987793","43W°25'03.5''","20S°14'12.5''",NA,NA,"POL004747",NA,NA,NA,NA,NA,"Bento Rodrigues","33524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
