"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","class","relatedCatalogItem","typeStatus","locality","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"11","2015-01-28 05:48:00-02","MO","MOBOT","710479","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Agustin Rudas L.|F. del Aguila Joaquin|et al.","Rudas Lleras 1599","1991","3","13","South America","Colombia","Amazonas",NA,"-70.25","-3.78333",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Municipio de Leticia; Parque Nacional Natural Amacayacu; Centro Administrativo Mata-matá (Inderena). En zona de transición entre várzea y tierra firme al norte de la quebrada Mata-matá. Transecto no. 1 (500 x 2 m) orientación W-E; inclinación 25º.","27","4","110.00000000",NA
"12","2018-09-26 09:55:00-03","MO","MOBOT","711195","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Carlos E. Cerón|Fernando Hurtado","Cerón Martínez 3837","1988","5","26","South America","Ecuador","Napo",NA,"-76.1833333","-0.9166667",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Parque Nacional Yasuní. Pozo petrolero Daimi 2.","88-13","10","200.00000000",NA
"13","2016-10-13 05:57:00-03","MO","MOBOT","712778","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","David A. Neill|Carlos E. Cerón|Walter A. Palacios","Neill 8212","1988","1","9","South America","Ecuador","Napo",NA,"-76.2166667","-0.95",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Parque Nacional Yasuní. Pozo Petrolero Conoco - Amo 2. Bosque húmedo tropical. Bosque primario, lomas, oxisol.","88-1","10","230.00000000",NA
"14","2015-01-28 05:48:00-02","MO","MOBOT","713807","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Agustin Rudas L.|F. del Aguila Joaquin","Rudas Lleras 1614","1991","3","13","South America","Colombia","Amazonas",NA,"-70.25","-3.78333",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Municipio de Leticia; Parque Nacional Natural Amacayacu; Centro Administrativo Mata-matá (Inderena). En zona de transición entre várzea y tierra alta al norte de la quebrada Mata-matá. Transecto no. 2 (500 x 2 m) orientación E-W; inclinación 25º.","28","4","110.00000000",NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","774209","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","John James Pipoly, III|et al.","Pipoly 13271","1991","2","21","South America","Peru","Loreto","Maynas","-72.91666","-3.33333",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Región de Amazonas, Dtto. Las Amazonas. Explornapo Camp. Inventario MacArthur; cerca de Sucusari, a lo largo del río Napo. Bosque primario en terra firme. PARCELA A","33","4","100.00000000","140.00000000"
"16","2020-09-12 05:00:02-03","US","US","1516518","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","s.n.","1923","9","27","South America - Neotropics","Brazil","Belém",NA,NA,NA,NA,NA,NA,"US01332356","US01332356_01",NA,NA,"Dicotyledonae",NA,NA,"Inter urbem et Pinheiro",NA,"1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","1832301","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","985","1942","8","26","South America - Neotropics","Brazil","Borba",NA,NA,NA,NA,NA,NA,"US01332354","US01332354_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","1518230","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","19485","1926","11","13","South America - Neotropics","Brazil","Belém",NA,NA,NA,NA,NA,NA,"US01332357","US01332357_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2278097","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","985","1942","8","26","South America - Neotropics","Brazil","Borba",NA,NA,NA,NA,NA,NA,"US01332355","US01332355_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","1516527","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","19486","1927","11","8","South America - Neotropics","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"US00089878","US00089878_01",NA,NA,"Dicotyledonae",NA,"Isotype","Tonantins, Rio Solimoes.",NA,"1",NA,NA
"21","2019-09-04 18:26:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha",NA,"A. Ducke",NA,"1927","11","8","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype",NA,NA,NA,NA,NA
