"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber"
"11","2019-08-27 13:27:45-03","IAP","PACA-AGP","29813","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1935","12","27","Brasil","RS","Montenegro","Campestre","-51.4611015319824","-29.6886005401611",NA,NA,"PACA029813",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto ad aquam Fenofase: flor","Magnoliatae","1954","07","05","21601","auto",NA,NA,NA
"12","2019-08-27 13:27:45-03","IAP","PACA-AGP","4526","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1941","02","06","Brasil","RS","São Francisco de Paula","Cambará","-50.5835990905762","-29.4480991363525",NA,NA,"PACA004526",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto humido umbroso Fenofase: flor","Magnoliatae","1954","07","05","76715","auto",NA,NA,NA
"13","2019-08-27 13:27:45-03","IAP","PACA-AGP","54709","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1954","01","01","Brasil","RS","São Francisco de Paula","Fazenda Englert","-50.5835990905762","-29.4480991363525",NA,NA,"PACA054709",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: ad rivum in subpaludosis Fenofase: flor","Magnoliatae","1954","07","05","76715","auto",NA,NA,NA
"14","2019-08-27 13:27:45-03","IAP","PACA-AGP","100265","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","J. Mauhs","Mauhs, J.","1994","10","27","Brasil","RS","São Francisco de Paula","FLONA","-50.5835990905762","-29.4480991363525",NA,NA,"PACA100265",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"HASU 14191 Habitat: ambiente degradado Hábito: erva","Magnoliatae","2004",NA,NA,"76715","auto",NA,NA,NA
"15","2019-08-27 13:27:45-03","IAP","PACA-AGP","87445","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","J. Mauhs","Mauhs, J.","1994","10","27","Brasil","RS","São Francisco de Paula","Floresta Nacional","-50.5835990905762","-29.4480991363525",NA,NA,"PACA087445",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL&nf;HASU 14191 Habitat: em ambiente degradado","Magnoliatae",NA,NA,NA,"76715","auto",NA,NA,NA
"16","2019-08-27 13:27:45-03","IAP","PACA-AGP","56829","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1955","02","16","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,"PACA056829",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in ipso barathro Fenofase: flor","Magnoliatae","1955","04","07","76715","auto",NA,NA,NA
"17","2019-08-27 13:27:45-03","IAP","PACA-AGP","4301","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1941","02","07","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,"PACA004301",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto humido umbroso Fenofase: flor","Magnoliatae","1954","07","05","76715","auto",NA,NA,NA
"18","2019-08-27 13:27:45-03","IAP","PACA-AGP","36269","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1948","02",NA,"Brasil","RS","São Francisco de Paula","Cambara","-50.5835990905762","-29.4480991363525",NA,NA,"PACA036269",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto humido umbroso Fenofase: flor","Magnoliatae","1954","07","05","76715","auto",NA,NA,NA
"19","2019-08-27 13:27:45-03","IAP","PACA-AGP","4286","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1941","02","08","Brasil","RS","São Francisco de Paula","Fazenda Englert","-50.5835990905762","-29.4480991363525",NA,NA,"PACA004286",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto humido umbroso Fenofase: flor","Magnoliatae","1954","08","05","76715","auto",NA,NA,NA
"20","2019-08-27 13:27:45-03","IAP","PACA-AGP","90810","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","C. Mondin","Mauhs, J.","1993","11","06","Brasil","RS","São Francisco de Paula","FLONA","-50.5835990905762","-29.4480991363525",NA,NA,"PACA090810",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"capítulos brancos x amarelos. HASU 9879. Habitat: estrada entre mato nativo Hábito: erva","Magnoliatae","1994","06","09","76715","auto",NA,NA,NA
"21","2019-08-27 13:27:45-03","IAP","PACA-AGP","94184","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","J. Mauhs","Mauhs, J.","2002","11","29","Brasil","RS","São Francisco de Paula","Floresta Nacional","-50.5835990905762","-29.4480991363525",NA,NA,"PACA094184",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"Habitat: Caminho entre mata com araucária","Magnoliatae","2002","12","29","76715","auto",NA,NA,NA
"22","2019-08-27 13:27:45-03","IAP","PACA-AGP","86030","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","R.A. Wasum","R.A. Wasum","1995","12","14","Brasil","RS","São Francisco de Paula","Floresta Nacional","-50.5835990905762","-29.4480991363525",NA,NA,"PACA086030",NA,"Magnoliophyta","Asterales",NA,NA,"830","830",NA,"VULNERÁVEL&nf;HUCS 18658 Habitat: interior de mata","Magnoliatae",NA,NA,NA,"76715","auto",NA,NA,NA
"23","2019-08-27 13:27:45-03","IAP","PACA-AGP","49335","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1950","12","18","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,"PACA049335","PACA049335","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL&nf;ISOTYPUS. Habitat: in araucarieto humido umbroso Fenofase: flor","Magnoliatae","1954","07","05","76715","auto","Isotipo",NA,NA
"24","2019-08-27 13:27:45-03","IAP","PACA-AGP","9299","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1942","01","25","Brasil","RS","Tupanciretã","p. Toropi","-53.8358001708984","-29.0806007385254",NA,NA,"PACA009299",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: ad flumen in humidis dumetosis Fenofase: flor","Magnoliatae","1954","07","05","59498","auto",NA,NA,NA
"25","2021-03-01 16:24:55-03","UNICAMP","UEC","192979","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Monge, M","Monge, M; Meyer, FS; Volet, DP","2014","04","20","Brazil","Rio Grande do Sul","Cambará do Sul","Parque Nacional Aparados da Serra. Próximo a sede do parque, pastagem entre a sede e o estacionamento. Próximo do início da fenda do canyon Itaimbezinho","-50.131944","-29.267306","-50.131944","-29.267306","UEC149180","UEC149180","Magnoliopsida",NA,"2878",NA,"954","954",NA,"Erva, ereta, 30 cm de altura, vegetativo.; Campo úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:24:55-03","UNICAMP","UEC","192979","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Monge, M","Monge, M; Meyer, FS; Volet, DP","2014","04","20","Brazil","Rio Grande do Sul","Cambará do Sul","Parque Nacional Aparados da Serra. Próximo a sede do parque, pastagem entre a sede e o estacionamento. Próximo do início da fenda do canyon Itaimbezinho","-50.131944","-29.267306","-50.131944","-29.267306","UEC149180","UEC149180","Magnoliopsida",NA,"2878",NA,"954","954",NA,"Erva, ereta, 30 cm de altura, vegetativo.; Campo úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:24:55-03","UNICAMP","UEC","192979","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Monge, M","Monge, M; Meyer, FS; Volet, DP","2014","04","20","Brazil","Rio Grande do Sul","Cambará do Sul","Parque Nacional Aparados da Serra. Próximo a sede do parque, pastagem entre a sede e o estacionamento. Próximo do início da fenda do canyon Itaimbezinho","-50.131944","-29.267306","-50.131944","-29.267306","UEC149180","UEC149180","Magnoliopsida",NA,"2878",NA,"954","954",NA,"Erva, ereta, 30 cm de altura, vegetativo.; Campo úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:24:55-03","UNICAMP","UEC","144650","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Moraes, MD","Moraes, MD","2006","11","11","Brazil","Santa Catarina",NA,"24 km ao sul de Lages.",NA,NA,NA,NA,"UEC086971","UEC086971","Magnoliopsida",NA,"830",NA,NA,NA,NA,"Flores brancas.&nf;; Matinha com araucárias, árvores com Tillandsia usneoides, solo úmido com avencas e samambaias, margem de córrego.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:24:55-03","UNICAMP","UEC","36737","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Sobral, M","Sobral, M","1984","10","31","Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal.","-50.1446990966797","-29.0478000640869",NA,NA,"UEC086970","UEC086970","Magnoliopsida",NA,"3184",NA,NA,NA,NA,"Erva; capítulos brancos.; Campo, nas proximidades de um curso d'água.",NA,"1984","10",NA,"30776","auto",NA,NA,NA
"30","2019-01-17 11:24:34-02","PUCRS","MPUC","20398","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","L. Eggers",NA,"2004","01","04","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,"Asterales",NA,"South America",NA,NA,NA,"Trabalho de Fitossociologia da Vegetação Campestre do CPCN Pró-Mata","Magnoliopsida","2004","01","01","76715","auto",NA,"1",NA
"31","2019-11-08 08:50:01-03","FURB","FURB","50334","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Funez, L.A.","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","2014","11","04","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666","FURB50334","FURB50334",NA,NA,"4038",NA,"1200","1200",NA,NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"32","2020-10-14 09:59:19-03","FURB","FURB","64323","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Funez, L.A.","Funez, L.A.; Costa-Rezende, D.H., Ribeiro-Nardes, W., Kossmann, T., Kassner-Filho, A., Bones, F.L.V.","2019","01","25","Brasil","Santa Catarina","Urubici","Próximo à parcela TNR-1300 (PELD-PPBio). Parque Nacional de São Joaquim","-49.6133333","-28.1461111","-49.6133333","-28.1461111","FURB64323","FURB64323",NA,NA,"8578",NA,"1300","1300",NA,"Flores brancas Habitat: Borda da floresta Habito: Erva",NA,"2019","01","25",NA,NA,NA,NA,NA
"33","2021-03-16 17:51:02-03","UCS","HUCS","01074","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Rambo et Cristobal","Sehnem, A.","1951","01","13","Brasil","Rio Grande do Sul",NA,"Salto Ventoso",NA,NA,NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Inst. Bot. de Nordeste, Corrientes&nf;Coleção ASSL - 5555; Inter petras ad cataractam",NA,"1985","07",NA,NA,NA,NA,NA,NA
"34","2021-03-16 17:51:02-03","UCS","HUCS","06451","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Platt, F.H.","Wasum, R.A.","1989","11","23","Brasil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Em beira do caminho - interior da mata",NA,"2014","08","25","49662","auto",NA,NA,NA
"35","2021-03-16 17:51:02-03","UCS","HUCS","04849","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Platt, F.H.","Wasum, R.A.","1988","09","09","Brasil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Erva - beira da estrada",NA,"2014","08","25","49662","auto",NA,NA,NA
"36","2021-03-16 17:51:02-03","UCS","HUCS","04730","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Platt, F.H.","Wasum, R.A.","1988","10","22","Brasil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Erva com capítulos brancos",NA,"2014","08","25","49662","auto",NA,NA,NA
"37","2021-03-16 17:51:02-03","UCS","HUCS","04694","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Platt, F.H.","Wasum, R.A.","1988","10","22","Brasil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Erva - interior da mata - capítulos brancos",NA,"2014","08","25","49662","auto",NA,NA,NA
"38","2021-03-16 17:51:02-03","UCS","HUCS","18658","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Robinson, H.","Wasum, R.A.","1995","12","14","Brasil","Rio Grande do Sul","São Francisco de Paula","Floresta Nacional","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"No solo, interior da mata",NA,"2002","04",NA,"76715","auto",NA,NA,NA
"39","2021-03-16 17:51:02-03","UCS","HUCS","10279","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Robinson, H.","Wasum, R.A.","1994","10","29","Brasil","Rio Grande do Sul","São Francisco de Paula","Floresta Nacional I","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Angiospermae","Asterales","s.n.",NA,NA,NA,NA,"Em beira do caminho",NA,"1995","01",NA,"76715","auto",NA,NA,NA
"40","2021-03-16 17:51:02-03","UCS","HUCS","43335","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Platt, F.H.","Stehmann, J.R.","1985","10","13","Brasil","Rio Grande do Sul","Caçapava do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Angiospermae","Asterales","681",NA,NA,NA,NA,"Erva; Esbranquiçada; Espécie ameaçada de extinçao(vunerável). Doação ICN 064324; Borda da mata",NA,"2014","07",NA,"50525","auto",NA,NA,NA
"41","2021-03-16 17:51:02-03","UCS","HUCS","14025","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Robinson, H.","Wasum, R.A.","1999","10","11","Brasil","Rio Grande do Sul","São Francisco de Paula","Linha São Paulo","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Angiospermae","Asterales","168",NA,NA,NA,NA,"No solo, em beira do caminho",NA,"2000","02",NA,"76715","auto",NA,NA,NA
"42","2019-11-25 12:11:37-03","UFSM","SMDB","5372","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera.","Mondin, C","Ritter, M R",NA,NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Mais ou menos 7 km de Cambará para a Rocinha junto","-50.1446990966797","-29.0478000640869",NA,NA,"SMDB005372","SMDB005372",NA,NA,"750",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30776","auto",NA,NA,NA
"43","2021-02-11 16:52:58-03","UFSM","SMDB","6028","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Labill.","Záchia, R.A; Bastos-Záchia, N.R","Záchia, R.A","1996","09","14","Brasil","Rio Grande do Sul","São Borja",NA,"-56.0043983459473","-28.6606006622314",NA,NA,"SMDB006028","SMDB006028",NA,NA,"023980",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75549","auto",NA,NA,NA
"44","2019-11-25 12:11:37-03","UFSM","SMDB","5361","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera.","Mondin, C","Ritter, M R",NA,NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Mais ou menos 15 km de S. F. de Paula","-50.1446990966797","-29.0478000640869",NA,NA,"SMDB005361","SMDB005361",NA,NA,"741",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30776","auto",NA,NA,NA
"45","2020-12-21 16:16:49-03","MBM","MBM","91825","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Sobral, M.","Sobral, M.; Stehmann, J.R.; Stehmann, J.R.","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal.","-50.1446990966797","-29.0478000640869",NA,NA,"MBM091825","MBM091825",NA,NA,"2789","Southern America",NA,NA,NA,"Erva, capítulos amarelos.; Em interior de mata.",NA,"1983","12",NA,"30776","auto",NA,NA,NA
"46","2020-12-21 16:16:49-03","MBM","MBM","178316","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Jarenkow, J.A.","Jarenkow, J.A.","1988","12","01","Brazil","Rio Grande do Sul","Canguçu","Rio Camaquã","-52.6755981445312","-31.3950004577637",NA,NA,"MBM178316","MBM178316",NA,NA,"1065","Southern America",NA,NA,NA,"Erva. Capítulos brancos.; Mata de galeria. Interior de mata.",NA,"1995","06",NA,"68702","auto",NA,NA,NA
"47","2020-12-21 16:16:49-03","MBM","MBM","173310","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Robinson, H.","Wasum, R.","1994","10","29","Brazil","Rio Grande do Sul","São Franciso de Paula","Floresta Nacional I",NA,NA,NA,NA,"MBM173310","MBM173310",NA,NA,"10279","Southern America",NA,NA,NA,"Em beira do caminho.",NA,"1995","01",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:16:49-03","MBM","MBM","42751","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Hatschbach, G.","Rambo, B.","1950","12","19","Brazil","Rio Grande do Sul","Taimbé",NA,NA,NA,NA,NA,"MBM042751","MBM042751",NA,NA,"49335","Southern America",NA,NA,NA,"Flore albo.; In araucarieto umbroso, humido.",NA,"1958",NA,NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:16:49-03","MBM","MBM","253766","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Hatschbach, G.","Hatschbach, G.; Carvi, A.C.; Barboza, E.; Carvi, A.C.; Barboza, E.","2000","12","07","Brazil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,"MBM253766","MBM253766",NA,NA,"71598","Southern America",NA,NA,NA,"Ereta, flor alva.; Brejo.",NA,"2001",NA,NA,"30102","auto",NA,NA,NA
"50","2020-12-21 16:16:49-03","MBM","MBM","12020","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Hatschbach, G.","Hatschbach, G.","1969","10","11","Brazil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"MBM012020","MBM012020",NA,NA,"22433","Southern America",NA,NA,NA,"Flor alva.; Orla da matinha.",NA,"1972","03",NA,"12577","auto",NA,NA,NA
"51","2020-12-21 16:16:49-03","MBM","MBM","190618","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Hatschbach, G.","Imaguire, N.","1968","04","23","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,NA,"MBM190618",NA,NA,NA,"2002","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA
