"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"21","2019-10-09 11:24:31-03","UFBA","ALCB","86639","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Guedes, ML","Ramos, C.H.A.; Guedes, ML","501","2006","10","28","Southern America","Brasil","Bahia","Itagibá","Litoral Sul, Mata da Antena","-39.711111","-14.167222",NA,"Ca. 3m de alt.; folhas com folíolos discolores, inflorescência terminal, botões esverdeados.",NA,NA,NA,NA,"2009","01",NA,"-39.711111","-14.167222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:24:31-03","UFBA","ALCB","98935","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Guedes, ML","Guedes, ML; Queiroz, EP; Mattos Andrade, PE de; Tiago; Natassia; et al.","18070","2010","02","04","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Cabula Mata do 19 BC. Ponto 04","-38.5","-12.966667",NA,"Folhas cartáceas, discolores. Inflorescência axilares, frutos laranja.","ALCB066328",NA,NA,NA,"2011","04",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:24:31-03","UFBA","ALCB","98935","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Guedes, ML","Guedes, ML; Queiroz, EP; et al.","18070","2010","02","04","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Cabula Mata do 19º BC. Ponto 04","-38.5","-12.966667",NA,"Folhas cartáceas, discolores, inflorescência axilares, frutos laranja.",NA,NA,NA,NA,"2011","04",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:24:31-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Ferrucci, MS","Silva, JM; Goldenberg, R; Michelangeli, F","4419","2005","10","17","Southern America","Brasil","São Paulo",NA,"Itaóca, arredores",NA,NA,NA,"4 m. fruto imaturo.",NA,NA,NA,NA,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:24:31-03","UFBA","ALCB","107641","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Guedes, ML","Guedes, ML; Alunos de Microbiologia de Adriana","20348","2013","01","28","Southern America","Brasil","Bahia","Lençóis/Andaraí","Chapada Diamantina, Caminho para os Marinbus área antropizada","-41.333333","-12.7",NA,"Folhas trifolioladas, folíolos cartáceos, discolores, margem serreadas. Inflorescência com flores cremes.","ALCB066325",NA,NA,NA,"2013","09",NA,"-41.333333","-12.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:24:31-03","UFBA","ALCB","96171","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Barbosa, E; Cordeiro, J","Temponi, LG; Cordeiro, J; Silva, JM","595","2009","10","10","Southern America","Brasil","Paraná","Céu Azul","Trilha para Cachoeira Jacutinga","-53.8485984802246","-25.1466999053955",NA,"2,40 m alt. flor alvacenta.; semidecidual. Beira de rio.","ALCB066326",NA,NA,NA,"2010",NA,NA,NA,NA,"51148","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 10:32:00-03","NBC","NL-BOTANY","U.1591511","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.",NA,"Steinbach J",NA,"1926","01","02","Southern America","Bolivia",NA,NA,"Standort B - Vista. Prov. Sara. Depart. Santa Cruz.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1591511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1591511","NL-U1591511",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:32:00-03","NBC","NL-BOTANY","U.1591623","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.",NA,"Unreadable",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"!",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1591623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1591623","NL-U1591623",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:32:00-03","NBC","NL-BOTANY","U.1591624","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.",NA,"Pires JM",NA,"1950","12","20","Southern America","Brazil",NA,NA,"Estado do Para. Belem, IAN, estrada do Cafezal.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1591624 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1591624","NL-U1591624",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:19:21-03","ESALQ","ESA","115249","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Meirelles, J.","514.0","2011","04","14",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115249","ESA115249",NA,NA,"2014",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:19:21-03","ESALQ","ESA","113624","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Andrade-Lima, D.","5660.0","1970","01","27",NA,"Brasil","Pernambuco","Bonito",NA,"-35.7285995483398","-8.47027969360352",NA,NA,"ESA113624","ESA113624",NA,NA,"2014",NA,NA,NA,NA,"20932","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:19:21-03","ESALQ","ESA","114470","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","377.0","2011","01","01",NA,"Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,NA,"ESA114470","ESA114470",NA,NA,"2014",NA,NA,NA,NA,"35136","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:19:21-03","ESALQ","ESA","114469","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","376.0","2011","01","01",NA,"Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,NA,"ESA114469","ESA114469",NA,NA,"2014",NA,NA,NA,NA,"35136","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:19:21-03","ESALQ","ESA","25645","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9143.0","1995","09","04",NA,"Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,"ESA025645","ESA025645",NA,NA,"2014",NA,NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:19:21-03","ESALQ","ESA","18674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Barreto, K.D. et al.","1870.0","1994","01","25",NA,"Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061",NA,NA,"ESA018674",NA,NA,NA,"2014",NA,NA,NA,NA,"38740","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:19:21-03","ESALQ","ESA","109059","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Lombardi, J. A.","6158.0","2005","11","03",NA,"Brasil","Tocantins","Palmas",NA,"-48.3602981567383","-10.2128000259399",NA,NA,"ESA109059","ESA109059",NA,NA,"2014",NA,NA,NA,NA,"62375","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:19:21-03","ESALQ","ESA","111874","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Andreata, R.H.P.","942.0","1989","09","20",NA,"Brasil","Rio de Janeiro","Entre Maricá-Niterói",NA,NA,NA,NA,NA,"ESA111874","ESA111874",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:19:21-03","ESALQ","ESA","114528","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","435.0","2011","04","01",NA,"Brasil","Bahia","Ilheus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,"ESA114528","ESA114528",NA,NA,"2014",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:19:21-03","ESALQ","ESA","114527","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","434.0","2011","04","01",NA,"Brasil","Bahia","Ilheus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,"ESA114527","ESA114527",NA,NA,"2014",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:19:21-03","ESALQ","ESA","114526","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","433.0","2011","04","01",NA,"Brasil","Bahia","Ilheus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,"ESA114526","ESA114526",NA,NA,"2014",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:19:21-03","ESALQ","ESA","114530","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","437.0","2011","04","01",NA,"Brasil","Bahia","Ilheus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,"ESA114530","ESA114530",NA,NA,"2014",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:19:21-03","ESALQ","ESA","114521","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","428.0","2011","04","01",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"ESA114521","ESA114521",NA,NA,"2014",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:19:21-03","ESALQ","ESA","114947","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Morokawa, R.","318.0","2011","04","15",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA114947","ESA114947",NA,NA,"2014",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:19:21-03","ESALQ","ESA","53826","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Lucas, E.J. et al.","826.0","2006","11","30",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA053826","ESA053826",NA,NA,"2014",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:19:21-03","ESALQ","ESA","46996","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Árbocz, G.F.; Nave, A.G.; Dário, F.R.","3007.0","1996","11","05",NA,"Brasil","Mato Grosso","Cláudia",NA,"-54.8913993835449","-11.5152997970581",NA,NA,"ESA046996","ESA046996",NA,NA,"2014",NA,NA,NA,NA,"67814","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 11:19:21-03","ESALQ","ESA","114518","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Coelho, R.","425.0","2011","03","01",NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,"ESA114518","ESA114518",NA,NA,"2014",NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-04 11:19:21-03","ESALQ","ESA","115870","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus",NA,"Coelho, R.L.G.","Mello Silva, R.","51.0","1989","10","22",NA,"Brasil","Minas Gerais","Maria da Fé",NA,"-45.375301361084","-22.3080997467041",NA,NA,"ESA115870","ESA115870",NA,NA,"2014",NA,NA,NA,NA,"21815","auto",NA,NA,NA,NA,NA,NA,NA,NA
