"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","individualCount","class","coordinatePrecision","geoFlag","infraspecificEpithet","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","previousCatalogNumber"
"11","2021-03-31 13:40:48-03","MN","R","219517","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Mello Filho, L.E.; Paixão, R.J. 418; Godinho, R.S.391 & Silva, I.G.","1996","03","14","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5913",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:48-03","MN","R","35638","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Pierri, A.","1923","04","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:48-03","MN","R","35660","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Hoehne, F.C.",NA,NA,NA,NA,"1913","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:40:48-03","MN","R","35760","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Sampaio, A.J.",NA,NA,NA,"Brasil","São Paulo","Estância Hidromineral de Amparo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-31 13:40:48-03","MN","R","214540","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Mello Filho, L.E.; Sampaio, R. 654; Paixão, R.; Konno, T.U.P.; Schneider, S. 112; Nunes, R. 11; Saavendra, M. & Trece, V.","1998","03","10","Brasil","Rio de Janeiro","Araruama",NA,"-42.3431015014648","-22.8728008270264",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38914","auto",NA,"6198",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-31 13:40:48-03","MN","R","35647","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Sampaio, A.J.","1939","04",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes",NA,"-41.3244018554688","-21.7541999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,"62761","auto",NA,"8253",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-31 13:40:48-03","MN","R","35635","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pabst, G.F.J.","1966","07","25","Sampaio, A.J.","1918","05",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes",NA,"-41.3244018554688","-21.7541999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,"62761","auto",NA,"3008",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-31 13:40:48-03","MN","R","187440","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Silva, J.G.","1995","04","20","Silva, J.G.; Silva, I.M. 206 & Oliveira, M.C. 110","1995","04","20","Brasil","Rio de Janeiro","Macaé",NA,"-41.7868995666504","-22.3708000183105",NA,NA,"Projeto Restinga de Carapebus",NA,NA,NA,NA,NA,NA,"47209","auto",NA,"3046",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-31 13:40:48-03","MN","R","105212","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pabst, G.F.J.","1962","04","15","Vidal, J.","1955","03",NA,"Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,"V - 68",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:40:48-03","MN","R","207337","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pinheiro, M.C.B.","2006","11","28","Rodarte, A.T.A.","2006","10","14","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,"177",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-31 13:40:48-03","MN","R","219516","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Henriques, R.","1972","03","11","Brasil","Rio de Janeiro","Petrópolis","Correas","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto",NA,"38",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:18:43-03","UFV","VIC","003822","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,NA,"1954","05",NA,"Brasil","Minas Gerais","Viçosa","Esa, Jardim Botânico.","-42.8819007873535","-20.7539005279541",NA,NA,NA,"VIC003822","VIC003822",NA,NA,NA,NA,"13937","auto",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-20 21:18:43-03","UFV","VIC","013158","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,NA,"1969","01","30","Brasil",NA,NA,"E.E.A.L.",NA,NA,NA,NA,"Epífita de pseudobulbos, folhagem verde, labelo roxo e pétalas verde , floresce em janeiro.","VIC013158","VIC013158",NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-20 21:18:43-03","UFV","VIC","010423","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Lima, S.S.F.","1988","05","12","Brasil","Minas Gerais","Viçosa","Campus da UFV Horto Botânico","-42.8819007873535","-20.7539005279541",NA,NA,NA,"VIC010423","VIC010423",NA,NA,NA,NA,"13937","auto",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:18:43-03","UFV","VIC","004317","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Pabst","1962","05","21","Brasil","Minas Gerais","Viçosa","Esa, Jardim Botânico, floração em maio.","-42.8819007873535","-20.7539005279541",NA,NA,"Cultivada em xaxim, tépalas amarelo esverdeado, de pontuações púrpuras, labelo de lobulo central ametista.","VIC004317","VIC004317",NA,NA,NA,NA,"13937","auto",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"26","2016-07-05 11:14:16-03","FFCLRP","LBMBP","126","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-07-05 11:14:16-03","FFCLRP","LBMBP","146","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-07-05 11:14:16-03","FFCLRP","LBMBP","478","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-07-05 11:14:16-03","FFCLRP","LBMBP","77","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-07-05 11:14:16-03","FFCLRP","LBMBP","88","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-24 17:09:42-03","UFES","SAMES","6355","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Jesus,M.C.F.","2011","03","31","Brasil","Espírito Santo","Linhares","Degredo","-40.0722007751465","-19.3910999298096","-401247223.0","-192233334.0","Flores roxas Habito: Herbácea","SAMES06355",NA,NA,NA,NA,NA,"48094","auto",NA,"464",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-24 17:09:42-03","UFES","SAMES","4413","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Zampirollo,J.B.","2011",NA,NA,"Zampirollo,J.B.","2010","05","18","Brasil","Espírito Santo","São Mateus","Bairro Ideal. Orquidário do Sr. Roberson Maia.","-39.8588981628418","-18.716100692749",NA,NA,"planta com pétalas e sépalas esverdeadas, pintadas em vináceo; labelo claro.","SAMES04413",NA,NA,NA,NA,NA,"56510","auto",NA,"4",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-24 17:09:42-03","UFES","SAMES","8592","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Gurtler,J.; Costa-Lima,J.L; Hollunder,R.K.; Frade, M.S. & Scheidegger,A.F.A.","2017","03","14","Brasil","Espírito Santo","Conceição da Barra","Distrito de Itaúnas. Trilha da Borboleta. Parque Estadual de Itaúnas","-39.7322006225586","-18.5932998657227","-397025000.0","-184055556.0","Flores com sépalas castanhas com máculas vináceas e labelo lilás. Habito: Epífita","SAMES08592",NA,NA,NA,NA,NA,"41644","auto",NA,"140",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-24 17:09:42-03","UFES","SAMES","4394","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Jesus,M.C.F.","2011","03","31","Brasil","Espírito Santo","Linhares","Degredo. Moitas.","-40.0722007751465","-19.3910999298096",NA,NA,"Flores com labelo roxo, pétalas rosadas e sépalas com pintinhas escuras. Habito: Herbácea","SAMES04394",NA,NA,NA,NA,NA,"48094","auto",NA,"466",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-24 17:09:42-03","UFES","SAMES","4412","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Zampirollo,J.B.","2014","04","30","Brasil","Espírito Santo","São Mateus","Bairro Litorâneo. Orquidário do Ceunes - UFES.","-39.8588981628418","-18.716100692749",NA,NA,"Flores apresentam pétalas e sépalas com cor verde amarelado. Módulos de cor vinho distribuidos ao longo das pétalas e sépalas. Labelo com lóbulos laterais em branco e lilás claro, lóbulo central em lilás escuro.","SAMES04412",NA,NA,NA,NA,NA,"56510","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA
"36","2019-08-20 10:00:37-03","UNICAMP","UEC","86635","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pansarin, ER; Borba, EL","1998","03",NA,"Leitão Filho, HF; et al.; Rezende, RR","1995","02","07","Brazil","São Paulo","Pariquera-Açu","Estrada para Cananéia, Vegetação: transição restinga de encosta.","-47.850833","-24.879444","-47.850833","-24.879444","Epífita, pétalas rosas com pontos lilases. Lobos do cabelo mediano lilases e laterais cremes na face adaxial e lilases na face abaxial.","UEC064614","UEC064614","Liliopsida",NA,NA,NA,NA,NA,NA,"32829",NA,NA,NA,NA,NA,NA,NA
"37","2019-08-20 10:00:37-03","UNICAMP","UEC","86686","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pansarin, ER; Borba, EL","1998","03",NA,"Leitão Filho, HF; Rezende, RR","1995","02","15","Brazil","São Paulo","Iguape","Estrada do Cristo, Mata Atlântica de encosta.","-41.491111","-24.655","-41.491111","-24.655","Epífita, pétalas e sépalas castanhas com pintas lilases, labelo branco com lobo mediano lilás e faixas lilases na face adaxial.","UEC064613","UEC064613","Liliopsida",NA,NA,NA,NA,NA,NA,"33514",NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:00:37-03","UNICAMP","UEC","139885","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Breier, TB","2003","02",NA,"Breier, TB; Breier, ACB","2002","12","11","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818",NA,NA,"Preparada 16/02/2004. Obra: Pabst & Dungs 1975.","UEC141168","UEC141168","Liliopsida",NA,NA,NA,"37574","auto",NA,"783",NA,NA,NA,NA,NA,NA,NA
"39","2019-08-20 10:00:37-03","UNICAMP","UEC","139886","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Breier, TB","2004","09",NA,"Breier, TB; Andrade, MAR","2002","05","23","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818",NA,NA,"Preparada 16/02/2004.","UEC064616","UEC064616","Liliopsida",NA,NA,NA,"37574","auto",NA,"125",NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:03:58-03","FURB","FURB","43404","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Caetano, JO","2014","02","24","Caetano, J.O.","2014","02","24","Brasil","Santa Catarina","Benedito Novo","Casa de Elim Peyel.","-49.4","-26.7847222","-49.4000000","-26.7847222","Espécie rara na cidade. Habitat: mata ciliar Habito: rupícola; flor amarela com pintas roxas e labelo roxo","FURB04707","FURB04707",NA,NA,NA,NA,NA,NA,NA,"64",NA,NA,"306","306",NA,NA,NA
"41","2020-04-27 16:10:56-03","UFES","VIES","9722","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1995","03","18","Fraga, C.N.","1995","03","18","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009722",NA,NA,NA,NA,NA,"28401","auto",NA,"126",NA,NA,NA,NA,NA,NA,NA
"42","2019-07-18 13:11:03-03","UFES","VIES","43124","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Gomes, J.M.L.; Dutra, S.S.","2012","09","15","Brasil","Espírito Santo","Linhares","Jardim das Gutatas. Restinga arbustiva.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"VIES043124","VIES043124",NA,NA,NA,NA,"48094","auto",NA,"4562",NA,NA,NA,NA,NA,NA,NA
"43","2021-02-12 18:12:25-03","UFES","VIES","24509","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Gurtler, J.; Costa-Lima, J.L.; Hollunder, R.K.; Frade, M.S. & Scheidegger, A.F.A.","2017","03","14","Brasil","Espírito Santo","Conceição da Barra","Distrito de Itaúnas. ao longo da Trilha Borboleta. Parque Estadual de Itaúnas","-39.7322006225586","-18.5932998657227",NA,NA,NA,"VIES024509","VIES024509",NA,NA,NA,NA,"41644","auto",NA,"JAC 140",NA,NA,NA,NA,NA,NA,NA
"44","2020-04-27 16:10:56-03","UFES","VIES","9723","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1995","04","02","Fraga, C.N.; et al.","1995","04","02","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009723",NA,NA,NA,NA,NA,"28401","auto",NA,"141",NA,NA,NA,NA,NA,NA,NA
"45","2020-04-27 16:10:56-03","UFES","VIES","9724","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1995","05","01","Fraga, C.N.","1995","05","01","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009724",NA,NA,NA,NA,NA,"28401","auto",NA,"148",NA,NA,NA,NA,NA,NA,NA
"46","2020-04-27 16:10:56-03","UFES","VIES","9725","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1995","05","01","Fraga, C.N.","1995","05","01","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009725",NA,NA,NA,NA,NA,"28401","auto",NA,"164",NA,NA,NA,NA,NA,NA,NA
"47","2020-04-27 16:10:56-03","UFES","VIES","9726","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1996","04","05","Fraga, C.N.; et al.","1996","04","05","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009726",NA,NA,NA,NA,NA,"28401","auto",NA,"310",NA,NA,NA,NA,NA,NA,NA
"48","2020-04-27 16:10:56-03","UFES","VIES","9727","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1996","04","05","Fraga, C.N.; et al.","1996","04","05","Brasil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES009727",NA,NA,NA,NA,NA,"28401","auto",NA,"313",NA,NA,NA,NA,NA,NA,NA
"49","2020-04-27 16:10:56-03","UFES","VIES","19295","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Krahl, A.H.","2010","04","10","Krahl, A.H.","2010","04","10","Brasil","Espírito Santo","Guarapari","APA de Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES019295","VIES019295 VIES019295_1",NA,NA,NA,NA,"28401","auto",NA,"210",NA,NA,NA,NA,NA,NA,NA
"50","2019-06-27 10:26:03-03","UFES","VIES","29371","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Jesus, M.C.F.","2011","03","31","Brasil","Espírito Santo","Linhares","Degredo.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"VIES029371",NA,NA,NA,NA,NA,"48094","auto",NA,"466",NA,NA,NA,NA,NA,NA,NA
"51","2019-06-27 10:26:03-03","UFES","VIES","29876","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Zampirollo, J.B.","2014","04","30","Brasil","Espírito Santo","São Mateus","Litorâneo.","-39.8588981628418","-18.716100692749",NA,NA,NA,"VIES029876",NA,NA,NA,NA,NA,"56510","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA
"52","2020-04-27 16:10:56-03","UFES","VIES","9728","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Fraga, C.N.","1996","04","19","Zambom, O.; Fernandes, M.","1996","04","11","Brasil","Espírito Santo","Vila Velha","Interlagos.","-40.2924995422363","-20.3297004699707",NA,NA,NA,"VIES009728","VIES009728",NA,NA,NA,NA,"27156","auto",NA,"260",NA,NA,NA,NA,NA,NA,NA
"53","2020-06-29 09:31:42-03","UFRRJ","RBR","10417","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"L.F.T. Menezes","2001","03","10","Brasil","Rio de Janeiro","Barra de Guaratiba","Restinga da Marambaia, Restinga linha 3",NA,NA,NA,NA,NA,"RBR00010417",NA,NA,NA,NA,NA,NA,NA,NA,"800",NA,NA,NA,NA,NA,NA,NA
"54","2020-12-21 16:38:19-03","MBM","MBM","421015","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Molina, J.M.P.","2019","03","07","Molina, J.M.P.; Pujals, A.; Pujals, A.","2019","03","07","Brazil","Espírito Santo","Linhares","Rodovia ES-248","-39.8675","-19.537778","-39.8675","-19.537778","Epífita.; Vegetação secundária média/avançada","MBM421015",NA,NA,NA,NA,NA,NA,NA,NA,"374","Southern America",NA,"11","11",NA,NA,NA
"55","2020-12-21 16:38:19-03","MBM","MBM","32072","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1974","03","22","Brazil","Paraná","Cerro Azul","Mato Preto","-49.261100769043","-24.823600769043",NA,NA,NA,"MBM032072","MBM032072",NA,NA,NA,NA,"32006","auto",NA,"33863","Southern America",NA,NA,NA,NA,NA,NA
"56","2020-12-21 16:38:19-03","MBM","MBM","49147","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1957","03",NA,"Brazil","Paraná","Guaratuba","Garuva","-48.5746994018555","-25.8827991485596",NA,NA,NA,"MBM049147","MBM049147",NA,NA,NA,NA,"41937","auto",NA,"3924","Southern America",NA,NA,NA,NA,NA,NA
"57","2020-12-21 16:38:19-03","MBM","MBM","58518","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","1978","03","02","Brazil","Paraná","Paranaguá","Rio da Vila","-48.5092010498047","-25.5200004577637",NA,NA,NA,"MBM058518","MBM058518",NA,NA,NA,NA,"24916","auto",NA,"41094","Southern America",NA,NA,NA,NA,NA,NA
