"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","maximumElevationInMeters","geoFlag","class","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","fieldNumber","individualCount"
"18","2021-02-11 17:18:18-03","UFPR","UPCB","94527","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Gonzatti, F.","3152","2016","12","11",NA,"Brasil","Santa Catarina","São Joaquim","Campos de Santa Bárbara, Morro do Baú","1605",NA,"Em sub-bosque mata mista. Erva rosetada ertera","UPCB0042946","-49.739444","-28.516389","Gonzatti, F.",NA,"1605",NA,NA,NA,"2017","09",NA,"-49.739444","-28.516389","UPCB0042946",NA,NA
"19","2009-05-15 11:31:00-03","MO","MOBOT","2451953","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) de la Sota","Pedro Jörgensen","Jörgensen s.n.28","1912",NA,NA,"South America","Argentina","Tucumán",NA,"Las Pavas.","1800.00000000",NA,NA,NA,NA,NA,"Durán, M.",NA,NA,NA,NA,"squamipes",NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","2418786","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","squamipes","Blechnum squamipes","(Hieron.) M. Kessler & A.R. Sm.","Martha Serrano","Serrano 712",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2550986","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) Prada & Rolleri","E. R. de la Sota","4070","1965","1",NA,"South America","Argentina","Tucuman",NA,"Argentina, Prov. Tucuman Dto. Monteros. Quebrada Pueblo Viejo.",NA,NA,NA,"US01526435",NA,NA,NA,NA,NA,NA,"Pteridophyte","squamipes",NA,NA,NA,NA,NA,NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","922033","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) Prada & Rolleri","P. Jurgensen","1571","1916","12","16","South America","Argentina","Catamarca",NA,"Dep. de Andalaga Prov, de Catamarca, R. A., Est of Grande.",NA,NA,NA,"US01526395",NA,NA,NA,NA,NA,NA,"Pteridophyte","squamipes",NA,NA,NA,NA,NA,"US01526395_01",NA,"1"
"23","2020-09-12 05:00:02-03","US","US","2425651","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) Prada & Rolleri","E. R. de la Sota","4373","1966","3","11","South America","Argentina","Jujuy",NA,"Provincia de Jujuy, Dep. Capital: El Cucho, Co. Labrado. Potrero de las Mulas.",NA,NA,NA,"US01526437",NA,NA,NA,NA,NA,NA,"Pteridophyte","squamipes",NA,NA,NA,NA,NA,"US01526437_01",NA,"1"
"24","2020-09-12 05:00:02-03","US","US","1694476","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) Prada & Rolleri","S. Venturi","7013","1925","3","10","South America","Argentina","Tucuman",NA,"Tucuman, (R. A. ) Departamento Chicligasta, Estacion de Piscicultura .","1200",NA,NA,"US01526436",NA,NA,NA,NA,NA,NA,"Pteridophyte","squamipes",NA,NA,NA,NA,NA,NA,NA,"1"
"25","2019-12-19 16:20:33-03","UFMG","BHCB-SL","110149","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & Dittrich","Salino, A; Castanho, GG; Drezza, TR; Vidal, CY; Floriani, MMP; Silveira, ALP; Jordão, SMS","11979","2007","04","04","América","Brasil","Santa Catarina","Urupema","Fazenda Farofa, trilha do meio antes do campo drenado, em direção ao campo de altitude","1535",NA,"Terrestre; interior de mata","BHCB000617","-49.881389","-27.921583","Salino, A",NA,"1535",NA,NA,NA,NA,NA,NA,"-49.881389","-27.921583","BHCB000617",NA,NA
"26","2019-12-19 16:20:33-03","UFMG","BHCB-SL","141565","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & Dittrich","Salino, A; Almeida, TE; Gasper, AL de","14737","2010","04","08","América","Brasil","Santa Catarina","Urubici","Morro da Igreja, Floresta Nebular",NA,NA,"interior da floresta, com estolho no caule.","BHCB000627","-49.48","-28.123333","Salino, A",NA,NA,NA,NA,NA,NA,NA,NA,"-49.48","-28.123333","BHCB000627",NA,NA
"27","2020-08-20 15:00:07-03","UFSC","FLOR","59508","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","squamipes","Blechnum squamipes","(Hieron.) M.Kessler & A.R.Sm.","Gasper, A.L. de; Salino, A. & Meyer, L.","2959","2011","11","13",NA,"Brasil","Santa Catarina","Urubici","RPPN Leão da Montanha.",NA,NA,"Rupícola. Doação Herbário FURB 36743.","FLOR0059508","-49.5917015075684","-28.0149993896484","Gasper, A.L. de","30102",NA,"auto",NA,NA,"2011","11","13",NA,NA,"FLOR0059508",NA,NA
"28","2020-08-26 10:51:11-03","MCN-FZBRS","HAS","80719","PreservedSpecimen","Plantae","Pteridophyta",NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Silveira, N.","12694","1994","04",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Campos de Cima da Serra; Na Fortaleza.",NA,NA,"Na beira do perau, sobre as pedras; .","HAS0080719","-50.1446990966797","-29.0478000640869","Senna, R.M.","30776",NA,"auto",NA,NA,"2018","03",NA,NA,NA,NA,NA,NA
