"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1135196","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"N. A. Rosa","1510",NA,NA,"South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135196","NY01135196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-10-28 14:14:00-02","NY","NYBG","00958243","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata",NA,NA,"M. Learth","16","1981","05","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958243","NY00958243_01","30","Brasília","Fazenda Agua Limpa (UnB)","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1135146","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"J. M. Pires","12390",NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371867' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135146","NY01135146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00958212","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","H. S. Irwin","17111","1966","06","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958212","NY00958212_01","13",NA,"Ca. 25 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.87","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1135190","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"G. P. Lewis","1462",NA,NA,"South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135190","NY01135190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1135194","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","9202","1969","01","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135194","NY01135194_01 NY01135194_02","12",NA,"Dormida, foothills of Serra da Lua.","-60.183333","2.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00958263","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","N. A. Rosa","N. A. Rosa","2533","1978","07","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958263","NY00958263_01","06","Pinheiro","Morro do Finca, arredores dos Campos de Pinheiro","-45.0825","-2.5217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1135185","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"N. A. Rosa","3083",NA,NA,"South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135185","NY01135185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-10-28 14:13:00-02","NY","NYBG","00958257","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata",NA,NA,"J. M. Pires","16120","1978","07","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958257","NY00958257_01","23","Imperatriz","Rodovia Belém-Brasília, 5 km L de Imperatriz.","-47.4917","-5.5267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1135192","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","9556","1969","02","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135192","NY01135192_01","01",NA,"Road Boa Vista to Venezuela (BR174) 20 Km N of Boa Vista.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00958246","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"E. Pereira","7424","1963","03","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958246","NY00958246_01","29","Brasília","Mata do Catetinho","-47.988069","-15.948311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1135203","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","T. C. Plowman","9084","1980","02","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135203","NY01135203_01","24","Conceição do Araguaia","2 km west of town along highway PA-287","-49.3","-8.25","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1135169","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","5881","1968",NA,"South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373461' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135169","NY01135169_01",NA,NA,"0-3 km west of Rio Madeira along road Abunã to Rio Branco","-65.4583696","-9.6680864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00958242","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","M. dos Reis Cordeiro","2","1974","06","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958242","NY00958242_01","13","Aripuanã","Dardanelos; Rio Aripuanã.","-59.4592","-10.1669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00958264","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. Eiten","5410","1963","08","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958264","NY00958264_01","25","Lorêto","Ilha das Balsas region, between the Rios Balsas and Parnaíba. Ca. 200 m SW of main house of Fazenda Morros, about 35 Km south of Lorêto.","-45.07","-7.38","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1075242","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","B. W. Nelson","814","1980","10","South America","Brazil","Acre","sheet","Nelson skips 813 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395913' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075242","NY01075242_01","26","Rio Branco","Colonia Cinco Mil (Seita do Cipo). 9 km outside Rio Branco, on Porto Acre road","-67.83","-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00958250","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","A. P. Duarte","3004","1950","08","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958250","NY00958250_01","23",NA,"Patos de Minas, Margem do Paranaiba",NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","870305","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata parvifolia","(Ducke) Vaz","A. M. S. da F. Vaz","L. Buscalioni","556","1899","08","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1020700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870305","NY00870305_01","04",NA,"Rio Tocantins, nella foresta Ilha do Areião.",NA,NA,NA,NA,"parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00958251","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","W. R. Anderson","8805","1973","04","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958251","NY00958251_01","13",NA,"Serra do Espinhaço, By Rio Jequití, 2 km from Mendanha","-43.55","-18.12","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1135202","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"M. B. da Silva","52",NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135202","NY01135202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00958229","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"S. Tsugaru","B-2567","1987","07","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958229","NY00958229_01","13",NA,"190 km N from Anápolis, along the Rt. BR-070.",NA,NA,"650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1135161","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"N. T. da Silva","2125",NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135161","NY01135161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00958255","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","J. M. Pires","2323","1950","05","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958255","NY00958255_01","27","Carolina","Serra da Malicia, duas leguas de Carolina, Rio Tocantins","-47.4692","-7.3331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1135166","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","5573","1968","07","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135166","NY01135166_01",NA,NA,"Km 167-169 Madeira-Mamoré railroad, near Mutumparaná.","-64.9722835","-9.6455313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00958232","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. Eiten","5575","1963","09","South America","Brazil","Tocantins","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958232","NY00958232_01","19","Gurupi","City of Gurupi. 150 m south of brook that lines south edge of city, at side of Belém-Brasília highway","-49.07","-11.72","350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1135140","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"G. A. Black","49-7960",NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371949' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135140","NY01135140_01 NY01135140_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00958252","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","A. Castellanos","589","1964","07","South America","Brazil","Piauí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958252","NY00958252_01","31","Canavieira","Riacho Tabaco [Taboca]","-43.7206","-7.6883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00958258","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","J. M. Pires","1568a","1949","07","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958258","NY00958258_01","30","Carolina","Ilha dos Bótes a duas léguas de Carolina","-47.5408405","-7.2744409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00958241","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","26150","1979","06","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958241","NY00958241_01","11",NA,"Vicinity of Acurizal, Rio Paraguai","-57.53","-17.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-10-28 14:13:00-02","NY","NYBG","00958254","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata",NA,NA,"J. M. Pires","16108","1978","07","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958254","NY00958254_01","23",NA,"Rodovia Belém-Brasília, entre 0 e 50 km a W de Imperatriz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1135165","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","5915","1968","07","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373454' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135165","NY01135165_01","12",NA,"E. bank of Rio Madeira at Abuña","-65.365883","-9.704187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1135200","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"G. A. Black","50-9751",NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135200","NY01135200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00958223","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"H. S. Irwin","5686","1964","08","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958223","NY00958223_01","28","Brasília","35 km S. of Brasília on road to Belo Horizonte.","-47.9","-16.15","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1135142","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","T. C. Plowman","8736","1980","02","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135142","NY01135142_01","12","Conceição do Araguaia","Range of low hills ca. 20 Km west of Redenção, near Côrrego São João and Trocamento Santa Teresa.","-50.166667","-8.05","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","1135201","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","J. J. Strudwick","4129","1981","08","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135201","NY01135201_01","05",NA,"Sete Varas airstrip on Rio Curua (a clear-water river).","-55.1657197","-0.2209974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
