"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","barcode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","class","relatedCatalogItem","fieldNumber","preparationType","typeStatus"
"21","2020-11-04 12:16:08-03","ESALQ","ESA","133350","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A. St.-Hil.","Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04","Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.","-47.66058","-22.92451",NA,NA,"Árvore, ca. 5m. Flor rosa.",NA,"Marcelo-Peña, J.L.","2015","07","21","936.0","-47.66058","-22.92451","ESA133350","543","543",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:19:04-03","ESALQ","ESA","134515","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A. St.-Hil.","Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04","Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.","-47.66292","-22.9241",NA,NA,"Árvore, ca. 5m.",NA,"Marcelo-Peña, J.L.","2015","07","21","910.0","-47.66292","-22.9241","ESA134515","585","585",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:19:04-03","ESALQ","ESA","121332","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina",NA,"Garcia, L.C.","2008","05","01","Brasil","São Paulo","Campinas","Distrito de Souzas.","-46.926084","-22.833228",NA,NA,NA,NA,"Bruniera, C.P.",NA,NA,NA,"181.0","-46.926084","-22.833228","ESA121332","711","711",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:19:04-03","ESALQ","ESA","10190","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A.St.-Hil.","Bernacci, L.C.","1989","08","23","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Pirani, J.R.","1998","01","01","25048.0",NA,NA,"ESA010190",NA,NA,NA,"ESA010190",NA,NA,NA,NA,NA
"25","2020-11-04 11:19:04-03","ESALQ","ESA","11078","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A.St.-Hil.","Moraes, P.L.R. et al.","1990","09","26","Brasil","São Paulo","Souzas",NA,NA,NA,NA,NA,NA,NA,"Pirani, J.R.","1998","01","01","23650.0",NA,NA,"ESA011078",NA,NA,NA,"ESA011078",NA,NA,NA,NA,NA
"26","2020-11-04 11:19:04-03","ESALQ","ESA","35515","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A.St.-Hil.","Cardamone, R.B. et al.","1995","09","12","Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303","23900",NA,NA,"auto","Pirani, J.R.","1998","01","01","176.0",NA,NA,"ESA035515",NA,NA,NA,"ESA035515",NA,NA,NA,NA,NA
"27","2020-11-04 11:19:04-03","ESALQ","ESA","110577","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Fontana, A.P.","2009","01","13","Brasil","Espírito Santo","Nova Venécia",NA,"-40.4006004333496","-18.710599899292","42400",NA,NA,"auto","Pirani, J.R.","2010",NA,NA,"5758.0",NA,NA,"ESA110577",NA,NA,NA,"ESA110577",NA,NA,NA,NA,NA
"28","2020-11-04 11:19:04-03","ESALQ","ESA","13942","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Hatschbach, G.","1974","01","24","Brasil","Paraná","Cerro Azul",NA,"-49.261100769043","-24.823600769043","32006",NA,NA,"auto","Pirani, J.R.","2004","01","01","33752.0",NA,NA,"ESA013942",NA,NA,NA,"ESA013942",NA,NA,NA,NA,NA
"29","2020-11-04 11:19:04-03","ESALQ","ESA","34681","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Andrade, P.M. ; Lopes, M.A.","1984","03","20","Brasil","Minas Gerais",NA,"Estação Biológica de Caratinga",NA,NA,NA,NA,NA,NA,"Pirani, J.R.","2004","01","01","111.0",NA,NA,"ESA034681",NA,NA,NA,"ESA034681",NA,NA,NA,NA,NA
"30","2020-11-04 11:19:04-03","ESALQ","ESA","104976","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Romão, G.O.","2006","04","11","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","Ogrzewalska, M. & Uezu, A.","2006","04","13","1339.0",NA,NA,"ESA104976",NA,NA,NA,"ESA104976",NA,NA,NA,NA,NA
"31","2020-11-04 11:19:04-03","ESALQ","ESA","115982","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Silva, R.M.","2008","10","24","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","Pirani, J.R.",NA,NA,NA,"3126.0",NA,NA,"ESA115982",NA,NA,NA,"ESA115982",NA,NA,NA,NA,NA
"32","2020-11-04 11:19:04-03","ESALQ","ESA","104422","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Paciencia, M.B.","2006","04","10","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","Pirani, J.R.",NA,NA,NA,"2438.0",NA,NA,"ESA104422",NA,NA,NA,"ESA104422",NA,NA,NA,NA,NA
"33","2020-11-04 11:19:04-03","ESALQ","ESA","112228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Flores, T.B.",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto",NA,NA,NA,NA,"911.0",NA,NA,"ESA112228",NA,NA,NA,"ESA112228",NA,NA,NA,NA,NA
"34","2020-11-04 11:19:04-03","ESALQ","ESA","101073","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"Paciencia, M.B.","2006","04","09","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","Pirani, J.R.",NA,NA,NA,"2418.0",NA,NA,"ESA101073",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-14 15:33:28-03","MN","R","7951","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Almeidea","rubra","Almeidea rubra","A. St.-Hil.","Glaziou, A.F.M.","1865","01","18","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,"Silva, I.M.","1989","08","16","677",NA,NA,"R000007951",NA,NA,NA,"R000007951_001",NA,NA,NA,NA,NA
"36","2015-07-02 14:42:57-03","JBP","HPL","13221","S","Plantae",NA,NA,"Rutaceae","Almeidea","rubra","Almeidea rubra",NA,"R.B. Flores; G. Siqueira","2010","10","23","Brasil","ES","Linhares","Reserva Natural Vale - Gávea 01-80 - bloco A. ESA-112228","-39.916111","-19.118083",NA,NA,NA,NA,NA,NA,NA,NA,"911","39° 54' 58,0 W","19° 07' 05,1 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-20 21:19:22-03","UFV","VIC","019228","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Almeidea","longifolia","Almeidea longifolia","(St Hill) Engl","Bortoluzzi; Morais, G.A.P.","1998","04","06","Brasil","Minas Gerais","Marliéria","PERD","-42.7322006225586","-19.7122001647949","28215",NA,"Planta arbustiva, folhas coriáceas, glabras, flores azuladas roxas quando secas, cálice persistente.","auto",NA,NA,NA,NA,"93",NA,NA,"VIC019228",NA,NA,NA,"VIC019228",NA,NA,NA,NA,NA
