"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","sex","class","infraspecificEpithet","relatedCatalogItem","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","1030699","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","J. E. de Paula","1824","1985","09","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120874' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030699","Mato Grosso do Sul","Miranda","Área do Pantanal.","-56.3781","-20.2408",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030699_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01067141","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. C. Sevilha","1956","2000","06","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205781' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067141","Goiás","São Domingos","Fragmento perturbado da fazenda Flor do Ermo","-46.7528","-13.6567",NA,NA,"480","480","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01067141_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1018391","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. B. Junqueira","117","2003","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018391","São Paulo","Pedregulho","Sede da propriedade do Sr. Antonio Zuza deOliveira e Silvania Aparecida Polo de Oliveira, vizinha ao Parque Estadual Furnas do Bom Jesus. Quintal da casa.","-47.4619","-20.2042",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01018391_01","A. B. Junqueira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1030708","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. E. Brina","BHCB32709","1995","09","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120907' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030708","Minas Gerais","Lagoa Santa","APA Carste de Lagoa Santa, Lagoa Santa","-43.8894","-19.6272",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030708_01","A. E. Brina; L. V. Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","887093","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. P. de Queiroz","7080","2002","06","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887093","Bahia",NA,"Livramento do Brumado. Ca. 6 km W da estrada Livramento para Brumado, entrando ca. 13.4 km S de Livramento.","-41.8097","-13.7797",NA,NA,"497","497","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00887093_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1030696","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","G. M. Magalhaes","18894","1962","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120842' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030696","Minas Gerais",NA,"Paraopeba, a 20 km da cidade.",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030696_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","437921","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","P. von Luetzelburg","12001","1917","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437921","Espírito Santo",NA,"Leopoldina",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437921_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1030725","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","E. P. Heringer","5271","1980","08","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120959' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030725","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030725_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01067134","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","G. Pereira-Silva","3059","1995","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067134","Goiás","Formosa","BR-020 Brasilia-Barreiras, km 107","-47.12","-15.35",NA,NA,"770","770","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01067134_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1145656","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","F. França","3632","2001","05","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145656","Bahia","Cocos","Ca. 10 km W de Cocs, na estrada para Itaquari.","-44.6153","-14.2325",NA,NA,"510","510","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01145656_01","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1030726","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. Salino","3267","1997","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030726","Minas Gerais",NA,"Januária, Vale do Rio Peruaçu, a caminho do Janelão.","-44.2428","-15.1231",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030726_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01067133","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","G. Pereira-Silva","1185","1992","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067133","Goiás","Niquelândia","3km sudoeste da sede da Fazenda Agua Quente; Regiao de Garimpo","-48.97","-14.63",NA,NA,"400","400","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01067133_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1030730","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","J. R. Pirani","4277","1998","05","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030730","Minas Gerais","Porteirinha","BR 122, a 5 km N de Porteirinha, na estrada Mato Verde.","-43.0281","-15.7433",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030730_01","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1030712","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","M. L. Fonseca","2957","2001","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030712","Goiás","Guarani de Goiás","estrada de chão da Fazenda Forquilha para Guarani.","-46.5217","-13.8169",NA,NA,"515","515","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030712_01","M. L. Fonseca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1030711","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","M. L. Fonseca","2032","1998","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120912' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030711","Goiás","Serranópolis","Santuário da Vida Silvestre Pousada das Araras - RPPN; Fazenda Pedraria, Proprietário Manoel Braga; Paredão, ca. de 39 km da cidade.","-51.9889","-18.4406",NA,NA,"620","620","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030711_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1030697","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","Collector unknown","525","1991","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120860' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030697","Minas Gerais","Cristália","Pov. de Cabra","-42.8619","-16.8006",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","437919","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437919",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437919_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","437913","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. S. Figueiredo","459","1998","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437913","Pernambuco","Brejo da Madre de Deus","Mun. Fazenda Nova, Faz. Araras.","-36.3708","-8.1458",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437913_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","437920","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437920",NA,NA,"Rio Pardo",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,NA,"D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1030729","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. Castellanos","24095","1963","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030729","Minas Gerais",NA,"entre Patos e Tres Marias, a 3 km de Varjão, Fazenda São José.",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030729_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1030704","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","A. Macedo","457","1988","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120888' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030704","Minas Gerais","Campina Verde","Fazenda São José do Lajeado. Campina Verde.","-49.4864","-19.5358",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1030700","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","G. T. Prance","58609","1964","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030700","Maranhão","Estreito","Road Carolina to Estreita, 2-15 km. from Estreita; transition from Cerrado to Amazonia.","-47.4508","-6.5608",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,NA,"D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1030724","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","E. P. Heringer","5306","1980","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120958' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030724","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030724_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","887094","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","F. França","5014","2004","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887094","Pernambuco","Araripina","Serra do Caldeiro","-40.5922","-7.4708",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00887094_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","437917","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","J. M. Pires","58125","1964","07","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437917","Goiás","Alvorada do Norte","Bahia. Alvorada, a 270 km de Brasília para fortaleza. Rio Correntes.","-46.4919","-14.4808",NA,NA,NA,NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437917_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1280950","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","M. L. Fonseca","4870","2003","07","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1643214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280950","Goiás","Pirenópolis","Santuário de Vida Silvestre Vaga Fogo.","-48.99336","-15.82275",NA,NA,"800",NA,"Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01280950_01","M. L. Fonseca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1030714","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","F. C. A. Oliveira","1068","1998","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030714","Minas Gerais","Formoso","Parque Nacional Grande Sertão Veredas; local próximo ao alojamento da FUNATURA.","-45.9031","-15.3917",NA,NA,"770","770","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030714_01","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","437914","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","K. C. Costa","161","1998","11","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437914","Pernambuco","Venturosa","Parque Estadual Pedra Furada.","-36.8792","-8.575",NA,NA,"783","783","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437914_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1030698","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. Coradin","5845","1983","06","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120867' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030698","Piauí","Gilbués","Rodovia Correntes-Bom Jesus 2 km leste da cidade de Gilbues.","-45.32","-9.8",NA,NA,"560","560","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030698_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","437906","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","L. Coradin","6322","1983","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437906","Bahia","Paratinga","Estrada Paratinga-Bom Jesus da Lapa km 10.","-43.22","-12.78",NA,NA,"550","550","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437906_01","D. A. Santin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","437915","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","K. C. Costa","154","1998","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437915","Pernambuco","Venturosa","Parque Estadual Pedra Furada.","-36.8792","-8.575",NA,NA,"783","783","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY00437915_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
