"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","typeStatus","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","relatedCatalogItem"
"19","2020-09-12 05:00:02-03","US","US","2725343","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1941","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata da tijuca. [in former guanabara state]",NA,NA,"190","190",NA,NA,"US00136191","US00136191_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2725390","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1962","1972","4","25","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro de itapemirim/itabira alt 20 51's: long 41 05'w","-41.1128005981445","-20.8488998413086","80","110",NA,NA,"US00136199","US00136199_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"21","2020-09-12 05:00:02-03","US","US","2940130","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. S. Santos","2087","1971","10","9","South America - Neotropics","Brazil","Bahia","Itabuna","Teixeira de freitas a alcobaca planta","-39.2803001403809","-14.7855997085571",NA,NA,NA,NA,"US00136187","US00136187_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"30592","auto",NA
"22","2020-09-12 05:00:02-03","US","US","2902356","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","2625","1980","3","17","South America - Neotropics","Brazil","Rio de Janeiro","Jacarepaguá","Vargem grande nursery",NA,NA,"10","10",NA,NA,"US00136184","US00136184_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2725409","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1970","1972","4","26","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro/alegre lat 20 47's: lon 41 09'w","-41.1128005981445","-20.8488998413086","90","90",NA,NA,"US00136196","US00136196_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"24","2020-09-12 05:00:02-03","US","US","2902343","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","2614","1980","3","17","South America - Neotropics","Brazil","Rio de Janeiro","Jacarepaguá","Vargem grande nursery",NA,NA,"10","10",NA,NA,"US00136182","US00136182_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2725354","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1946","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata de tijuca. [in former guanabara state]",NA,NA,"300","300",NA,NA,"US00136189","US00136189_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","2725391","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1962","1972","4","25","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro de itapemirim/itabira alt 20 51's: long 41 05'w","-41.1128005981445","-20.8488998413086","80","110",NA,NA,"US00136200","US00136200_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"27","2020-09-12 05:00:02-03","US","US","2725355","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1946","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata de tijuca. [in former guanabara state]",NA,NA,"300","300",NA,NA,"US00136190","US00136190_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2641639","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"D. Sucre","8789","1972","4","5","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Vertente sul-leste de serra da piaba. [in former guanabara state]",NA,NA,NA,NA,NA,NA,"US00136186","US00136186_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2725345","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1941","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata da tijuca. [in former guanabara state]",NA,NA,"190","190",NA,NA,"US00136193","US00136193_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","2725408","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1970","1972","4","26","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro/alegre lat 20 47's: lon 41 09'w","-41.1128005981445","-20.8488998413086","90","90",NA,NA,"US00136195","US00136195_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"31","2020-09-12 05:00:02-03","US","US","2725344","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1941","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata da tijuca. [in former guanabara state]",NA,NA,"190","190",NA,NA,"US00136192","US00136192_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","2902344","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","2615","1980","3","17","South America - Neotropics","Brazil","Rio de Janeiro","Jacarepaguá","Vargem grande nursery",NA,NA,"10","10",NA,NA,"US00136183","US00136183_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","2725410","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1970","1972","4","26","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro/alegre lat 20 47's: lon 41 09'w","-41.1128005981445","-20.8488998413086","90","90",NA,NA,"US00136197","US00136197_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"34","2019-10-07 09:22:37-03","UEFS","HUEFS","221464","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Oliveira, R.P.","2276","2016","03","04",NA,"Brasil","Espírito Santo","Santa Teresa","Mata do Valão da Escola de Agronomia.","-40.688611","-19.803611","178","178",NA,"Mata muito seca após longa estiagem. O córrego que passava na mata está completamente seco.","HUEFS0221464",NA,"Lilianae","40w41'19''","19s48'13''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-07 09:22:37-03","UEFS","HUEFS","70889","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Oliveira, R.P.","851","2003","04","12",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, mata da Escola de Agronomia.","-40.688611","-19.802222","190","190",NA,"Mata Atlântica.","HUEFS0070889","HUEFS0070889","Lilianae","40W41'19''","19S48'8''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-10-07 09:22:37-03","UEFS","HUEFS","89894","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Schwacke, C.A.W.","46717","1886",NA,NA,NA,"Brasil","Rio de Janeiro","Guanabara","Serra da Bica, perto de cascadura.",NA,NA,NA,NA,NA,NA,"HUEFS0089894",NA,"Lilianae",NA,NA,"Isótipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-07 09:22:37-03","UEFS","HUEFS","89895","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Schwacke, C.A.W.","R46717","1886",NA,NA,NA,"Brasil","Rio de Janeiro","Guanabara","and Serra da Bica must be nearby.",NA,NA,NA,NA,NA,NA,"HUEFS0089895",NA,"Lilianae",NA,NA,"Holótipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-07-23 12:19:03-03","CEPLAC","CEPEC","12872","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","1941","1972","04","14",NA,"Brasil","Rio de Janeiro","GRAJAÚ","Rampa ao N Mata da Tijuca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","Paratipo","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,"30/12/1981"
"39","2020-07-23 12:19:03-03","CEPLAC","CEPEC","12882","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","1946","1972","04","14",NA,"Brasil","Rio de Janeiro","GRAJAÚ","Rampa ao N Mata da Tijuca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","Paratipo","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,"30/12/1981"
"40","2020-07-23 12:19:03-03","CEPLAC","CEPEC","12958","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","1970","1972","04","26",NA,"Brasil","Espírito Santo","CACHOEIRO DE ITAPEMIRIM","10Km da cidade, arredores de Alegre.","-41.15","-20.783333",NA,NA,NA,NA,NA,NA,NA,"41W9'","20S47'","Paratipo","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,"30/12/1981"
"41","2020-07-23 12:19:03-03","CEPLAC","CEPEC","98539","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"R. P. de Oliveira","851","2003","04","12",NA,"Brasil","Espírito Santo","SANTA TERESA","São João de Petrópolis. Mata da Escola de Agronomia.","-40.688611","-19.802222",NA,NA,NA,NA,NA,NA,NA,"40W41'19","19S48'8",NA,"R. P. de Oliveira",NA,NA,NA,NA,NA,NA,NA,"30/04/2003"
"42","2020-07-23 12:19:03-03","CEPLAC","CEPEC","12959","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom","1962","1972","04","25",NA,"Brasil","Espírito Santo","ITAPEMIRIM","Rod. Cachoeiro de Itapemirim/Itabira.","-41.083333","-20.85",NA,NA,NA,NA,NA,NA,NA,"41W5'","20S51'","Paratipo","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,"30/12/1981"
"43","2020-07-23 12:19:03-03","CEPLAC","CEPEC","131236","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata",NA,"R. P. de Oliveira","851",NA,NA,NA,NA,"Brasil","Espírito Santo","SANTA TERESA",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,"R. P. de Oliveira",NA,NA,NA,NA,NA,"23813","auto",NA
"44","2021-02-23 13:23:03-03","MN","R-TIPOS","46717","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Schwacke, C.A.W.","s.n.","1886",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Cascadura","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R000046717","R000046717_001",NA,NA,NA,"Holotypus",NA,NA,NA,NA,NA,NA,"57442","auto",NA
"45","2021-02-23 13:23:03-03","MN","R-TIPOS","46717a","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Schwacke, C.A.W.","s.n.","1886",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Cascadura","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R000046717a","R000046717a_001",NA,NA,NA,"Isotypus",NA,NA,NA,NA,NA,NA,"57442","auto",NA
"46","2019-11-21 10:17:02-03","IBt","SP","373366","S","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom, TR; Sucre, D","1962","1972","04","25",NA,"Brasil","Espírito Santo","Cachoeiro do Itapemirim","Road from Cachoeiro de Itapemirim to Itabira","-41.083333","-20.85","80","110",NA,NA,"SP003187","SP003187",NA,"-41.083333","-20.85","Paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
