"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"17","2021-03-15 16:37:00-03","NY","NYBG","499463","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","O. Huber","10964","1985","10","20","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499463","Bolívar","Magnoliophyta","Lamiales","(L.f.) Kuntze","Cedeño","Serranía Guanay, sector nororiental. Altiplanicie poco disectada, inclinada hacia el S y SW, en las cabeceras más orientales del Río Parguaza.","-66.38","5.92","1700","1700",NA,"N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","911617","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","E. P. Heringer","16583","1976","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911617","Distrito Federal","Magnoliophyta","Lamiales","(L.f.) Kuntze","Brasília","Brasília. Zoológico.","-47.9294","-15.7797",NA,NA,"NY00911617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","499451","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. G. Hatschbach","28480","1971","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499451","Paraná","Magnoliophyta","Lamiales","(L.f.) Kuntze","Piraquara","Maria Antonieta","-49.159367","-25.441889",NA,NA,"NY00499451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","499453","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","R. Kummrow","1404","1980","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499453","Paraná","Magnoliophyta","Lamiales","(L.f.) Kuntze","Curitiba","Cidade Industrial.","-49.2731","-25.4281",NA,NA,"NY00499453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","499459","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","V. C. Souza","CFCR14571","1994","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499459","Bahia","Magnoliophyta","Lamiales","(L.f.) Kuntze","Abaíra","Município de Abaíra-Catolés. Serra do Barbado.","-41.6636009216309","-13.2496995925903","1750","2035","NY00499459_01",NA,"26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","911618","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. Martinelli","3913","1978","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911618","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Alto Paraíso de Goiás","37 km ao Norte da cidade, Chapada dos Veadeiros","-47.5097","-14.1325","1500","1500","NY00911618_01","V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","499458","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","D. R. Gifford","G128","1968","03","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499458","Mato Grosso","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,"15 km S of base (base is c. 270 km N of Xavantine).","-51.87","-12.9",NA,NA,"NY00499458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","911621","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","H. S. Irwin","12953","1966","02","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911621","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Cavalcante","Chapada dos Veadeiros, ca. 30 km N.W. of Veadeiros","-47.71316","-13.92497","1000","1000","NY00911621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","685267","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","V. C. Souza","s.n.","1994","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685267","Bahia","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,"Mun. Abaíra - Catolés. Serra do Barbado.",NA,NA,"1750","2035","NY00685267_01","V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","499448","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","L. B. Smith","9185","1956","12","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499448","Santa Catarina","Magnoliophyta","Lamiales","(L.f.) Kuntze","Joaçaba","Bog, campos of Palmas, 77 km west of Caçador.","-51.5044","-27.1783","1000","1300","NY00499448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","911626","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","J. E. B. Warming","1012",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911626",NA,"Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,"Ad Lagoa Santa",NA,NA,NA,NA,"NY00911626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-27 07:37:00-03","NY","NYBG","499461","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","J. E. Madsen","36511","1981","11","03","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499461","Tungurahua",NA,"Lamiales",NA,NA,"Baños, 4 km on the road to Puyo. 0-3 km E of the road tunnel, along the roadside at a S-facing hill slope.","-78.48","-1.48","1800","1800",NA,"N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","911620","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","J. R. Pirani","5173","2004","01","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911620","Minas Gerais","Magnoliophyta","Lamiales","(L.f.) Kuntze","Congonhas do Norte","Serra Talhada (braço norte da Serra do Cipó), 4 km NW de Congonhas do Norte, na estrada para Gouveia; às margens da mata ciliar do Ribeirão Congonhas.","-43.7092","-18.7981","1024","1024","NY00911620_01","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","911624","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","B. Maguire","56983","1963","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911624","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Portelândia","74 km beyond Alto Araguaia en route to Goiania","-52.6783","-17.3536","930","930","NY00911624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","499449","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. G. Hatschbach","15448","1966","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499449","Paraná","Magnoliophyta","Lamiales","(L.f.) Kuntze","Palmas","Estr. Palmas-Mangueirinha","-51.9906","-26.4844",NA,NA,"NY00499449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","499452","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","J. R. Guillaumon","SPSF7627","1981","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499452","São Paulo","Magnoliophyta","Lamiales","(L.f.) Kuntze","Sao Paulo","Parque Estadual da Capital, Inst. Florestal, Sao Paulo. No antigo posto metereológico.","-46.63","-23.5403",NA,NA,"NY00499452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","499450","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. G. Hatschbach","23080","1969","12","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499450","Paraná","Magnoliophyta","Lamiales","(L.f.) Kuntze","Guarapuava","Pôsto Agro-Pecuário.","-51.4581","-25.3956",NA,NA,"NY00499450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","499457","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. F. J. Pabst","6863","1962","03","06","South America","Brazil","sheet",NA,"Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499457","Minas Gerais","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,"Entre Sao Sebastiao da Vitória e Cianita.",NA,NA,NA,NA,"NY00499457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-13 09:20:36-03","UFRJ","RFA","10473","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","curialis","Escobedia curialis","G.G. Hatschbach",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"RFA48714","Paraná",NA,NA,"(Vell.) Pennell","Colombo","Rio Canguiri","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:49:41-03","EAO","IAN","105880","PreservedSpecimen","Plantae","Scrophulariaceae","Escobedia","grandiflora","Escobedia grandiflora","Magalhães, MG","17328","1960","01","06","Southern America","Brasil",NA,NA,NA,"IAN105880","Minas Gerais","Dicotiledônea",NA,"(L.f.) Kuntze","Belo Horizonte","Cerrado em baixada úmida. Lagoa Seca.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Souza, VC","17082","auto","1988","01",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:49:41-03","EAO","IAN","14364","PreservedSpecimen","Plantae","Scrophulariaceae","Escobedia","grandiflora","Escobedia grandiflora","Magalhães, MG","1292","1942","01","28","Southern America","Brasil",NA,NA,NA,"IAN014364","Minas Gerais","Dicotiledônea",NA,"(L.f.) Kuntze","Ouro Preto","Campo úmido. Alegria.","-43.5080986022949","-20.2875003814697",NA,NA,"IAN014364 IAN014364_e","Souza, VC","44599","auto","1988","01",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:22:05-03","UFBA","ALCB","032465","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","Silva, JM","263","1986","12","09","Southern America","Brasil",NA,NA,"Flor alva.; Campo; do brejo.",NA,"Paraná","Dicotyledon",NA,"(L.f.) O. Kuntze","Piraquara","São Roque.","-49.05","-25.433333",NA,NA,NA,"Hatschbach, G",NA,NA,"1987",NA,"-49.05","-25.433333",NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:22:05-03","UFBA","ALCB","73120","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","Guedes, ML; Santos, JS; Carvalho, G; Valadão, RM; Alunos de Botânica III","12360","2006","04","30","Southern America","Brasil",NA,NA,"de ca 1m de alt. Folhas coriáceas, discolores, ásperas. Inflorescência alva. Ocasional.",NA,"Bahia","Dicotyledon",NA,"(L.f.) O. Kuntze","Catolés","Chapada Diamantina, Caminho para a Serra do Barbado","-41.833333","-13.283333",NA,NA,NA,"Guedes, ML",NA,NA,"2006","08","-41.833333","-13.283333",NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:22:05-03","UFBA","ALCB","69087","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","Guedes, ML; Velozo, ES; et al.","11474","2005","03","25","Southern America","Brasil",NA,NA,"de ca. 1m. Folhas cartáceas, ásperas, margem ciliada. Flores de cálice tubuloso, corola não envolvida pelo cálice, com mais de 5cm de comprimento, vistosas, alvas.",NA,"Bahia","Dicotyledon",NA,"(L.f.) O. Kuntze","Catolés","Chapada Diamantina, Trilha para Serra do Barbado","-41.888611","-13.285278",NA,NA,NA,"Guedes, ML",NA,NA,"2005","06","-41.888611","-13.285278",NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:33:55-03","NBC","NL-BOTANY","L.2891538","PreservedSpecimen","Plantae","Scrophulariaceae","Escobedia","curialis","Escobedia curialis","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2891538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2891538",NA,NA,"Lamiales","(Vell.) Pennell",NA,NA,NA,NA,NA,NA,"NL-L2891538",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 09:33:55-03","NBC","NL-BOTANY","L.2891539","PreservedSpecimen","Plantae","Scrophulariaceae","Escobedia","curialis","Escobedia curialis","Claussen P",NA,"1837","01","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2891539 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2891539",NA,NA,"Lamiales","(Vell.) Pennell",NA,"Brasilia. Curvello (Minas geraes) & rio san Francisco.",NA,NA,NA,NA,"NL-L2891539",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 09:33:55-03","NBC","NL-BOTANY","L.4134866","PreservedSpecimen","Plantae","Scrophulariaceae","Escobedia","grandiflora","Escobedia grandiflora","Pirani JR; et al.",NA,"2004","01","19","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4134866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4134866",NA,NA,"Lamiales","(L.f.) Kuntze",NA,"Flora da Serra Do Cipó. Brasil: Minas Gerais, Mun. Congonhas do Norte, Serra Talhada(braco norte da Serra do Cipo), 4km NW de Congonhas do Norte, na estrada para Gouveia. Campo brejoso as margens da mata ciliar do Ribeirao Congonhas.","-43.709167","-18.798056",NA,NA,"NL-L4134866",NA,NA,NA,NA,NA,"-43.709167","-18.798056","Magnoliopsidae",NA,NA,NA,NA,NA
