"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","verbatimLongitude","verbatimLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"14","2015-11-07 06:37:59-02","MNHN","RECOLNAT_MNHN_P","P01902524","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel, L.",NA,NA,NA,NA,"Brésil",NA,"s.l.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902524' target='other'> <mi>dwc_moreinfo</mi></a>","P01902524","P01902524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA,NA
"15","2015-09-04 20:34:14-03","MNHN","RECOLNAT_MNHN_P","P05156708","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Glaziou",NA,"1891","7",NA,"Brasil","Rio de Janeiro","Alto Macaé.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05156708' target='other'> <mi>dwc_moreinfo</mi></a>","P05156708","P05156708_01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18249",NA
"16","2015-09-04 20:34:14-03","MNHN","RECOLNAT_MNHN_P","P05156706","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Glaziou, A.",NA,"1891","7",NA,"Brasil","Rio de Janeiro","Brésil (Rio Jan.) Alto Macahé.","-41.7868995666504","-22.3708000183105","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05156706' target='other'> <mi>dwc_moreinfo</mi></a>","P05156706","P05156706_01","20","Macaé",NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,"18249",NA
"17","2020-09-02 16:33:52-03","Cenargen","CEN","53072","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Solange de V. A. Pessoa","788","1995","07",NA,"Brasil","RJ","Reserva Biológica de Poço das Antas, Mata do rio Pau Preto.","-42.3917007446289","-22.6508007049561","Exsicatas","Arvoreta, umbrófila; folhas discolores verdes; flores com corola, estames e estigma alvos; odor cítrico adocicado. Doação do Jardim Botânico do Rio de Janeiro - RB (321885). Programa Mata Atlântica - PETROBRÁS / MacArthur Foudation.","CEN00053072","CEN00053072","06","SILVA JARDIM",NA,NA,NA,NA,NA,"29995","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"18","2019-10-07 09:35:19-03","UEFS","HUEFS","87516","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel","353",NA,NA,NA,"Brasil","Rio de Janeiro",NA,"-41.7868995666504","-22.3708000183105",NA,NA,"HUEFS0087516",NA,NA,"Macaé",NA,NA,NA,NA,NA,"47209","auto","Rosanae","Isótipo",NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:35:19-03","UEFS","HUEFS","87517","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel","353","1832","06",NA,"Brasil","Rio de Janeiro",NA,"-41.7868995666504","-22.3708000183105",NA,NA,"HUEFS0087517",NA,NA,"Macaé",NA,NA,NA,NA,NA,"47209","auto","Rosanae","Isótipo",NA,NA,NA,NA,NA,NA
"20","2019-09-04 18:51:34-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis",NA,"L. Riedel",NA,"1832",NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA
"21","2019-01-23 11:00:05-02","F","FMNH-SEEDPLANTS","V0065216F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis",NA,"L. Riedel",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0065216F","V0065216F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA
"22","2021-03-04 15:45:23-03","IF","SPSF","28841","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis",NA,"R.S.Bianchini","1466","2000","09","América do Sul","Brasil","SP","P.E.Serra do Mar, Núcleo Caraguatatuba","-45.4099998474121","-23.6200008392334",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore ca. 4 m de altura; frutos imaturos verdes.; GEOGRAFIA: mata ombrofila&nf;trilha da lagoa;",NA,NA,"10","Caraguatatuba",NA,NA,"M.L. Kawasaki",NA,NA,"30093","auto","Magnoliopsida",NA,NA,"2001","06","15",NA,NA
"23","2017-09-11 17:11:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel, L","s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro","in silvis fruticetisque prope Macahe, Dryas",NA,NA,NA,"Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:11:32-03","IBt","SP","350683","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Simão Bianchini, R; Bianchini, S; Rosário, RPG","1466","2000","09",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha da Lagoa","-45.4099998474121","-23.6200008392334",NA,NA,"SP028125","SP028125","10","Caraguatatuba",NA,NA,"Kawasaki, ML",NA,NA,"30093","auto",NA,NA,NA,"2001",NA,NA,NA,NA
"25","2014-09-23 10:58:55-03","G","G","G00223520","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O. Berg","Riedel, L.","353","1832",NA,"AMERIQUE DU SUD","Brazil",NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=217400&base=img&lang=en","G00223520","G00223520","00",NA,"-53.08972222","-10.77305556","?",NA,NA,NA,NA,NA,"TYPUS of Eugenia macahensis O. Berg",NA,NA,NA,NA,NA,NA
