"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","barcode","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","fieldNumber","preparationType","individualCount","class"
"11","2021-03-16 08:05:17-03","MN","R","240030","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Cardoso, W.C.","2019","Cardoso, W.C.; Soares, P.","465","2019","06","08",NA,"Brasil","Espírito Santo","João Neiva",NA,"-40.419167","-19.735556",NA,"Cactaceae da Região Serrana Central do Espírito Santo",NA,"R010072074","R010072074 R010072074_1","06","08","40°25'9''W","19°44'8''S","181","181",NA,NA,NA,NA,NA
"12","2021-01-14 15:26:44-03","MN","R","232414","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Iglesias, D.T. & Silva, D.G.","376","2015","10","13",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"auto","R010037003",NA,"10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:26:44-03","MN","R","232413","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Barbosa, J.F.","358","2015","09","16",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"auto","R010037004,R010037017",NA,"09","16","40.53006W","19.97163S","649","649",NA,NA,NA,NA,NA
"14","2021-01-14 15:26:44-03","MN","R","232412","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Barbosa, J.F.","363","2015","09","16",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"auto","R010037005",NA,"09","16","40.54087W","19.96521S","695","695",NA,NA,NA,NA,NA
"15","2021-01-14 15:26:44-03","MN","R","228646","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.",NA,NA,"Werveson, C.C.","363","2015","09","16",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"auto","R010029154","R010029154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:44-03","MN","R","223622","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Zappi, D.C.","2014","Braga, J.M.A.","3644","1996","11","01",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"auto",NA,NA,"07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:44-03","MN","R","76784","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Zappi, D.","2014","Brade, A.C.","9383","1929","09","23",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,"auto","R010029155","R010029155",NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA,NA
"18","2021-01-14 15:26:44-03","MN","R","22142","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Zappi, D.","2014","Brade, A.C.","10417","1929","06","30",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-02-02 14:37:54-02","BGBM","B","B 10 0158334","S","Plantae",NA,"Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus",NA,NA,NA,"Neubert","109","1986","02","12","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158334 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"B100158334","B100158334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0059090","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","J. Cordeiro & E. Barbosa",NA,"L. G Temponi; J. Cordeiro, J. M. Silva","686","2009","10","12",NA,"Brazil","Parana",NA,"Parque Nacional do Iguaçu, BR 469 interior do Parque (Mun. Foz do Iguaçu).","-53.8","-25.5",NA,"Epífita, flor alvacenta, beira da rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caryophyllales",NA,NA,NA,NA
"21","2021-03-01 16:27:18-03","UNICAMP","UEC","072643","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Zappi, DC","2004","Garcia, RJF; Ferreira, GMP; Jacintho, LRC","568","1995","02","15",NA,"Brazil","São Paulo","Parelheiros","Jd. Novo Parelheiros, sítio do Sr. José Guilguer Reimberg (Sr. José Toco), à direita na Estrada Eng. Marsilac, após o entroncamento com a Estrada da Colônia. Borda da mata.","-46.735","-23.835556",NA,"Epífita. Frutos verdes a vináceos.",NA,"UEC090853","UEC090853","03",NA,"-46.735","-23.835556",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:27:18-03","UNICAMP","UEC","098157","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Torezan, JMD; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO; Rodrigues, RR","519","1997","12","11",NA,"Brazil","São Paulo","Bom Sucesso de Itararé","Descida da Serra, 10 Km de Bom Sucesso.","-49.160833","-24.274444",NA,"Erva rupícola. Flores brancas. Frutos alaranjados.; Floresta Estacional Transição Montana-Submontana, beira da Estrada.",NA,"UEC090852","UEC090852",NA,NA,"-49.160833","-24.274444",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:27:18-03","UNICAMP","UEC","122117","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Breier, TB","2003","Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; Souza, VC","115","2001","04","13",NA,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.","-46.775417","-23.989083",NA,"Epífita, frutos maduros alaranjados.",NA,"UEC090851","UEC090851","09",NA,"-46.775417","-23.989083","750","750",NA,NA,NA,NA,NA
"24","2021-03-01 16:27:18-03","UNICAMP","UEC","133964","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Urbanetz, C; Destro, GFG; Moreira-Coneglian, IR; Harder, ICF; Muniz, MRA","111","2003","04","21",NA,"Brazil","São Paulo","Iporanga","Núcleo Bulha D'água, Trilha da caverna do Sr. Bento.","-48.4995","-24.338389",NA,"Epífita.; Vegetação Secundária de Floresta Ombrófila Densa Montana/Submontana, com trechos remanescentes de floresta com extrativismo seletivo (madeira e palmito) e trechos regenerados de antigas áreas de cultivo (20 anos).",NA,"UEC103452","UEC103452",NA,NA,"-48.4995","-24.338389","550","550",NA,NA,NA,NA,NA
"25","2021-03-01 16:27:18-03","UNICAMP","UEC","134959","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Urbanetz, C; Destro, GFG; Moreira-Coneglian, IR; Harder, ICF; Muniz, MRA","111","2003","04","21",NA,"Brazil","São Paulo","Iporanga","Núcleo Bulha D'água, Trilha da caverna do Sr. Bento.","-48.4995","-24.338389",NA,"Epífita.; Vegetação Secundária de Floresta Ombrófila Densa Montana/Submontana, com trechos remanescentes de floresta com extrativismo seletivo (madeira e palmito) e trechos regenerados de antigas áreas de cultivo (20 anos).",NA,"UEC090856","UEC090856",NA,NA,"-48.4995","-24.338389","550","550",NA,NA,NA,NA,NA
"26","2020-02-10 17:51:38-03","UNICAMP","UEC","137461","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Zappi, DC","2003","Breier, TB; Dittrich, VAO","0616","2002","09","24",NA,"Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.916667","-24.166667",NA,NA,NA,"UEC090857","UEC090857","11",NA,"-47.916667","-24.166667",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:27:18-03","UNICAMP","UEC","143729","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Souza, VC","2005","Oriani, A; Miachir, JIN; Carvalho, MLS; Muniz, MRA; Korman, V; Souza, VC","549","2005","03","23",NA,"Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Bugio.","-48.400278","-24.6525",NA,"Epífita; fruto carnoso de coloração laranja.; Floresta Ombrófila Densa Baixo Montana Ribeirinha pouco degradada com afloramento de calcário.",NA,"UEC090861","UEC090861",NA,NA,"-48.400278","-24.6525","400","400",NA,NA,NA,NA,NA
"28","2021-03-01 16:27:18-03","UNICAMP","UEC","48814","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Lombardi, JA","1989","Zappi, DC","53","1988","05","13",NA,"Brazil","São Paulo","Paranapiacaba",NA,NA,NA,NA,"Epífita, até 2m de comprimento, 0,3cm de diâmetro, flores alvas com estames róseos, frutos maduros vermelho carmin, às vezes amarelados. (1 só flor).; Floresta Atlântica.",NA,"UEC090850","UEC090850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:27:18-03","UNICAMP","UEC","84892","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Souza, VC; Miyagi, PH; Moncaio, E","6086","1994","06","03",NA,"Brazil","São Paulo","Bom Sucesso de Itararé","Lagoinha. Estrada para Barra do Chapéu, ca. 6 Km de Bom Sucesso.","-49.166667","-24.416667",NA,"Erva pendente; frutos alaranjados.; Encosta de rocha úmida.",NA,"UEC090849","UEC090849",NA,NA,"-49.166667","-24.416667",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:27:18-03","UNICAMP","UEC","140594","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Breier, TB",NA,"Breier, TB","1294","2005","06","18",NA,"Brazil","São Paulo","Atibaia","Grota Funda.","-46.5499992370605","-23.1100006103516","21675","Fruto amarelo.","auto","UEC090862","UEC090862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:27:18-03","UNICAMP","UEC","62182","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Grombone-Guaratini, MT; Bernacci, LC; Meira Neto, JAA; Tamashiro, JY; Leitão Filho, HF","21441","1988","03","22",NA,"Brazil","São Paulo","Atibaia",NA,"-46.5499992370605","-23.1100006103516","21675","Erva epífita, frutos amarelos. Caule com muitas raizes adventícias. Dentro da mata.","auto","UEC090848","UEC090848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:27:18-03","UNICAMP","UEC","54998","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Tamashiro, JY; Meira Neto, JAA; Bernacci, LC","21279","1987","09","14",NA,"Brazil","São Paulo","Atibaia","Fazenda Grota Funda.","-46.5499992370605","-23.1100006103516","21675","Epífita, flores com pétalas brancas e filetes amarelos.","auto","UEC090854","UEC090854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:27:18-03","UNICAMP","UEC","137462","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Breier, TB","2004","Breier, TB","1138","2004","04","10",NA,"Brazil","São Paulo","Cotia",NA,"-46.9099998474121","-23.6000003814697","23869","Frutos imaturos escuros (verde-amarronado), frutos maduros amarelos.","auto","UEC090860","UEC090860","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:27:18-03","UNICAMP","UEC","143534","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Aona, LYS","2006","Souza, JP; Souza, VC","2003","1997","12","10",NA,"Brazil","São Paulo","Itararé","Estrada para a Pedreira Cobastalco. Mata.","-49.3400001525879","-24.1100006103516","27729","Epífita, botões amarelados.","auto","UEC090855","UEC090855","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-08-20 10:08:47-03","UNICAMP","UEC","137432","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Breier, TB","0700",NA,NA,NA,NA,"Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho (SP).","-47.9199981689453","-24.3799991607666","34059",NA,"auto","UEC090858","UEC090858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-08-20 10:08:47-03","UNICAMP","UEC","140271","S","Plantae","Magnoliopsida","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.",NA,NA,"Breier, TB","0700",NA,NA,NA,NA,"Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho (SP).","-47.9199981689453","-24.3799991607666","34059",NA,"auto","UEC090859","UEC090859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-04 13:19:03-03","UDESC","LUSC","8344","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Barboza, E.","2014","Motta, J.T.; Silva, J.M.; Cordeiro, J.; Barboza, E.;",NA,"2013","09","22",NA,"Brasil","Paraná","Coronel Domingos Soares","Fazenda São Geraldo.","-52.0318984985352","-26.2278003692627","38269",NA,"auto","LUSC001441","LUSC001441","02","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-04 13:19:03-03","UDESC","LUSC","8526","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A.","2011","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1992","2010","05","06",NA,"Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-48.8456001281738","-26.3043994903564","37150",NA,"auto","LUSC001440","LUSC001440","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-08 08:50:58-03","FURB","FURB","18053","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Cadorin, T.J.; Uller, H.F. & Oliveira, C.P.L.","838","2009","12","10",NA,"Brasil","Santa Catarina","Joinville",NA,"-49.0477777","-26.1925",NA,NA,NA,"FURB21577","FURB21577","04",NA,"-49.0477777","-26.1925000","576","576",NA,NA,NA,NA,NA
"40","2019-11-08 08:50:58-03","FURB","FURB","18816","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Cadorin, T.J.; Uller, H.F. & Oliveira, C.P.L.","861","2009","12","10",NA,"Brasil","Santa Catarina","Joinville",NA,"-49.0477777","-26.1925",NA,NA,NA,"FURB21578","FURB21578","11","24","-49.0477777","-26.1925000","576","576",NA,NA,NA,NA,NA
"41","2021-03-24 16:38:35-03","FURB","FURB","20310","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Cardoso, W.C.","2021","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1014","2010","01","26",NA,"Brasil","Santa Catarina","São Martinho","Chicão.","-48.87","-28.08",NA,"Epífita IFFSC e173a (Acima de 4m). Forófito 1. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; Fruto roxo;",NA,"FURB21443","FURB21443","03","01","-48.8700000","-28.0800000","526","526",NA,NA,NA,NA,NA
"42","2020-10-14 10:00:24-03","FURB","FURB","20742","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Korte, A.; Kniess, A.","1912","2010","02","22",NA,"Brasil","Santa Catarina","Rio do Campo","Anta Branca (Antigo Alto Rio do Oeste).","-50.2202778","-26.91",NA,"Florística IFFSC 681 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;",NA,"FURB21575","FURB21575","11","24","-50.2202778","-26.9100000","786","786",NA,NA,NA,NA,NA
"43","2020-10-14 10:00:24-03","FURB","FURB","21397","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1445","2010","02","17",NA,"Brasil","Santa Catarina","Rio do Sul","Fazenda Mirador.","-49.59","-27.09",NA,"Florística IFFSC e573a (Rupícola) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; entorno do fragmento Habito: rupícola; Fruto laranja;",NA,"FURB01198","FURB01198","11","24","-49.5900000","-27.0900000","787","787",NA,NA,NA,NA,NA
"44","2020-10-14 10:00:24-03","FURB","FURB","25931","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1992","2010","05","06",NA,"Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.0477777","-26.1925",NA,"Epífita IFFSC e1048b (Acima de 4m) - sobre forófito 1 Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; Fruto violeta;",NA,"FURB21579","FURB21579","11","24","-49.0477777","-26.1925000","576","576",NA,NA,NA,NA,NA
"45","2020-10-14 10:00:24-03","FURB","FURB","27407","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Calvente, A","2011","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2559","2010","06","01",NA,"Brasil","Santa Catarina","São Martinho","Chicão - Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.87","-28.08",NA,"Epífita IFFSC e173b (Acima de 4m) - sobre o forófito 10 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto laranja;",NA,"FURB21576","FURB21576","11","24","-48.8700000","-28.0800000","558","558",NA,NA,NA,NA,NA
"46","2019-12-06 19:29:22-03","UFES","VIES","39483","S","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Iglesias, D.T.; Barros, P.H.D.; Silva, L.A.; Ramos, F.","225","2011","11","04",NA,"Brasil","Espírito Santo","Serra","APA Mestre Álvaro. Trilha para as Três Marias, topo.","-40.326667","-20.169722",NA,NA,NA,"VIES039483","VIES039483",NA,NA,"40º19'36''W","20º10'11''S","610","610",NA,NA,NA,NA,NA
"47","2019-12-06 19:29:22-03","UFES","VIES","39484","S","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Iglesias, D.T.; Barros, P.H.D.; Silva, L.A.; Ramos, F.","227","2011","11","04",NA,"Brasil","Espírito Santo","Serra","APA Mestre Álvaro. Trilha para as Três Marias, topo.","-40.326667","-20.169722",NA,NA,NA,"VIES039484","VIES039484",NA,NA,"40º19'36''W","20º10'11''S","610","610",NA,NA,NA,NA,NA
"48","2019-12-06 19:29:22-03","UFES","VIES","39485","S","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G.Lindb.","Cardoso, W.C.","2015","Cardoso, W.C.; Iglesias, D.T.; Barros, P.H.D.; Silva, L.A.; Dal col, A.C.S.; Casagrande, L.; Santos, P.C.","209","2012","09","05",NA,"Brasil","Espírito Santo","Serra","APA Mestre Álvaro. Trilha principal.","-40.307222","-20.164444",NA,NA,NA,"VIES039485","VIES039485",NA,NA,"40º18'26''W","20º9'52''S","683","683",NA,NA,NA,NA,NA
