"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class"
"26","2021-02-12 10:55:05-03","UFG","UFG","46492","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Lauredenfels, D.","2000","12","30","Pereira, B.A.S.; Alvarenga, D.","1996","07","02","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.333333","-13.833333",NA,NA,"Arbusto ca. de 2,0 metros de altura. Estéril. Campo rupestre.",NA,"3108",NA,NA,NA,"UFG0046492",NA,"1100","1100",NA,NA,"Laub.",NA,NA,"-47.333333","-13.833333",NA
"27","2020-09-12 05:00:02-03","US","US","2400130","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"J. A. Steyermark","1960","4","14","Venezuela","Bolívar",NA,"Cerro Venamo: NW slopes, between road campamento 125 and beginning of forest","-61.4","5.86",NA,"1",NA,NA,"60 140","South America - Neotropics",NA,NA,"US00880283",NA,"1100","1300",NA,"Taxales","de Laub.",NA,NA,NA,NA,"Gymnospermae"
"28","2020-09-12 05:00:02-03","US","US","2925716","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"J. A. Steyermark & G. S. Bunting","1970","5","4","Venezuela","Amazonas",NA,"Cerro Yapacána, alrededores del Campamento; en al parte suroeste","-66.75","3.75",NA,"1",NA,NA,"103079","South America - Neotropics",NA,NA,"US00880281",NA,"825",NA,NA,"Taxales","de Laub.",NA,NA,NA,NA,"Gymnospermae"
"29","2020-09-12 05:00:02-03","US","US","3381751","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"B. A. S. Pereira, D. Alvarenga, E. S. Cardoso & M. A. Silva","1999","1","8","Brazil","Distrito Federal",NA,"Reserva do Guará, Setor de Industria e Abastecimento",NA,NA,NA,"1",NA,NA,"3460","South America - Neotropics",NA,NA,"US01326505",NA,NA,NA,NA,"Taxales","de Laub.","US01326505_01 US01326505_02",NA,NA,NA,"Gymnospermae"
"30","2020-09-12 05:00:02-03","US","US","3381750","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"B. A. S. Pereira, D. Alvarenga, E. S. Cardoso & M. A. Silva","1999","1","8","Brazil","Distrito Federal","Brasília","Reserva do Guará, Setor de Industria e Abastecimento","-47.9296989440918","-15.7797002792358","70570","1",NA,"auto","3459","South America - Neotropics",NA,NA,"US01326506",NA,"1100",NA,NA,"Taxales","de Laub.","US01326506_01 US01326506_02",NA,NA,NA,"Gymnospermae"
"31","2020-09-12 05:00:02-03","US","US","2584751","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"J. A. Steyermark","1964","5","12","Venezuela","Bolívar",NA,"Auyan-tepuí, Río Churún, de la parte norte de la sección sur (división occidental del cerro); a lo largo del Río Churún al pie de Second Wall desde el campamento norte, 5 km hacia el noreste","-62.53","5.96",NA,"1",NA,NA,"93746","South America - Neotropics",NA,NA,"US00880282",NA,"1660",NA,NA,"Taxales","de Laub.",NA,NA,NA,NA,"Gymnospermae"
"32","2019-11-13 11:29:06-03","USP","SPF","176571","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Graciano-Ribeiro, D","2005","07","19","Brasil","Goiás","Cavalcante","Portal da Chapada","-47.602639","-14.175194",NA,NA,NA,NA,"102",NA,NA,NA,"SPF00176571",NA,NA,NA,NA,NA,"de Laub.",NA,NA,"-47.602639","-14.175194",NA
"33","2019-11-13 11:29:06-03","USP","SPF","184733","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Fonseca, ML","2007","11",NA,"Sousa Silva, S","2007","07","31","Brasil","Goiás","Caiapônia","Bacia do Rio Caiapó","-51.556111","-17.043056",NA,NA,NA,NA,"246",NA,NA,NA,"SPF00184733",NA,NA,NA,NA,NA,"de Laub.",NA,NA,"-51.556111","-17.043056",NA
"34","2019-11-13 11:29:06-03","USP","SPF","194374","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Pereira, BAS","2009","08",NA,"Pereira, BAS","2009","08","05","Brasil","Goiás","Cavalcante","Bacia do rio Tocantins.","-47.522778","-13.616111",NA,NA,NA,NA,"3552",NA,NA,NA,"SPF00194374",NA,NA,NA,NA,NA,"de Laub.",NA,NA,"-47.522778","-13.616111",NA
"35","2021-03-15 18:29:29-03","USP","SPF","210906","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Farjon, AK","2010","11",NA,"Zappi, DC","2009","03","08","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Trilha da Senhorinha, primeiro platô.","-43.752112","-18.968648",NA,NA,"Arvoreta 4 m alt, semi-sombra.; Mata de galeria.",NA,"1892",NA,NA,NA,"SPF00210906",NA,NA,NA,NA,NA,"de Laub.",NA,NA,"-43.752112","-18.968648",NA
"36","2019-11-13 11:29:06-03","USP","SPF","143406","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Soares-Silva, LH","2000","05",NA,"Soares-Silva, LH","2000","05","31","Brasil","Distrito Federal","Brasília","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","70570",NA,NA,"auto","766",NA,NA,NA,"SPF00143406",NA,NA,NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
