"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","day","continentOcean","locality","occurrenceRemarks","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","sex"
"12","2012-03-01 05:10:00-03","MO","MOBOT","1848656","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Vásquez & Ibisch",NA,NA,"Thorsten Krömer|Amparo Acebey","Krömer 788","1999","9","Bolivia","La Paz","Sud Yungas","-67.3333333","-15.4833333",NA,NA,NA,NA,NA,NA,"7","South America","Alto Beni, Sapecho, Colonia 16 de Julio, senda antena de ENTEL; bosque siempreverde, cresta de la serrania marimonos",NA,NA,NA,NA,"1200.00000000",NA,NA,NA,"1",NA
"13","2011-06-09 17:11:00-03","MO","MOBOT","667950","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer",NA,NA,NA,"Calaway H. Dodson|et al.","Dodson 6115A","1979","12","Ecuador","Pichincha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","South America",NA,NA,NA,NA,NA,"540.00000000",NA,NA,NA,NA,NA
"14","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","18286",NA,"Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","L. Kollmann/08-01-2013",NA,NA,"C. N. de Fraga","759","2001","06","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML018286",NA,NA,NA,NA,"10",NA,"Estação Biológica de Santa Lúcia","Epífita, flores vermelhas, abertas por duas janelas entre sépalas, ovário com membranas altas, bainhas castanho claros.",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","40291",NA,"Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","L. Kollmann/08-01-2013",NA,NA,"L. Kollmann","11977","2010","06","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","MBML040291",NA,"auto",NA,NA,"20",NA,"Santo Henrique","Planta epífita na meia sombra, flores purpuro-negras, floração em cultivo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-25 13:53:07-03","UNIVILLE","JOI","14876","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mancinelli, W. S.","2009","04","Mancinelli, W.S.","884","2009","04","Brasil","Santa Catarina","Joinville","-48.8456001281738","-26.3043994903564","37150","JOI014876",NA,"auto",NA,NA,"24",NA,"Morro da Tromba.","; HABITO: Epífita","24",NA,NA,"300","300",NA,NA,NA,NA
"17","2019-11-13 16:04:59-03","UNISANTA","HUSC","1802","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer",NA,NA,NA,"Sampaio, P.S.P.; Martins, S.E.; Magenta, M.A.G.","243","1999","04","Brasil","São Paulo","Bertioga","-46.138599395752","-23.8544006347656","37616",NA,NA,"auto",NA,NA,"22",NA,"Guaratuba, Fazenda Três Marias, estrada da captação.","Epífita. Botões florais roxo-vináceo escuro.; Floresta de restinga alta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindl.) Lindl.",NA,NA,NA,"Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais","Caldas","-46.3861","-21.9236","25710",NA,"P03P4N0114","auto",NA,NA,NA,"Southern America","Habitat in sylvis supra arbores ad Serra de Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindl.) Lindl.",NA,NA,NA,"?","s.n.",NA,NA,"Brazil","Pernambuco",NA,NA,NA,NA,NA,"P03P4N0114",NA,NA,NA,NA,"Southern America","in prov. Pernambuco secundum cl. Rolfe, loc. cit.","Floret Martio - Aprili",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindl.) Lindl.",NA,NA,NA,"Regnell, AF","1671",NA,NA,"Brazil","Minas Gerais","Caldas","-46.3861","-21.9236","25710",NA,"P03P4N0114","auto",NA,NA,NA,"Southern America","Habitat in sylvis supra arbores ad Serra de Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:13:03-03","IBt","SP","35169","S","Plantae",NA,"Orchidaceae","Cryptophoranthus","atropurpureus","Cryptophoranthus atropurpureus","(Lindl.) Rolfe","Hoehne, FC",NA,NA,"Hoehne, FC","s.n.","1936","02","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Piassaguera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:13:55-03","IBt","SP","25492","S","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mamede, MCH","2011","03","Spannagel, C","266",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:13:55-03","IBt","SP","401826","S","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mamede, MCH","2011","05","Barros, F","s.n.",NA,NA,"Brasil","Minas Gerais","Carangola","-42.0293998718262","-20.7331008911133","21913",NA,NA,"auto",NA,NA,NA,NA,"Cultivada na Seção de Orquidário do Instituto de Botânica, sob nº14998, fl. 10-II-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:13:55-03","IBt","SP","401825","S","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mamede, MCH","2011","05","Barros, F","s.n.",NA,NA,"Brasil","Minas Gerais","Carangola","-42.0293998718262","-20.7331008911133","21913",NA,NA,"auto",NA,NA,NA,NA,"Cultivada na Seção de Orquidário do Instituto de Botânica, sob nº 15005, fl. 23-I-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:13:55-03","IBt","SP","247392","S","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mamede, MCH","2011","05","Leoni, LS","s.n.",NA,NA,"Brasil","Minas Gerais","Carangola","-42.0293998718262","-20.7331008911133","21913",NA,NA,"auto",NA,NA,NA,NA,"Cultivado na Seção do Orquidário do Instituto de Botânica, fl. 29-IV-1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:13:55-03","IBt","SP","247760","S","Plantae",NA,"Orchidaceae","Zootrophion","schenckii","Zootrophion schenckii","(Cogn.) Luer","Barros, F","1991","03","Campacci, MA","s.n.","1981","03","Brasil","São Paulo","Salesópolis","-45.8400001525879","-23.5300006866455","18032",NA,NA,"auto",NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-03-16 19:32:09-03","AMES","HU-HERB","AMES 02152970","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindley) Lindley",NA,NA,NA,"P. K. H. Dusén","18036","1916","4","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","South America","Curityba",NA,NA,NA,NA,NA,NA,"18036","Packet",NA,"undetermined"
"28","2020-03-16 19:31:31-03","AMES","HU-HERB","AMES 02152971","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindley) Lindley",NA,NA,NA,"[illegible]",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","[no additional data]",NA,NA,NA,NA,NA,NA,NA,"Packet",NA,"undetermined"
