"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount"
"14","2021-03-01 16:40:47-03","UNICAMP","UEC","14339","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Coelho, RLG","Hatschbach, G","14557","1966","08","04",NA,"Brazil","Paraná","Quatro Barras","Encosta Morro Mãe Catira.","-49.0769004821777","-25.3656005859375",NA,"Arvoreta flor creme.; Matinha nebular.","UEC160134","UEC160134","1200","1200","2007","10","16","17116","auto",NA,NA,NA,NA,NA
"15","2021-03-01 16:40:47-03","UNICAMP","UEC","50908","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G","Hatschbach, G","45288","1982","09","10",NA,"Brazil","Paraná","São José dos Pinhais","Purgatório","-49.2064018249512","-25.5347003936768",NA,"Arvoreta 5m, flor alvecente.; Mata pluvial, encosta de morro.","UEC160135","UEC160135",NA,NA,"1982",NA,NA,"45291","auto",NA,NA,NA,NA,NA
"16","2020-10-14 10:06:28-03","FURB","FURB","32585","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Ferrucci, MS","Verdi, M.; Martins, E.M. & Veiga, O.N.","5528","2010","08","25",NA,"Brasil","Paraná","Morretes","Trilha Noroeste / Parque Estadual Pico Marumbi.","-48.9147222","-25.445",NA,NA,"FURB43185","FURB43185","854","854","2011","12","06",NA,NA,"-48.9147222","-25.4450000",NA,NA,NA
"17","2020-10-14 10:06:28-03","FURB","FURB","32608","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Ferrucci, MS","Verdi, M.; Martins, E.M. & Veiga, O.N.","5560","2010","08","27",NA,"Brasil","Paraná","Guaratuba","Morro dos Perdidos / APA Estadual de Guaratuba.","-48.9666667","-25.8688889",NA,NA,"FURB43184","FURB43184","954","954","2011","12","06",NA,NA,"-48.9666667","-25.8688889",NA,NA,NA
"18","2020-10-14 10:06:28-03","FURB","FURB","46907","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Barboza, E","Cordeiro, J.; Barboza, E. & Brotto, M.L.","5203","2014","08","12",NA,"Brasil","Paraná","Guaratuba","Pico Pedra Branca de Araraquara, parte alta da trilha.","-48.8783334","-25.9369444",NA,NA,"FURB43182","FURB43182","1080","1080","2014","08","21",NA,NA,"-48.8783334","-25.9369444",NA,NA,NA
"19","2019-11-08 08:56:19-03","FURB","FURB","6010","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Sobral, M","Vieira, F.C.S.","412","2004","07","28",NA,"Brasil","Santa Catarina","Joinville","Castelo dos Bugres.","-48.8456001281738","-26.3043994903564",NA,NA,"FURB43187","FURB43187","900","900","2005","03","30","37150","auto",NA,NA,NA,NA,NA
"20","2019-11-08 08:56:19-03","FURB","FURB","6011","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Vieira, FCS","Vieira, F.C.S.","637","2004","11","25",NA,"Brasil","Santa Catarina","Joinville","Castelo dos Bugres.","-48.8456001281738","-26.3043994903564",NA,NA,"FURB03461","FURB03461","900","900","2005","03","30","37150","auto",NA,NA,NA,NA,NA
"21","2021-03-16 17:55:03-03","UCS","HUCS","40129","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Barbosa, E.","Barbosa, E.","3429","2012","08","09",NA,"Brasil","Paraná","Guaratuba","Morro dos Pedidos","-48.5746994018555","-25.8827991485596",NA,"Arbusto 3m, flores creme - Herbário MBM.; Beira do Rio Encachoeirado",NA,NA,NA,NA,"2012","08","09","41937","auto",NA,NA,NA,NA,NA
"22","2021-03-16 17:55:03-03","UCS","HUCS","37136","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Coelho, L.G.","Silva, J.M.","3753","2003","07","01",NA,"Brasil","Paraná","Paranaguá","Trilha para a Torre da Prata","-48.5092010498047","-25.5200004577637",NA,"Árvore 10m, flor alva, Herbário MBM.; Encosta do morro, Floresta Atlântica",NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"23","2019-11-26 13:10:39-03","UTFPR","HCF","29765","S","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","M.L. Brotto","R.R. Völtz","1923","2018","08","11",NA,"Brasil","PR","Guaraqueçaba","Serra Gigante","-48.173056","-25.155556",NA,"árvore 7 m alt. Flores alvo-esverdeadas. Estrato superior de floresta de topo de morro. Trilha para o cume.",NA,NA,"760","760","2018","08","11",NA,NA,"48°10'23 W","25°09'20 S",NA,NA,NA
"24","2019-08-16 08:41:04-03","UTFPR","HCF","18841","S","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","E. Barboza","J. Cordeiro","5203","2014","08","12",NA,"Brasil","PR","Guaratuba","Pico Pedra Branca de Araraquara, parte","-48.878333","-25.936944",NA,"árvore de 5 m; flores alvas.",NA,NA,"1080","1080","2014","08","21",NA,NA,"48°52'42 W","25°56'13 S",NA,NA,NA
"25","2019-08-16 08:41:04-03","UTFPR","HCF","19230","S","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","L.G. Coelho","J.M. Silva","3753","2003","07","01",NA,"Brasil","PR","Paranaguá","Trilha para a Torre da Prata","-48.5092010498047","-25.5200004577637",NA,"árvore, 10 m, flor alva. Encosta do morro. Floresta Atlântica.",NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"26","2020-12-21 16:44:29-03","MBM","MBM","47477","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Reitz, R.","Hatschbach, G.","8190","1961","08","30","Southern America","Brazil","Paraná","Morretes","Barro Branco","-48.834400177002","-25.476900100708",NA,"Árvore 6m, flor creme.; Mata higrófila.","MBM047477","MBM047477",NA,NA,"1980",NA,NA,"30514","auto",NA,NA,NA,"PARATYPE",NA
"27","2020-12-21 16:44:29-03","MBM","MBM","129173","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G.","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","600",NA,NA,NA,"Southern America","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375",NA,NA,"MBM129173","MBM129173",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"28","2020-12-21 16:44:29-03","MBM","MBM","76469","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G.","Hatschbach, G.","45288","1982","09","10","Southern America","Brazil","Paraná","São José dos Pinhais","Purgatório","-49.2064018249512","-25.5347003936768",NA,NA,"MBM076469","MBM076469",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"29","2020-12-21 16:44:29-03","MBM","MBM","385328","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Brotto, M.L.","Engels, M.E.","1576","2013","09","02",NA,"Brasil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville","-48.943056","-25.881944",NA,"Arbórea. Folhas verdes, caule castanho. Flores alvacentas.; Floresta Ombrófila Densa.","MBM385328","MBM385328","800","800","2013","10","02",NA,NA,"-48.943056","-25.881944",NA,NA,NA
"30","2020-12-21 16:44:29-03","MBM","MBM","385329","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Brotto, M.L.","Engels, M.E.","1528","2013","09","07",NA,"Brasil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville","-48.943056","-25.881944",NA,"Arbórea. Caule castanho. Folhas verdes. Flores alvas.; Floresta Ombrófila Densa.","MBM385329","MBM385329","800","800","2013","10","02",NA,NA,"-48.943056","-25.881944",NA,NA,NA
"31","2020-12-21 16:44:29-03","MBM","MBM","391606","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Barboza, E.","Cordeiro, J.; Barboza, E.; Brotto, M.L.; Barboza, E.; Brotto, M.L.","5203","2014","08","12","Southern America","Brazil","Paraná","Guaratuba","Pico Pedra Branca de Araraquara, parte alta da trilha","-48.878333","-25.936944",NA,"Árvore de 5m; flores alvas.; Floresta Ombrófila Densa Altomontana (matinha nebular).","MBM391606","MBM391606","1080","1080","2014","08","21",NA,NA,"-48.878333","-25.936944",NA,NA,NA
"32","2020-12-21 16:44:29-03","MBM","MBM","414174","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Barboza, E.","Barboza, E.; Brotto, M.L.; Brotto, M.L.","4623","2018","07","13","Southern America","Brazil","São Paulo","Cajati","Serra do Azeite","-48.206111","-24.891111",NA,"Árvore com 8 m de altura; botões florais esbranquiçados.; Floresta Ombrófila Densa Montana, estágio médio de sucessão.","MBM414174",NA,"703","703","2018","08","10",NA,NA,"-48.206111","-24.891111",NA,NA,NA
"33","2020-12-21 16:44:29-03","MBM","MBM","415207","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Brotto, M.L.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1923","2018","08","11","Southern America","Brazil","Paraná","Guaraqueçaba","Serra Gigante, trilha para o cume","-48.173056","-25.155556",NA,"Árvore 7 m alt.; flores alvo-esverdeadas; estrato superior de floresta de topo de morro.; Floresta Ombrófila Densa Submontana.","MBM415207","MBM415207","760","760","2018","08","11",NA,NA,"-48.173056","-25.155556",NA,NA,NA
"34","2020-12-21 16:44:29-03","MBM","MBM","2579","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Smith, S.F.","Hatschbach, G.","14557","1966","08","04","Southern America","Brazil","Paraná","Quatro Barras","Encosta Morro Mãe Catira","-49.0769004821777","-25.3656005859375",NA,NA,"MBM002579","MBM002579",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:44:29-03","MBM","MBM","123616","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G.","Kummrow, R.; Budziak, C.; Budziak, C.","3037","1988","08","03","Southern America","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375",NA,NA,"MBM123616","MBM123616",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:44:29-03","MBM","MBM","277270","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Coelho, R.L.G.","Gatti, G.; et al.; et al.","1544","2002","04","23","Southern America","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato. Fazenda Esperança","-48.3288993835449","-25.3066997528076",NA,"Vegetativo, Floresta Ombrófila Densa","MBM277270","MBM277270",NA,NA,"2009","09","23","37295","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:44:29-03","MBM","MBM","111287","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Pennington, T.D.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","343","1986","08","28","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,"MBM111287","MBM111287",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:44:29-03","MBM","MBM","76463","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G.","Oliveira, P.I.","662","1982","08","25","Southern America","Brazil","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,"MBM076463","MBM076463",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"39","2020-12-11 11:41:21-03","UFMG","BHCB","33980","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:41:21-03","UFMG","BHCB","33980","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:41:21-03","UFMG","BHCB","76199","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,"Silva, JM; Barbosa, E; Vaz, J","3649","2002","09","30","Southern America","Brasil","São Paulo","Cajati","Estação Repetidora da Serra do Aleixo","-48.1199989318848","-24.7299995422363",NA,"Árvore, 8m, flor alva.","BHCB045871",NA,NA,NA,"2002",NA,NA,"24646","auto",NA,NA,NA,NA,NA
"42","2021-02-11 17:21:41-03","UFPR","UPCB","20238","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Hatschbach, G.",NA,NA,NA,NA,NA,"Brasil","Paraná","Morretes","Barro Branco","-48.834400177002","-25.476900100708",NA,"Árvore, 6m, flor creme. Mata higrófila..","UPCB0001673","UPCB0001673",NA,NA,"2016","09",NA,"30514","auto",NA,NA,NA,NA,NA
"43","2021-02-11 17:21:41-03","UFPR","UPCB","52419","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Reginato, M.","51","2004","08",NA,NA,"Brasil","Paraná","Piraquara","Mananciais da Serra","-49.0633010864258","-25.4416999816895",NA,"Arbórea 5m..","UPCB0001672","UPCB0001672",NA,NA,"2016","09",NA,"12577","auto",NA,NA,NA,NA,NA
"44","2021-02-11 17:21:41-03","UFPR","UPCB","39846","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Rosado, A.","Lacerda, A.","164","1998","12","17",NA,"Brasil","Paraná","Piraquara","Morro do Canal, Mananciais da Serra","-49.0633010864258","-25.4416999816895",NA,"Árvore 11m, frutos avermelhados, em área de contato entre as florestas ombrófilas densa e mista. Alt. 1000m..","UPCB0001682","UPCB0001682",NA,NA,"2016","09",NA,"12577","auto",NA,NA,NA,NA,NA
"45","2021-02-11 17:21:41-03","UFPR","UPCB","40726","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Dala Rosa, S.","72","1999","11","20",NA,"Brasil","Paraná","Morretes","Parque Estadual do Pico Marumbi","-48.834400177002","-25.476900100708",NA,"Árvore ± 4m, frutos vermelhos e sementes com arilo amarelo..","UPCB0001671","UPCB0001671",NA,NA,"2016","09",NA,"30514","auto",NA,NA,NA,NA,NA
"46","2021-02-11 17:21:41-03","UFPR","UPCB","42652","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Dala Rosa, S.","107","2000","07","17",NA,"Brasil","Paraná","Morretes","Parque Estadual do Pico Marumbi","-48.834400177002","-25.476900100708",NA,"Árvore ca. 2,5m, flores alvas, floresta ombrófila densa altomontana..","UPCB0001674","UPCB0001674",NA,NA,"2016","09",NA,"30514","auto",NA,NA,NA,NA,NA
"47","2021-02-11 17:21:41-03","UFPR","UPCB","40754","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Dala Rosa, S.","19","1999","08","24",NA,"Brasil","Paraná","Morretes","Parque Estadual do Pico Marumbi","-48.834400177002","-25.476900100708",NA,"Arvoreta ±5m, flores creme, folhas em desenvolvimento. Alt. ±900m..","UPCB0001681","UPCB0001681",NA,NA,"2016","09",NA,"30514","auto",NA,NA,NA,NA,NA
"48","2021-02-11 17:21:41-03","UFPR","UPCB","34631","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado, A.","Santos, E.P.","563","1998","10","02",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Árvore de ± 2 m, flores esverdeadas. Interior de mata nebular, 1000 m de altitude..","UPCB0001587","UPCB0001587",NA,NA,"2016","09",NA,"41937","auto",NA,NA,NA,NA,NA
"49","2021-02-11 17:21:41-03","UFPR","UPCB","44488","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R.Reitz","Rosado","Santos, E.P.","1022","2001","08","17",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Árvore de ± 7 m, flores alvas. Interior de Floresta Ombrófila Densa Montana..","UPCB0001600","UPCB0001600","850","850","2016","09",NA,"41937","auto",NA,NA,NA,NA,NA
"50","2021-02-11 17:21:41-03","UFPR","UPCB","19174","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","R. Reitz","Rosado, A.","Cordeiro, J.","343","1986","08","28",NA,"Brasil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,"Árvore, 4m, flor alva. Mata pluvial..","UPCB0001683","UPCB0001683",NA,NA,"2016","09",NA,"30514","auto",NA,NA,NA,NA,NA
"51","2014-11-10 19:06:00-02","MO","MOBOT","3003549","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","G. Hatschbach","P.I. Oliveira","Oliveira 662","1982","8","25","South America","Brazil","Paraná",NA,"Rio Taquari (mun. Quartro Barras).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2020-08-31 09:10:05-03","INPA","INPA","112913","S","Plantae","Dicotyledon Com-Clade","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reit","Hatschbach, GG","Hatschbach, GG","45288","1982","09","10","Southern America","Brasil","Paraná","São José dos Pinhais","Vic. Hotel Playa Escondida, 10 Km N of Sontecomapan","-49.2064018249512","-25.5347003936768",NA,NA,"INPA0112913","INPA0112913 INPA0112913_e",NA,NA,"1982",NA,NA,"45291","auto",NA,NA,NA,NA,NA
"53","2017-11-24 14:12:26-02","UFLA","ESAL","9561","S","Plantae",NA,NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Eduardo Van den Berg","Sartori, RA","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Socorro","Bairro do Porto","-46.5200004577637","-22.5900001525879",NA,"árvore; ; ;; floresta",NA,NA,"9","9",NA,NA,NA,"17674","auto",NA,NA,NA,NA,NA
"54","2020-09-12 05:00:02-03","US","US","3177886","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Hatschbach, G. G.","R. Kummrow & C. Budziak","3037","1988","7","3","South America","Brazil","Paraná",NA,"Mun. Quatro Barras, Morro Mãe Catira.",NA,NA,NA,NA,"US01204010","US01204010_01","1100","1200",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1"
"55","2020-09-12 05:00:02-03","US","US","2449904","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","Pennington, T. D., (K)","G. Hatschbach","8190","1961","7","30","South America","Brazil","Paraná",NA,"Mun. Morretes, Barro Branco.",NA,NA,NA,NA,"US01204008","US01204008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1"
