"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class"
"11","2020-09-12 05:00:02-03","US","US","3080120","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"M. Kuhlmann","2453","1950","6","8","South America - Neotropics","Brazil","Minas Gerais",NA,"Minas Gerais, São Francisco dos Campos, Delfim Moreira. Fazenda São Francisco",NA,NA,NA,NA,NA,NA,"US00013347","US00013347_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"12","2020-09-12 05:00:02-03","US","US","3318542","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Vinicius-Silva, R.","L. G. Clark & M. Morel","615","1990","1","13","South America - Neotropics","Brazil","São Paulo",NA,"Serra de campos do jordao, horto florestal","-45.5333","-22.7","1730","1730",NA,NA,"US00520013","US00520013_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"13","2020-09-12 05:00:02-03","US","US","2928068","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"M. Kuhlmann","2084","1949","11","22","South America - Neotropics","Brazil","São Paulo",NA,"Campos do jordao, umarama",NA,NA,NA,NA,NA,NA,"US00018874","US00018874_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"14","2020-09-12 05:00:02-03","US","US","2678698","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"M. Kuhlmann","s.n.","1948","10","4","South America - Neotropics","Brazil","São Paulo",NA,"Campos do jordao",NA,NA,NA,NA,NA,NA,"US00028615","US00028615_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"15","2020-09-12 05:00:02-03","US","US","3318543","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Vinicius-Silva, R.","L. G. Clark & M. Morel","615","1990","1","13","South America - Neotropics","Brazil","São Paulo",NA,"Serra de campos do jordao, horto florestal","-45.5333","-22.7","1730","1730",NA,NA,"US00520012","US00520012_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"16","2020-09-12 05:00:02-03","US","US","2900188","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"M. Kuhlmann","2453","1950","6","8","South America - Neotropics","Brazil","Minas Gerais",NA,"Minas Gerais, São Francisco dos Campos, Delfim Moreira. Fazenda São Francisco",NA,NA,NA,NA,NA,NA,"US00028614","US00028614_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"17","2020-09-12 05:00:02-03","US","US","2910575","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Vinicius-Silva, R.","P. G. Windisch","2788","1980","4","14","South America - Neotropics","Brazil","São Paulo",NA,"Serra da mantiqueira, parque estadual de campos de jordac",NA,NA,"1500","1500",NA,NA,"US00028825","US00028825_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"18","2021-03-04 11:16:09-03","UEFS","HUEFS","147715","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"Viana, P.L.","3563","2008","05","15",NA,"Brasil","Minas Gerais",NA,"Alagoa, Parque Estadual Serra do Papagagio, Estrada da Usina.","-44.827778","-22.223333","129","129",NA,NA,"HUEFS0147715","HUEFS0147715",NA,"2018","07",NA,NA,NA,"44W49'40''","22S13'24''",NA,"Lilianae"
"19","2021-02-08 12:53:48-03","UFRGS","ICN","135054","S","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Vinícius-Silva, R","Windisch, PG","2788","1980","04","14","América do Sul","Brasil","SP","Campos do Jordão","Serra da Mantiqueira São José dos Alpes","-45.5900001525879","-22.7299995422363","1500","1500",NA,"Margem da estrada, subida para São José dos Alpes",NA,NA,NA,"2018","06","25","21048","auto",NA,NA,NA,NA
"20","2019-11-21 10:15:56-03","IBt","SP","153837","S","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Kuhlmann, M","2453","1950","06","08",NA,"Brasil","Minas Gerais","São Francisco dos Campos","Delfim Moreira",NA,NA,NA,NA,NA,NA,"SP003105","SP003105","Holotype","1997","05",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:15:56-03","IBt","SP","79758","S","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Kuhlmann, M","s.n.","1948","10","04",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"SP002556","SP002556","Paratype","1997","05",NA,"21048","auto",NA,NA,NA,NA
"22","2019-11-21 10:15:56-03","IBt","SP","169274","S","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Bockermann, W","s.n.","1981","01","04",NA,"Brasil","São Paulo","Campos do Jordão","Alto da Ferradura","-45.5900001525879","-22.7299995422363","1700","1700",NA,"Não havia mais flores, aparentemente já frutificou na temporada anterior, na touceira hastes novas, brotos e hastes secas e deterioradas","SP002558","SP002558","Paratype","1997","05",NA,"21048","auto",NA,NA,NA,NA
"23","2019-11-21 10:15:56-03","IBt","SP","169274a","Extra","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Bockermann, W","s.n.","1981","01","04",NA,"Brasil","São Paulo","Campos do Jordão","Alto da Ferradura","-45.5900001525879","-22.7299995422363","1700","1700",NA,"Não havia mais flores, aparentemente já frutificou na temporada anterior, na touceira hastes novas, brotos e hastes secas e deterioradas","SP002559","SP002559","Paratype","1997","05",NA,"21048","auto",NA,NA,NA,NA
"24","2019-11-21 10:15:56-03","IBt","SP","153838","S","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Kuhlmann, M","2084","1949","11","22",NA,"Brasil","São Paulo","Campos do Jordão","Umuarama","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"SP002555","SP002555","Paratype","1997","05",NA,"21048","auto",NA,NA,NA,NA
"25","2019-11-21 10:15:56-03","IBt","SP","169276","S","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Sendulsky, T","Azevedo, MTP","s.n.","1981","04","14",NA,"Brasil","São Paulo","São José dos Campos","Fazenda Santa Cruz","-45.8800010681152","-23.1700000762939",NA,NA,NA,NA,"SP003106","SP003106","Paratype","1997","05",NA,"39297","auto",NA,NA,NA,NA
