"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class"
"11","2021-03-25 13:53:02-03","UNIVILLE","JOI","15030","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","Mancinelli, W. S.","Mancinelli, W.S.","1245","2010","06","17",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516",NA,NA,NA,"; HABITAT: mata ciliar; HABITO: Epífita","JOI015030",NA,"rio verde.","2010","06","27729","auto","17",NA,NA,NA,NA,NA
"12","2020-08-20 14:54:43-03","UFSC","FLOR","2564","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"Bresolin, A.","259","1971","06","26",NA,"Brasil","Santa Catarina","Governador Celso Ramos","-48.5592002868652","-27.3146991729736","200","200",NA,"epífito, flor creme, labelo marrom-claro. Exemplar único.","FLOR0002564",NA,"Palmas.",NA,NA,"13751","auto",NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.",NA,"Regnell, AF","1133?",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Floret Septembri",NA,NA,"in arboribus ad Serra de Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.",NA,"Regnell, AF","1133",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Floret Septembri",NA,NA,"in arboribus ad Serra de Caldas prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.",NA,"Descourtilz, ME","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.",NA,"Descourtilz, ME","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Floret Maio - Julio",NA,"P03P5N0116","In prov. Rio de Janeiro loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Floret Maio - Julio",NA,"P03P5N0116","In prov. Rio de Janeiro loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"P03P5N0116","Habitat in sylvis supra arbores ad cacumen Serra da Mái d'Agua prope S. Gonçalo da Campanha prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"P03P5N0116","Habitat in sylvis supra arbores ad cacumen Serra da Mái d'Agua prope S. Gonçalo da Campanha prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","nemorosum","Bulbophyllum nemorosum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Floret Septembri",NA,"P03P5N0117","Habitat in sylvis supra arbores ad Cerrados da Fazenda do Jerubiaçaba prope Carmo do Rio Claro, secus flum. Sapucahy prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","nemorosum","Bulbophyllum nemorosum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Floret Septembri",NA,"P03P5N0117","Habitat in sylvis supra arbores ad Cerrados da Fazenda do Jerubiaçaba prope Carmo do Rio Claro, secus flum. Sapucahy prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","ochraceum","Bulbophyllum ochraceum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João del Rei","-44.2617","-21.1356",NA,NA,NA,"Floret Julio - Augusto",NA,"P03P5N0117","Habitat in sylvis virgineis supra arbores ad cacumen Serra S. José d'El Rey prov. Minas Geraes",NA,NA,"39093","auto",NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","ochraceum","Bulbophyllum ochraceum","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João del Rei","-44.2617","-21.1356",NA,NA,NA,"Floret Julio - Augusto",NA,"P03P5N0117","Habitat in sylvis virgineis supra arbores ad cacumen Serra S. José d'El Rey prov. Minas Geraes",NA,NA,"39093","auto",NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","quadricolor","Bulbophyllum quadricolor","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João del Rei","-44.2617","-21.1356",NA,NA,NA,"Floret Augusto",NA,"P03P5N0117","Habitat in sylvis supra arbores ad cacumem Serra de S. José d'El Rey prov. Minas Geraes",NA,NA,"39093","auto",NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","quadricolor","Bulbophyllum quadricolor","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João del Rei","-44.2617","-21.1356",NA,NA,NA,"Floret Augusto",NA,"P03P5N0117","Habitat in sylvis supra arbores ad cacumem Serra de S. José d'El Rey prov. Minas Geraes",NA,NA,"39093","auto",NA,NA,NA,NA,NA,NA
