"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus"
"11","2021-01-14 15:33:52-03","MN","R","234872","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Plumm, M.B. 91; Buzzani, A.P.M.; Vinolo, B.V.; Melo, E.C.N. & Sciammarella, F.",NA,"2017",NA,"Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia","-44.68","-22",NA,"RFA 42303","R010037721","R010037721","Plumm, M.B.; Buzzani, A.P.M.; Vinolo, B.V.; Melo, E.C.N. & Sciammarella, F.",NA,NA,NA,"12","06","44º40'48W","22º00'0S","2300","2300",NA,NA,NA,NA,NA
"12","2021-01-14 15:33:52-03","MN","R","104094","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Mello Filho, L.E.","1428","1957",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"R010056857,R010056858,R010056855","R010056855 R010056857 R010056858","Smith, L.B.","1975","03",NA,"04","20",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"13","2021-01-14 15:33:52-03","MN","R","231278","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Santiago, D.s. 271; Antunes, K. & Alves, R.J.V.",NA,"2012",NA,"Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio","-44.6418991088867","-22.1706008911133",NA,"CESJ 61018","R010032174","R010032174",NA,NA,NA,NA,"11","24",NA,NA,NA,NA,"13155","auto",NA,NA,NA
"14","2021-01-14 15:33:52-03","MN","R","228792","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Alves, R.J.V.",NA,"1996",NA,"Brasil","Rio de Janeiro","Itatiaia","próximo às Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,"R010011477","R010011477","Alves, R.J.V.","2017","08","24","05","24",NA,"flor externamente ró",NA,NA,"19648","auto",NA,NA,NA
"15","2021-01-14 15:33:52-03","MN","R","112842","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Segadas-Vianna, F., Serra I-1382; Dau, L.; Ormond, W.T. & Machline, G.C.",NA,"1953",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,"R010056853,R010056854,R010056852","R010056852 R010056853 R010056854","Smith, L.B.","1961",NA,NA,NA,NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA
"16","2021-03-31 13:41:44-03","MN","R","112841","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Segadas-Vianna, F., Serra I-1129; Dau, L.; Ormond, W.T. & Machline, G.C.",NA,"1953",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,"R010056851","R010056851","Smith, L.B.","1961",NA,NA,NA,NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA
"17","2021-01-14 15:33:52-03","MN","R","30364","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Lobo, B.","15","1921",NA,"Brasil","Rio de Janeiro","Itatiaia","Várzea da Flores","-44.5633010864258","-22.4960994720459",NA,NA,"R010056850","R010056850","Smith, L.B.","1975","03",NA,"02","24",NA,NA,"2400","2400","19648","auto",NA,NA,NA
"18","2021-01-14 15:33:52-03","MN","R","6413","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Dusén, P.K.H.","90","1902",NA,"Brasil","Rio de Janeiro",NA,"Serra do Itatiaia",NA,NA,NA,NA,"R010057006,R010057005","R010057005 R010057006","Mello-Silva, R.","1986","06","20","05","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:33:52-03","MN","R","235586","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Trinta, E.F. 132; Santos, E. 153 & Flaster, B. 127",NA,"1961",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"R010057465,R010057466","R010057465 R010057466","Mello-Silva, R.","1986","06","20","01","13",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"20","2021-01-14 15:33:52-03","MN","R","235584","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Trinta, E.F. 142; Trinta, Z. 74; Santos, E.A.A. 167 & Flaster, B. 136",NA,"1961",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Rebouças","-44.5633010864258","-22.4960994720459",NA,NA,"R010057470,R010057469,R010057468","R010057468 R010057469 R010057470","Mello-Silva, R.","1986","06","20","01","21",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"21","2021-01-14 15:33:52-03","MN","R","229850","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Sutler, D.",NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,"R010029640","R010029640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA
"22","2021-01-14 15:33:52-03","MN","R","6412","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Ule, E.H.G.","292","1894",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"R010057004,R010057003","R010057003 R010057004","Mello-Silva, R.","1986","06","20","02",NA,NA,NA,"2400","2400","19648","auto",NA,NA,NA
"23","2021-01-14 15:33:52-03","MN","R","6411","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","Beauverd","Moreira, C.","9","1903",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"R010057472,R010057473","R010057472 R010057473","Mello-Silva, R.","1986","06","20","11",NA,NA,NA,"2300","2300","19648","auto",NA,NA,NA
"24","2019-02-15 11:51:38-02","IPA","IPA","12680","S","Plantae","Plantae",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Andrade-Lima","61-3763","1961","Southern America","Brasil","São Paulo",NA,"Itatiaia, campos altos, sobre rocha.",NA,NA,NA,"Flor atro-rubra.","IPA0012680",NA,"Menezes, N.","1974","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:46:59-03","UFJF","CESJ","41910","PreservedSpecimen","Plantae","Angiosperma",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","F.M. Ferreira","623","2003","América do Sul","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio","-44.603099822998","-21.9755992889404",NA,"Erva rupícola formando grandes touceiras a 2100 de altitude. Flores violáceas, corona roxa e anteras amarelas.","CESJ041910",NA,"R. Mello-Silva","2004",NA,NA,"12","27",NA,NA,NA,NA,"27460","auto",NA,NA,NA
"26","2019-11-21 14:47:00-03","UFJF","CESJ","71414","PreservedSpecimen","Plantae","Angiosperma",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","K. Antunes; J.H.C. Ribeiro; P.H. Cardoso; L.N. Gonçalvez","757","2018","América do Sul","Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, trilha para as Prateleiras","-45.121364","-22.651383",NA,"Erva rupícola em campo de altitude. Flores vinho (material em sílica)","CESJ071414",NA,NA,NA,NA,NA,"04","22","-45.121364","-22.651383",NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 14:46:59-03","UFJF","CESJ","61018","PreservedSpecimen","Plantae","Angiosperma",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","D.S. Santiago; K. Antunes; R.J.V. Alves","271","2012","América do Sul","Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio, Pico do Santo Agostinho (Garrafão). Em campo de altitude (topo), em afloramento rochoso.","-44.6418991088867","-22.1706008911133",NA,"Erva, ca. 20 cm. Tépalas rosa, escamas petalóides no interior roxo.","CESJ061018",NA,NA,NA,NA,NA,"11","24",NA,NA,NA,NA,"13155","auto",NA,NA,NA
"28","2021-03-01 16:20:47-03","UNICAMP","UEC","100602","S","Plantae","Liliopsida",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV; Goldenberg, R","97/75","1997",NA,"Brazil","São Paulo","Queluz","Crista da montanha vizinha à Pedra da Mina","-44.834167","-22.431389",NA,"Entre 22.2553 - 22.2608 S e 44.5003 - 44.5005 W.; Herbácea formando touceiras densas sobre as pedras. Flores com tépalas vermelhas e corona roxa.; Vegetação subarbustiva e herbácea sobre pedras.","UEC000919","UEC000919","Mello-Silva, R","2003","06",NA,"11","18","-44.834167","-22.431389","2500","2660",NA,NA,NA,NA,NA
"29","2021-03-01 16:20:47-03","UNICAMP","UEC","205215","S","Plantae","Liliopsida",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Streher, NS","NS93","2017",NA,"Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Trilha do Couto - planalto","-44.8699989318848","-22.283899307251",NA,"Campos de Altitude","UEC166852","UEC166852","Streher, NS","2017","11","10","11","10",NA,NA,NA,NA,"26914","auto",NA,NA,NA
"30","2020-11-03 16:40:26-03","UFES","VIES","35469","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Manhães, V.C.; Carrijo, T.T.; Garbin, M.L.; Schwartsburd, P.B. & Pereira, J.B.S.","471","2014",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó.","-41.8683013916016","-20.4333000183105",NA,NA,"VIES035469","VIES035469","C.A. Ferreira Jr.","2020","09","22","03","10",NA,NA,NA,NA,"21645","auto",NA,NA,NA
"31","2019-09-27 18:06:34-03","UFES","VIES","13370","S","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","(Beauverd) N.L. Menezes","Cesar; Furlan, A.","120","1983",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Municipal do Itatiaia.","-44.5633010864258","-22.4960994720459",NA,NA,"VIES013370","VIES013370","Furlan, A.","1983","12","22","12","02",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"32","2020-12-21 16:46:47-03","MBM","MBM","404937","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Mansano, V.F.","188","2003","Southern America","Brazil","Rio de Janeiro","Engenheiro Passos","Parque Nacional do Itatiaia, Planalto, trilha em frente ao abrigo Rebouças",NA,NA,NA,"Erva de 10cm de altura, flores com hipanto vináceo, tépalas magenta e corona violeta.","MBM404937","MBM404937","Mello-Silva, R.","2015",NA,NA,"01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:46:49-03","MBM","MBM","29688","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","(Veauv.) N.L. Menezes","Segadas, F.; et al.; et al.","1382",NA,"Southern America","Brazil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,"MBM029688","MBM029688","Mello-Silva, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA
"34","2020-12-11 11:45:25-03","UFMG","BHCB","92380","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Mota, RC da; Salino, A; Lívia Andrade","2501","2004","Southern America","Brasil","Minas Gerais","Aiuruoca","Matutu.","-44.603099822998","-21.9755992889404",NA,"Planta coletada em afloramento de granito, no morro Cabeça do Leão; terrestre; hipanto atropurpúreo,",NA,NA,NA,NA,NA,NA,"10","10",NA,NA,NA,NA,"27460","auto",NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","2342915","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","O. Barth","7263","1960","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia",NA,NA,NA,NA,"US01329248","US01329248_01",NA,NA,NA,NA,"2","7",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"36","2020-09-12 05:00:02-03","US","US","2653008","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","E. Pereira","7050","1962","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"US01329244","US01329244_01",NA,NA,NA,NA,"3","6",NA,NA,NA,NA,"19648","auto","Monocotyledonae","1",NA
"37","2020-09-12 05:00:02-03","US","US","2270798","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","L. Emygdio de Mello Filho","1428","1957","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Fronteira ao Abrigo Rebouças","-44.5633010864258","-22.4960994720459",NA,NA,"US01329246","US01329246_01",NA,NA,NA,NA,"4","20",NA,NA,NA,NA,"19648","auto","Monocotyledonae","1",NA
"38","2020-09-12 05:00:02-03","US","US","2916239","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","H. Makino-Watanabe","24","1977","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia, Pico das Agulhas Negras",NA,NA,NA,NA,"US01329250","US01329250_01",NA,NA,NA,NA,"4","29",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"39","2020-09-12 05:00:02-03","US","US","2459034","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","H. Strang","254","1961","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Planalto de Itatiaia, pr. Abr. Massenas.",NA,NA,NA,NA,"US01329247","US01329247_01",NA,NA,NA,NA,"1","13",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"40","2020-09-12 05:00:02-03","US","US","2916238","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","H. Makino-Watanabe","24","1977","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia, Pico das Agulhas Negras.",NA,NA,NA,NA,"US01329249","US01329249_01",NA,NA,NA,NA,"4","29",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"41","2020-09-12 05:00:02-03","US","US","2459049","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","H. Strang","149","1960","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Itatiaia, caminho Rebouças - Prateleiras",NA,NA,NA,NA,"US01329245","US01329245_01",NA,NA,NA,NA,"3","13",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"42","2019-10-29 10:08:42-03","UFPR","EFC","12745","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Vieira, R.S.","130","2014",NA,"Brasil","Minas Gerais","Passa Quatro","Serra da Mantiqueira - Morro Pedra da Mina","-44.8515","-22.4273",NA,"Herbácea comum em refúgio vegetacional. Com flor arroxeada.","EFC012745",NA,"Vieira, R.S.","2014","05","21","04","20","-44.8515","-22.4273",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-13 11:32:34-03","USP","SPF","215408","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Mansano, VF","188","2003",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"SPF00215408",NA,"Mello-Silva, R","2012",NA,NA,"01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Laustyak, L","230","1939","Southern America","Brasil","Rio de Janeiro","Itatiaia","Pedra do Urubu","-44.5633010864258","-22.4960994720459",NA,"Flor de cor vinho","UB0028009","UB0028009","Brade","1947",NA,NA,"01",NA,NA,NA,"2400","2400","19648","auto",NA,NA,NA
"45","2019-11-21 10:19:48-03","IBt","SP","12494","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","s.col.","CGG5968","1903",NA,"Brasil","São Paulo",NA,"Itatiaya, no alto da Pedra Assentada.",NA,NA,NA,"Flores fusco-purpureas, estames 6.",NA,NA,"Mello-Silva, R","2003","11","15","03","12",NA,NA,"2500","2500",NA,NA,NA,NA,NA
"46","2014-09-23 10:59:51-03","G","G","G00168186","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Gounelle, E.",NA,"1899","AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=133667&base=img&lang=en","G00168186","G00168186","?",NA,NA,NA,NA,"00","-53.08972222","-10.77305556","2300","2400",NA,NA,NA,NA,"TYPUS of Barbacenia gounelleana Beauverd"
