"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"17","2021-03-15 16:37:00-03","NY","NYBG","821631","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","M. E. Fallen","S. A. Mori","10424","1978","09","13","South America","Brazil","Bahia","14-17 km a W de Mucuri. Folha SE-24 (18-40d)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821631","NY00821631_01","Mucuri","-39.6916252","-18.0789887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00440528","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","A. J. M. Leeuwenberg","S. A. Mori","22400","1992","06","20","South America","Brazil","Amazonas","Rio Negro. Ponta do Pagodao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440528","NY00440528_01 NY00440528_02",NA,"-60.48","-2.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","298204","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","A. J. M. Leeuwenberg","W. W. Thomas","11246","1996","11","14","South America","Brazil","Bahia","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. At base of trail & on lower slopes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298204","NY00298204_01","Porto Seguro","-40.5747","-15.2647","100","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","318362","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cestroides","Tabernaemontana cestroides","Nees & Mart.",NA,"Martii Herbar. Florae Brasil.","966",NA,NA,NA,"South America","Brazil","Bahia","Ad flumen Ilheos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318362","NY00318362_01",NA,NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","318361","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cestroides","Tabernaemontana cestroides","Nees & Mart.",NA,"Martii Herbar. Florae Brasil.","966",NA,NA,NA,"South America","Brazil","Bahia","Ilheos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318361","NY00318361_01",NA,NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","11530","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Markegraf, F.","Paulino, R.",NA,"1931","12","18",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"BOTU011530","BOTU011530","Petrópolis",NA,NA,NA,NA,NA,"1938","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","21335","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Silvia, S.M.","Lima, R.X.","211","1993","12","06",NA,"Brasil","Paraná",NA,NA,NA,"BOTU021335","BOTU021335","Guaraqueçaba",NA,NA,NA,NA,NA,"1997","9999","9999","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-13 09:18:51-03","UFRJ","RFA","31774","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","S.J. Silva Neto","Vania Alves Garcia","s.n.","2000","05","00",NA,"Brasil","Minas Gerais","Mata Bela Fama",NA,NA,"RFA20598",NA,"Santana do Deserto","-43.1664009094238","-21.9500007629395",NA,NA,NA,"2001",NA,NA,NA,"12740","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-11-13 09:18:51-03","UFRJ","RFA","30161","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Carine G. Quinet","Flavio Britto","54/141","2002","01","18",NA,"Brasil","Rio de Janeiro","Distrito de Lídice.",NA,"Arbórea,flor de cor de limão.","RFA32408",NA,"Rio Claro","-44.1356010437012","-22.7231006622314","650","650",NA,NA,NA,NA,NA,"27045","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-13 09:18:51-03","UFRJ","RFA","25775","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Carine G. Quinet","F.M de B.Pereira","43/49","2000","11","06",NA,"Brasil","Rio de Janeiro","Sítio Beira Mar-Poço Fundo.",NA,"Arbusto,folha verde,fruto verde.","RFA32409",NA,"São José do Vale do Rio Preto","-42.9244003295898","-22.1513996124268","671","671",NA,NA,NA,NA,NA,"17642","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:28:55-03","UFRJ","RFA","39559","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","Ricardo Finotti","Finotti R.; Caruzo J.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Próximo a Reserva do Guapiaçu (REGUA)",NA,"Árvore de 20 m de altura e PAP de 70 cm. Presença de látex branco","RFA24535",NA,"Cachoeiras de Macacu","-42.730278","-22.515","50","50",NA,NA,"42º43'49''W","22º30'54''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:18:51-03","UFRJ","RFA","10351","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","C.Y G. Manão","G.G. Hatschbach; O. Guimarães","23300","1970","01","07",NA,"Brasil","Paraná","Rio do Cedro",NA,"Arvore de 15 m, mata pluvial encosta de morro . Flor alvescente , lacticifera, tronco, 30 cm","RFA10193",NA,"Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,"2018",NA,NA,"01","37295","auto","16",NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:18:51-03","UFRJ","RFA","4666","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","C.Y G. Manão","P. Occhioni","116","1945","01","08",NA,"Brasil","Rio de Janeiro","Mata do Pai Ricardo",NA,"Arvore pequena, flor esverdeada","RFA25216",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,"2018",NA,NA,"01","57442","auto","16",NA,NA,NA,NA,NA,NA
"30","2020-06-29 11:28:55-03","UFRJ","RFA","15819","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","C.Y G. Manão","P. Occhioni","6730","1975","01","00",NA,"Brasil","Rio de Janeiro","Serra dos Órgãos, próximo a Magé",NA,"Arvoreta de 6 a 7 m de altura , flor branca .","RFA13653",NA,"Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,"2018",NA,NA,"01","38539","auto","16",NA,NA,NA,NA,NA,NA
"31","2020-11-13 09:18:51-03","UFRJ","RFA","8814","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","C.Y G. Manão","G.G. Hatschbach","18151","1967","11","15",NA,"Brasil","Paraná","Fazenda Abobreira",NA,"Arvore de 18 m, tronco 30 cm, botões esverdeados.","RFA27745",NA,"Guaraqueçaba","-48.3288993835449","-25.3066997528076","20","20",NA,"2018",NA,NA,"01","37295","auto","16",NA,NA,NA,NA,NA,NA
"32","2019-09-10 21:42:11-03","UNEMAT","TANG","5963","S","Plantae",NA,NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","Engels, ME","Engels, ME; Azevedo, MG; Silva, LS","5597","2017","05","30",NA,"Brasil","Mato Grosso","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.",NA,NA,"TANG000005963",NA,"Itaúba","-55.387308","-11.210233","265","265",NA,"2017","-55.387308","-11.210233","07",NA,NA,"28",NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:34:05-03","EAO","IAN","64667","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.","Marinho, LR","Fróes, RL; Black, GA","27676","1951","07","25","Southern America","Brasil","Amapá","Rio Aragaurí, terra firme, baixa.",NA,NA,"IAN064667",NA,NA,"-52.916667","-0.916667",NA,NA,NA,"1968","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-01-20 14:40:08-03","UPM","MACK","2776","PreservedSpecimen","Plantae",NA,NA,"Apocinaceae","Tabernaemontana","cestroides","Tabernaemontana cestroides","Nees ex Mart.","A. G. Aguirre","M. G. J. Teixeira","4H","2011","08","19",NA,"Brasil","SP","Cachoeira dos três tombos",NA,NA,NA,NA,"Ilhabela","-45.3499984741211","-23.7700004577637",NA,NA,NA,NA,NA,NA,NA,"23719","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:08:57-03","UFBA","ALCB","86812","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","Espírito Santo, FS","Jesus, NG de; Santos, JB dos; Silva, IS","1066","1999","12","12","Southern America","Brasil","Bahia","Litoral Norte, RPPN Fazenda Lontra Saudade",NA,"16,50m, cap 0,47m, tronco de casca preta, manchas brancas e cinzas, látex branco. Folhas discolores, membranáceas, opostas formando tufos no ápice dos ramos. Inflorescência com flores senescentes, axilares, pentâmeras. Fruto deiscentes.",NA,NA,"Entre Rios","-40.215556","-12.915278","120","120",NA,"2014","-40.215556","-12.915278","08",NA,NA,"26",NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:08:57-03","UFBA","ALCB","121414","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","Gomes, FS","Gomes, FS","1632","2013","04","15","Southern America","Brasil","Bahia",NA,NA,"látex leitoso. Folhas cartáceas, discolores. 89.3, parcela 03.","ALCB052593","ALCB052593","Una","-39.045278","-15.349444",NA,NA,NA,"2013","-39.045278","-15.349444","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:08:57-03","UFBA","ALCB","130236","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","Guedes, ML","Guedes, ML; Junior, ES de A","30090","2017","12","07","Southern America","Brasil","Bahia","Recôncavo Sul, Rio Camarão.",NA,"látex leitoso. Folhas cartáceas, discolores. Inflorescência com botões e flores alvas.","ALCB047788","ALCB047788","Varzedo","-39.750833","-13.602222",NA,NA,NA,"2018","-39.750833","-13.602222","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:17:44-03","NBC","NL-BOTANY","L.2707119","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers",NA,"Leitão Jr HF; et al.",NA,"1979","12","14","Southern America","Brazil",NA,"Brasil. est. Sp- IIha do Cardoso. Arvore cerca de 15m.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707119","NL-L2707119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103560","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Endress ME","Occhioni P",NA,"1922","01","03","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro ad urbem in silvis Chacara do Fonseca.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103560","NL-U1103560",NA,NA,NA,NA,NA,NA,"2005",NA,NA,"11",NA,NA,"01","Magnoliopsidae","U 0181077",NA,NA,NA,NA
"40","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103562","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","Fallen-Endress ME","Riedel L",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103562","NL-U1103562",NA,NA,NA,NA,NA,"paratype","1985",NA,NA,"11",NA,NA,"01","Magnoliopsidae","U 0181881",NA,NA,NA,NA
"41","2020-02-08 09:17:44-03","NBC","NL-BOTANY","L.2707121","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.",NA,"Hatschbach GG",NA,"1967","12","15","Southern America","Brazil","Paraná","Paraná, Mun. Guaraqueçaba.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707121","NL-L2707121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 09:17:44-03","NBC","NL-BOTANY","L.2707122","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.",NA,"Hatschbach GG",NA,"1967","12","15","Southern America","Brazil","Paraná","Paraná, Mun. Guaraqueçaba.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707122","NL-L2707122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 09:17:44-03","NBC","NL-BOTANY","L.2707123","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Herbar Florae. Brasil.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707123 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707123","NL-L2707123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"44","2020-02-08 09:17:44-03","NBC","NL-BOTANY","L.2707124","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Herbar Florae. Brasil.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707124","NL-L2707124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"45","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103561","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees) Müll.Arg.",NA,"Hatschbach GG",NA,"1967","12","15","Southern America","Brazil","Paraná","Paraná, Mun. Guaraqueçaba.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103561 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103561","NL-U1103561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0181076",NA,NA,NA,NA
