"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","year","month","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","day","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"11","2021-04-07 11:41:12-03","UFMS","CGMS","36238","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; L.C.P. Lima","4977",NA,"Brasil","Anel viário, cerca de 8 Km do trevo da BR 262, sentido Três Lagoas/ Sidrolândia.",NA,"Flor creme. Com látex. Habitat: Brejo de Buriti com Eleocharis e pequenas ilhas (murundus) de vegetação arbustiva. Solo argiloso. Relevo plano. Habito: Erva ereta. Frequente. 0,80-0,90m de altura.","CGMS1065645",NA,"2001","10","Mato Grosso do Sul","Campo Grande","-54.7","-20.5355555",NA,"09",NA,NA,NA,NA,NA,NA,"-54,7","-20,5355555",NA,NA,NA,NA
"12","2021-04-07 11:41:05-03","UFMS","CGMS","65459","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; S.N. Moreira; A. Pott","12130",NA,"Brasil","Varjão, Fazenda Modelo da EMBRAPA. Próximo a ferrovia Campo Grande-Ponta Porã.",NA,"Flor creme. Fruto verde, imaturo. Com látex branco. Habitat: Transição Lagoa pequena, campo úmido com buriti, 30-40 cm de profundidade. Solo hidromórfico orgânico. Relevo plano. Habito: Erva aquática emergente. Esparsa.","CGMS1098420","V.J. Pott","2016","04","Mato Grosso do Sul","Terenos","-54.79","-20.5588889",NA,"07","2016",NA,NA,NA,"04","11","-54,79","-20,5588889","511","511",NA,NA
"13","2021-04-07 11:41:05-03","UFMS","CGMS","23521","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","S.N. Moreira; V.J.Pott; A. Pott","54",NA,"Brasil","Fazenda Modelo da Embrapa Gado de Corte; Área de Varjão prox. à ferrovia.",NA,NA,"CGMS1052932",NA,"2007","10","Mato Grosso do Sul","Terenos","-54.79","-20.5566667",NA,"02",NA,NA,NA,NA,NA,NA,"-54,79","-20,5566667","504","504",NA,NA
"14","2021-04-07 11:41:12-03","UFMS","CGMS","36237","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; A. Pott; L.C.P. Lima","4818",NA,"Brasil","Anel viário, cerca de 8 Km do trevo da BR 262, sentido Três Lagoas/ Sidrolândia.",NA,"Flor creme. Habitat: Área indundada de Vereda de Buriti, 0,20-0,40m de profundidade, represada por estrada. Solo argiloso. Relevo plano. Habito: Erva aquática, emergente. Rara. 0,40-0,60m de altura.","CGMS1065644",NA,"2001","08","Mato Grosso do Sul","Campo Grande","-54.7","-20.5355555",NA,"14",NA,NA,NA,NA,NA,NA,"-54,7","-20,5355555",NA,NA,NA,NA
"15","2021-04-07 11:41:05-03","UFMS","CGMS","76060","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","S.N. Moreira; V.J. Pott, A. Pott & J.B. Fabri","1321",NA,"Brasil","Reserva Cisalpina.",NA,"Flor rosa. Habitat: Nascente com M. flexuosa, solo encharcado/histossolo. Água com 20cm de prof. Habito: Erva anfíbia até 70cm.","CGMS1109015","Moreira, S.N.","2012","12","Mato Grosso do Sul","Brasilândia","-51.9613889","-21.2577778",NA,"19","2012",NA,NA,NA,"12","19","-51,9613889","-21,2577778","265","265",NA,NA
"16","2021-04-07 11:41:05-03","UFMS","CGMS","63988","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; A. Pott","9932",NA,"Brasil","Fazenda São Geraldo, cerca de 7 Km do Atrativo Turístico Rio Sucuri, direção Assentamento Santa Lucia, 25 Km de Bonito, na estrada de Bonito a Jardim.",NA,"Flor creme. Denominação local: 'brejo'. Habitat: Campo graminoso úmido dominado por Setaria paucifolia. Solo argiloso orgânico preto. Relevo plano. Habito: Erva anfíbia, ereta. 0,50 - 0,70 m de altura. Esparsa.","CGMS1096956","V.J. Pott","2007","12","Mato Grosso do Sul","Bonito","-56.5461111","-21.2922222",NA,"07","2007",NA,NA,NA,"12","07","-56,5461111","-21,2922222","325","325",NA,NA
"17","2021-04-07 11:41:05-03","UFMS","CGMS","70188","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; S.N. Moreira; A. Pott","10761",NA,"Brasil","Fazenda Modelo, da Embrapa Gado de Corte; Varjão próximo à ferrovia.",NA,NA,"CGMS1069574","V.J. Pott","2010","01","Mato Grosso do Sul","Terenos","-54.7886111","-20.5583333",NA,"11",NA,NA,NA,NA,NA,NA,"-54,7886111","-20,5583333","510","510",NA,NA
"18","2021-04-07 11:41:05-03","UFMS","CGMS","33679","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","M.A. Farinaccio; A. Pott; S.N. Moreira","883",NA,"Brasil","Fazenda Modelo da Embrapa Gado de Corte. Varjão próximo a ferrovia.",NA,"Asclepiadoideae. Flores creme. Habitat: Campo alagado. Florescendo dentro do lago. Frequente. Habito: Planta ereta, latescente.","CGMS1063075","M.A. Farinaccio","2012","02","Mato Grosso do Sul","Terenos","-54.7833333","-20.5566667",NA,"18",NA,NA,NA,NA,NA,NA,"-54,7833333","-20,5566667",NA,NA,NA,NA
"19","2021-04-07 11:41:05-03","UFMS","CGMS","65802","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; D. Zappi","12166",NA,"Brasil","Fazenda Modelo, EMBRAPA. Varjão próximo a lagoinha.",NA,"Flor creme. Fruto ausente. Habitat: Lagoa associada a vereda, 20-30 cm de profundidade. Solo argiloso, orgânico. Relevo plano. Habito: Erva aquática emergente. 60-80 cm de altura. Esparsa.","CGMS1098763","V.J. Pott","2017","11","Mato Grosso do Sul","Terenos","-54.79","-20.5591667",NA,"09","2017",NA,NA,NA,"11","09","-54,79","-20,5591667","511","511",NA,NA
"20","2020-12-21 16:13:02-03","MBM","MBM","16202","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Hatschbach, G.","25124","Southern America","Brazil","Rio Anhanduí",NA,NA,"MBM016202","Hatschbach, G.","1970","10","Mato Grosso","Rio Brilhante",NA,NA,"MBM016202","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:13:02-03","MBM","MBM","184112","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Arbo, M.M.; et al.; et al.","6351","Southern America","Argentina",NA,NA,NA,"MBM184112","Cáceres, S.","1994","11",NA,NA,NA,NA,"MBM184112","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:13:02-03","MBM","MBM","18200","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Hatschbach, G.","26100","Southern America","Brazil","Fazenda Bela Vista",NA,NA,"MBM018200","Fontella, J.","1971","01","Mato Grosso","Rio Brilhante",NA,NA,"MBM018200","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-15 17:52:56-03","UFMG","BHCB","176044","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Moreira, SN; Pott, VJ; Pott, A; Fabri, JB","1321","Southern America","Brasil","Reserva Cisalpina, Entre Brasilândia/MS e Paulicéia/SP",NA,"Erva anfibia até 70 cm de alt. Flor rosa. Nascente com M. flexuosa (buriti) com solo encharcado/histossolo. Mais ou menos 20 cm de profundidade.",NA,NA,"2012","12","Mato Grosso do Sul","Brasilândia","-51.961389","-21.2575",NA,"19","2012",NA,NA,NA,"12","19","-51.961389","-21.2575","265","265",NA,NA
"24","2021-02-11 17:17:57-03","UFPR","UPCB","8977","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Hatschbach, G.","26100",NA,"Brasil","Fazenda Bela Vista",NA,"Ereta, flor alvescente, brejo..",NA,"Fontella Pereira, J.","1971","01","Mato Grosso","Rio Brilhante",NA,NA,NA,"24","1971",NA,NA,NA,"01","01",NA,NA,NA,NA,NA,NA
"25","2009-08-21 07:03:00-03","MO","MOBOT","2488912","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Émile Hassler","Hassler 8127","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2009-07-09 17:05:00-03","MO","MOBOT","1201458","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Gert G. Hatschbach","Hatschbach 26100","South America","Brazil","Fda. Bela Vista, Mpio. Rio Brilhante.",NA,NA,NA,"J. Fontella","1971","1","Mato Grosso",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","1308373","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","J.L. Fontana|O. Popoff","Fontana 5438","South America","Argentina","Esteros del Iberá, embalsado sobre la costa oriental de Laguna Galarza",NA,NA,NA,"A. Krapovickas & S. Cáceres M.","1985","1","Corrientes","Santo Tomé",NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","1308374","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","J.L. Fontana|O. Popoff","Fontana F101-17","South America","Argentina","Dpto. Santo Tomé, Esteros del Iberá, embalsado sobre la costa oriental de Laguna Galarza",NA,NA,NA,NA,"1985","1","Corrientes",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2012-04-12 05:10:00-03","MO","MOBOT","1321540","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Alfredo F. Fuentes","Fuentes Claros 297","South America","Bolivia","Laguna Capibara, 6 km carretera antigua a Cochabamba y 2 km al N de la carretera, pasando el Río Pirai.",NA,NA,NA,"W.D. Stevens","1993","12","Santa Cruz","Andrés Ibáñez","-63.2816667","-17.8119444",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"380.00000000",NA,NA,"1"
"30","2008-05-27 22:02:00-03","MO","MOBOT","1355044","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Troels M. Pedersen","Pedersen 10049","South America","Argentina","Depto. Concepción, Carambola",NA,NA,NA,"A. Krapovickas & S. Cáceres M.","1972","1","Corrientes",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-15 05:15:00-02","MO","MOBOT","1355045","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Antonio C. Krapovickas|et al.","Krapovickas 24743","South America","Argentina","Depto. San Miguel, Estancia Curuzú Laurel",NA,NA,NA,"A. Krapovickas & S. Cáceres M.","1974","3","Corrientes",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","1355046","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Maria M. Arbo|et al.","Arbo 1383","South America","Argentina","Depto. Ituzaingó, Laguna San Nicolás",NA,NA,NA,"A. Krapovickas & S. Cáceres M.","1976","11","Corrientes",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-11-15 05:15:00-02","MO","MOBOT","1355047","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Antonio C. Krapovickas|et al.","Krapovickas 29347","South America","Argentina","Depto. San Martín, Arrocera Drews, 10 km NE de Colonia C. Pelegrini",NA,NA,NA,"A. Krapovickas & S. Cáceres M.","1976","2","Corrientes",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2012-05-09 05:09:00-03","MO","MOBOT","2445479","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Maria M. Arbo|Aurelio Schinini|G.J. Seijo","Arbo 8537","South America","Argentina","Paraje Galarza",NA,NA,NA,NA,"1999","11","Corrientes","Santo Tomé",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-07-21 23:34:00-03","MO","MOBOT","2452496","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Per Dusén","Dusén 2424","South America","Brazil","Ponta Grossa.",NA,NA,NA,NA,"1903","12","Paraná",NA,"-50.15","-25.08333",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-08-21 07:03:00-03","MO","MOBOT","2488900","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Émile Hassler","Hassler 10742","South America","Paraguay","In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,NA,"1908","1","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","2781830","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Johan F. Widgren","Widgren s.n. 1845","South America","Brazil","[without locality]",NA,NA,NA,NA,"1845",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA
"38","2008-05-27 22:02:00-03","MO","MOBOT","2781831","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Per Dusén","Dusén 7540","South America","Brazil","Rio Tibagy",NA,NA,NA,"G.A. Malme","1909","1","Paraná",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","2781832","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Émile Hassler","Hassler 11116","South America","Paraguay","In altaplanitie Sierra de Amambay",NA,NA,NA,NA,"1913","2","Amambay",NA,"-55.56666","-23.26666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2010-04-15 17:18:00-03","MO","MOBOT","2781833","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Alexander C. Brade","Brade 12907","South America","Brazil","Vila Emma, nos pantanos",NA,NA,NA,"G.A. Malme","1933","12","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-08-31 08:52:24-03","INPA","INPA","87958","S","Plantae","Dicotyledon","Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Hatschbach, GG","26100","Southern America","Brasil","Rio Brilhante, Fda. Bela Vista. Brejo.",NA,NA,"INPA0087958","Fontella, J","1971","01","Mato Grosso","Diamantino","-57.2","-14.1","INPA0087958 INPA0087958_e","24","1971",NA,NA,NA,"11",NA,"-57.2","-14.1",NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2055335","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","E. Hassler","8127","South America","Paraguay","Paraguarienses.",NA,NA,"US03263994",NA,NA,NA,NA,NA,NA,NA,"US03263994_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","2055472","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","E. Hassler","11116","South America","Paraguay","In altaplanitie Sierra de Amambay.",NA,NA,"US03263995",NA,"1913","2","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"44","2020-09-12 05:00:02-03","US","US","2706579","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","G. Hatschbach","26100","South America - Neotropics","Brazil","Fda. Bela Vista (mun. Rio Brilhante).",NA,NA,"US03263996",NA,"1971","1","Mato Grosso",NA,NA,NA,"US03263996_01","24",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"45","2020-09-12 05:00:02-03","US","US","1284831","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","P. K. Dusén","10884","South America","Brazil","Desvio Ribas in paludosis.",NA,NA,"US03263998",NA,"1910","11","Paraná",NA,NA,NA,"US03263998_01","29",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"46","2020-09-12 05:00:02-03","US","US","1284832","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","P. K. Dusén","7540","South America","Brazil","Rio Tibagy.",NA,NA,"US03263997",NA,"1909","1","Paraná",NA,NA,NA,"US03263997_01","17",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"47","2019-09-05 15:31:01-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa",NA,"T. Rojas",NA,"South America","Paraguay",NA,NA,NA,NA,NA,"1908","1",NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-07-09 14:15:40-03","F","FMNH-SEEDPLANTS","V0420647F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa",NA,"E. Hassler","10742","South America","Paraguay",NA,NA,NA,"V0420647F",NA,"1911",NA,NA,NA,"-58.1689","-23.2025","V0420647F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-07-09 14:16:48-03","F","FMNH-SEEDPLANTS","V0420648F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa",NA,"A. C. Brade","12907","South America","Brazil",NA,NA,NA,"V0420648F",NA,"1933","12",NA,NA,"-52.8731","-10.8339","V0420648F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-07-09 14:16:48-03","F","FMNH-SEEDPLANTS","V0420649F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa",NA,"A. C. Brade","12907","South America","Brazil",NA,NA,NA,"V0420649F",NA,"1933","12",NA,NA,"-52.8731","-10.8339","V0420649F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
