"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","individualCount","infraspecificEpithet","recordedBy","recordNumber","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","645516","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","07","17","Brazil","Rio de Janeiro",NA,"Island of Coco, Rio de Janeiro Bay",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431932' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20265","South America","sheet","NY00645516","NY00645516_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","645522","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","07","17","Brazil","Rio de Janeiro",NA,"Island of Juparayba, Rio de Janeiro Bay",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431937' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20284","South America","sheet","NY00645522","NY00645522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","645520","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","08","07","Brazil","Rio de Janeiro",NA,"Near Iguaba Grande, Rio de Janeiro",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431941' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20710","South America","sheet","NY00645520","NY00645520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","645515","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","08","08","Brazil","Rio de Janeiro",NA,"Vicinity of Cabo Frio, Rio de Janeiro","-42.032149","-22.874703",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431940' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20699","South America","sheet","NY00645515","NY00645515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","645521","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431936' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"Collector unspecified","55","South America","sheet","NY00645521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","484614","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","05","29","Brazil",NA,NA,"Vicinity of Bahia",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246228' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"J. N. Rose","19676","South America","fluid-preserved","NY00484614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-13 09:19:18-03","UFRJ","RFA","22094","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","1988","05","16","Brasil","Rio de Janeiro","Maricá","Barra de Maricá","-42.8185997009277","-22.9193992614746","20726","Flor em botão","auto","C.M. Rizzini",NA,NA,"C.M. Rizzini; et al.","426",NA,NA,"RFA18242",NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:18-03","UFRJ","RFA","22095","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","1988","05","16","Brasil","Rio de Janeiro","Maricá","Barra de Maricá","-42.8185997009277","-22.9193992614746","20726","Frutos verdes (imaturos)","auto","C.M. Rizzini",NA,NA,"C.M. Rizzini","427",NA,NA,"RFA18244",NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:12:21-03","UFBA","ALCB","108784","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(DC.) K.Schum.","2012","04","07","Brasil","Rio de Janeiro","Rio de Janeiro","APA Restinga entre Itaipuaçu e Marica","-42.902222","-22.974722",NA,"com cladódios angulosos, costelas contendo areolas com gloquídios. Botões verdes.",NA,"Guedes, ML; Rodarte, ATA",NA,NA,"Guedes, ML","19593","Southern America",NA,NA,NA,"2012","04","-42.902222","-22.974722",NA,NA,NA,NA,NA,NA
"20","2021-02-08 21:31:57-03","UFBA","ALCB","135254","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(DC.) K.Schum.",NA,NA,NA,"Brasil","Bahia","Salvador","Praia do Flamengo, Mata nativa.","-38.510799407959","-12.9710998535156","26018","Floresceu no municipio de Cruz das Almas em 03/10/2018 às 06:50 AM; Planta cultivada no local a aproximadamente 10 anos; 4 m de altura; 3,5 m de diâmetro, fruto com polpa vermelha deiscente.","auto",NA,NA,NA,"Colaço, MAS da","s/n","Southern America",NA,"ALCB062333","ALCB062333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180568","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","floccosus","Pilosocereus floccosus quadricostatus","(F.Ritter) Zappi","1965","01","01","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Agua Vermelha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Zappi DC",NA,"quadricostatus","Ritter F",NA,"Southern America",NA,"NL-U0180568","NL-U0180568","1991","10",NA,NA,"Magnoliopsidae","01","holotype",NA,NA,NA
"22","2021-01-14 15:26:43-03","MN","R","109134","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","1959","06","26","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Hutchison, P.C.",NA,NA,"Castellanos, A.","22442 a",NA,NA,"R010023836",NA,"1966",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:26:43-03","MN","R","111450","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","1961","11","12","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louzada, C.","83",NA,NA,"R010023837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:26:43-03","MN","R","146334","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","1984","05","01","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cardoso, J.","270",NA,NA,"R010023838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:26:43-03","MN","R","213914","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2012","04","07","Brasil","Rio de Janeiro",NA,NA,"-42.894667","-22.964833",NA,NA,NA,NA,NA,NA,"Guedes, M.L.","19593",NA,NA,"R010023842",NA,NA,NA,"42°53, 68'W","22°57,89'S",NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:26:43-03","MN","R","218516","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","1984","09","30","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Taylor, N.P. & Zappi, D.C.",NA,NA,"Cardoso, J.",NA,NA,NA,"R010023826",NA,"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:26:43-03","MN","R","189593","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","1996","09","23","Brasil","Rio de Janeiro","Carapebus",NA,"-41.6610984802246","-22.1872005462646","13257",NA,"auto","Costa, A.",NA,NA,"Costa, A.; Konno, T.; Moura, R.; Souza, A.; Carvalho, H. & Santos, R.","686",NA,NA,"R010023839",NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:26:43-03","MN","R","224403","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2006","05","09","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,"auto","Rodarte, A.T.A.",NA,NA,"Rodarte, A.T.A.","340",NA,NA,"R010023827,R010023828",NA,"2006","05",NA,NA,NA,"13",NA,NA,NA,NA
"29","2021-01-14 15:26:43-03","MN","R","220054","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2014","04","11","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,"auto",NA,NA,NA,"Almeida, M.C.; Suizani, C.V.; Figueira, M.","65",NA,NA,"R010023833,R010023834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:26:43-03","MN","R","220052","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2014","04","11","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,"auto",NA,NA,NA,"Almeida, M.C. ; Suizani, C.V. & Figueira, M.","68",NA,NA,"R010023831,R010023832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:26:43-03","MN","R","220053","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2014","04","11","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,"auto",NA,NA,NA,"Almeida, M.C. ; Suizani, C.V. & Figueira, M.","63",NA,NA,"R010023835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:26:43-03","MN","R","208832","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2000","10","18","Brasil","Rio de Janeiro","Quissama",NA,"-41.4721984863281","-22.1067008972168","33509",NA,"auto","Zappi, D.",NA,NA,"Valle, L.S.; Palomares, M.A.; Boscolo, O.H.; Domingues, D.F. & Israel",NA,NA,NA,"R010023843",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:26:43-03","MN","R","218517","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2001","03","06","Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686","17620",NA,"auto",NA,NA,NA,"Braga, H.N.","3731",NA,NA,"R010023829,R010023830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-14 15:26:43-03","MN","R","204549","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2003","10","28","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"auto",NA,NA,NA,"Calvente, A.M.; Bocayuva, M.F.","70",NA,NA,"R010023840,R010023841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-14 15:26:43-03","MN","R","218478","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D. Rowley","2013","05","03","Brasil","Rio de Janeiro","Rio de Janeiro","Grumari","-43.2075004577637","-22.9027996063232","57442",NA,"auto","Zappi, D.A.",NA,NA,"Almeida, M.C.; Verçoza, F.C.",NA,NA,NA,"R010023844",NA,"2014","08",NA,NA,NA,"12",NA,NA,NA,NA
"36","2015-07-02 14:01:18-03","JBP","HPL","13718","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2014","09","16","Brasil","SP","Nova Odessa","Jardim Botânico Plantarum - Coletado no jardim de Cactaceae Brasileiras,em frente a loja, cultivada, origem RJ.","-47.29","-22.77","8440",NA,"auto",NA,NA,NA,"N.P. Martinez","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-24 17:08:50-03","UFES","SAMES","8910","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","11","20","Brasil","Espírito Santo","Conceição da Barra",NA,"-39.7322006225586","-18.5932998657227","41644","Planta com 70cm de altura. Fruto externamente verde, flor internamente alba","auto",NA,NA,NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.","8511",NA,NA,"SAMES08910",NA,NA,NA,"-397450000.0","-186791667.0",NA,NA,NA,NA,NA,NA
"38","2021-03-24 17:08:50-03","UFES","SAMES","9552","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","12","13","Brasil","Espírito Santo","Conceição da Barra","APA Conceição da Barra","-39.7322006225586","-18.5932998657227","41644","Planta caulinar, ereta. Flor albo-esverdeada Habitat: Restinga Holocênica. Formação arbustiva aberta não inundável","auto",NA,NA,NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.","8777",NA,NA,"SAMES09552",NA,NA,NA,"-397327778.0","-186211111.0",NA,NA,NA,NA,NA,NA
"39","2021-03-24 17:08:50-03","UFES","SAMES","9551","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","12","10","Brasil","Espírito Santo","Conceição da Barra","APA Conceição da Barra","-39.7322006225586","-18.5932998657227","41644","Planta ereta, flor alba Habitat: Restinga Holocênica. Formação arbustiva fechada não inundável","auto",NA,NA,NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.","8710",NA,NA,"SAMES09551",NA,NA,NA,"-397327778.0","-186211111.0",NA,NA,NA,NA,NA,NA
"40","2021-03-24 17:08:50-03","UFES","SAMES","1289","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2009","09","27","Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso próximo de uma área entre cordões dominado por Montrichardia. Área atrás da fazenda Jequitaia.","-39.7322006225586","-18.5932998657227","41644","Planta de 2m com botões verdes e flores alvas.","auto","Giaretta,A.",NA,NA,"Giaretta,A.O.; Monteiro,M.M.;Ribeiro,M.","638",NA,NA,"SAMES01289",NA,"2009","09","-397191667.0","-184205556.0",NA,"27",NA,NA,NA,NA
"41","2021-03-24 17:08:50-03","UFES","SAMES","1287","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2009","02","07","Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Parque Estadual de Itaúnas. Estrada que liga Riacho Doce à Itaúnas. Mata de restinga.","-39.7322006225586","-18.5932998657227","41644","Planta com flores albo.","auto",NA,NA,NA,"Giaretta,A.O.; Monteiro,M.M.","448",NA,NA,"SAMES01287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-24 17:08:50-03","UFES","SAMES","10514","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","11","22","Brasil","Espírito Santo","São Mateus","Barra Nova. Restinga Holocênica.","-39.8588981628418","-18.716100692749","56510","Terrestre. Fruto verde. Habitat: Formação Arbustiva aberta não inundável","auto",NA,NA,NA,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.","8589",NA,NA,"SAMES10514",NA,NA,NA,"-397394444.0","-189591667.0",NA,NA,NA,NA,NA,NA
"43","2021-03-24 17:08:50-03","UFES","SAMES","9368","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2019","06","11","Brasil","Espírito Santo","São Mateus","Praia de Guriri lado Norte.","-39.8588981628418","-18.716100692749","56510","Planta com frutos verdes.","auto",NA,NA,NA,"Barboza, L.C.; Metzker, T.P.;Moschem, J.C.;Ronchi, C.;Lopes, L.R.","35",NA,NA,"SAMES09368",NA,NA,NA,"-397472222.0","-187252778.0",NA,NA,NA,NA,NA,NA
"44","2021-03-24 17:08:50-03","UFES","SAMES","9620","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2019","08","22","Brasil","Espírito Santo","Aracruz",NA,"-40.2733001708984","-19.8202991485596","37987","Terrestre. Botão esverdeado.","auto",NA,NA,NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.","9238",NA,NA,"SAMES09620",NA,NA,NA,"-399305556.0","-196975000.0",NA,NA,NA,NA,NA,NA
"45","2021-03-24 17:08:50-03","UFES","SAMES","1285","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2013","01","21","Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas. Trilha do pescador e trilha da borboleta, cordão arenoso, restinga.","-39.7322006225586","-18.5932998657227","41644",NA,"auto","Cardoso,W.C.",NA,NA,"Coelho,R.; Menezes,L.F.T.;Smarsaro,Y.","254",NA,NA,"SAMES01285",NA,"2014","07","-396938889.0","-184038889.0",NA,"24",NA,NA,NA,NA
"46","2021-03-24 17:08:50-03","UFES","SAMES","8918","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","12","06","Brasil","Espírito Santo","Linhares","Distrito de Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096","48094","Planta ereta, botão verde","auto",NA,NA,NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.","8696",NA,NA,"SAMES08918",NA,NA,NA,"-397072222.0","-191908333.0",NA,NA,NA,NA,NA,NA
"47","2021-03-24 17:08:50-03","UFES","SAMES","8914","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","12","03","Brasil","Espírito Santo","Linhares","Distrito de Regência. Reserva Biológica de Comboios","-40.0722007751465","-19.3910999298096","48094","Planta ereta , fruto seco","auto",NA,NA,NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.","8623",NA,NA,"SAMES08914",NA,NA,NA,"-398866666.0","-196711111.0",NA,NA,NA,NA,NA,NA
"48","2021-03-24 17:08:50-03","UFES","SAMES","8911","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2018","11","21","Brasil","Espírito Santo","São Mateus","Aldeia do Coco.","-39.8588981628418","-18.716100692749","56510","Planta ereta, terrestre, frutos verdes","auto",NA,NA,NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.","8540",NA,NA,"SAMES08911",NA,NA,NA,"-397491666.0","-187966666.0",NA,NA,NA,NA,NA,NA
