"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","month","day","county","coordinatePrecision","geoFlag","class","fieldNumber","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"11","2009-07-17 09:47:00-03","MO","MOBOT","2811026","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"A. Ducke","Ducke 99","1935","South America","Brazil","Amazonas","Manáos, Estrada do Aleixo, adripas paludosas rivuli silvestris.",NA,NA,NA,NA,NA,NA,NA,"12","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-10 20:47:49-03","INPA","INPA","189863","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Pirani, JR",NA,"Pirani, JR","3659","1996","Southern America","Brasil","Amazonas","Reserva Florestal Adolfo Ducke, Próximo ao acampamento do Acará.","-59.966667","-2.883333",NA,NA,"INPA0189863","INPA0189863 INPA0189863_e","1996","01","23","Manaus",NA,NA,NA,NA,"01","-59.966667","-2.883333",NA
"13","2021-01-10 20:47:49-03","INPA","INPA","2087","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Mello, FC de","INPA2087","1955","Southern America","Brasil","Amazonas","Estrada do Aleixo, km 7, Km 7 da estrada do Aleixo, entrada à esquerda. Terra firme, úmido, arenoso, mata virgem.","-59.55","-3.05",NA,NA,"INPA0002087",NA,NA,"10","06","Manaus",NA,NA,NA,NA,NA,"-59.55","-3.05",NA
"14","2020-09-12 05:00:02-03","US","US","1875304","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"A. Ducke","99","1942","South America - Neotropics","Brazil","Amazonas","Estrada do Aleixo, margem pantanosa de um riachinho silvestre.","-60.0250015258789","-3.10193991661072",NA,NA,"US01858807","US01858807_01 US01858807_02",NA,"12","2","Manaus","138090","auto","Dicotyledonae",NA,NA,NA,NA,"1"
"15","2020-09-12 05:00:02-03","US","US","1518236","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,"Isotype","A. Ducke","23550","1930","South America - Neotropics","Brazil","Amazonas","Manaos, estrada do Aleixo.",NA,NA,NA,NA,"US00101561","US00101561_01",NA,"2","4",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"16","2020-09-12 05:00:02-03","US","US","1693104","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"A. Ducke","99","1935","South America - Neotropics","Brazil","Amazonas","Estrada do Aleixo","-60.0250015258789","-3.10193991661072",NA,NA,"US01858808","US01858808_01 US01858808_02",NA,"12","2","Manaus","138090","auto","Dicotyledonae",NA,NA,NA,NA,"1"
"17","2021-03-15 18:29:51-03","USP","SPF","110844","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Pirani, JR",NA,"Pirani, JR","3659","1996",NA,"Brasil","Amazonas","Reserva Florestal Adolpho Ducke, Manaus-Itacoatiara, km 26. Próximo ao acampamento do Acará. Floresta de Campinarana.","-59.966667","-2.883333",NA,"Árvore, solo com muito folhedo. Planta delgada com 7 m de altura X 12 cm DAP, casca acastanhada., lenho suavemente perfumado de cor clara (creme). Folhas pouco discolores. Inflorescência ereta terminal, com flores de cálice verde-pál","SPF00110844",NA,"1996","01","23","Manaus",NA,NA,NA,NA,"01","-59.966667","-2.883333",NA
"18","2019-11-13 11:30:59-03","USP","SPF","199849","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Silva-Luz, CL",NA,"Silva-Luz, CL","89","2010",NA,"Brasil","Amazonas","Reserva Florestal Adolpho Ducke","-59.957889","-2.951528",NA,NA,"SPF00199849",NA,"2010","09","01","Manaus",NA,NA,NA,NA,"09","-59.957889","-2.951528",NA
"19","2019-09-04 18:24:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus",NA,NA,"Isotype","A. Ducke",NA,"1930","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"2","4",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"20","2019-09-04 18:24:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus",NA,NA,"Isotype","A. Ducke",NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"21","2018-04-04 16:15:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus",NA,"RRC ID Flag",NA,"A. Ducke","99",NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","99",NA,NA,NA,NA
"22","2015-03-07 09:07:35-03","F","FMNH-SEEDPLANTS","V0178818F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0178818F","V0178818F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"23","2009-11-26 13:55:37-02","INPA","INPAW","328","S","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Melo, F.deC.",NA,"1955",NA,"Brasil","Amazonas",NA,"-60.025","-3.10194",NA,NA,NA,NA,NA,"10","06","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"24","2019-11-01 15:10:06-03","UnB","UB","214747","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Pires, JM","22749","1955","Southern America","Brasil","Amazonas","Estrada do Aleixo","-60.0250015258789","-3.10193991661072",NA,"Mata, Terra Firme, arenosa",NA,NA,NA,"10","06","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"25","2021-02-23 13:23:08-03","MN","R-TIPOS","28776a","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,"Isotypus","Ducke, W.A.","HJBR - 23550","1930",NA,"Brasil","Amazonas","Estrada do Aleixo","-60.0250015258789","-3.10193991661072",NA,NA,"R000028776a","R000028776a_001",NA,"02","02","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"26","2021-02-23 13:23:08-03","MN","R-TIPOS","28776","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,"Isotypus","Ducke, W.A.","HJBR - 23550","1930",NA,"Brasil","Amazonas","Estrada do Aleixo","-60.0250015258789","-3.10193991661072",NA,NA,"R000028776","R000028776_001",NA,"02","02","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"27","2020-05-22 17:52:55-03","UFMT","UFMT","11199","S","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,"Isotype","Ducke, A.","s.n.","1930",NA,"Brasil","Amazonas","Mata Pantanosa, no primeiro riacho da Estrada do Aleixo.","-60.0250015258789","-3.10193991661072",NA,"arvorezinha ramificada, flores alvas.","UFMT00011199",NA,NA,"02","02","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"28","2020-04-30 16:07:51-03","UFMT","CNMT","2827","S","Plantae","Angiosperma",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Vicente, R.E.","3","2011",NA,"Brasil","Mato Grosso","Fazenda São Nicolau.","-58.258722","-9.819167",NA,NA,"CNMT002827",NA,NA,"05",NA,"Cotriguaçu",NA,NA,NA,NA,NA,"58°15'31,4W","09°49'09S",NA
"29","2014-09-23 10:59:36-03","G","G","G00096674","S","Plantae",NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","?","ISOTYPUS of Nycticalanthus speciosus Ducke","Ducke, A.","23550","1930","AMERIQUE DU SUD","Brazil","Amazonas",NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00096674",NA,NA,"02","04",NA,NA,NA,NA,NA,NA,"-65.08583333","-4.14444444",NA
