"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","1522877","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","A. P. Duarte","10060","1966","12","08","South America","Brazil","Distrito Federal","Área do Zoobotânico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1787543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522877","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9294","-15.7797","NY01522877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","605431","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","F. C. Hoehne","25182","1918","12","07","South America","Brazil","São Paulo","Ipiranga. Campo do Horto do Museu.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605431","Magnoliophyta","Fabales","Vogel","F. C. Hoehne",NA,NA,NA,"NY00605431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1522912","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","H. S. Irwin","11083","1965","12","07","South America","Brazil","Distrito Federal","Universidade de Brasília","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1787870' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522912","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.875","-15.758","NY01522912_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1523094","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","F. H. F. Oldenburger","2068","1975","11","30","South America","Brazil","Distrito Federal","Peninsula Norte in Lago Paranoá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791479' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523094","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9294","-15.7797","NY01523094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","605429","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","F. C. Hoehne","s.n.","1931","12","07","South America","Brazil","São Paulo","Brooklin Paulista.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605429","Magnoliophyta","Fabales","Vogel","F. C. Hoehne","Sao Paulo","-46.680951","-23.621551","NY00605429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","605436","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","H. S. Irwin","25265","1970","01","24","South America","Brazil","Goiás","Contraforte Central, Serra do Facao. Cerrado ca. 25 km N.E. of Catalao.","sheet",NA,"Field work conducted with the collaboration of the Universidade de Brasília and the Instituto de Pesquisas e Experimentaçao Agrícola do Norte, supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605436","Magnoliophyta","Fabales","Vogel","V. E. Rudd","Catalão","-47.9464","-18.1658","NY00605436_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","605437","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","W. R. Anderson","35266","1972","02","03","South America","Brazil","Minas Gerais","About 8 km N of Gouveia on road to Diamantina.","sheet",NA,"Field work conducted with the collaboration of the Universidade de Brasília and the Instituto de Pesquisas e Experimentaçao Agrícola do Norte, supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605437","Magnoliophyta","Fabales","Vogel","R. C. Barneby",NA,NA,NA,"NY00605437_01","1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00748659","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","H. S. Irwin","10811","1965","11","30","South America","Brazil","Goiás","Serra dos Pirineus, ca. 15 km S. of Corumbá de Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748659","Magnoliophyta","Fabales","Vogel","V. E. Rudd","Abadiânia","-48.8086","-16.05915","NY00748659_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1523033","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E. P. Heringer","8808","1961","12","12","South America","Brazil","Distrito Federal","Fundação Zoobotânica.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788846' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523033","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9294","-15.7797","NY01523033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1523092","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","A. F. M. Glaziou","20265","1894",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791454' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523092","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez",NA,NA,NA,"NY01523092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1523189","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","J. B. E. Pohl","1019",NA,NA,NA,"South America","Brazil","Minas Gerais","Ad severino Montes Claros.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523189","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez",NA,NA,NA,"NY01523189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1523032","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E. P. Heringer","8808","1961","12","12","South America","Brazil","Distrito Federal","Fundação Zoobotânica.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788845' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523032","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9294","-15.7797","NY01523032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1522967","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","H. S. Irwin","25573","1970","01","29","South America","Brazil","Minas Gerais","Morro da Pedras, ca. 26 km N.E. of Patrocínio","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522967","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Patrocínio","-46.9925","-18.9439","NY01522967_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1522875","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","A. P. Duarte","14157","1973","12","08","South America","Brazil","Minas Gerais","Do Araxá para Franca.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1787541' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522875","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez",NA,NA,NA,"NY01522875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1523029","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","G. G. Hatschbach","64568","1996","04","12","South America","Brazil","Minas Gerais","Rod. BR-050, km 118","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523029","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Uberaba","-47.9317","-19.7483","NY01523029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1523095","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Taxonomy Class Of Univ De Brasilia","263","1971","10",NA,"South America","Brazil","Distrito Federal",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791480' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523095","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9296989440918","-15.7797002792358","NY01523095_01","1000","1100","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1523039","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E. P. Heringer","10779","1965","12","05","South America","Brazil","Distrito Federal","Plano Pilotó","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523039","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9296989440918","-15.7797002792358","NY01523039_01",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:30:39-03","UFRJ","RFA","17958","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E.P. Heringer","15444","1976","03","13",NA,"Brasil","Goiás",NA,NA,NA,"Planta ereta, partindo de um xilopódio com 30 cm de altura, flores amarelas axiais, folhas com cheiro forte.","RFA15252",NA,NA,"Vogel","C. Müller","Luziânia","-47.9502983093262","-16.2525005340576",NA,NA,NA,"83221","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:30:39-03","UFRJ","RFA","13939","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","A.P. Duarte","10060","1966","12","08",NA,"Brasil","Distrito Federal","Área do Zoobotânico",NA,NA,NA,"RFA12483",NA,NA,"Vogel","K.R. Mendes","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"70570","auto","2017","08","21",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-06-29 11:30:39-03","UFRJ","RFA","17641","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E.P. Heringer","14942","1975","08","29",NA,"Brasil","Distrito Federal","Sobradinho",NA,NA,"Planta com 30 cm de altura, ereta, flores amarelas.","RFA14693",NA,NA,"Vogel","C. Müller","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-13 09:19:54-03","UFRJ","RFA","9783","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","G.G. Hatschbach","20464","1968","11","28",NA,"Brasil","Paraná","Rio do Sabiá",NA,NA,"Xilopodifera, flor amarela. Ereta do campo seco e limpo.","RFA28487",NA,NA,"Vogel","A. Burkart","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"44368","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-08 17:41:57-03","EAO","IAN","137972","PreservedSpecimen","Plantae","Leguminosae-Pap.","Poiretia","angustifolia","Poiretia angustifolia","Irwin, HS; Souza, R","10811","1965","11","30","Southern America","Brasil","Goiás","Serra dos Pirineus, cerrado and gallery margin, ca. 15km S. of Corumbá de Goiás.",NA,NA,"Herb ca. 50cm tall, with several stems from thick root. Corolla yellow-orange.","IAN137972","Dicotiledônea",NA,"Vogel","Rudd, VE",NA,NA,NA,NA,NA,NA,NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-08 17:41:57-03","EAO","IAN","3264","PreservedSpecimen","Plantae","Leguminosae-Pap.","Poiretia","angustifolia","Poiretia angustifolia","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN003264","Dicotiledônea",NA,"Vogel",NA,NA,NA,NA,"IAN003264_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:14:18-03","NBC","NL-BOTANY","U.1308218","PreservedSpecimen","Plantae","Leguminosae-Pap.","Poiretia","angustifolia","Poiretia angustifolia","Oldenburger FHF; Mecenas VV",NA,"1975","11","30","Southern America","Brazil",NA,"Peninsula Norte in Lago Paranoa.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308218",NA,"Fabales","Vogel",NA,NA,NA,NA,"NL-U1308218",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:14:18-03","NBC","NL-BOTANY","WAG.1039582","PreservedSpecimen","Plantae","Leguminosae-Pap.","Poiretia","angustifolia","Poiretia angustifolia","Hatschbach GG",NA,"1965","11","08","Southern America","Brazil",NA,"Est. Parana (Brasil), Mun. Ponta Grossa, Parque Vila Velha.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1039582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1039582",NA,"Fabales","Vogel",NA,NA,NA,NA,"NL-WAG1039582",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:10:19-03","ESALQ","ESA","69335","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Hatschbach, G.","70246.0","2000","02","16",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA069335","Magnoliophyta",NA,"Vogel",NA,"Pirenópolis",NA,NA,"ESA069335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:10:19-03","ESALQ","ESA","31816","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Hatschbach, G.","64060.0","1996","01","14",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA031816","Magnoliophyta",NA,"Vogel",NA,"Uberaba","-47.9319000244141","-19.7483005523682","ESA031816",NA,NA,"73879","auto","1996","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:10:19-03","ESALQ","ESA","46855","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Hoehne, W.",NA,"1948","12","02",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA046855","Magnoliophyta",NA,"Vogel",NA,"São Paulo","-46.6300010681152","-23.5400009155273","ESA046855",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:30:13-03","MN","R","8482","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Glaziou, A.F.M.","18214","1884","06","25",NA,"Brasil","Minas Gerais","São Julião de Ouro Branco",NA,NA,"Plantas do Brasil Central","R000008482",NA,NA,"Vogel","Muller, C.",NA,NA,NA,"R000008482_001",NA,NA,NA,NA,"1984","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-20 21:17:41-03","UFV","VIC","28280","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Romero, R.; et al.","4869","1998","01","09",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Estrada para Cachoeira dos Rolinhos. Campo sujo.",NA,NA,"Subarbusto, c.a. de 50 cm de altura. Cálice verde. Corola e estames amarelos. Flores perfumadas.","VIC028280",NA,NA,"Vogel","Filardi, F.L.R.","São Roque de Minas","-46.3657989501953","-20.2453002929688","VIC028280",NA,NA,"57119","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-20 21:17:41-03","UFV","VIC","28279","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Romero, R.; et al.","4998","1995","01","11",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Torre de observação, estrada Sacramento - São Roque de Minas. Campo limpo, c.a. de 4 meses após a queimada.",NA,NA,"Herbácea, c.a. de 30 cm de altura. Cálice verde. Corola amarela. Estilete verde. Estames cremes.","VIC028279",NA,NA,"Vogel","Filardi, F.L.R.","São Roque de Minas","-46.3657989501953","-20.2453002929688","VIC028279 VIC028279_2",NA,NA,"57119","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0024636","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","G. Hatschbach; M. Hatschbach, D. Guimaraes","55804","1991","11","6",NA,"Brazil","Minas Gerais","Uberlandia, arredores.",NA,NA,"Ereta, odorifera, flores amarelas.",NA,"Magnoliophyta","Fabales","Vogel","G. Hatschbach",NA,"-48.2615661621094","-18.9114832220184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 14:36:59-03","UFJF","CESJ","2427","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","L. Roth","CESJ2427","1955","11","13","América do Sul","Brasil","Minas Gerais","Serra do Curral",NA,NA,"Subarbusto do cerrado, flores amarelas.","CESJ002427","Angiosperma",NA,"Vogel","L. Roth","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,"17082","auto","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-01-28 15:52:49-03","UNICAMP","UEC","43206","S","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","DAC; et al.","s.n.","1982","12",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,"flor, Subarbusto de 0,70m. Cerrado.","UEC176583","Magnoliopsida",NA,"Vogel","Tamashiro, JY","Rosário",NA,NA,"UEC176583",NA,NA,NA,NA,"1984","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-01-28 15:52:49-03","UNICAMP","UEC","63456","S","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Hatschbach, M; Barbosa, E","58279","1992","11","29",NA,"Brazil","Goiás","BR-040, próximo ao Rio Imburuçu.",NA,NA,"flor, Ereta, flor amarela. Campo cerrado.","UEC176584","Magnoliopsida",NA,"Vogel","Hatschbach, G","Campo Alegre",NA,NA,"UEC176584",NA,NA,NA,NA,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-01-28 15:52:49-03","UNICAMP","UEC","36790","S","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Ratter, JA","s.n.","1976","12","05",NA,"Brazil","Distrito Federal","Península Norte.",NA,NA,"flor, Perennial herb with a group of shoots to 50 cm tall from a common root system. Flowers very sweetly scented. Corollas yellow. In campo sujo.","UEC176586","Magnoliopsida",NA,"Vogel","Müller, C","Brasília","-47.9296989440918","-15.7797002792358","UEC176586",NA,NA,"70570","auto","1984","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
