"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","individualCount","class"
"11","2020-09-29 14:53:35-03","UFPR","UPCB","82370","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Labiak, P.H.","Bonnet, A.","131","2012","05","07",NA,"Brasil","Rio de Janeiro","Pico da Caledônia. Floresta Ombrófila Densa",NA,NA,NA,"Epífito em 2.200m de altitude.","UPCB0007013","UPCB0007013",NA,NA,"Nova Friburgo","-42.584","-22.355","2013","09","01","-42.584","-22.355",NA,NA,NA,NA,NA
"12","2020-09-29 14:53:35-03","UFPR","UPCB","87761","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Pereira, J.B.S.","Pereira, J.B.S. | Becari-Viana, I.","806","2014","03","19",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Morro do Índio.","2145","2145",NA,"Rupícola em local sombreado..","UPCB0012109","UPCB0012109",NA,NA,"Petrópolis","-43.066667","-22.483333","2014",NA,NA,"-43.066667","-22.483333",NA,NA,NA,NA,NA
"13","2020-09-29 14:53:35-03","UFPR","UPCB","82380","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak",NA,"Bonnet, A.","98","2012","05","09",NA,"Brasil","Rio de Janeiro","Pico da Coledônia. Floresta Ombrófila Densa","2200","2200",NA,"Epífito..","UPCB0007012","UPCB0007012",NA,NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","2013","09","01",NA,NA,NA,"33190","auto",NA,NA
"14","2010-09-10 16:35:00-03","MO","MOBOT","3323471","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","P.H. Labiak (UPCB)","Alexander C. Brade","Brade 15100","1936","2","27","South America","Brazil","Rio de Janeiro","Itatiaia, Rib. das Flores.","2200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"15","2016-02-09 14:00:19-02","F","FMNH-PTERIDOPHYTES","C0653886F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak",NA,NA,"768","1913","6",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"C0653886F","C0653886F_01",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridopsida"
"16","2016-02-09 14:00:48-02","F","FMNH-PTERIDOPHYTES","C0653887F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak",NA,"A. C. Brade","15100","1936","2","27","South America","Brazil",NA,NA,NA,NA,NA,NA,"C0653887F","C0653887F_01",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridopsida"
"17","2020-09-12 05:00:02-03","US","US","1198712","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Polypodium","tenuiculum","Polypodium tenuiculum brasiliense","Rosenst.","Labiak, P. H.","A. C. Brade","6465","1913","6",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Est. Rio de Jan.: Serra do Itatiaya.","2400",NA,NA,"Annotated by P.H. Labiak (2009) as isolectotype; lectotypification apparently ined. [See also Brittonia 52: 248 (2000), where Labiak cites holotype (B) and isotypes.]","US00956493","US00956493_01","brasiliense","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Pteridophyte"
"18","2021-03-16 18:32:00-03","USP","SPF","93797","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","tenuiculum","Polypodium tenuiculum brasiliense","Rosenst.",NA,"Tamandaré, F; Brade, AC","6465","1913","06",NA,NA,"Brasil","Rio de Janeiro","Serra do Itatiaya, An Felsen. Schatten.","2400","2400",NA,"4 - 10/VI/1913","SPF00093797","SPF00093797","brasiliense","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-04 15:47:01-03","IF","SPSF","30901","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Grammitidaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis",NA,NA,"A.Salino","7579","2001","09","13","América do Sul","Brasil","SP","estacao ecologica",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha para o pico do caracol&nf;;",NA,NA,NA,NA,"Itapeva","-48.8699989318848","-23.9799995422363",NA,NA,NA,NA,NA,NA,"42926","auto",NA,"Polypodiopsida"
"20","2019-11-21 10:17:19-03","IBt","SP","1223","S","Plantae",NA,NA,"Polypodiaceae","Polypodium","tenuiculum","Polypodium tenuiculum brasiliense","Rosenst.","Prado, J","Tamandaré, F; Brade, AC","6465","1913","06",NA,NA,"Brasil","Rio de Janeiro","Serra de Itatiaia","2400","2400",NA,NA,"SP003833","SP003833","brasiliense","Isotype","Itatiaia","-44.5633010864258","-22.4960994720459","2017",NA,NA,NA,NA,NA,"19648","auto",NA,NA
