"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","fieldNumber","typeStatus","individualCount"
"11","2020-11-24 17:10:22-03","UTFPR","DVPR","6293","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling.","Cadorin, TJ","Cadorin, TJ; Grosch, B; Zimmermann, R","1208","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí- Morro do Spitzkopf.","-49.0661010742188","-26.9193992614746",NA,NA,"249","249","DVPR006293",NA,"2010","03","23","Liana.; Floresta Ombrófila Densa em estágio avançado na beira do rio.",NA,NA,NA,NA,NA,"34291","auto",NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:44:51-03","EAO","IAN","5649","PreservedSpecimen","Plantae","Cyclanthaceae","Carludovica","brachypus","Carludovica brachypus","Drude",NA,"Glaziou, AFM","5711",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005649","IAN005649",NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:26:28-03","PUCPR","HUCP","21604","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling.",NA,"Silva, H","018","2008","05","31","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00023108","HUCP00023108",NA,NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:26:28-03","PUCPR","HUCP","22420","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling.",NA,"Keller, H","054","2009","04","04","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00003055","HUCP00003055",NA,NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:26:28-03","PUCPR","HUCP","24142","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling.","Kersten, RA","Kersten, RA","1647","2016","04","02","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"HUCP00003052","HUCP00003052",NA,NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"16","2020-11-04 10:55:24-03","ESALQ","ESA","135993","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harl.",NA,"L.C.Frutuoso","134.0","1990","10","19","Brasil","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809",NA,NA,NA,NA,"ESA135993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:05:40-03","ESALQ","ESA","101300","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera",NA,"Silva, B.N.","Lombardi, J.A.","1127.0","1996","02","25","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"ESA101300",NA,"2011","11","11",NA,"Magnoliophyta",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:05:40-03","ESALQ","ESA","68544","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mzt.) Harl.","Hatschbach, G.","Kozera, C. ; Kozera, O.P.","1117.0","1999","07","14","Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"ESA068544",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"19","2020-11-04 10:55:24-03","ESALQ","ESA","116758","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera",NA,"Leal, E.","Souza, V.C.","36240.0","2012","01","01","Brasil","São Paulo","Miracatu",NA,"-47.4599990844727","-24.2800006866455",NA,NA,NA,NA,"ESA116758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43974","auto",NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:27:39-03","MN","R","43998","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Leal, E.S.","Bello, W.","554","1889",NA,NA,"Brasil","Espirito Santo","Concordia",NA,NA,NA,NA,NA,NA,NA,"R010070837","R010070837","2010","08","23","Herb. W. Bello 554. Gabinete de Botanica da Escola Politecnica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:27:39-03","MN","R","232114","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","1",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035753","R010035753","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:27:39-03","MN","R","232115","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","2",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035754","R010035754","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:27:39-03","MN","R","232116","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","3",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035755","R010035755","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:27:39-03","MN","R","232117","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","4",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035750","R010035750","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:27:39-03","MN","R","232118","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","5",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035751","R010035751","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:27:39-03","MN","R","232119","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Braga, J.M.A.","Amaral, F.M.","6",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010035752","R010035752","2016","04","18",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:27:39-03","MN","R","137417","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Leal, E.S.","Laclette, P.P.H.","117","1976","08","10","Brasil","Rio de Janeiro","Rio Bonito","Braçanã","-42.6096992492676","-22.7085990905762",NA,NA,NA,NA,"R010070834,R010070835,R010070836","R010070834 R010070835 R010070836","2010","08","23",NA,NA,NA,NA,NA,NA,"20195","auto",NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:27:39-03","MN","R","102995","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera subsp.reitzii","Harling","Moreira, C.","Smith, L.B.; Reitz, R.","6128","1952","03",NA,"Brasil","Santa Catarina","Brusque","Azambuja","-48.9","-27.1","48°54'W","27°06'S",NA,NA,"R010070841","R010070841","1968","07","26",NA,NA,NA,NA,NA,"subsp.reitzii",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-19 08:08:04-03","FPS","FPS","3224","MachineObservation","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Leal, E.","Schwirkowski, P.","2650","2018","02","03","Brasil","Santa Catarina","Corupá","RPPN Emílio Fiorentino Battistella","-49.346966","-26.400246","-49.346966","-26.400246",NA,NA,"FPS03224,FURB57383","FPS03224_v01 FPS03224_v02 FPS03224_v03 FPS03224_v04 FPS03224_v05 FPS03224_v06 FURB57383","2018","07","10",NA,NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 57383",NA,NA,NA,NA
"30","2019-08-27 13:25:21-03","IAP","PACA-AGP","50294","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mzt.) Harl.","G. Harling","Rambo, B.",NA,"1951","07","14","Brasil","SC","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"PACA050294",NA,NA,NA,NA,"Habitat: in silva pluviali erecta","Magnoliophyta","Cyclanthales",NA,NA,NA,"27000","auto",NA,NA,"Liliatae",NA,NA,NA
"31","2021-03-24 17:08:56-03","UFES","SAMES","1611","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Ribeiro,M.","Ribeiro,M.; Almeida,T.R.R.","548","2011","06","05","Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 5 a 6 da estrada interna.","-39.7322006225586","-18.5932998657227","-398050000.0","-182625000.0",NA,NA,"SAMES01611",NA,NA,NA,NA,"Liana, inflorescência verde claro.",NA,NA,NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-24 17:08:56-03","UFES","SAMES","1612","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Menezes,L.F.T.","Menezes,L.F.T.",NA,"2011","05","25","Brasil","Espírito Santo","São Mateus","Bairro Quadrado. Mata ciliar próximo ao rio São Mateus.","-39.8588981628418","-18.716100692749",NA,NA,NA,NA,"SAMES01612",NA,"2012","06","13","Arbusto de 1,5m, frutos roxo bem claro.",NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA
"33","2021-03-24 17:08:56-03","UFES","SAMES","6113","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Cadorin,T.J.","Cadorin,T.J.; Grosch,B.;Zimmermann,R.;Lopes,C.P.","1474","2010","03","10","Brasil","Santa Catarina","Florianópolis","Parque Municipal Lagoa do Peri. Floresta ombrófila densa.","-48.5491981506348","-27.596700668335",NA,NA,"317","317","SAMES06113",NA,"2010","03","10","Estádio sucessional primário; hábito liana.",NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:33:49-03","UFJF","CESJ","46626","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","E.S.Leal","N.L. Abreu; C.N. Matozinhos; L. Menini Neto; T.U.P. Konno; T. Mota; V. Belchior; P.L. Viana","64","2006","01","21","Brasil","Minas Gerais","Rio Preto","Serra Negra, Serra da Caveira d#?#Anta.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"CESJ046626",NA,"2011",NA,NA,"Borda do curso d#?#água. Erva terrestre pecíolo verde acastanhado. Folhas discolores, escapo verde-claro, brácteas estramíneas, inflorescência rósea.","Angiosperma",NA,"América do Sul",NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA
"35","2019-08-20 09:59:31-03","UNICAMP","UEC","110067","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Hatschbach, G","Kozera, C; Kozera, OP","1180","1999","08","22","Brazil","Paraná","Morretes","Parque Estadual do Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"UEC057265","UEC057265","1999","08",NA,"flor, Trepadeira reptante sobre uma rocha, ca. de 70cm. Inflorescência verde. Sub-bosque, floresta ombrófila densa de encosta.","Liliopsida",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"36","2019-08-20 09:59:31-03","UNICAMP","UEC","40236","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Spina, AP","Leitão Filho, HF; Tamashiro, JY","18001","1985","12","03","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"UEC057267","UEC057267","1994","11",NA,"fruto, Escandente robusta, sobre árvore de 15-20m, frutos verdes.","Liliopsida",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
"37","2019-08-20 09:59:31-03","UNICAMP","UEC","21718","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Spina, AP","Leitão Filho, HF","10790","1979","12","11","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"UEC057270","UEC057270","1994","11",NA,"Planta escandente.","Liliopsida",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
"38","2019-08-20 09:59:31-03","UNICAMP","UEC","67924","S","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling",NA,"Koch, I","29889","1993","11","14","Brazil","São Paulo","Ubatuba","Caminho da Praia do Tenório","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"UEC057268","UEC057268",NA,NA,NA,"fruto, Epífita sobre ficus. Infrutescência verde. Mata de encosta.","Liliopsida",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"39","2019-11-05 16:47:17-03","UFOP","OUPR","31567","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","Leal, E.S.","Pedrosa, L.G.","572","2018","07","20","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Próximo à Fazenda do Manso.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"2018","07","20","Erva, 40-80cm. Floresta montana.",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"40","2021-03-26 10:43:28-03","UDESC","LUSC","7531","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Cadorin, T.J.","Cadorin, T.J.; Clemes, S.M & Oliveira, C.P.L","2234","2010","05","10","Brasil","Santa Catarina","São Bento do Sul","Braço Esquerdo.","-49.3786010742188","-26.2502994537354",NA,NA,NA,NA,"LUSC006530","LUSC006530","2009",NA,NA,";;Maduro;.",NA,NA,NA,NA,NA,"23090","auto",NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:00:52-03","FURB","FURB","47814","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","glaucophylla","Asplundia glaucophylla","Harling","Engels, ME","Engels, M.E.; Ariati, V. & Bonaldi, R.A.","651","2013","03","10","Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"FURB47814","FURB47814","2013","03","11",NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"42","2019-11-08 08:51:24-03","FURB","FURB","58298","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Gebien, W.","Gebien, W.","94","2018","01","17","Brasil","Santa Catarina","Blumenau","rua Antonio Zendrom. Interior do fragmento.","-49.0872222","-26.9572222","-49.0872222","-26.9572222","100","100","FURB58298","FURB58298","2018","02","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:00:52-03","FURB","FURB","19917","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Gasper, AL de","Dreveck, S.; Carneiro, F.E.","1712","2010","02","01","Brasil","Santa Catarina","Jaraguá do Sul","Ano Bom / Braço Esquerdo.","-49.1397222","-26.3680556","-49.1397222","-26.3680556","205","205","FURB46681","FURB46681","2010","03","09","Florística IFFSC 994 (Liana) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: liana;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:00:52-03","FURB","FURB","20698","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Cadorin, TJ","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1382","2010","02","23","Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.4755556","-27.5766667","-48.4755556","-27.5766667","444","444","FURB46682","FURB46682","2010","02","23","Florística IFFSC e8004a (Liana) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: liana;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:00:52-03","FURB","FURB","21512","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Cadorin, TJ","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1208","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.1180556","-27.0069444","-49.1180556","-27.0069444","249","249","FURB46683","FURB46683","2010","03","23","Coleta Extra IFFSC (Liana) Habitat: Floresta Ombrófila Densa; Estágio Avançado; beira do rio Habito: liana;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-10-14 10:00:52-03","FURB","FURB","21879","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Gasper, AL de","Dreveck, S.; Carneiro, F.E.","1822","2010","02","19","Brasil","Santa Catarina","Schroeder","Rancho Bom.","-49.0486111","-26.3694445","-49.0486111","-26.3694445","105","105","FURB46684","FURB46684","2010","03","29","Florística IFFSC 995 (Liana) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: liana;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-10-14 10:00:52-03","FURB","FURB","22335","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Gasper, AL de","Dreveck, S.; Carneiro, F.E.","1928","2010","03","15","Brasil","Santa Catarina","São Francisco do Sul","Vila da Glória.","-48.69","-26.19","-48.6900000","-26.1900000","430","430","FURB46685","FURB46685","2010","03","30","Florística IFFSC 1052 (Liana) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; entorno do fragmento Habito: liana; Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-10-14 10:00:52-03","FURB","FURB","22446","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Cadorin, TJ","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1474","2010","03","10","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.535","-27.7241667","-48.5350000","-27.7241667","317","317","FURB46686","FURB46686","2010","03","10","Florística IFFSC e8003a (Liana) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: liana;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-10-14 10:00:52-03","FURB","FURB","22653","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Stival-Santos, A","Stival-Santos, A.; Legal, E. & Silveira, S.","2170","2010","03","17","Brasil","Santa Catarina","São José","Forquilhas.","-48.6894444","-27.5402777","-48.6894444","-27.5402777","135","135","FURB46687","FURB46687","2010","03","17","Florística IFFSC 352 (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; beira do rio Habito: liana; Fruto infrutescência verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
