"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-12-21 16:47:17-03","MBM","MBM","103921","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","49685","1985","09","14","Southern America","Brazil","Minas Gerais","Gouveia","Barro Preto","-43.7407989501953","-18.4543991088867",NA,NA,"MBM103921","MBM103921","Hatschbach, G.","37970","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:47:17-03","MBM","MBM","23311","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Hatschbach, G.","29961","1972","04","06","Southern America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"MBM023311","MBM023311","Moldenke, H.N.","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 08:26:58-03","MNHN","RECOLNAT_MNHN_P","P02900579","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02900579' target='other'> <mi>dwc_moreinfo</mi></a>","P02900579","P02900579_01","Salimena",NA,NA,NA,NA,NA,NA,NA,"B2 2161",NA,NA,NA,NA
"14","2015-09-04 08:27:43-03","MNHN","RECOLNAT_MNHN_P","P02900731","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02900731' target='other'> <mi>dwc_moreinfo</mi></a>","P02900731","P02900731_01","Salimena",NA,NA,NA,NA,NA,NA,NA,"B2 2161",NA,NA,NA,NA
"15","2015-09-04 08:27:43-03","MNHN","RECOLNAT_MNHN_P","P02900732","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02900732' target='other'> <mi>dwc_moreinfo</mi></a>","P02900732","P02900732_01","Salimena",NA,NA,NA,NA,NA,NA,NA,"B2 2161",NA,NA,NA,NA
"16","2020-12-11 11:42:48-03","UFMG","BHCB","103968","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Teles, AM","271","2006","10","20","Southern America","Brasil","Minas Gerais","Santana do Riacho","Cardial Mota. Parque Nacional da Serra do Cipó., Trilha para as Vellozia gigantea, ca 23 km da sede do IBAMA.","-43.7144012451172","-19.1688995361328",NA,"Erva procumbente, flor lilás.","BHCB010686",NA,NA,"26557","auto","2006","10","20",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:42:48-03","UFMG","BHCB","54501","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke","Syntypus","Magalhães, GM","2630","1942","11","18","Southern America","Brasil","Minas Gerais","Caeté","Serra da Ponte Preta","-43.6697006225586","-19.8799991607666",NA,"Herbacea rasteira. Flor azul. Pouco frequente.; Campo","BHCB000446","BHCB000446",NA,"22051","auto","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:42:48-03","UFMG","BHCB","54503","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke","Typus?","Barreto, HLM","8538","1938","11","25","Southern America","Brasil","Minas Gerais","Santa Luzia","Serra do Cipó, km 138 - estrada de Conceição","-43.8513984680176","-19.7696990966797",NA,"Herbacea rasteira. Flor lilás. Pouco frequente.","BHCB000449","BHCB000449",NA,"19939","auto","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:42:48-03","UFMG","BHCB","54502","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke","Typus?","Barreto, HLM","3259","1933","11","06","Southern America","Brasil","Minas Gerais","Belo Horizonte","Serra do Taquaril","-43.937801361084","-19.9207992553711",NA,"Herbacea reptante. Flor azul. Pouco frequente.; Campo","BHCB000448","BHCB000448",NA,"17082","auto","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:42:48-03","UFMG","BHCB","54500","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke","Typus?","Barreto, HLM","3256","1932","08","28","Southern America","Brasil","Minas Gerais","Belo Horizonte","Serra do Taquaril","-43.937801361084","-19.9207992553711",NA,"Herbacea reptante. Flor azul. Frequencia regular.; Campo","BHCB000447","BHCB000447",NA,"17082","auto","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-12-04 17:12:00-02","MO","MOBOT","2896590","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Gert G. Hatschbach|F.J. Zelma","Hatschbach 49685","1985","9","14","South America","Brazil","Minas Gerais",NA,"Gouveia. Barro Preto.",NA,NA,NA,NA,NA,NA,"G. Hatschbach, XII/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2523075","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"G. M. Felippe","32","1961","10","8","South America - Neotropics","Brazil","Minas Gerais",NA,"Caeté, fazenda Geriza.","-43.7","-19.95",NA,NA,"US03202038","US03202038_01",NA,NA,NA,NA,NA,NA,"950",NA,NA,"Dicotyledonae","1",NA,NA
"23","2020-09-02 16:40:33-03","Cenargen","CEN","106669","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Guilherme de M. Antar","1649","2017","06","16",NA,"Brasil","MG","SANTANA DO RIACHO","Trilhas para o Pico do Breu.","-43.641388","-19.079722","Exsicatas","Brácteas verdes, as mais jovens roxas. Corola lilás. Doação Universidade de São Paulo - Herbário SPF.","CEN00106669","CEN00106669","R. B. Almeida",NA,NA,"2018","03",NA,"1343","1343",NA,NA,"1","-43.641388","-19.079722"
"24","2021-03-15 18:30:20-03","USP","SPF","211062","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Zappi, DC","2799","2010","03","11",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha do João Carrinho, ao sul do Rio das Pedras.","-43.731287","-19.044976",NA,"Erva lenhosa na base, ramos procumbentes, cálice verde com lobos avermelhados, corola lilás-azulada.; Campo rupestre com Vellozia, em solo arenoso com cascalho branco.","SPF00211062","SPF00211062","Zappi, DC",NA,NA,"2010","10",NA,"1223","1223",NA,NA,NA,"-43.731287","-19.044976"
"25","2019-11-13 11:32:55-03","USP","SPF","86552","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Faria, GM","124","1990","10",NA,NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.6","-19.283333",NA,NA,"SPF00086552","SPF00086552","Anônimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.6","-19.283333"
"26","2019-11-13 11:32:55-03","USP","SPF","40731","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Hatschbach, G","49685","1985","09","14",NA,"Brasil","Minas Gerais","Gouveia",NA,"-43.7407989501953","-18.4543991088867",NA,NA,"SPF00040731","SPF00040731","Hatschbach, G","37970","auto","1985","12",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:32:55-03","USP","SPF","72431","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Menezes, NL","CFSC11259","1988","10","27",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00072431","SPF00072431","Pirani, JR","26557","auto","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:32:55-03","USP","SPF","63493","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena-Pires, FRG","CFSC10838","1987","12","13",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00063493","SPF00063493","Salimena-Pires, FRG","26557","auto","1989","11",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:32:55-03","USP","SPF","61336","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Furlan, A","CFSC6719","1980","11","08",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00061336","SPF00061336","Salimena-Pires, FRG","26557","auto","1987","07",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:32:55-03","USP","SPF","46951","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Zappi, DC","CFSC10004","1987","02","27",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00046951","SPF00046951","Anônimo","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:32:55-03","USP","SPF","40528","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Meguro, M","CFSC9367","1985","10","31",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00040528","SPF00040528","Salimena-Pires, FRG","26557","auto","1988","08",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:32:55-03","USP","SPF","20430","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Mamede, MCH","CFSC7640","1981","10","30",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00020430","SPF00020430","Bromley, GLR","26557","auto","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-13 11:32:55-03","USP","SPF","20295","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Furlan, A","CFSC7488","1981","10","05",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00020295","SPF00020295","Bromley, GLR","26557","auto","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-13 11:32:55-03","USP","SPF","20124","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Menezes, NL","CFSC7299","1975","10","06",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"SPF00020124","SPF00020124","Bromley, GLR","26557","auto","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-13 11:32:55-03","USP","SPF","63499","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Cordeiro, I","CFSC10487","1987","09","08",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00063499","SPF00063499","Salimena-Pires, FRG","26557","auto","1989","11",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:32:55-03","USP","SPF","63650","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena-Pires, FRG","CFSC10642","1987","09","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00063650","SPF00063650","Salimena-Pires, FRG","26557","auto","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-13 11:32:55-03","USP","SPF","124337","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Rapini, A","406","1997","10","21",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra da Farofa.","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00124337","SPF00124337","Rapini, A","26557","auto","1997","11",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-13 11:32:55-03","USP","SPF","66743","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena-Pires, FRG","CFSC10767","1987","10","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00066743","SPF00066743","Salimena-Pires, FRG","26557","auto","1987","11",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-13 11:32:55-03","USP","SPF","63135","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena-Pires, FRG","CFSC10719","1987","10","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00063135","SPF00063135","Salimena-Pires, FRG","26557","auto","1987","11",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-13 11:32:55-03","USP","SPF","47053","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Souza, VC","CFSC10065","1987","04","13",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00047053","SPF00047053","Salimena-Pires, FRG","26557","auto","1988","08",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-13 11:32:55-03","USP","SPF","128207","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Sano, PT","568","1997","10","21",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00128207","SPF00128207","Antar, GM","26557","auto","2018","03",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-07 09:17:26-03","UEFS","HUEFS","244269","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena-Pires, F.R.","SPF10719","1987","10","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Estrada entre a pensão Chapéu do Sol e Córrego 2 Pontinhas.","-43.7144012451172","-19.1688995361328",NA,NA,"HUEFS0244269","HUEFS0244269","F.R.Salimena-Pires","26557","auto","1987","11",NA,NA,NA,NA,"Asteranae",NA,NA,NA
"43","2020-11-19 14:06:35-03","Unimontes","MCMG","3919","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-08-20 20:39:27-03","UFSC","FLOR","15405","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Hatschbach, G.; Zelma, F.J.","49685","1985","09","14",NA,"Brasil","Minas Gerais","Gouveia","Barro Preto.","-43.7407989501953","-18.4543991088867",NA,"flor lilás","FLOR0015405",NA,"Hatschbach, G.","37970","auto","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:19:51-03","IBt","SP","224908","S","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Cordeiro, I; et al.","CFSC10487","1987","09","08",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Serra da Banderinha","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA
"46","2019-11-21 10:19:51-03","IBt","SP","224992","S","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Salimena Pires, FR; et al.","CFSC10642","1987","09","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Serra das Bandeirinhas","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
