"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-30 12:52:46-03","EAO","IAN","20096","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Pires, JM; Black, GA","Southern America","Brasil","Pará",NA,NA,NA,NA,"IAN020096","Monocotiledônea",NA,"(Warm.) Hoehne","Pabst, GFJ","547","1945","11","07","Belém","-48.5043983459473","-1.4558299779892",NA,NA,"IAN020096 IAN020096_1 IAN020096_e",NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:52:46-03","EAO","IAN","118443","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Heringer, EP","Southern America","Brasil","Distrito Federal","Setor industrial, em brejo.",NA,NA,"Flores vistosas em cachos bem visíveis.","IAN118443","Monocotiledônea",NA,"Gillies ex Lindl.","Batista, JAN","8158",NA,NA,NA,"Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"1998",NA,NA,"09","70570","auto",NA,NA,NA,NA,NA,NA
"13","2021-03-02 16:29:06-03","CPAN-UFMS","COR","8685","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","melvillei","Habenaria melvillei",NA,"Damasceno Junior, G.A.; Nakajima, J.N.; Romero, R. Pott, V.J.",NA,"Brasil","Mato Grosso do Sul","Área de inundação do córrego retiro - Faz. Acurizal. área de inundação; arenoso; plano.",NA,NA,"Com Flor: branca Habito: Erva aquática",NA,NA,NA,"Ridl.","Batista, J.A.N.","2907","2001","11","18","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,NA,"2019",NA,NA,"05","295160","auto","02",NA,NA,NA,NA,NA
"14","2019-10-09 11:28:42-03","UFBA","ALCB","88432","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Guedes, ML; Gomes, FS; et al.","Southern America","Brasil","Bahia","Litoral Sul, Fazenda Taipú de Fora",NA,NA,"terrestre, ca. 20cm at. Folhas lineares, membranáceas, levemente discolores. Flores com pétalas amarelo-esverdeadas, labelo com apêndice de 13,5 cm, amarelo-esverdeado.; Brejo.","ALCB007330","Monocotyledon",NA,"Gill. ex Lindl.","Batista, JAN","15000","2009","05","24","Maraú","-38.934167","-13.944167","7","7","ALCB007330 ALCB007330_1","2014","-38.934167","-13.944167","05",NA,NA,"09",NA,NA,NA,NA,NA
"15","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459778","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"McDowell T; Gopaul D; Horn C; Wiersema JH","Southern America","Guyana","Pomeroon-Supenaam","Guyana. Pomeroon-Supenaam Region: To E Demerara Water Conserv. Lama Creek.",NA,NA,"Flooded marshland, sides of canals. Growing in floating mat of vegetation or bottom rooted.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459778",NA,"Asparagales","Lindl. ex Warm.","Christenson EA",NA,"1991","03","08",NA,"-58","6.666667",NA,NA,"NL-U1459778",NA,"-58.0","6.666667",NA,NA,NA,NA,"Magnoliopsidae","U 0218245",NA,NA,NA
"16","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515952","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Reitz R; Klein RM","Southern America","Brazil",NA,"Santa Catarina, Pôrto União.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515952",NA,"Asparagales","Lindl. ex Warm.",NA,NA,"1962","02","25",NA,NA,NA,NA,NA,"NL-L1515952",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515855","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Pedersen TM","Southern America","Argentina",NA,"Estancia,,La Yela', Dep. Empedrado, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515855",NA,"Asparagales","Gillies ex Lindl.",NA,NA,"1972","12","21",NA,NA,NA,NA,NA,"NL-L1515855",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"18","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515856","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Pedersen TM","Southern America","Paraguay",NA,"Estancia,,La Soledad', Santiago, Dep. Misiones.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515856",NA,"Asparagales","Gillies ex Lindl.",NA,NA,"1955","02","06",NA,NA,NA,NA,NA,"NL-L1515856",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459518","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Herter WG","Southern America","Uruguay",NA,"Uruguayenses. Dep. de Cerro Largo. Sierra de Rios.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459518 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459518",NA,"Asparagales","Gillies ex Lindl.",NA,NA,"1937","02","07",NA,NA,NA,NA,NA,"NL-U1459518",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459780","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Lindeman JC; Haas JH de","Southern America","Brazil",NA,"Flora Brasiliae Australis. Est. Paraná. BR-2 10 km E de Curitiba, banhado grande com ilhotas de Ciperaceas em água marron corrente muito lentemente.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459780",NA,"Asparagales","Gillies ex Lindl.",NA,NA,"1967","02","23",NA,NA,NA,NA,NA,"NL-U1459780",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"21","2020-11-04 12:17:31-03","ESALQ","ESA","35702","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Souza, J.P. et al.",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA035702","Magnoliophyta",NA,"Warm.","Souza, V.C.","875.0","1996","12","14","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA
"22","2020-11-04 12:17:31-03","ESALQ","ESA","77392","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Von Linsingen, L.S.",NA,"Brasil","Paraná",NA,NA,NA,NA,"ESA077392","Magnoliophyta",NA,"Warm.","Forster, W.","582.0","2001","01","16","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,"ESA077392",NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
"23","2020-11-04 12:17:31-03","ESALQ","ESA","78792","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Mello Barreto",NA,"Brasil","Minas Gerais","BLOQUEADO",NA,NA,NA,"ESA078792","Magnoliophyta",NA,"Warming & Hoehne","Hoehne, F.C.","4869.0","1935","02","05","Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,"ESA078792",NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA,NA,NA
"24","2020-11-04 12:17:31-03","ESALQ","ESA","82780","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Krieger, L.",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA082780","Magnoliophyta",NA,"Gill. ex Lindl.","P.I.S.Braga 01/III/1983","16873.0","1980","01","31","Antônio Carlos","-43.7467002868652","-21.3180999755859",NA,NA,"ESA082780",NA,NA,NA,NA,"30131","auto",NA,NA,NA,NA,NA,NA
"25","2021-03-31 13:41:03-03","MN","R","221258","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hatschbach, G.G.; Hatschbach, M. & Silva, J.M.",NA,"Brasil","Goiás",NA,NA,NA,"Prefeitura Municipal de Curitiba",NA,NA,NA,"Gill ex Lindl.","Toscano","54669","1990","10","16","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","1200","1200",NA,"1991",NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA,NA
"26","2021-03-31 13:41:03-03","MN","R","32111","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hoehne, F.C.",NA,"Brasil","Minas Gerais",NA,NA,NA,"Comissão Rondon",NA,NA,NA,"Gill ex Lindl.","Batista, J.A.N.","6420","1915","11",NA,"Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,"1998",NA,NA,"11","22051","auto",NA,NA,NA,NA,NA,NA
"27","2021-03-31 13:41:03-03","MN","R","32110","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hoehne, F.C.",NA,"Brasil","Minas Gerais",NA,NA,NA,"Comissão Rondon",NA,NA,NA,"Gill ex Lindl.","Hoehne, F.C.","6421","1915","11",NA,"Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,NA,NA,"22051","auto",NA,NA,NA,NA,NA,NA
"28","2021-03-31 13:41:04-03","MN","R","35425","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","melvillei","Habenaria melvillei",NA,"Mello Barreto, H.L.",NA,"Brasil","Minas Gerais",NA,NA,NA,"Jardim Botânico de Belo Horizonte",NA,NA,NA,"Ridl.","Batista, J.A.N.","4869","1935","02","05","Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"2013",NA,NA,"08","19939","auto","11",NA,NA,NA,NA,NA
"29","2020-10-14 10:04:10-03","FURB","FURB","7343","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Grippa, C.R.",NA,"Brasil","Santa Catarina","Margem esqueda do Rio Pelotinha.",NA,NA,NA,"FURB35378",NA,NA,"Gill. ex Lindl.","Mancinelli, WS","116","2008","02","18","Capão Alto","-50.6308334","-28.2944444",NA,NA,"FURB35378","2010","-50.6308334","-28.2944444","01",NA,NA,"25",NA,NA,NA,NA,NA
"30","2020-10-14 10:04:10-03","FURB","FURB","9423","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Gasper, A.L. de; Brogni, E. & Wolff, A.G.B.",NA,"Brasil","Santa Catarina","Linha São Roque.",NA,NA,"Florística IFFSC 669. Habitat: Floresta Ombrófila Mista; Habito: flor branca","FURB02782",NA,NA,"Gill. ex Lindl.","Mancinelli, WS","1321","2008","01","21","Arroio Trinta","-51.2991666","-26.9102778","1012","1012","FURB02782","2010","-51.2991666","-26.9102778","01",NA,NA,"25",NA,NA,NA,NA,NA
"31","2019-08-16 08:40:23-03","UTFPR","HCF","6606","S","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"M.G. Caxambu",NA,"Brasil","PR","cachoeira próxima à estrada boiadeira",NA,NA,"erva heliófita, ereta, palustre. Flores alvo-esverdeadas. Próxima à cachoeira.",NA,NA,NA,"Gill. ex Lindl.","J. Cordeiro","2020","2008","01","20","Cianorte","-52.6049995422363","-23.6632995605469",NA,NA,NA,"2008",NA,NA,NA,"32009","auto",NA,NA,NA,NA,NA,NA
"32","2020-09-02 11:21:30-03","UFSM","SMDB","13823","S","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Portalet, A",NA,"Brasil","Rio Grande do Sul","Bairro Camobi - UFSM- Jardim Botânico",NA,NA,"Terrestre, com + ou - 1,50m. Encontrada vegetando entre ciperáceas e poaceas a sol pleno. Possui folhas na base da haste floral e para o ápice tornam-se brácteas. Flores grandes, sépalas esverdeadas, pétalas e labelo esverdeado trilobado; raízes fin","SMDB013823",NA,NA,"Barb. Rodr.","Portalet, A","72","2010","01","22","Santa Maria","-53.8069000244141","-29.6842002868652",NA,NA,NA,"2010",NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA
"33","2020-07-17 15:10:01-03","UFSM","SMDB","15914","S","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Schaefer, J",NA,"Brasil","Rio Grande do Sul","distrito de Santo Antão",NA,NA,NA,"SMDB015914",NA,NA,"Gillies ex Lindl.","Schaefer, J","296","2015","01","12","Santa Maria","-53.8069000244141","-29.6842002868652",NA,NA,NA,NA,NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:38:30-03","MBM","MBM","29398","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Kummrow, R.","Southern America","Brazil","Paraná","Rio Atuba",NA,NA,NA,"MBM029398",NA,NA,"Warm. ex Hoehne","Pabst, G.","377","1974","02","20","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"MBM029398",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:38:30-03","MBM","MBM","148914","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Custódio Filho, A.","Southern America","Brazil","São Paulo","Biritiba-Mirim, Estação Biológica de Boracéia",NA,NA,NA,"MBM148914",NA,NA,"Warm. ex Hoehne",NA,"2561","1986","04","19","Biritiba-Mirim","-46.0299987792969","-23.5699996948242",NA,NA,"MBM148914",NA,NA,NA,NA,"19656","auto",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:38:30-03","MBM","MBM","19432","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Hatschbach, G.","Southern America","Brazil","Paraná","Rio Iraí",NA,NA,NA,"MBM019432",NA,NA,"Warm. ex Hoehne","Pabst, G.","26553","1971","03","13","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,"MBM019432",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:38:30-03","MBM","MBM","46090","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Kummrow, R.","Southern America","Brazil","Paraná","Fazenda São Roque",NA,NA,NA,"MBM046090",NA,NA,"Warm. ex Hoehne","Pabst, G.","1068","1976","02","03","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,NA,"MBM046090",NA,NA,NA,NA,"14684","auto",NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:38:30-03","MBM","MBM","32363","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Pedersen, T.M.","Southern America","Argentina",NA,"Estancia La Yela, Dep. Empedrado, Prov. Corrientes",NA,NA,NA,"MBM032363",NA,NA,"Gill. ex Lindl.","Pedersen, T.M.","10271","1972","12","21",NA,NA,NA,NA,NA,"MBM032363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:38:30-03","MBM","MBM","118237","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","Southern America","Brazil","Paraná","47km de Horizonte, caminho a Palmas, BR-280",NA,NA,NA,"MBM118237",NA,NA,"Gill. ex Lindl.","Correa, N.","39723","1985","01","27",NA,NA,NA,NA,NA,"MBM118237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:38:30-03","MBM","MBM","428696","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Lozano, E.D.; Gomes, F.R.; Fernandes, U.G.; Gomes, F.R.; Fernandes, U.G.","Southern America","Brazil","São Paulo","Estação Biológica de Boracéia",NA,NA,"Terrícola, 90 cm, flores creme, em campo dominado por capim gordura.; Floresta Ombrófila Densa Montana.","MBM428696",NA,NA,"Gill. ex Lindl.","Lozano, E.D.","4586","2019","12","05","Salesópolis","-45.853583","-23.643694",NA,NA,NA,"2019","-45.853583","-23.643694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:38:30-03","MBM","MBM","140134","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","Southern America","Brazil","Goiás","Fazenda Mato Fundo",NA,NA,NA,"MBM140134",NA,NA,"Gill. ex Lindl.","Toscano","54669","1990","10","16","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242",NA,NA,"MBM140134",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:38:30-03","MBM","MBM","130118","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Lindeman, J.; Haas, H.; Haas, H.","Southern America","Brazil","Paraná","BR-2, 10km E de Curitiba",NA,NA,NA,"MBM130118",NA,NA,"Gill. ex Lindl.","Pabst, G.","4596","1967","02","23","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"MBM130118",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:38:30-03","MBM","MBM","49663","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hatschbach, G.","Southern America","Brazil","Paraná","Piraquara",NA,NA,NA,"MBM049663",NA,NA,"Gill. ex Lindl.","Pabst, G.","3006","1953","01","22","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,"MBM049663",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:38:30-03","MBM","MBM","92262","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Hatschbach, G.","Southern America","Brazil","Paraná","Areial",NA,NA,NA,"MBM092262",NA,NA,"Gill. ex Lindl.",NA,"48171","1984","03","01","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,"MBM092262",NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"45","2019-11-01 15:28:29-03","PUC-RIO","FCAB","2057","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"P.E. Leite S.J.",NA,"Brasil","São Paulo",NA,NA,NA,"Sinônimo relevante: Habenaria gourlieana Gill. ex Lindl.&nf;Em terrenos úmidos.","002057",NA,"Angiospermae","Warm. ex Hoehne","F.C. Hoehne","s.n.","1945","03",NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","1600","1600",NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"46","2015-09-03 19:37:37-03","MNHN","RECOLNAT_MNHN_P","P00386992","PreservedSpecimen",NA,"Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Fries, R.E.",NA,"Bolivia",NA,NA,"hb",NA,"Reçu le 25 février 1937 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00386992' target='other'> <mi>dwc_moreinfo</mi></a>","P00386992",NA,NA,"Gillies ex Lindl.","Batista",NA,"1902",NA,NA,NA,NA,NA,NA,NA,"P00386992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1189",NA,NA
"47","2015-09-03 19:37:37-03","MNHN","RECOLNAT_MNHN_P","P00386993","PreservedSpecimen",NA,"Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Glaziou, A.",NA,"Brésil",NA,"Corrego do Brejo, au Chico Lobo","hb",NA,"1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00386993' target='other'> <mi>dwc_moreinfo</mi></a>","P00386993",NA,NA,"Gillies ex Lindl.","Batista",NA,"1894","11","16",NA,NA,NA,NA,NA,"P00386993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22159",NA,NA
