"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus","sex"
"11","2021-04-07 11:45:52-03","UFMS","CGMS","32909","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","M. Grings","M. Grings; R. Paniz","922","2009","12","17",NA,"Brasil","Rio Grande do Sul","RS-377, Km 345, acesso secundário para São Francisco de Assis.",NA,"Flores amarelas. Frutificando. Habitat: Crescendo junto a Butia lallemantii,em butiazal. Habito: Arbusto. 1,00 m de altura.","CGMS1062299","Manoel Viana","-55.4827995300293","-29.5891990661621",NA,NA,NA,NA,NA,NA,NA,NA,"43920","auto",NA,NA,NA,NA,NA
"12","2021-03-16 17:53:32-03","UCS","HUCS","36944","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Grings, M.","Grings, M.","922","2009","12","17",NA,"Brasil","Rio Grande do Sul","RST-377, Km 345 , acesso secundário para São Francisco de Assis",NA,"arbusto de 1m de alt., com flores amarelas e frutificando; crescendo junto a Butia lallemantii, em butiazal",NA,"Manoel Viana","-55.4827995300293","-29.5891990661621",NA,NA,NA,NA,NA,NA,NA,NA,"43920","auto",NA,NA,NA,NA,NA
"13","2015-09-04 19:00:56-03","MNHN","RECOLNAT_MNHN_P","P06688731","PreservedSpecimen",NA,NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"Zardini, E.|Velazquez, H.",NA,"1991","6","22",NA,"Paraguai",NA,"National Park Ybycuí, northwestern corner of park, along arroyo Mina.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06688731' target='other'> <mi>dwc_moreinfo</mi></a>","P06688731",NA,"-56.76667","-26.01667","P06688731_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27910",NA,NA,NA,NA
"14","2015-09-04 19:00:56-03","MNHN","RECOLNAT_MNHN_P","P06688732","PreservedSpecimen",NA,NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"Schulz, A.G.",NA,"1930","12","1",NA,"Argentina",NA,"Chaco, 1º de Março, Colonia Benítez.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06688732' target='other'> <mi>dwc_moreinfo</mi></a>","P06688732",NA,NA,NA,"P06688732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"540",NA,NA,NA,NA
"15","2021-01-26 13:55:57-03","IMA","MAC","8119","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"E.Zardini; E.Velázquez","20406",NA,NA,NA,NA,"Paraguai","Cordillera","Confluência do rio Paraguai e rio Salado, savana.",NA,"Arbusto ca. de 1m de alt. Flores amarelas.","MAC0008119",NA,"-57.5","-25.15","MAC0008119",NA,NA,NA,"-57.5","-25.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2866924","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"E. Schwindt","3972","1950","4","18","South America","Argentina","Misiones","Dep San Pedro. Fracran a San Pedro Ruta 14.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","2593208A","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"J. E. Montes","14794","1955","5","12","South America","Argentina","Misiones","Dep San Ignacio, Feyucuare.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","3076813","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"G. Hatschbach & F. J. Zelma","49080","1985","3","15","South America - Neotropics","Brazil","Mato Grosso do Sul","Antonio Joao.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2104068","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"E. Montes","1570","1949","4","26","South America","Argentina","Misiones","Dep San Pedro. Caraguatay (centro).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","1043489","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"I. Vattuone & A. Bianchi L.","24","1914","2","20","South America","Argentina","Misiones","Posadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2481366","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"A. Krapovickas & C. L. Cristóbal","11454","1904","5","24","South America","Paraguay","Cordillera","Tobati.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2283029","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"T. M. Pedersen","1133","1951","7","26","South America","Argentina","Corrientes","Dep Mburucuya. Estancia Santa Teresa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2593291A","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"J. E. Montes","14870","1956","4","17","South America","Argentina","Misiones","Dep San Ignacio, Pastoreo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"330",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","1056962","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"E. Hassler","11524","1913",NA,NA,"South America","Paraguay","Ypacaray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","1483822","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"P. Jörgensen & E. Hassler","3802","1929","3","15","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"26","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240573F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0240573F",NA,"-52.8731","-10.8339","V0240573F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"27","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240574F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,"V0240574F",NA,"-64.9208","-35.3869","V0240574F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"28","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240575F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,"V0240575F",NA,"-64.9208","-35.3869","V0240575F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"29","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240576F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0240576F",NA,"-52.8731","-10.8339","V0240576F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"30","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240577F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"V0240577F",NA,"-58.1689","-23.2025","V0240577F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"31","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240578F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"V0240578F",NA,"-58.1689","-23.2025","V0240578F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"32","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240579F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"V0240579F",NA,"-58.1689","-23.2025","V0240579F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"33","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240580F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,"V0240580F",NA,"-64.9208","-35.3869","V0240580F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"34","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240581F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,"V0240581F",NA,"-64.9208","-35.3869","V0240581F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"35","2015-03-13 18:50:11-03","F","FMNH-SEEDPLANTS","V0240582F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,"V0240582F",NA,"-64.9208","-35.3869","V0240582F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"36","2021-02-08 12:43:20-03","UFRGS","ICN","163393","S","Plantae","Dicotyledon",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Grings, M","Grings, M; Vieira, V","1022","2010","03","20","América do Sul","Brasil","RS","BR-287",NA,"sub-arbusto de 0,8 ; frutificando; beira da rodovia, em sub-bosque de formação parque de pau-ferro",NA,"Unistalda","-55.263333","-29.0075",NA,NA,NA,NA,"-55.263333","-29.0075","291","291",NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 12:43:20-03","UFRGS","ICN","163398","S","Plantae","Dicotyledon",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Grings, M","Grings, M; Vieira, V","1026","2010","03","20","América do Sul","Brasil","RS","BR-287 no arroio que divide Maçambará São Borja e Unistalda",NA,"subarbusto de 0,8 m de altura; com flor amarela em botão e frutificando; em capoeira na beira da estrada",NA,"Unistalda","-55.291111","-28.991111",NA,NA,NA,NA,"-55.291111","-28.991111","185","185",NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 12:43:20-03","UFRGS","ICN","163161","S","Plantae","Dicotyledon",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Grings, M","Grings, M; Paniz, R","922","2009","12","17","América do Sul","Brasil","RS","RST-377 Km 345 acesso secundário para São Francisco de Assis",NA,"arbusto de 1 m de alt.; com flores amarelas e frutificando; crescendo junto a Butia lallemantii, em butiazal",NA,"Manoel Viana","-55.4827995300293","-29.5891990661621",NA,NA,NA,NA,NA,NA,NA,NA,"43920","auto",NA,NA,NA,NA,NA
"39","2021-02-08 12:43:20-03","UFRGS","ICN","162433","S","Plantae","Dicotyledon",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Hagelund, K","Hagelund, K","7966","1974","02","12","América do Sul","Brasil","RS",NA,NA,NA,NA,"São Borja","-56.0043983459473","-28.6606006622314",NA,NA,NA,NA,NA,NA,NA,NA,"75549","auto",NA,NA,NA,NA,NA
"40","2021-02-08 12:43:20-03","UFRGS","ICN","159201","S","Plantae","Dicotyledon",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","Krapovickas, A","Freitas, E","171","2007","01","22","América do Sul","Brasil","RS",NA,NA,"Subarbusto; flores rosadas; Campo de solo arenoso, entre touceira de arbustos",NA,"São Francisco de Assis","-55.1310997009277","-29.5503005981445",NA,NA,NA,NA,NA,NA,NA,NA,"48310","auto",NA,NA,NA,NA,NA
"41","2020-08-26 10:49:36-03","MCN-FZBRS","HAS","19997","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"Bueno, O.","4046","1984","11",NA,NA,"Brasil","Rio Grande do Sul","Linha Nova",NA,"Flores amarelas, numeroso e disperso. Constitui-se em primeira citação para o Estado.","HAS0019997","Porto Xavier","-55.1375007629395","-27.9055995941162",NA,NA,NA,NA,NA,NA,NA,NA,"14548","auto",NA,NA,NA,NA,NA
"42","2020-08-26 10:49:36-03","MCN-FZBRS","HAS","20326","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.",NA,"Krapovickas, A.","s.n.","1983","01",NA,NA,"Brasil","Rio Grande do Sul","Km 202 da rota Santa Maria a São Borja, 91 km SE de São Borja.",NA,"Em bosque de urunday. Subarbusto até 1,5 m de altura. Doação da Universidad Nacional del Nordeste - Corrientes (CTES) n° 38389.","HAS0020326","São Borja","-56.0043983459473","-28.6606006622314",NA,NA,NA,NA,NA,NA,NA,NA,"75549","auto",NA,NA,NA,NA,NA
"43","2010-08-16 16:36:03-03","A","HU-HERB","A 00052667","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","hassleranum","Abutilon hassleranum","Hochreutiner",NA,"E. Hassler","11524","1913","2",NA,"South America","Paraguay",NA,"In regione lacus Ypacaray","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11524",NA,NA,"Isotype","undetermined"
"44","2010-08-16 16:35:56-03","GH","HU-HERB","GH 00052668","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","hassleranum","Abutilon hassleranum","Hochreutiner",NA,"E. Hassler","11524","1913","2",NA,"South America","Paraguay",NA,"In regione lacus Ypacaray","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11524",NA,NA,"Isotype","undetermined"
