"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","individualCount","barcode","imagecode","occurrenceRemarks","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","order","relatedCatalogItem"
"17","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","43989",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A.P. Fontana",NA,NA,NA,"A. P. Fontana; A.M. Assis","1943","2006","01","29","Brasil","Espírito Santo","Santa Leopoldina","Suíça, Pousada Suíça, RPPN Suíça, propr. Do Sr. Pedro Busatto, beira da estrada","-40.597222","-20.081111",NA,NA,NA,NA,"MBML043989","MBML043989","Rupícola, heliófila. Flores vermelhas","40W35'50","20S4'52",NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","46196",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. P. Fontana/07-05-2013",NA,NA,NA,"A. P. Fontana","7496","2013","05","07","Brasil","Espírito Santo","Santa Teresa","Vale do Canaã, próximo do mirante","-40.606389","-19.911944",NA,NA,NA,NA,"MBML046196","MBML046196","Rupícola. Frutos imaturos verdes","40W36'23","19S54'43",NA,"606","606",NA,NA,NA
"19","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","5849",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems, III.1990",NA,NA,NA,"A. Chautems; et al",NA,"1990","03","07","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,NA,"2","MBML005849","MBML005849","Rupícola, planta glandulosa, com cheiro agradável, corola vermelho claro.","40W37'4","19S55'52","HOLOTIPO",NA,NA,NA,NA,NA
"20","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","8273",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems, VI.1999",NA,NA,NA,"L. Kollmann; E. Bausen & W. Pizziolo","1358","1998","12","16","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Prop. Dr. Pedro","-40.581667","-19.950278",NA,NA,NA,NA,"MBML008273","MBML008273","Rupícola. Flores laranjas avermelhadas.","40W34'54","19S57'1",NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","9613",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/I.2002",NA,NA,NA,"L. Kollmann; E. Bausen","1395","1998","12","30","Brasil","Espírito Santo","Santa Teresa","Vale do Canaã","-40.601944","-19.906111",NA,NA,NA,NA,"MBML009613","MBML009613","Rupícola. Flores brancas.","40W36'7","19S54'22",NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","40263",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems",NA,NA,NA,NA,"A. P. Fontana; K.A. Brahim & R.C. de Brito","2725","2007","01","26","Brasil","Espírito Santo","Santa Leopoldina","Chaves. Cachoeira Recanto da Mata. Floresta Ombrófila Densa, mata ciliar","-40.545972","-20.335278",NA,NA,NA,NA,"MBML040263","MBML040263","Rupícola na sombra. Flores vermelhas","40W32'45,5","20S20'7",NA,"534","534",NA,NA,NA
"23","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","45504",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A.P. Fontana/21-10-2005",NA,NA,NA,"A. P. Fontana; L.Kollmann","1762","2005","10","21","Brasil","Espírito Santo","Santa Teresa","Goiapaba-açú, propriedade de Jonas Tragnhago","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,"MBML045504","MBML045504","Rupícola, umbrófila. Flores vermelhas",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","21994",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/Março-2004",NA,NA,NA,"J. Rossini; et al","555","2004","03","01","Brasil","Espírito Santo","Venda Nova do Imigrante","Rodovia BR-262 (Vitoria-Belo Horizonte)","-41.1347007751465","-20.3397006988525","15909","auto",NA,NA,"MBML021994","MBML021994","Rupicola, flores avermelhadas.",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3179649","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems",NA,NA,NA,NA,"A. P. Chautems & H. Fernandes","380","1990","3","7","Brazil","Espírito Santo","Santa Teresa","Valsuganavelha.","-40.6002998352051","-19.9356002807617","23813","auto","South America - Neotropics","1","US00293137","US00293137_01",NA,NA,NA,"Isotype",NA,NA,"Dicotyledonae","Scrophulariales",NA
"26","2020-09-12 05:00:02-03","US","US","3353847","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems",NA,NA,NA,NA,"L. E. Skog & L. Brothers","7773","1996","8","19","Brazil",NA,NA,"Grown in the Smithsonian's Dept. of Botany greenhouses, Suitland, Maryland, U.S.A.",NA,NA,NA,NA,"South America - Neotropics","1","US00590970","US00590970_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales",NA
"27","2020-07-23 12:08:41-03","CEPLAC","CEPEC","41570","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis",NA,"A. Chautems",NA,NA,NA,"W. Boone","1010","1986","01","10","Brasil","Espírito Santo","SANTA TERESA","Valsugana Velha.","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,"0W0'0","0S0'0","Paratipo",NA,NA,NA,NA,"28/02/1991"
"28","2020-07-23 12:08:41-03","CEPLAC","CEPEC","41568","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis",NA,"A. Chautems",NA,NA,NA,"W. Boone","1104","1994","08","21","Brasil","Espírito Santo","SANTA TERESA","Valsugana Velha, atras do Bairro Dois Pinheiros.","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,"0W0'0","0S0'0","Paratipo",NA,NA,NA,NA,"28/02/1991"
"29","2020-07-23 12:08:41-03","CEPLAC","CEPEC","41569","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis",NA,"A. Chautems",NA,NA,NA,"H. Q. B. Fernandes","1756","1986","01","10","Brasil","Espírito Santo","SANTA TERESA","Valsugana Velha.","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,"0W0'0","0S0'0","Paratipo",NA,NA,NA,NA,"28/02/1991"
"30","2019-11-21 10:07:03-03","IBt","SP","251266","S","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","Chautems, A","1991",NA,NA,"Chautems, A; Boudet Fernandes, HQ","380","1990","03","07","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, acima do loteamento Jardim da Montanha. Afloramento granítico dominando um cafezal. Nas fendas das rochas","-40.6","-19.933333",NA,NA,NA,NA,"SP000773","SP000773","Erva com tubérculo de 5-20 cm; planta pegajosa e cheirosa; corola vermelho-claro, bilabiada, interior do tubo creme maculado de vermelho","-40.6","-19.933333","Isotype","650","650",NA,NA,NA
"31","2014-09-23 10:47:42-03","G","G","G00164730","S","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","Chautems, A.","1991","01","01","Chautems, A. & H. Q. Boudet Fernandes","380","1990","03","07","Brazil","Espirito Santo","Santa Teresa",NA,"-40.6","-19.93333333",NA,NA,"AMERIQUE DU SUD",NA,"G00164730","G00164730","Coordinate uncertainty: Approx. in a 1'000 m. radius Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=171096&base=img&lang=en","-40.6","-19.93333333","ISOTYPUS of Sinningia valsuganensis Chautems","650","650",NA,NA,NA
