"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"21","2020-11-13 09:20:09-03","UFRJ","RFA","26149","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.","A. M. Amorim","2001","05","12","A. Quinet","2001","01","12","Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.126389","-22.5675","43º7'35''W","22º34'3''S","Arbusto, 22cm de DAP, folha discolor verde, flor com cálice verde com glândulas amarelas e corola amarela, fruto imaturo verde, com glândulas amarelas na base do cálice, comum no local.","RFA40993",NA,"280","280","out-64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-13 09:20:09-03","UFRJ","RFA","26406","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.","A. M. Amorim","2001","05","12","A. Quinet","2001","01","26","Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.123611","-22.566667","43º7'25''W","22º34'0''S","Arbusto, 2m de altura, 18cm de DAP, folhas verdes discolores, fruto verde, comum no local.","RFA40990",NA,"150","150","54/67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:31:09-03","UFRJ","RFA","30542","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.","R.F. Almeida","2015",NA,NA,"P. Occhioni","1979","11","14","Brasil","Rio de Janeiro","Rio de Janeiro","Vale das Pedrinhas, próximo de Magé","-43.2075004577637","-22.9027996063232",NA,NA,"Arbusto; flor creme","RFA44644",NA,NA,NA,"9011","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-24 17:10:47-03","UTFPR","DVPR","3345","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) Macbride","Estevan, DA","2016","03","11","Vicente, NR","2011","02",NA,"Brasil","Santa Catarina","Biguaçu","Três riachos.","-48.6556015014648","-27.4941997528076",NA,NA,"Árvore, flores amarelas.","DVPR003345",NA,NA,NA,"15","20442","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-24 17:10:47-03","UTFPR","DVPR","3537","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) Macbride","Estevan, DA","2016","06",NA,"Estevan, DA","2015","11","01","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,"Árvore 8 m, flores amarelas.&nf;; Mangue.","DVPR003537",NA,NA,NA,"2184","34265","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-08 17:42:19-03","EAO","IAN","40234","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Juss.",NA,NA,NA,NA,"Gaudichaud",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN040234",NA,NA,NA,"145",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-01-20 14:40:35-03","UPM","MACK","433","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","(Griseb.) Griseb.","S. L. Marçon","2009","04",NA,"R. J. F. Garcia","2008","01","28","Brasil","SP","Juquitiba","Mata secundária, ca. 12m altura","-47.060001373291","-23.9300003051758",NA,NA,NA,NA,NA,NA,NA,"3320","24559","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371779","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","Mamede MCH","1988","11","01","Wanderley MGL; et al.","1982","06","02","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371779 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371779","NL-U1371779",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae","U 0113990",NA,NA,NA,NA,NA
"29","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371780","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","Mamede MCH",NA,NA,NA,"Bernacci LC; et al.","1995","01","10","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371780","NL-U1371780",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae","U 0113991",NA,NA,NA,NA,NA
"30","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371781","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","08","05","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Forest on crest and N slope of ridge N of Cêrro Azul.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371781","NL-U1371781",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371782","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"Hatschbach GG","1964","02","15","Brazil",NA,NA,"Parana. Guaratuba. Morro do Morretes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371782","NL-U1371782",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371784","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1967","03","14","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Forest on slope above Rio Iguaçú, ca. 85 km S.W. of Guarapuava.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371784","NL-U1371784",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
