"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","sex"
"11","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2507678","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","crassifolia","Eugenia crassifolia","Miq.",NA,"Claussen P",NA,"1840","08","01","Southern America","Brazil",NA,"Minas geraes. Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2507678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2507678","NL-L2507678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2523770","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Hatschbach GG",NA,"1962","04","14","Southern America","Brazil",NA,"Est. Parana (Brasil). Mun. Jaguariaiva. Ribeirão Grota Funda.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2523770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2523770","NL-L2523770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-02-08 10:07:35-03","NBC","NL-BOTANY","U.1452021","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Regnell AF",NA,"1847","03","12","Southern America","Brazil",NA,"Prov. Minas Geraes Caldas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1452021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1452021","NL-U1452021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2020-11-04 10:56:25-03","ESALQ","ESA","85575","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(O. Berg) Proença & Sobral",NA,"Mazine, F.F. Lucas, E.; Souza, V.C.; Romão, G.O.; Souza, J. P .","960.0","2013","11","01",NA,"Brasil","Paraná",NA,"-49.261100769043","-24.823600769043",NA,NA,"ESA085575",NA,"Stadnik, A.","Cerro Azul",NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:15:10-03","ESALQ","ESA","115716","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(O. Berg) Proença & Sobral",NA,"Gimenes, L.L.S.","3.0","2008","03","24",NA,"Brasil","Minas Gerais",NA,"-46.5614013671875","-21.7877998352051",NA,NA,"ESA115716",NA,"Faria, J.E.Q.","Poços de Caldas",NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:15:10-03","ESALQ","ESA","119334","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana",NA,NA,"Colletta, G.D.","690.0","2012","07","03",NA,"Brasil","São Paulo","Estrada da Cumbica n° 500, mata ao lado do ct do São Paulo","-46.6300010681152","-23.5400009155273",NA,"Árvore, 12m, flores brancas, placa 5939","ESA119334",NA,"Mazine, F.F.","São Paulo",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:03:25-03","JBP","HPL","5749","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg.",NA,"G.F. Arbocz","1524","1995","06","14",NA,"Brasil","MG","Coletada nas proximidades da cidade.","-46.5692","-22.0681",NA,NA,NA,NA,"M.L. Kawasaki","Andradas",NA,NA,NA,NA,"16593","auto","1995","06",NA,"14",NA,NA,NA
"18","2015-07-02 14:03:25-03","JBP","HPL","5751","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg",NA,"E.R. Salviani & H. Lorenzi","124","1998","07","15",NA,"Brasil","SP","Coletado nos arredores da cidade a cerca de 4km.","-48.37","-23.08",NA,NA,NA,NA,"H. Lorenzi","Pardinho",NA,NA,NA,NA,"14628","auto","1998","07",NA,"15",NA,NA,NA
"19","2015-07-02 14:03:25-03","JBP","HPL","5752","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg",NA,"E.R. Salviani & H. Lorenzi","123","1998","07","15",NA,"Brasil","SP","Coletado nos arredores da cidade cerca de 4km.","-48.37","-23.08",NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","Pardinho",NA,NA,NA,NA,"14628","auto","1998","07",NA,"15",NA,NA,NA
"20","2015-07-02 14:03:25-03","JBP","HPL","5753","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg.",NA,"E.R. Salviani & H. Lorenzi","122","1998","07","15",NA,"Brasil","SP","Coletado nos arredores da cidade cerca de 4km.","-48.37","-23.08",NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","Pardinho",NA,NA,NA,NA,"14628","auto","1998","07",NA,"15",NA,NA,NA
"21","2015-07-02 14:03:25-03","JBP","HPL","10488","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","(O. Berg) Kiaersk.",NA,"R. Tsuji","2533","2008","03","28",NA,"Brasil","SP","Coletado nas proximidades do município de Cunha, em beira de asfalto sentido Parati-RJ.","-44.96","-23.07",NA,NA,NA,NA,"R. Tsuji","Cunha",NA,NA,NA,NA,"38855","auto","2008","10",NA,"24",NA,NA,NA
"22","2015-07-02 14:55:40-03","JBP","HPL","10605","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg",NA,"L.C. Bernacci & R. Tsuji","4469","2008","02","28",NA,"Brasil","SP","Sentido Paraty, em beira de rodovia asfaltada.","-44.96","-23.07",NA,NA,NA,NA,"R. Tsuji","Cunha","44955833","23° 136667","1000","1000","38855","auto","2008","11",NA,"10",NA,NA,NA
"23","2015-07-02 14:03:25-03","JBP","HPL","11597","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana",NA,NA,"E. Franco","57","2009","05","28",NA,"Brasil","SP","Coletado em área de pastagem à beira da estrada, próximo a antiga pista de corrida de cavalos (a mais ou menos 5 km da cidade).","-48.37","-23.08",NA,NA,NA,NA,"E. Franco","Pardinho",NA,NA,NA,NA,"14628","auto","2009","05",NA,"28",NA,NA,NA
"24","2015-07-02 14:03:25-03","JBP","HPL","5748","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg.",NA,"H. Lorenzi","1297","1994","01","27",NA,"Brasil","SP","Coletado na estrada de terra de contorno Pardinho-estrada velha de acesso a Castelo Branco, no alto da serra.","-48.37","-23.08",NA,NA,NA,NA,"H. Lorenzi","Pardinho",NA,NA,NA,NA,"14628","auto","1994","01",NA,"27",NA,NA,NA
"25","2015-07-02 14:03:25-03","JBP","HPL","5750","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg.",NA,"H. Lorenzi","1374","1994","02","25",NA,"Brasil","SP","Coletado na estrada de terra do contôrno pardinho-estrada de acesso a Rodovia Castelo Branco.","-48.37","-23.08",NA,NA,NA,NA,"H. Lorenzi","Pardinho",NA,NA,NA,NA,"14628","auto","1994","02",NA,"25",NA,NA,NA
"26","2015-07-02 14:03:25-03","JBP","HPL","7949","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana",NA,NA,"R. Tsuji & A. Campos-Rocha","1837","2007","04","21",NA,"Brasil","SP","Coletado em beira de estrada de terra sentido Rodovia Castelo Branco - em área de cerrado.","-48.37","-23.08",NA,NA,NA,NA,"R. Tsuji","Pardinho",NA,NA,NA,NA,"14628","auto","2007","04",NA,"21",NA,NA,NA
"27","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015665","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg",NA,"J. M. Silva","3435","2001","9","13",NA,"Brazil","Parana","Rod. PR-090, Serra do Brumado.","-49.3","-25.1667",NA,"Coor from www.fallingrain.com/world; Arvore, 8m. fruto vinoso.",NA,NA,"M. Sobral, 2001.","Rio Branco do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-03-08 09:18:16-03","ASU","ASU-PLANTS",NA,"PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O. Berg",NA,"F. C. Hoehne",NA,"1935","3","30",NA,"Brazil","Sao Paulo","Sao Paulo","-46.616667","-23.533333",NA,"PHOTO-MICH; Arvore grande com flores alvas. Nativa no Jardim Botanico",NA,NA,"C. Proenca, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 14:40:30-03","UFJF","CESJ","68030","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"K. Antunes; J.H.C. Ribeiro","598","2016","08","13","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Chapadão","-45.240228","-22.222922",NA,"Árvore, 8 m de alt., borda de Floresta Nebular, muito abundante. Frutos em amadurecimento avermelhados.","CESJ068030",NA,"K. Antunes","Baependi","-45.240228","-22.222922","194","194",NA,NA,"2019",NA,NA,NA,NA,NA,NA
"30","2019-11-21 14:40:30-03","UFJF","CESJ","70286","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"J.H.C. Ribeiro","584","2016","02","26","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Chapadão","-44.749722","-22.128333",NA,"Árvore, 13 m, no interior de floresta nebular. Botões verdes com ápice avermelhado e flores brancas. Indivíduo 4223 da fitossociologia","CESJ070286",NA,"K. Antunes","Baependi","-44.749722","-22.128333","1930","1930",NA,NA,"2017",NA,NA,NA,NA,NA,NA
"31","2019-11-21 14:40:30-03","UFJF","CESJ","62534","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"D.S. Santiago","512","2013","03","30","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária localizada a 1.800 - 2.000 m de altitude.","-44.8899993896484","-21.9589004516602",NA,"Árvore, ca. 7 m, frutos imaturos verdes.","CESJ062534",NA,"M. Sobral","Baependi",NA,NA,NA,NA,"29865","auto","2013","06",NA,NA,NA,NA,NA
"32","2019-11-21 14:40:30-03","UFJF","CESJ","67376","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"J.H.C. Ribeiro; L.D. Santana; P.L. Luiz; N. Caldeira","555","2016","04","01","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Trilha do Vale das Araucárias.","-44.8899993896484","-21.9589004516602",NA,"Árvore na borda de mata. Botões florais verdes com ápice vermelho e flores alvas.","CESJ067376",NA,"K. Antunes","Baependi",NA,NA,NA,NA,"29865","auto","2019",NA,NA,NA,NA,NA,NA
"33","2019-11-21 14:40:30-03","UFJF","CESJ","62523","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"D.S. Santiago","500","2013","03","30","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Borda da Mata de Araucária localizada a 1.800 - 2.000 m de altitude.","-44.8899993896484","-21.9589004516602",NA,"Árvore, ca. 4 m, frutos imaturos verdes.","CESJ062523",NA,"M. Sobral","Baependi",NA,NA,NA,NA,"29865","auto",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:40:30-03","UFJF","CESJ","62504","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"D.S. Santiago; L. Menini Neto; S.G. Furtado","481","2013","03","29","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Borda da Mata de Araucária (região que sofreu queimada), próximo a antiga estrada para Alagoa.","-44.8899993896484","-21.9589004516602",NA,"Árvore, ca. 6 m.","CESJ062504",NA,"K. Antunes","Baependi",NA,NA,NA,NA,"29865","auto","2013","08",NA,NA,NA,NA,NA
"35","2019-11-21 14:40:30-03","UFJF","CESJ","70316","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"K. Antunes; L.D. Santana","671","2017","09","03","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Chapadão","-44.8899993896484","-21.9589004516602",NA,"Arvoreta, 3,0 m de alt., borda de Floresta Ombrófila, borda de trilha, área muito iluminada. Folhas discolores. Frutos vermelhos quando maduros (material em sílica)","CESJ070316",NA,"K. Antunes","Baependi",NA,NA,NA,NA,"29865","auto","2018","01",NA,NA,NA,NA,NA
"36","2019-11-21 14:40:30-03","UFJF","CESJ","70319","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"K. Antunes; L.D. Santana","674","2017","09","03","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Chapadão","-44.8899993896484","-21.9589004516602",NA,"Arbusto, 2,0 m de alt., isolada em Campo de Altitude, próximo 5m da borda da mata. Frutos imaturos de coloração verde e avermelhados como amadurecem (material em sílica)","CESJ070319",NA,"K. Antunes","Baependi",NA,NA,NA,NA,"29865","auto","2018","01",NA,NA,NA,NA,NA
"37","2019-11-21 14:40:30-03","UFJF","CESJ","66930","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"L.D. Santana; J.H.C. Ribeiro; M. Landroz; J.G.F. Mendonça","100","2015","06","21","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Vale do Rio Santo Angostinho/ Interior da FOM Aluvial","-44.8899993896484","-21.9589004516602",NA,"Arvoreta, ca 4m. Folhas levemente discolores. Dentro da parcela 45 da fitossociologia, indivíduo 1607. Área queimada. Próximo ao curso d'água. Altitude 1700 m.s.m.","CESJ066930",NA,"K. Antunes","Baependi",NA,NA,NA,NA,"29865","auto","2015","08",NA,"12",NA,NA,NA
"38","2019-11-21 14:40:30-03","UFJF","CESJ","30777","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"M.A. Manhães","s.n.","1999","10",NA,"América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"CESJ030777",NA,"M. Sobral","Ibitipoca",NA,NA,NA,NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:40:30-03","UFJF","CESJ","35626","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"F.R.G. Salimena; et al.","s.n.","2001","12","16","América do Sul","Brasil","Minas Gerais","Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,"CESJ035626",NA,"M. Sobral","Lima Duarte",NA,NA,NA,NA,"30417","auto","2003",NA,NA,NA,NA,NA,NA
"40","2019-11-21 14:40:30-03","UFJF","CESJ","34278","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"L.C.S. Assis; M.K. Ladeira","s.n.","2001","08","26","América do Sul","Brasil","Minas Gerais",NA,"-43.9757995605469","-21.1868991851807",NA,NA,"CESJ034278",NA,"M. Sobral","Barroso",NA,NA,NA,NA,"7934","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 14:40:30-03","UFJF","CESJ","36262","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"L.C.S. Assis","s.n.","2002","02","14","América do Sul","Brasil","Minas Gerais",NA,"-43.9757995605469","-21.1868991851807",NA,NA,"CESJ036262",NA,"M. Sobral","Barroso",NA,NA,NA,NA,"7934","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 14:40:30-03","UFJF","CESJ","49892","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","86","2008","03","28","América do Sul","Brasil","Minas Gerais","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641",NA,"Árvore ca. 4 m, borda de mata. Botões brancos.","CESJ049892",NA,"M. Sobral","Caldas",NA,NA,NA,NA,"25710","auto","2009","12",NA,NA,NA,NA,NA
"43","2019-11-21 14:40:30-03","UFJF","CESJ","42048","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"J.P. Braga","185","2004","05","05","América do Sul","Brasil","Minas Gerais",NA,"-45.4658012390137","-22.2427997589111",NA,NA,"CESJ042048",NA,"M. Sobral","Pedralva",NA,NA,NA,NA,"10929","auto","2004",NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:40:30-03","UFJF","CESJ","27601","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","Berg.",NA,"H.F. Leitão Filho","s.n.","1971","04","19","América do Sul","Brasil","São Paulo",NA,"-46.7299995422363","-21.6599998474121",NA,NA,"CESJ027601",NA,NA,"Divinolandia",NA,NA,NA,NA,"15684","auto",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-01 16:37:01-03","UNICAMP","UEC","43986","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Ratter, JA; et al.","R4830V","1983","11","11",NA,"Brazil","São Paulo","Floresta de Angatuba. InstituoFlorestal de SP.","-45.416667","-23.45",NA,"Tree 6m tall, 9cm dbh. Vegetative ecological voucher. PLOT 3, Nº 70; In dense cerrado.","UEC110427","UEC110427","Sobral, M","Angatuba","-45.416667","-23.45",NA,NA,NA,NA,"2003",NA,NA,NA,NA,NA,NA
"46","2021-03-01 16:37:01-03","UNICAMP","UEC","182836","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Torres, RB","1253","2000","06","07",NA,"Brazil","Minas Gerais","Mtaa do Romulo.","-46.1446990966797","-22.7553005218506",NA,"Árvore ca. 7m alt, botões florais verdes.; Subosque.","UEC103036","UEC103036","Sobral, M","Camanducaia",NA,NA,NA,NA,"22140","auto","2002","08",NA,NA,NA,NA,NA
"47","2019-08-20 10:21:50-03","UNICAMP","UEC","158673","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Yamamoto, LF","1675","2004","12","02",NA,"Brazil","Minas Gerais","Serra do Lopo","-46.3182983398438","-22.854700088501",NA,NA,"UEC013707","UEC013707","Yamamoto, LF","Extrema",NA,NA,NA,NA,"15223","auto",NA,NA,NA,NA,NA,NA,NA
"48","2021-03-01 16:37:01-03","UNICAMP","UEC","158674","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Yamamoto, LF","1520","2004","05","13",NA,"Brazil","Minas Gerais","Serra do Lopo","-46.3182983398438","-22.854700088501",NA,"Arbusto 1m. Botão amarelo.; Campo de altitude.","UEC013710","UEC013710","Yamamoto, LF","Extrema",NA,NA,NA,NA,"15223","auto",NA,NA,NA,NA,NA,NA,NA
