"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"12","2021-03-12 01:36:11-03","UFPI","TEPB","5885","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Anarin","G. P. Lewis","R. C. Mendonça","766","1986","10","14",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim ereto, cespitoso, inflorescência de cor verde, frequente",NA,NA,"1985","70570","auto","01","07",NA,NA,NA,NA,NA,NA,NA
"13","2021-04-01 10:58:45-03","UFPI","TEPB","10135","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Anarin","R. C. de Oliveira","R.C. de Oliveira","300","1994","12","20",NA,"Brasil","Goiás","Serranópolis","Fazenda Muquem","-51.9622001647949","-18.3061008453369","450","450",NA,"Relevo plano, substrato arenoso, frequente Ambiente: Vereda",NA,NA,"1994","86936","auto","12","20",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:48:15-02","IPA","IPA","52209","S","Plantae","Plantae",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Filgueiras, T.S.","Oliveira, R.P.","638","1979","08","26","Southern America","Brasil","Distrito Federal",NA,"Orla do brejo junto á cerca Oeste da Reserva Ecológica do IBGE, crescendo em lugar úmido humoso.",NA,NA,NA,NA,NA,"Capim de folhas tenras. Espiguetas glabas, localmente comum. Forrageira.","IPA0052209",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-07 11:47:36-03","UFMS","CGMS","24410","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","A. Pott; V.J. Pott","H.C. Vinci-Carlos; G.A. Damasceno-Junior; M.L. Bueno","55","2007","10","28",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3977777","-20.585","554","554",NA,"Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Abundante. Habito: Erva cespitosa ereta. 0,75 m de altura.","CGMS1053835",NA,"2008",NA,NA,"07","14",NA,"-54,3977777","-20,585",NA,NA,NA,NA
"16","2021-04-07 11:47:36-03","UFMS","CGMS","37963","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","J.F.M. Valls","S.N.Moreira; V.J. Pott, A. Pott & J.F.M. Valls","303","2010","04","26",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa Gado de Corte. Área de Varjão proximo à ferrovia.","-54.7833333","-20.5566667","504","504",NA,NA,"CGMS1067377",NA,NA,NA,NA,NA,NA,NA,"-54,7833333","-20,5566667",NA,NA,NA,NA
"17","2021-04-07 11:47:36-03","UFMS","CGMS","24398","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín",NA,"H.C. Vinci-Carlos; G.A. Damasceno-Junior; M.L. Bueno","43","2007","10","28",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3977777","-20.585","554","554",NA,"Espiguetas no eixo hipoaxial. Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Habito: Erva ereta. 1,40 m de altura.","CGMS1053822",NA,NA,NA,NA,NA,NA,NA,"-54,3977777","-20,585",NA,NA,NA,NA
"18","2021-03-01 16:20:35-03","UNICAMP","UEC","33491","S","Plantae","Liliopsida",NA,"Poaceae","Paspalum","doellii","Paspalum doellii","Chase ex Filg.","Chase, MA","Filgueiras, TS; Pereira, BAS","904","1981","08","09",NA,"Brazil","Distrito Federal","Brasília","Taguatinda, DF., Brejo junto ao córrego cana do reino","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim cespitoso, de raízes profundas. Espiguetas verdes, glabras. Ocasional na área","UEC055570","UEC055570",NA,"70570","auto",NA,NA,NA,NA,NA,"isotypus",NA,NA,NA
"19","2020-12-14 16:14:37-03","UFC","EAC","16730","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Oliveira, P.C.","Filgueiras, T.S.","750","1980","09","16","Southern America","Brasil","Distrito Federal","Brasília","Cabeça do Veado","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Espiguetas glabras, brejo recém queimado, capim de inflorescência verde","EAC0016730","EAC0016730","1995","70570","auto","08","07",NA,NA,NA,NA,NA,NA,NA
"20","2021-01-27 14:32:56-03","UFSM","SMDB","12368","S","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Canto-Dorow, T","Kozera, C; Sanches, A","2521","2005","11","01",NA,"Brasil","Paraná","Balsa Nova","Ponto dos Arcos","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea cespitosa; Em campo hidromórfico.","SMDB012368",NA,"2007","27346","auto","03",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:40:46-03","MBM","MBM","319983","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Longhi-Wagner, H.","Kozera, C.; Sanches, A.; Sanches, A.","2521","2005","11","01","Southern America","Brazil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea cespitosa em campo hidromórfico.","MBM319983","MBM319983","2008","27346","auto","10",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:40:46-03","MBM","MBM","81485","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","doellii","Paspalum doellii","Chase ex Filgueirae","Filgueiras, T.S.","Irwin, H.S.; et al.; et al.","8659",NA,NA,NA,"Southern America","Brazil","Distrito Federal",NA,"Ca. 20km S of Brasília",NA,NA,NA,NA,NA,NA,"MBM081485","MBM081485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 21:43:21-03","MNHN","RECOLNAT_MNHN_P","P01767811","PreservedSpecimen",NA,NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin",NA,"Claussen",NA,"1843","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil, Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01767811' target='other'> <mi>dwc_moreinfo</mi></a>","P01767811","P01767811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,NA
"24","2021-04-07 14:12:27-03","JBB","HEPH","18319","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Rodrigues Silva, R","Rodrigues Silva, R","607","2002","10","01","Southern America","Brasil","Distrito Federal","Brasília","ARIE do Santuário de Vida Silvestre do Riacho Fundo","-47.935278","-15.855556","1010","1010",NA,NA,NA,NA,"2002",NA,NA,NA,NA,NA,"-47.935278","-15.855556",NA,NA,NA,NA
"25","2021-04-07 14:12:27-03","JBB","HEPH","30018","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Aparecida-Silva, M","Aparecida-Silva, M","7460","2011","12","12","Southern America","Brasil","Distrito Federal","Brasília","Reserva ecológica do IBGE. Ao lado da fazendo Água Limpa(FAL-UnB), junto à floresta de galeria do córrego Taquara","-47.890556","-15.9525","1087","1087",NA,NA,NA,NA,"2011",NA,NA,"12","12",NA,"-47.890556","-15.9525",NA,NA,NA,NA
"26","2021-04-07 14:12:27-03","JBB","HEPH","31374","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Filgueiras, TS","Fonseca, ML; Alvarenga, D","2112","1999","09","20","Southern America","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Próximo ao Córrego Taquara","-47.878464","-15.948214","1015","1015",NA,"Local queimado há 51 dias, comum",NA,NA,"1999",NA,NA,"10",NA,NA,"-47.878464","-15.948214",NA,NA,NA,NA
"27","2021-04-07 14:12:27-03","JBB","HEPH","6180","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Oliveira, RC","Filgueiras, TS","755","1980","09","16","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"1980","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-07 14:12:27-03","JBB","HEPH","13345","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Oliveira, RC","Oliveira, RC","300","1994","12","20","Southern America","Brasil","Goiás","Serranópolis","Fazenda Muquém de Propriedade do SR. Fernando A. Costa","-51.9622001647949","-18.3061008453369","570","570",NA,"Em solo densamente encharcado.",NA,NA,"1994","86936","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-11 11:45:15-03","UFMG","BHCB","57905","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín",NA,"Viegas, GP","s.n.","1939","09","21","Southern America","Brasil","São Paulo","Campinas","Fazenda Campo Grande","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:45:15-03","UFMG","BHCB","175872","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín",NA,"Moreira, SN; Pott, VJ; Pott, A","962","2012","07","06","Southern America","Brasil","Mato Grosso do Sul","Aquidauana","Fazenda Feliz, Entre Terrenos e Aquidauana.","-55.7872009277344","-20.4710998535156","193","193",NA,"Área 4 - Tese Moreira et al. CNPq 477675/2011-5; Erva anfíbia cespitosa, até 60cm de alt.; Campo úmido com M. flexuosa em domínio de Cerrado. Solo orgânico. Relevo plano deprimido.","BHCB024310",NA,"2016","212961","auto","04","26",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-11 17:21:19-03","UFPR","UPCB","60836","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Canto-Dorow, T.","Kozera, C.","2521","2005","11","01",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea, cespitosa, em campo hidromórfico..","UPCB0039184","UPCB0039184","2007","27346","auto","01","01",NA,NA,NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","1234017","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","F.O. Zuloaga, 1998 (SI)","Fernando O. Zuloaga|et al.","Zuloaga 3236","1987","11","25","South America","Argentina","Corrientes",NA,"Dep. Ituzaingó: Ruta Nac. 12, 5 kms antes del Ayo. Itaembé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011-12-22 05:00:00-02","MO","MOBOT","210806","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Zuloaga, F. O.","Teodoro Rojas","Rojas 3993","1921","9",NA,"South America","Paraguay","Amambay",NA,"Cerro Torin, Sierra de Amambay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2010-04-23 21:34:00-03","MO","MOBOT","2228366","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Morrone, O., /07/","Osvaldo Morrone|Norma B. Deginani|Diego Giraldo-Cañas","Morrone 1805","1996","10","22","South America","Argentina","Corrientes","Santo Tomé","Ruta Prov. 40, 4 Km de Azara camino a Garruchos, cerca del Río Chimiray","-55.7","-28.08333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2014-04-01 20:24:00-03","MO","MOBOT","2292818","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Zuloaga, F. O.","A.I. Honfi|et al.","Honfi 388","1993","10","23","South America","Argentina","Misiones","Capital","Villa Lanús, Ayo. Zaimán","-55.9","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-10-24 10:42:00-02","MO","MOBOT","2429336","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Zuloaga, F. O., 12/06/","Fernando O. Zuloaga|Diego Giraldo-Cañas|F. Biganzoli","Zuloaga 6571","1998","3","22","South America","Argentina","Corrientes","Santo Tomé","De Alvear a Santo Tomé, Ruta Nac. 14","-56.2","-28.68333","30.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2008-07-02 03:32:00-03","MO","MOBOT","2476554","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","O. Morrone (SI)","Jason R. Swallen","Swallen 8381","1946","1","31","South America","Brazil","Paraná",NA,"Ponta Grossa. Estacao Experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-11-15 05:15:00-02","MO","MOBOT","251331","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin",NA,"Antonio C. Krapovickas","Krapovickas 16974","1970","12","3","South America","Argentina","Corrientes",NA,"East of Ruta Nac.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2009-07-17 14:12:00-03","MO","MOBOT","2969064","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","T.S. Filgueiras","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8659","1965","9","25","South America","Brazil","Distrito Federal",NA,"Cerrado ca. 20 km. S. of Brasília on road to Goiânia, near Rio Melchoir.",NA,NA,"1125.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2010-12-01 18:05:00-02","MO","MOBOT","2969313","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin",NA,"Camilo L. Quarín","Quarín 3807","1982",NA,NA,"South America","Argentina","Corrientes",NA,"10 km al norte de Garruchos, ruta 40 y arroyo Chimiray. Cultivado en la Facultad de Ciencias Agrarias, Corrientes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2010-04-13 13:47:00-03","MO","MOBOT","2969525","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","C. Quarin","Aurelio Schinini|Romeo Carnevali","Schinini Cacace 10341","1974",NA,NA,"South America","Argentina","Corrientes","Santo Tomé","Ruta 40 y Ayo. Chimiray. En bajo bantanoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2009-07-10 17:57:00-03","MO","MOBOT","2969623","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","C. Quarin","Troels M. Pedersen","Pedersen 2904","1954","10","21","South America","Argentina","Corrientes","Santo Tomé","Estancia Garruchos. Swamp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2009-07-17 14:12:00-03","MO","MOBOT","2971512","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","O. Morrone","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 10604","1965","11","23","South America","Brazil","Distrito Federal",NA,"Locally abundant. Marshy campo, adjacent to gallery forest, immediately west of Setor Industrial, Brasília, D.F.",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2014-02-12 08:23:00-02","MO","MOBOT","2971643","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","O. Morrone","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8827","1965","9","30","South America","Brazil","Distrito Federal",NA,"Meadow. Gallery forest and adjacent meadow, ca. 7 km. E. of Brasília, near Sobradinho, D.F.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"45","2009-07-17 14:12:00-03","MO","MOBOT","2972297","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","O. Morrone","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8659","1965","9","25","South America","Brazil","Distrito Federal",NA,"Cerrado ca. 20 km. S. of Brasília on road to Goiânia, near Rio Melchoir.",NA,NA,"1125.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2018-06-27 12:14:00-03","MO","MOBOT","101052657","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","doellii","Paspalum doellii","Chase ex Filg.","Agnes Chase","Per Dusén","Dusén 15007","1914","5","14","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva.","-49.7057991027832","-24.2511005401611","720.00000000",NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"47","2017-11-24 14:12:07-02","UFLA","ESAL","9367","S","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Regina Célia de Oliveira","T.S.Filgueiras","758",NA,NA,NA,NA,"Brasil","Distrito Federal","Brasília","Cabeça do Veado","-47.9296989440918","-15.7797002792358",NA,NA,NA,"; ; capim de infl. verde, espiguetas glabras;; palustre",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-11-24 14:12:07-02","UFLA","ESAL","9387","S","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","Regina Célia Oliveira","R. C. Mendonça; D. Alvarenga","s.n.",NA,NA,NA,NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.9296989440918","-15.7797002792358",NA,NA,NA,"erva; ; inflorescência verde;",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-12-19 11:20:07-03","UFG","UFG","20349","S","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Oliveira, R.C.","Oliveira, R.C.","300","1994","12","20",NA,"Brasil","Goiás","Serranópolis",NA,"-52","-18.166667","570","570",NA,"Vereda, em solo densamente encharcado.","UFG0020349","UFG0020349","1994",NA,NA,"12","20",NA,"-52","-18.166667",NA,NA,NA,NA
"50","2021-01-26 13:57:34-03","IMA","MAC","6056","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","T.S.Filgueiros","T.S.Filgueiros","1231","1986","06","25",NA,"Brasil","Distrito","Brasília","Reserva Ecológica do IBGE.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Brejo.","MAC0006056",NA,"1986","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-09-12 05:00:02-03","US","US","2739891","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin",NA,"A. Krapovickas","16974","1970","12","3","South America","Argentina","Corrientes","Santo Tomé","East of Ruta Nac.",NA,NA,NA,NA,NA,NA,"US00140161",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"Isotype",NA,"1",NA
