"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount"
"13","2021-03-15 16:37:00-03","NY","NYBG","00682191","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","S. A. Mori","s.n.","1989","08","08","South America","Brazil","Amazonas","Distrito Agropecuário. Reserva 1501-km 41 da Smithsonian/INPA - Projeto Dinâmica Biológica dos Fragmentos Florestais","-59.7277778","-2.4072222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682191","NY00682191_01 NY00682191_02","S. A. Mori","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-02-20 13:41:37-03","INPA","INPA-CARPOTECA","27799","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Monteiro, OP","69-12a","1969","12","09","Southern America","Brasil","Amazonas","Estrada do Rosa de Maio, Próximo ao local Armando.","-60.0250015258789","-3.10193991661072",NA,NA,"INPA0027799",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"15","2019-02-20 13:41:37-03","INPA","INPA-CARPOTECA","27861","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Rodrigues, WA","8689","1970","02","04","Southern America","Brasil","Amazonas","AM 010, Km 125., Estrada Manaus-Itacoatiara, km 125, picada XIII. Mata de terra firme. Solo argiloso.","-59.6996994018555","-2.69944000244141",NA,NA,"INPA0027861",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Rio Preto da Eva","72534","auto",NA,NA,NA,NA,NA,NA
"16","2013-04-01 09:16:28-03","IPT","BCTW","17078","S","Plantae","Magnoliophyta",NA,NA,"Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Monteiro, O.P.",NA,NA,NA,NA,NA,"Brasil","Amazonas","Rodovia Manaus/Itacoatiara (AM-010), km 70.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"17","2013-04-01 09:16:28-03","IPT","BCTW","13793","S","Plantae","Magnoliophyta",NA,NA,"Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Monteiro, O.P.",NA,"1969","05","18",NA,"Brasil","Amazonas","Rodovia, km 70, lado direito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"18","2021-01-10 20:42:46-03","INPA","INPA","21222","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Coêlho, LF","INPA21222","1968","05","08","Southern America","Brasil","Amazonas","AM 010, km 104, Estrada Manaus-Itacoatiara, Km 104.","-59.4626","-2.806185",NA,NA,"INPA0021222","INPA0021222 INPA0021222_e","Rodrigues, WA",NA,NA,NA,"1974",NA,NA,NA,NA,"-59.4626","-2.806185",NA,NA,NA
"19","2020-08-31 08:53:41-03","INPA","INPA","27371","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Monteiro, OP","INPA27371","1969","05","18","Southern America","Brasil","Amazonas","AM 010, Estrada Manaus-Itacoatiara, km 70, lado direito.","-59.648332","-2.656966",NA,NA,"INPA0027371","INPA0027371 INPA0027371_1 INPA0027371_1e INPA0027371_2 INPA0027371_2e INPA0027371_3 INPA0027371_3e INPA0027371_4 INPA0027371_4e INPA0027371_5 INPA0027371_5e INPA0027371_6 INPA0027371_6e INPA0027371_7 INPA0027371_7e INPA0027371_8 INPA0027371_8e INPA0027371_e","Rodrigues, WA",NA,NA,"holotype",NA,"Manaus",NA,NA,NA,"-59.648332","-2.656966",NA,NA,NA
"20","2021-01-10 20:42:46-03","INPA","INPA","224731","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Procópio, LC","713","2007","10","18","Southern America","Brasil","Amazonas","Reserva Florestal Adolpho Ducke - Estrada de acesso ao alojamento, árvore marcada pelo Projeto Flora n° 3834.","-59.966667","-2.883333",NA,NA,"INPA0224731","INPA0224731 INPA0224731_e","Procópio, LC",NA,NA,NA,"2008","Manaus",NA,NA,NA,"-59.966667","-2.883333","08","27",NA
"21","2021-01-10 20:42:46-03","INPA","INPA","27799","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Monteiro, OP","69-12a","1969","12","09","Southern America","Brasil","Amazonas","Estrada do Rosa de Maio, Próximo ao local Armando.","-60.016667","-2.933333",NA,NA,"INPA0027799",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Manaus",NA,NA,NA,"-60.016667","-2.933333",NA,NA,NA
"22","2020-08-31 08:53:41-03","INPA","INPA","27799","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Monteiro, OP","69-12a","1969","12","09","Southern America","Brasil","Amazonas","Estrada do Rosa de Maio, Próximo ao local Armando.","-60.016667","-2.933333",NA,NA,"INPA0027799",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Manaus",NA,NA,NA,"-60.016667","-2.933333",NA,NA,NA
"23","2021-01-10 20:42:46-03","INPA","INPA","35412","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Silva, MF da","78","1972","03","10","Southern America","Brasil","Amazonas","AM 010, km 143, Estrada Manaus-Itacoatiara, Km 143.","-59.246264","-2.942527",NA,NA,"INPA0035412","INPA0035412 INPA0035412_e","Rodrigues, WA",NA,NA,NA,"1974",NA,NA,NA,NA,"-59.246264","-2.942527",NA,NA,NA
"24","2020-08-31 08:53:41-03","INPA","INPA","64030","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Prance, GT","24279","1976","11","25","Southern America","Brasil","Amazonas","BR 174, km 220, Santo Antônio de Abonari, Santo Antonio de Abonari, Manaus-Caracaraí Km 220.","-60.439138","-1.169877",NA,NA,"INPA0064030","INPA0064030 INPA0064030_e INPA0064030_e1","Prance, GT",NA,NA,NA,"1988",NA,NA,NA,NA,"-60.439138","-1.169877",NA,NA,NA
"25","2020-08-31 08:53:41-03","INPA","INPA","27861","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Rodrigues, WA","8689","1970","02","04","Southern America","Brasil","Amazonas","AM 010, Km 125., Estrada Manaus-Itacoatiara, km 125, picada XIII. Mata de terra firme. Solo argiloso.","-59.422217","-2.9458",NA,NA,"INPA0027861",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Rio Preto da Eva",NA,NA,NA,"-59.422217","-2.9458",NA,NA,NA
"26","2021-01-10 20:42:46-03","INPA","INPA","27861","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Rodrigues, WA","8689","1970","02","04","Southern America","Brasil","Amazonas","AM 010, Km 125., Estrada Manaus-Itacoatiara, km 125, picada XIII. Mata de terra firme. Solo argiloso.","-59.422217","-2.9458",NA,NA,"INPA0027861",NA,"Rodrigues, WA",NA,NA,"paratype","1974","Rio Preto da Eva",NA,NA,NA,"-59.422217","-2.9458",NA,NA,NA
"27","2020-08-31 08:53:41-03","INPA","INPA","35412","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Silva, MF da","78","1972","03","10","Southern America","Brasil","Amazonas","AM 010, km 143, Estrada Manaus-Itacoatiara, km 143. Mata de terra firme. Beira de estrada.","-59.246264","-2.942527",NA,NA,"INPA0035412","INPA0035412 INPA0035412_e","Rodrigues, WA",NA,NA,"paratype","1974","Manaus",NA,NA,NA,"-59.246264","-2.942527",NA,NA,NA
"28","2020-08-31 08:53:41-03","INPA","INPA","15725","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Rodrigues, WA","7063","1965","08","31","Southern America","Brasil","Amazonas","AM 010, Km 66., Estrada Manaus-Itacoatiara, km 66","-59.670938","-2.682929",NA,NA,"INPA0015725","INPA0015725_s",NA,NA,NA,"paratype",NA,"Manaus",NA,NA,NA,"-59.670938","-2.682929",NA,NA,NA
"29","2021-01-10 20:42:46-03","INPA","INPA","76364","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Monteiro, OP; Lisbôa, PLB; Loureiro, AA","78-799","1978","06","09","Southern America","Brasil","Amazonas","ZF1, km 9, Estrada ZF-1, Km 9.","-59.9","-2.5",NA,NA,"INPA0076364","INPA0076364 INPA0076364_e",NA,NA,NA,NA,NA,"Manaus",NA,NA,NA,"-59.9","-2.5",NA,NA,NA
"30","2020-08-31 08:53:41-03","INPA","INPA","170622","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","Mori, SA","20707","1989","08","08","Southern America","Brasil","Amazonas","Distrito Agropecuário, ZF3., Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA.","-59.716667","-2.4",NA,NA,"INPA0170622","INPA0170622 INPA0170622_e","Mori, SA","50","50",NA,"1990","Manaus",NA,NA,NA,"-59.716667","-2.4",NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","S. Mori, E. da Costa & N. M. Lepsch da Cunha","2070","1989","8","8","South America - Neotropics","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project","-59.7458","-2.41625",NA,NA,NA,NA,"Mori, S.","50","125",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"32","2020-09-12 05:00:02-03","US","US","3327354","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","S. Mori, E. F. Costa & N. M. Lepsch da Cunha","20707","1989","8","8","South America - Neotropics","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project","-60.0250015258789","-3.10193991661072",NA,NA,"US01884437","US01884437_01 US01884437_02",NA,"50","125",NA,NA,"Manaus","138090","auto","Dicotyledonae",NA,NA,NA,NA,"1"
"33","2009-11-26 13:51:32-02","INPA","INPAW","4044","S","Plantae",NA,NA,"Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Monteiro, O.P.",NA,"1969","05","18",NA,"Brasil","Amazonas",NA,"-60.025","-3.10194",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"34","2009-11-26 13:51:32-02","INPA","INPAW","6616","S","Plantae",NA,NA,"Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Co&#234;lho, L.F.",NA,"1978","06","09",NA,"Brasil","Amazonas",NA,"-60.025","-3.10194",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"35","2009-11-26 13:51:32-02","INPA","INPAW","3899","S","Plantae",NA,NA,"Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Co&#234;lho, L.F.",NA,"1968","05","08",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-11-26 13:51:32-02","INPA","INPAW","4762","S","Plantae",NA,NA,"Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Silva, M.F.da","78",NA,NA,NA,NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2009-11-26 13:51:32-02","INPA","INPAW","3227","S","Plantae",NA,NA,"Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A. Rodrigues","Rodrigues, W.A.",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"-60.025","-3.10194",NA,NA,NA,NA,"W.A. Rodrigues",NA,NA,NA,"1974","Manaus","138090","auto",NA,NA,NA,"01","01",NA
