"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"11","2020-09-23 10:38:31-03","E","E","293094","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,NA,NA,NA,NA,"Harley, Raymond M.","1988","11","14","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"E00293094",NA,"26155","<a href=http://data.rbge.org.uk/herb/E00293094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:301533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:31-03","E","E","293092","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,NA,NA,NA,NA,"Harley, Raymond M.","1988","10","30","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"E00293092",NA,"25788","<a href=http://data.rbge.org.uk/herb/E00293092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:301460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:38:31-03","E","E","293097","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,NA,NA,NA,NA,"Harley, Raymond M.","1988","12","26","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"E00293097",NA,"27773","<a href=http://data.rbge.org.uk/herb/E00293097 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:301541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:38:31-03","E","E","83136","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,NA,NA,NA,NA,"Kummrow, R., Silva, J.M. & Cordeiro, J.","1994","01","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00083136",NA,"3394","<a href=http://data.rbge.org.uk/herb/E00083136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:38:31-03","E","E","293095","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,NA,NA,NA,NA,"Harley, Raymond M.","1988","11","11","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"E00293095",NA,"26376","<a href=http://data.rbge.org.uk/herb/E00293095 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:301536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","533173","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl",NA,NA,NA,NA,"F. S. Juchum","2000","11","19","Brazil","Bahia","Rio de Contas","Rio de Contas: Trilha de acesso para o Pico das Almas, ca. de 24,1 km de Rio de Contas. Campo Rupestre.","-41.93","-13.52",NA,NA,"1380","1500","NY00533173","NY00533173_01","95","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566147' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00922488","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. L. Bernardi",NA,NA,NA,"P. Clausen","1844",NA,NA,"Brazil","Minas Gerais",NA,"Minas-Geraes, Bresil",NA,NA,NA,NA,NA,NA,"NY00922488","NY00922488_01","s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991330' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00922487","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl",NA,NA,NA,NA,"P. Clausen","1841",NA,NA,"Brazil","Minas Gerais",NA,"Brésil (Minas Geraes)",NA,NA,NA,NA,NA,NA,"NY00922487","NY00922487_01","1","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991328' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","533187","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","1967","01","01","Brazil","Paraná","Matinhos","Caiobá, Morro do Boi (Paranagua)","-48.5428","-25.8175",NA,NA,"100","100","NY00533187","NY00533187_01","15583","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566123' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","533177","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","12","07","Brazil","Paraná","Guaraqueçaba","Paruquara","-48.3289","-25.3069",NA,NA,NA,NA,"NY00533177","NY00533177_01","30943","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566139' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","567171","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","D. C. Zappi",NA,NA,NA,"R. M. Harley","1988","11","19","Brazil","Bahia","Barra da Estiva","Morro do Ouro. 9km ao S da cidade na estrada para Ituaçu.","-41.3","-13.7",NA,NA,"1580","1580","NY00567171","NY00567171_01","26951","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566128' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","533181","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","J. A. Kallunki",NA,NA,NA,"B. D. Sucre","1970","05","14","Brazil","Minas Gerais",NA,"Pico do Píao",NA,NA,NA,NA,"1350","1450","NY00533181",NA,"6824","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566133' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","533190","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1965","12","27","Brazil","Paraná","Matinhos","Matinhos","-48.560466","-25.76408",NA,NA,NA,NA,"NY00533190","NY00533190_01","125","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566132' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","533192","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl",NA,NA,NA,NA,"I. A. Araujo","1989","10","26","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Caminho para casa de Joao Luiz, após o portao.","-42.05","-22",NA,NA,NA,NA,"NY00533192","NY00533192_01","98","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566150' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00922613","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","J. A. Kallunki",NA,NA,NA,"B. D. Sucre","1970","05","14","Brazil","Minas Gerais",NA,"Pico do Píao",NA,NA,NA,NA,"1350","1450","NY00922613","NY00922613_01 NY00922613_02","6824","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000632' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","567170","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","D. C. Zappi",NA,NA,NA,"R. M. Harley","1988","12","26","Brazil","Bahia","Abaíra","As vertentes das serras ao oeste de Catolés, perto de Catolés de Cima.","-41.88","-13.3",NA,NA,"1450","1450","NY00567170","NY00567170_01","27773","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566127' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","533183","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. L. Bernardi",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00533183","NY00533183_01",NA,"Ex. herb. A. Gray. No date or collection #. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566135' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1018742","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","E. F. Guimarães; R. Marquete",NA,NA,NA,"R. Marquete","2002","08","24","Brazil","Rio de Janeiro","Nova Friburgo","Pico da Caledônea, lado direito nos primeiros degreaus para as Torres.","-42.5855","-22.35178",NA,NA,"2083","2083","NY01018742","NY01018742_01","3359","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262300' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","580062","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","D. C. Zappi; N. P. Taylor",NA,NA,NA,"R. M. Harley","1988","11","14","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Subida do pico do Campo do Queiroz.","-41.97","-13.53",NA,NA,"1600","1600","NY00580062","NY00580062_01","26155","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566120' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","533174","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl",NA,NA,NA,NA,"R. M. Harley","1980","03","24","Brazil","Bahia",NA,"Serra do Sincorá. NW. face of Serra de Ouro, to the East of the Barra da Estiva. Sandstone massif, with grassy middle slopes with wet flushes below summit & montane woodland on steep rocky North face.","-41.27","-13.7",NA,NA,"1300","1500","NY00533174","NY00533174_01","20862","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566146' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","631963","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","S. F. Smith",NA,NA,NA,"R. A. Wasum","2001","01","21","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Estrada p. Taquara","-50.5833","-29.4483",NA,NA,"830","830","NY00631963","NY00631963_01","905","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566130' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00922489","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. L. Bernardi",NA,NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Prov. Minas Geraes, Caldas.","-46.3858","-21.9236",NA,NA,NA,NA,"NY00922489","NY00922489_01","I129","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991334' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","822888","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","J. C. Lindeman",NA,NA,NA,"G. G. Hatschbach","1967","01","01","Brazil","Paraná",NA,"Morro do Boi, granite dome on peninsula near Caiobá.",NA,NA,NA,NA,NA,NA,"NY00822888","NY00822888_01","15583","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929311' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 05:26:00-03","NY","NYBG","533182","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia",NA,"R. L. Liesner",NA,NA,NA,"J. Mostacero León","1986","08","01","Peru","Ancash",NA,"Prov. Bolognesi",NA,NA,NA,NA,"3150","3150","NY00533182",NA,"1338","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566119' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","533193","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1976","08","17","Brazil","Paraná","Paranaguá","Rio da Vila","-48.5092","-25.5203",NA,NA,NA,NA,"NY00533193","NY00533193_01","38842","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566142' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","561640","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","D. C. Zappi",NA,NA,NA,"R. M. Harley","1988","11","11","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Campo do Queiroz.","-41.95","-13.53",NA,NA,"1500","1500","NY00561640","NY00561640_01","26376","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566126' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","533186","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","G. G. Hatschbach",NA,NA,NA,"J. M. Silva","1995","12","19","Brazil","Paraná","Piraquara","Serra Piramirim, estrada Itupava.","-49.0631","-25.4419",NA,NA,"950","950","NY00533186","NY00533186_01","1607","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566143' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","533176","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1967","11","24","Brazil","Paraná","Paranaguá","Taboleiro do Guarani","-48.5092","-25.5203",NA,NA,"5","10","NY00533176","NY00533176_01","17957","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566141' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","533196","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. L. Bernardi",NA,NA,NA,"Martii Herbar. Florae Brasil.","1841",NA,NA,"Brazil",NA,NA,"Prov. Minas et Bahia.",NA,NA,NA,NA,NA,NA,"NY00533196","NY00533196_01","620","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566144' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","533185","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. L. Bernardi",NA,NA,NA,"P. K. H. Dusén","1915","09","29","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"NY00533185","NY00533185_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566136' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","822889","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1967","06","02","Brazil","Paraná",NA,"Serra do Mar, Rio do Corvo, 35 km ENE of Curitiba.",NA,NA,NA,NA,NA,NA,"NY00822889","NY00822889_01","5889","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929313' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","533180","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","A. C. Cervi; E. P. dos Santos",NA,NA,NA,"E. P. dos Santos","1996","11","06","Brazil","Paraná","Jaguariaíva","Parque Nacional do Cerrado.","-49.68","-24.23",NA,NA,NA,NA,"NY00533180","NY00533180_01","184","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566122' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","533175","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1974","11","13","Brazil","Paraná","Jaguariaíva","Paredao da Santa","-49.7056","-24.2511",NA,NA,NA,NA,"NY00533175","NY00533175_01","35577","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566140' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","533191","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl",NA,NA,NA,NA,"B. C. Kurtz","1989","12","08","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macae de Cima, Nascente do Rio das Flores.","-42.5311","-22.2819",NA,NA,NA,NA,"NY00533191","NY00533191_01","76","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566149' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA
