"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","order","typeStatus","continentOcean","relatedCatalogItem","previousCatalogNumber","coordinatePrecision","geoFlag","individualCount","phylum"
"11","2021-03-10 14:35:01-03","UFSC","CTBS","2084","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Santos, E.R.","Becker, D.; Iganci, J.; Ribeiro, E.; Nicolao & Santos, E.R.","2012","09","07","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco, proximo ao mirante.","-49.367047","-28.05605","49°22'1.37W","28° 3'21.78S","Na encosta do paredão que a estrada corta. Com fruto seco.",NA,NA,"2013","10","04",NA,NA,"7",NA,NA,NA,NA,NA,"CTBS 1622",NA,NA,NA,NA
"12","2020-12-04 13:19:00-03","UDESC","LUSC","8020","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Aguiar, N. S. & Antoniutti, M. J.","Antoniutti, M. J. et al.","2013","12","16","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"LUSC000816","LUSC000816",NA,NA,NA,NA,NA,"107",NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA
"13","2020-10-14 09:59:38-03","FURB","FURB","18039","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Jacques, EL","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","12","14","Brasil","Santa Catarina","São João Batista","Canudos.","-48.8675","-27.3597222","-48.8675000","-27.3597222","Florística IFFSC 428 (Erva Terrícola). Estames amarelos. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: herbácea; flor branca","FURB01081","FURB01081","2011","09","22","231","231","1434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-14 09:59:38-03","FURB","FURB","18041","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Jacques, EL","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2009","12","09","Brasil","Santa Catarina","Orleans","Rio Minador.","-49.41","-28.17","-49.4100000","-28.1700000","Epífita IFFSC e142a (Abaixo de 4m). Também encontrada como terrícola. Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de Cyathea; flor branca","FURB15087","FURB15087","2011","09","22","445","445","786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-16 08:38:43-03","UTFPR","HCF","20223","S","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","S.F. Smith","E. Barboza","2004","12","14","Brasil","SC","Urubici","Salto do Rio Avencal - Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,"erva, 50 cm, flor alva. Paredão de arenito.",NA,NA,"2006",NA,NA,NA,NA,"1011",NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA
"16","2020-12-21 16:17:57-03","MBM","MBM","148227","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Schinini, A.","Krapovickas, A.; et al.; et al.","1990","12","26","Brazil","Santa Catarina","Urubici","Rio Corvos Brancos, 26km E de Urubici","-49.5917015075684","-28.0149993896484",NA,NA,NA,"MBM148227","MBM148227",NA,NA,NA,NA,NA,"43728",NA,NA,NA,"Southern America",NA,NA,"30102","auto",NA,NA
"17","2018-06-22 05:25:00-03","MO","MOBOT","2454872","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"Pe. Raulino Reitz","1954","11","7","Brazil","Santa Catarina",NA,"Brusque. Sta. Luzia, beira estrada, barranco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reitz 5869",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2563385","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"R. M. Klein","1968","8","18","Brazil","Santa Catarina",NA,"Morro costa de lagoa",NA,NA,NA,NA,NA,"US00313590","US00313590_01",NA,NA,NA,"200","200","8034","Dicotyledonae","Violales",NA,"South America",NA,NA,NA,NA,"1",NA
"19","2020-09-12 05:00:02-03","US","US","2563384","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"R. M. Klein & S. Souza","1969","1","21","Brazil","Santa Catarina",NA,"Morro costa de lagoa",NA,NA,NA,NA,NA,"US00313591","US00313591_01",NA,NA,NA,"490","490","8081","Dicotyledonae","Violales",NA,"South America",NA,NA,NA,NA,"1",NA
"20","2020-09-12 05:00:02-03","US","US","3673559","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Smith, S. F., (US), NMNH","E. L. Barbosa & E. Cunha","2004","12","14","Brazil","Santa Catarina",NA,"Salto do rio Avencal (Mun. Urubici).",NA,NA,NA,NA,NA,"US01234839","US01234839_01",NA,NA,NA,NA,NA,"1011","Dicotyledonae","Violales",NA,"South America",NA,NA,NA,NA,"1",NA
"21","2020-09-12 05:00:02-03","US","US","2104793","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"R. Reitz","1945","1","17","Brazil","Santa Catarina",NA,"Fachinal - Biguassu.",NA,NA,NA,NA,NA,"US00115254","US00115254_01",NA,NA,NA,NA,NA,"C-982","Dicotyledonae","Violales","Isotype","South America",NA,NA,NA,NA,"1",NA
"22","2020-08-20 14:55:40-03","UFSC","FLOR","47886","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"Trevisan, R.; Venturi, S.","2012","12","04","Brasil","Santa Catarina","Grão Pará","Rodovia SC 439, descida da Serra do Corvo Branco, atrás da proteção do mirante, divisa entre os municípios de Urubici e Grão Pará.","-49.366667","-28.056111","49º22'0''W","28º3'22''S","flores brancas. Planta faz parte do Projeto Reflora","FLOR0047886",NA,NA,NA,NA,"1144","1144","1365",NA,"Cucurbitales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-08-20 14:55:40-03","UFSC","FLOR","2828","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"Klein, R.M.","1968","12","18","Brasil","Santa Catarina","Florianópolis","Morro Costa da Lagoa, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335",NA,NA,"erva, flor branca","FLOR0002828",NA,NA,NA,NA,"200","200","8034",NA,"Cucurbitales",NA,NA,NA,NA,"27000","auto",NA,NA
"24","2020-08-20 14:55:40-03","UFSC","FLOR","2829","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade",NA,"Klein, R.M.; Souza Sobrinho, R.J. de","1969","01","21","Brasil","Santa Catarina","Florianópolis","Morro Costa da Lagoa, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335",NA,NA,"flor branca","FLOR0002829",NA,NA,NA,NA,"490","490","8081",NA,"Cucurbitales",NA,NA,NA,NA,"27000","auto",NA,NA
"25","2020-08-20 20:38:29-03","UFSC","FLOR","25091","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Falkenberg, D.B.","Falkenberg, D.B.","1995","01","17","Brasil","Santa Catarina","Grão Pará","SC 439, encosta leste da Serra do Corvo Branco.","-49.2146987915039","-28.1849994659424",NA,NA,"erva, flor 4 tépalas estaminadas brancas, as duas externas maiores (8-9 x 7 mm), 22 estames amarelos, alas do ovário da flor pistilada iguais, 0,2 a 0,3m altura. Folhas peltadas, discolores.","FLOR0025091",NA,"1995",NA,NA,"1050","1050","7020",NA,"Cucurbitales",NA,NA,NA,NA,"24844","auto",NA,NA
"26","2020-08-20 14:55:40-03","UFSC","FLOR","64150","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Jaramillo, J.C.","Antoniutti, M.J.; et alii","2013","12","16","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,"Coletada em área em que a espécie não foi observada antes","FLOR0064150","FLOR0064150","2017","06","29",NA,NA,"107",NA,"Cucurbitales",NA,NA,NA,NA,"30102","auto",NA,NA
"27","2020-05-20 18:18:19-03","UFMT","CNMT","4631","S","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Jacques, E.L.","Stival-Santos, A.; Legal, E.;Silveira,S.","2009","12","14","Brasil","Santa Catarina","São João Batista","Canudos.","-48.8675","-27.359722","48°52'03W","27°21'35S","Estames amarelos; Cor/Flor: brancaDoação Herbário Dr. Roberto Miguel Klein - FURB 18039","CNMT004631",NA,"2011","09","22","231","231","1434",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma"
"28","2020-05-20 18:18:19-03","UFMT","CNMT","4633","S","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Jacques, E.L.","Schimitt, J.L.; Cristofolini, C.; Caglioni, E.","2009","12","09","Brasil","Santa Catarina","Orleans","Rio Minador.","-49.2914009094238","-28.3589000701904",NA,NA,"Epífita IFFSC e124a (Abaixo de 4m); Também encontrada em terrícola; Floresta Ombrófila Densa; EstádioSuces.: Avançado; Habitat: mata ciliar; Cor/Flor: brancaDoação Herbário Dr. Roberto Miguel Klein - FURB 18041","CNMT004633",NA,"2011","09","22",NA,NA,"786",NA,NA,NA,NA,NA,NA,"31549","auto",NA,"Angiosperma"
