"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-31 13:41:04-03","MN","R","3997","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dusén, P.K.H.","2510",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"Hoehne, F.C.","1903","12","06","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:04-03","MN","R","3501","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dusén, P.K.H.","2510",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"Hoehne, F.C.","1903","12","10","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:41:04-03","MN","R","35685","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Brade, A.C.","12342",NA,"Brasil","São Paulo","Vila Ema",NA,NA,NA,NA,"Hoehne, F.C.","1932","12",NA,"São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-14 10:04:10-03","FURB","FURB","20149","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1155",NA,"Brasil","Santa Catarina","Rio Manso.",NA,"Florística IFFSC e1025a (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Primário; próximo a riacho Habito: terrícola;","FURB35384","FURB35384","Mancinelli, WS","2010","02","02","Joinville","-49.14","-26.28","770","770",NA,NA,NA,"2011","01","10","-49.1400000","-26.2800000",NA,NA,NA,NA,NA
"15","2020-10-14 10:04:10-03","FURB","FURB","38823","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Trevisan, R.","1113",NA,"Brasil","Rio Grande do Sul","Cerro do Jarau.",NA,NA,"FURB02787","FURB02787","Trevisan, R","2011","07","17","Quaraí","-56.5105556","-30.2005556",NA,NA,NA,NA,NA,"2011",NA,NA,"-56.5105556","-30.2005556",NA,NA,NA,NA,NA
"16","2020-09-02 11:21:30-03","UFSM","SMDB","13825","S","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Portalet, A","71",NA,"Brasil","Rio Grande do Sul",NA,NA,"Terrícola coletada em campo nativo alagado. Planta com + ou - 15cm de altura, haste floral laxa com flores esverdeadas, labelo mais claro e trilobado.","SMDB013825",NA,"Gabriela Cruz-Lustre","2009","12","13","Manoel Viana","-55.4827995300293","-29.5891990661621",NA,NA,NA,"43920","auto","2017","12","05",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:38:30-03","MBM","MBM","214022","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","flaccida","Habenaria flaccida","Kraenzl.","Dusén, P.","9835A",NA,NA,NA,NA,NA,NA,"MBM214022","MBM214022","Batista, J.A.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001","10",NA,NA,NA,"ISOTYPE",NA,NA,NA,NA
"18","2020-12-21 16:38:33-03","MBM","MBM","49702","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","553","Southern America","Brazil","Paraná","Florestal",NA,NA,"MBM049702","MBM049702","Brade, A.C.","1946","12","08","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:38:33-03","MBM","MBM","214017","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dombrowski, L.T.; Kuniyoshi, Y.S.; Kuniyoshi, Y.S.","2813","Southern America","Brazil","Paraná","Capão da Imbuia",NA,NA,"MBM214017","MBM214017","Batista, J.A.N.",NA,NA,NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:38:33-03","MBM","MBM","214016","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dombrowski, L.T.","5047","Southern America","Brazil","Paraná","Colônia Orleans",NA,NA,"MBM214016","MBM214016","Batista, J.A.N.",NA,NA,NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:33-03","MBM","MBM","12479","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","23190","Southern America","Brazil","Paraná","Fazenda Três Capões",NA,NA,"MBM012479",NA,"Pabst, G.","1969","12","09","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:33-03","MBM","MBM","214020","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Tessmann, G.","s.n.","Southern America","Brazil","Paraná","Piraquara, 22km a leste de Curitiba",NA,NA,"MBM214020","MBM214020","Batista, J.A.N.",NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:38:33-03","MBM","MBM","12483","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","23286","Southern America","Brazil","Paraná","Rio Canguiri",NA,NA,"MBM012483","MBM012483","Pabst, G.","1969","12","30","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:38:33-03","MBM","MBM","214018","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dombrowski, L.T.","5631","Southern America","Brazil","Paraná","Capão da Imbuia",NA,NA,"MBM214018",NA,"Batista, J.A.N.",NA,NA,NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:38:33-03","MBM","MBM","34539","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","35656","Southern America","Brazil","Paraná","Espandilha",NA,NA,"MBM034539","MBM034539","Pabst, G.","1975","01","01","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:38:33-03","MBM","MBM","20209","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","28583","Southern America","Brazil","Paraná","Vila Higienópolis",NA,NA,"MBM020209","MBM020209","Pabst, G.","1971","12","22","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:38:33-03","MBM","MBM","270238","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","23190","Southern America","Brazil","Paraná","Fazenda Três Capões",NA,NA,"MBM270238","MBM270238","Batista, J.A.N.",NA,NA,NA,"Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:38:33-03","MBM","MBM","22766","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Pabst, G.","s.n.","Southern America","Brazil","Paraná","22km ab Curitiba ad Viam. Curitiba Rio Negro",NA,NA,"MBM022766","MBM022766","Pabst, G.","1952","01","20","Mandirituba","-49.326099395752","-25.7789001464844",NA,NA,NA,"20385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-03 19:54:41-03","MNHN","RECOLNAT_MNHN_P","P00408998","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Saint-Hilaire, A. de",NA,NA,"Brésil",NA,"Province de Saint Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408998' target='other'> <mi>dwc_moreinfo</mi></a>","P00408998","P00408998_01 P00408998_02","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1282",NA,NA,NA
"30","2015-09-03 19:50:15-03","MNHN","RECOLNAT_MNHN_P","P00408967","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dusén, P.",NA,NA,"Brésil",NA,"Parana","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408967' target='other'> <mi>dwc_moreinfo</mi></a>","P00408967","P00408967_01","Batista","1914","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-09-15 18:21:23-03","MNHN","RECOLNAT_MNHN_P","P00408999","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Regnell, A.F.",NA,NA,"Brésil",NA,NA,"hb","Donné par Mme Simart, sa fille, en 1907. Batista scripsit :Not the pe. The holo is based on a collect. made by Barbosa Rodrigues (presumably lost) the original illust. by Barb. Rodr. is in iconographie des Orchid. Brésil. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408999' target='other'> <mi>dwc_moreinfo</mi></a>","P00408999","P00408999_01 P00408999_02","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 1182",NA,NA,NA
"32","2019-09-05 13:45:55-03","MNHN","RECOLNAT_MNHN_P","P00409061","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Saint-Hilaire, A. de",NA,NA,"Brésil",NA,"Province de Saint Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00409061' target='other'> <mi>dwc_moreinfo</mi></a>","P00409061","P00409061_01","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1282",NA,NA,NA
"33","2020-12-11 11:44:41-03","UFMG","BHCB","102895","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","França, GS","s.n.","Southern America","Brasil","Paraná","22km Curitiba - Rio Negro",NA,NA,NA,NA,NA,"1952","01","20",NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:44:41-03","UFMG","BHCB","132515","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Batista, JAN; Ramalho, AJ; Barbosa, A R","2801","Southern America","Brasil","Minas Gerais","MG 877, saída para São Paulo, ca. de 3 Km do entroncamento para Andradas, ca. de 2 Km antes da entrada da ALCOA, entre os bairros Esperança III e São Bento.",NA,"Segundo registro da espécie para a região de Caldas e para Minas Gerais.; Erva terrestre, rara em final de floração, flores verdes.; Em brejo. Na parte do brejo com vegetação mis baixa e aberta. Solo hidromórfico, escuro, com água sob","BHCB001662","BHCB001662",NA,"2009","02",NA,"Poços de Caldas","-46.565556","-21.831861","431","1260",NA,NA,NA,"2009","02",NA,"-46.565556","-21.831861",NA,NA,NA,NA,NA
"35","2020-12-11 11:44:41-03","UFMG","BHCB","151306","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Batista, JAN; Hattori, EKO","3033","Southern America","Brasil","Minas Gerais","Grão Mogol, Serra do Calixto",NA,"Erva terrestre, em campo limpo inundavel (permanentemente umido), solo hidromorfico, escuro, com agua sobre a superficie. Área anteriormente queimada. Pouco comum. Em inicio de floração. Flores completamente verdes.",NA,NA,NA,"2010","11","22",NA,NA,NA,"869","869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:44:41-03","UFMG","BHCB","151326","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Batista, JAN","3053","Southern America","Brasil","Distrito Federal","DF; Guará; Reserva Ecológica do Guará",NA,"Erva terrestre, em campo limpo inundável margeando mata de galeria inundável. Solo hidromórfico, escuro, instável, com água sobre a superfície. Área queimada durante a seca. Ocasional. Observado uma população restrita a uma área do campo. Flores verd",NA,NA,NA,"2010","12","20","Distrito Federal",NA,NA,"1083","1083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-11 17:20:57-03","UFPR","UPCB","73302","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Cadorin, T.J.","1155",NA,"Brasil","Santa Catarina","Rio Manso.",NA,"Terrícola. IFFSC e1025a. Floresta ombrófila densa. Próximo à riacho..",NA,NA,"Mancinelli, W.S.","2010","02","02","Joinville","-49.14","-26.28","770","770",NA,NA,NA,"2011","02","15","-49.14","-26.28",NA,NA,NA,NA,NA
"38","2021-02-11 17:20:57-03","UFPR","UPCB","8191","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Hatschbach, G.","23286",NA,"Brasil","Paraná","Rio Canguiri",NA,"Do brejo, flor creme esverdeada..",NA,NA,NA,"1969","12","30","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","900","900",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2009-07-21 23:34:00-03","MO","MOBOT","2481699","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","flaccida","Habenaria flaccida","Kraenzl.","Per Dusén","Dusén 14328","South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-01-23 15:08:00-02","MO","MOBOT","101092100","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","A. Saint-Hilaire","Saint-Hilaire 1282","South America","Brazil","São Paulo","Sao Paulo",NA,NA,NA,NA,NA,"1816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,"1",NA,NA
"41","2019-01-23 15:11:00-02","MO","MOBOT","101092101","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Per Dusén","Dusén 9835A","South America","Brazil","Paraná","Curityba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,"1",NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","2824680","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Per Dusén","Dusén 16090","South America","Brazil","Paraná","Curityba locis paludodis.",NA,NA,NA,NA,"Rev. Pabst, 19 Apr","1914","12","10",NA,NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","2825418","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Gert G. Hatschbach","Hatschbach 20693","South America","Brazil","Paraná","Rio Taquari (Mun. Quatre Barras).",NA,NA,NA,NA,"G. Pabst, 19 May","1969","1","9",NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","2270278","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","L. B. Smith, R. Reitz & O. Sufridini","9428","South America","Brazil","Santa Catarina",NA,NA,NA,"US00529745","US00529745_01",NA,"1956","12","26",NA,NA,NA,"900","1000","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"45","2020-09-12 05:00:02-03","US","US","203839","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","A. F. Regnell","1182","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US00247442","US00247442_01",NA,"1857","1","13",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"46","2020-09-12 05:00:02-03","US","US","209760","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","A. F. Regnell","1182","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US00247441","US00247441_01",NA,"1857","1","29",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"Type collection",NA,"1",NA,NA
"47","2020-09-12 05:00:02-03","US","US","2270269","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","L. B. Smith & R. M. Klein","8258","South America","Brazil","Santa Catarina",NA,NA,NA,"US00529732","US00529732_01",NA,"1956","12","4",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"48","2020-09-12 05:00:02-03","US","US","2270281","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","L. B. Smith, R. Reitz & O. Sufridini","9446","South America","Brazil","Santa Catarina",NA,NA,NA,"US00529747","US00529747_01",NA,"1956","12","26","Chapecó","-52.6183013916016","-27.096399307251","900","1000","Monocotyledonae","22671","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"49","2020-09-12 05:00:02-03","US","US","2742708","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","L. B. Smith & R. M. Klein","13670a","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"1964","12","6",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"50","2020-09-12 05:00:02-03","US","US","2270286","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","L. B. Smith & R. Reitz","9978a","South America","Brazil","Santa Catarina",NA,NA,NA,"US00529752","US00529752_01",NA,"1957","1","14",NA,NA,NA,"900","950","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"51","2020-09-02 16:35:13-03","Cenargen","CEN","18143","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","João Aguiar Nogueira Batista","254",NA,"Brasil","DF","Mata do Acampamento.","Exsicatas","Observado uma população razoavelmente grande, mas restrita a um único local de todo um trecho bastante extenso percorrido. Área não queimada.","CEN00018143","CEN00018143","J. A. N. Batista","1992","01","19","BRASILIA","-47.9296989440918","-15.7797002792358",NA,NA,NA,"70570","auto","1992","01",NA,NA,NA,NA,NA,"1",NA,NA
"52","2020-09-02 16:35:13-03","Cenargen","CEN","32560","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","João Aguiar Nogueira Batista","811",NA,"Brasil","DF","Mata do acampamento. Entre o setor militar e o Parque Nacional de Brasília.","Exsicatas","Campo a margem de mata ciliar inundada. Solo instável, com água sobre a superfície. Área não queimada.","CEN00032560","CEN00032560","J. A. N. Batista","1998","12","23","BRASILIA","-47.9296989440918","-15.7797002792358",NA,NA,NA,"70570","auto","1998","12",NA,NA,NA,NA,NA,"1",NA,NA
