"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","preparationType"
"11","2020-09-12 05:00:02-03","US","US","3179658","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","A. P. Chautems & R. Reitz","1989","12","1","South America","Brazil","Erval Velho, Rio Leao",NA,"US00293131","US00293131_01",NA,NA,NA,NA,"348","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3587383","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","L. E. Skog & J. K. Boggan","1998","5","4","South America - Neotropics","Brazil","Smithsonian Institution Dept. of Botany Research Greenhouses, Suitland, Maryland, U.S.A.",NA,"US00993447","US00993447_01",NA,NA,NA,NA,"7816",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3394834","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","M. Stone","1973","8","31","South America - Neotropics","Brazil",NA,NA,"US00630986","US00630986_01","Skog, L. E.",NA,NA,NA,"1015 bis",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2612354","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","H. J. Wiehler","1970","4","19","South America - Neotropics","Brazil",NA,NA,"US00320801","US00320801_01",NA,NA,NA,NA,"7032",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"15","2020-09-02 16:29:40-03","Cenargen","CEN","66207","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Aécio Amaral-Santos","2005","09","10",NA,"Brasil","Fazenda Santo Inácio, Salto da Cadeia, margem esquerda do rio Pelotas.","Mudas coletadas em 10/09/2005 e mantidas em cultivo no CENARGEN. Material devidamente herborizado em 28/09/2006.","CEN00066207","CEN00066207","B. M. T. Walter","2012","11",NA,"2679","RS","BOM JESUS","-50.171388","-28.483333",NA,NA,NA,"965","6","-50.171388","-28.483333","965","Exsicatas"
"16","2020-09-02 16:29:40-03","Cenargen","CEN","67141","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Glocimar Pereira-Silva","2005","05","06",NA,"Brasil","Estrada de acesso à balsa do rio Pelotas, próximo ao eixo da barragem.","Área de influência direta (lago).","CEN00067141","CEN00067141",NA,NA,NA,NA,"10072","SC","ANITA GARIBALDI","-51.167777","-27.791944",NA,NA,NA,"580","4","-51.167777","-27.791944","580","Exsicatas"
"17","2019-11-13 11:20:21-03","USP","SPF","109302","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Hatschbach, G","1994","09","17",NA,"Brasil","Rio do Peixe.",NA,"SPF00109302","SPF00109302","Chautems, A",NA,NA,NA,"61088","Santa Catarina","Lacerdópolis","-51.5558013916016","-27.2600002288818","10351","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-08 12:42:39-03","UFRGS","ICN","143626","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautens","Barroso, CM","2005","03","17","América do Sul","Brasil","Rio Bernardo José divisa dos municípios Barracão e Pinhal da Serra","Material testemunho da dissertação de Mestrado de Cecília M. Barroso; Planta rupícula, roseo-avermelhadas com pintas vermelhas; Margem rochosa",NA,NA,"Barroso, CM",NA,NA,NA,"s.n.","RS","Barracão","-51.300833","-27.739444",NA,NA,"Dicotyledon",NA,NA,"-51.300833","-27.739444",NA,NA
"19","2020-04-30 16:07:00-03","UFMT","CNMT","3683","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.)Chautems","Pereira-Silva, G.; Lutkemeier, C.; Moreira, G.A.; Pereira, J.B.; Medeiros, M.B.","2005","05","06",NA,"Brasil","Estrada de acesso à balsa do rio Pelotas, próximo ao eixo da barragem.","Área de influência direta (lago); Flor vermelha.Doação Embrapa - CENARGEM. Herbário CEN","CNMT003683",NA,NA,NA,NA,NA,"10072","Santa Catarina","Anita Garibaldi","-51.14","-27.792222",NA,NA,"Angiosperma","580",NA,"51°08'24W","27°47'32S","580",NA
"20","2020-08-26 10:49:10-03","MCN-FZBRS","HAS","101241","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Nilson, A.D.","2000","02",NA,NA,"Brasil","próximo a ponte","(Projeto Pró-Guaíba) Erva rara, em beira de estrada","HAS0101241",NA,"Nilson, A.D.",NA,NA,NA,"642","Rio Grande do Sul","Barracão","-51.4606018066406","-27.6716995239258","28327","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
"21","2020-08-26 10:49:10-03","MCN-FZBRS","HAS","29260","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Röhrig, C.","2002","10",NA,NA,"Brasil","Gasperini",NA,"HAS0029260",NA,NA,NA,NA,NA,"432","Santa Catarina","Campo Belo do Sul","-50.760799407959","-27.8992004394531","35150","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
"22","2020-08-26 10:49:10-03","MCN-FZBRS","HAS","65385","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Röhrig, C.","2002","10",NA,NA,"Brasil","Fazenda Fundo Grande",NA,"HAS0065385",NA,NA,NA,NA,NA,"488","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621","43319","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
