"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","preparationType"
"11","2017-11-24 14:12:10-02","UFLA","ESAL","1396","S","Plantae",NA,NA,"Poaceae","Thrasyopsis","juergensii","Thrasyopsis juergensii","(Hack.) Soderstr. & A.G.Burm.","?",NA,NA,NA,NA,"Brasil",NA,"; ; ;",NA,NA,NA,NA,NA,NA,NA,"s.n.","Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","1868208","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Thrasyopsis","rawitscheri","Thrasyopsis rawitscheri","Parodi","A. B. Joly","1945","2","14","South America","Brazil","Estrada entre Ponta Grossa e Tibogi, Paraná, campos",NA,"US01268714","US01268714_01",NA,NA,NA,NA,NA,"17","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA
"13","2020-09-02 16:37:35-03","Cenargen","CEN","64329","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Gabriel Hugo Rua","2006","02","09",NA,"Brasil","BR-116, km 65, segunda curva a esquerda após a ponte sobre o rio Canabarro. 28° 40' 44'',6 51° 03' 54'',3.","Baixada com pedras na borda do capão, à direita da estrada, frente à placa do km 65 e cerca de 140 m antes de uma porteira à esquerda com as iniciais 'AC'.","CEN00064329","CEN00064329",NA,"J. F. M. Valls","2015","09",NA,"728","RS","CAMPESTRE DA SERRA","-51.065","-28.678888",NA,NA,NA,NA,"-51.065","-28.678888",NA,"2","Exsicatas"
"14","2020-08-20 20:41:45-03","UFSC","FLOR","24504","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Thrasyopsis","juergensii","Thrasyopsis juergensii","(Hack.) Soderstr. & A.G.Burm.","Klein, R.M.","1963","10","31",NA,"Brasil","Passo do Socorro.",NA,"FLOR0024504",NA,NA,"Smith, L.B.","1977",NA,NA,"4402","Santa Catarina","Lages","-50.326099395752","-27.8160991668701","70701","900","900","auto",NA,NA,NA,NA,NA
"15","2021-02-08 12:54:11-03","UFRGS","ICN","144892","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Repenning, M","2005","12","11","América do Sul","Brasil","São Pedro Coxilha Grande Capela do Caravaggio propriedade Sr. Leonorino Oliboni 28°08'16 S 50°54'1 7 W","Espécie ameaçada de extinção (Vulnerável).",NA,NA,"Monocotyledon",NA,NA,NA,NA,"s.n.","RS","Vacaria","-50.900278","-28.137778",NA,"858","858",NA,"-50.900278","-28.137778",NA,NA,NA
"16","2021-02-08 12:54:11-03","UFRGS","ICN","149267","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Setubal, R; Grings, M; Verdade, M","2006","10","08","América do Sul","Brasil","morro São Pedro Econsciência Espaço de Conservação","erva em campo rupestre de topo de morro; coordenadas 489617 / 6661195",NA,NA,"Monocotyledon","Setubal, R",NA,NA,NA,"76","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","145","145","auto",NA,NA,NA,NA,NA
"17","2021-02-08 12:54:11-03","UFRGS","ICN","180121","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Mondin, C","1992","10","23","América do Sul","Brasil","Morro Teresópolis","No campo, sobre afloramento rochoso",NA,NA,"Monocotyledon",NA,NA,NA,NA,"s.n.","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946",NA,NA,"auto",NA,NA,NA,NA,NA
"18","2021-02-08 12:54:11-03","UFRGS","ICN","201572","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Grings, M; Buffon, I","2019","11","24","América do Sul","Brasil","entre barragem do Divisa e Cachoeira WGS 84 UTM 22J 541719 W 6758699 S","erva com 40 cm de altura; fértil.; em base de paredão; vegetação herbáceo-arbustiva; solo raso",NA,NA,"Monocotyledon","Grings, M","2019","11","24","2096","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715",NA,NA,"auto",NA,NA,NA,NA,NA
"19","2021-02-08 12:54:11-03","UFRGS","ICN","010180","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Valls, JFM; Arzivenco, L","1970","12","30","América do Sul","Brasil","BR-116, Km 205,2",NA,NA,NA,"Monocotyledon","Longhi-Wagner, HM","2016","10",NA,"1428","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"20","2021-02-08 12:54:11-03","UFRGS","ICN","024286","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Valls, JFM; Arzivenco, L","1970","12","21","América do Sul","Brasil","Vale do Rio Ibitiria","Em barranco rochoso",NA,NA,"Monocotyledon","Longhi-Wagner, HM","2016","10",NA,"1351","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"21","2021-02-08 12:54:11-03","UFRGS","ICN","101171","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Rúgolo, Z; et al.","1992","12","12","América do Sul","Brasil","Camino a Tibagi, a 26km de ruta BR-376","Campo seco",NA,NA,"Monocotyledon",NA,NA,NA,NA,"1693","PR","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557",NA,NA,"auto",NA,NA,NA,NA,NA
"22","2021-02-08 12:54:11-03","UFRGS","ICN","134443","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Longhi-Wagner, HM; et al.","1997","01","26","América do Sul","Brasil","Ventania Km após saída Tibagi","Espécie ameaçada de extinção (Vulnerável).",NA,NA,"Monocotyledon",NA,NA,NA,NA,"3832","PR","Tibagi","-50.4136009216309","-24.5093994140625","56988",NA,NA,"auto",NA,NA,NA,NA,NA
"23","2021-02-08 12:54:11-03","UFRGS","ICN","155135","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Setubal, R; Kray, J; De Marchi, T","2007","02","12","América do Sul","Brasil","Fazenda do Cilho","em campo rupestre",NA,NA,"Monocotyledon","Setubal, R",NA,NA,NA,"327","RS","Bom Jesus","-50.4166984558105","-28.6678009033203","55856",NA,NA,"auto",NA,NA,NA,NA,NA
"24","2021-02-08 12:54:11-03","UFRGS","ICN","138113","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Eggers, L","2000","12","19","América do Sul","Brasil","Morro São Pedro",NA,NA,NA,"Monocotyledon","Boldrini, II",NA,NA,NA,"s.n.","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946",NA,NA,"auto",NA,NA,NA,NA,NA
"25","2021-02-08 12:54:11-03","UFRGS","ICN","009678","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Valls, JFM; et al.","1971","12","05","América do Sul","Brasil",NA,"Em morro com afloramento de basalto",NA,NA,"Monocotyledon","Valls, JFM",NA,NA,NA,"1899","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"26","2021-02-08 12:54:11-03","UFRGS","ICN","10180","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Valls, JM; Arzivenco, L","1970","12","30","América do Sul","Brasil",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,"1428","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"27","2021-02-08 12:54:11-03","UFRGS","ICN","051260","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Longhi-Wagner, H; et al.","1981","12","04","América do Sul","Brasil","Cerro da Fazenda do Sr. Bataglia, a 7km da BR-116","Entre pedra de basalto no topo do cerro",NA,NA,"Monocotyledon",NA,NA,NA,NA,"1066","RS","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"28","2021-03-22 16:23:54-03","FEPAGRO","BLA","8355","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","rawitscheri","Thrasyopsis rawitscheri","Parodi","L. A. Arzivenco","1970","10","30",NA,"Brasil","BR 116 - Km 205",NA,"BLA008355",NA,"Spermatophyta","J. F. M. Valls",NA,NA,NA,NA,"Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
"29","2019-11-21 10:17:05-03","IBt","SP","358967","S","Plantae",NA,NA,"Poaceae","Thrasyopsis","juergensii","Thrasyopsis juergensii","(Hack.) Soderstr. & A.G.Burm.","Sendulsky, T","1973",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"Burman, AG","1978","10","13","s.n.","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:17:05-03","IBt","SP","52310","S","Plantae",NA,NA,"Poaceae","Thrasyopsis","rawitscheri","Thrasyopsis rawitscheri","Parodi","Joly, AB","1945","02","14",NA,"Brasil","estrada Ponta Grossa - Tibagi",NA,"SP003195","SP003195",NA,NA,NA,NA,NA,"17","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
