"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","order","fieldNumber","preparationType"
"17","2020-08-31 09:19:02-03","INPA","INPA","246893","S","Plantae","Monocotyledon","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Santana, FD","16","2012","08","12","Southern America","Brasil","Bahia","Anguera","Faz. Poço da Volta (Dono: Seu Almiro Campos Costa)","-39.21173","-12.16231","-39.21173","-12.16231","193","193",NA,"INPA0246893","Santana, FD","2012","08","12",NA,NA,"INPA0246893 INPA0246893_1 INPA0246893_2 INPA0246893_3 INPA0246893_4 INPA0246893_e INPA0246893_e1 INPA0246893_e2 INPA0246893_e3 INPA0246893_e4","Arecales",NA,NA
"18","2020-08-31 09:19:02-03","INPA","INPA","246895","S","Plantae","Monocotyledon","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Santana, FD","18","2012","08","13","Southern America","Brasil","Bahia","Seabra","Br 242","-41.89504","-12.38896","-41.89504","-12.38896","1101","1101",NA,"INPA0246895","Santana, FD","2012","08","13",NA,NA,"INPA0246895 INPA0246895_1 INPA0246895_2 INPA0246895_3 INPA0246895_e INPA0246895_e1 INPA0246895_e2 INPA0246895_e3","Arecales",NA,NA
"19","2020-08-31 09:19:02-03","INPA","INPA","246896","S","Plantae","Monocotyledon","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Santana, FD","19","2012","08","15","Southern America","Brasil","Bahia","Cristópolis","Transição Cerrado-Caatinga, Lagoa de Oscar Ba 839, Km 1","-44.06461","-12.21305","-44.06461","-12.21305","765","765",NA,"INPA0246896","Santana, FD","2012","08","15",NA,NA,"INPA0246896 INPA0246896_1 INPA0246896_2 INPA0246896_3 INPA0246896_4 INPA0246896_e INPA0246896_e1 INPA0246896_e2 INPA0246896_e3 INPA0246896_e4","Arecales",NA,NA
"20","2020-08-31 09:19:02-03","INPA","INPA","246894","S","Plantae","Monocotyledon","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Santana, FD","17","2012","08","12","Southern America","Brasil","Bahia","Anguera","Faz. Poço da Volta (Dono: Seu Almiro Campos Costa)","-39.21154","-12.224","-39.21154","-12.224","194","194",NA,"INPA0246894","Santana, FD","2012","08","12",NA,NA,"INPA0246894 INPA0246894_1 INPA0246894_2 INPA0246894_3 INPA0246894_e INPA0246894_e1 INPA0246894_e2 INPA0246894_e3","Arecales",NA,NA
"21","2021-01-26 11:46:32-03","IMA","MAC","35086","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Chagas-Mota; J.W.A.Silva; P.B.Alves","1619","2009","01","10",NA,"Brasil","Alagoas","São Luiz do Quitunde","Garabu.",NA,NA,NA,NA,NA,NA,"Árvore ca. 12 m de altura. Frutos secos.; Mata Pluvial Atlântica.","MAC0035086","E.C.O. Chagas","2009","01","10",NA,NA,NA,NA,NA,NA
"22","2021-01-26 11:46:32-03","IMA","MAC","43231","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Chagas-Mota","4735","2009","08","08",NA,"Brasil","Alagoas","Inhapi","Serra do Grude.","-37.7486000061035","-9.22138977050781",NA,NA,NA,NA,"Árvore ca. 25 m de altura. Frutos marrons.; Caatinga.","MAC0043231","E.C.O.Chagas","2009","08","08","22926","auto",NA,NA,NA,NA
"23","2021-01-26 11:46:32-03","IMA","MAC","45264","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Chagas-Mota; S.Brasileiro; E.Gonçalves","6768","2010","01","15",NA,"Brasil","Alagoas","Mata Grande","Mata do Pau Grande.","-37.7322006225586","-9.11750030517578",NA,NA,NA,NA,"Palmeira ca. 20 m de altura. Frutos passados.; Caatinga.","MAC0045264","E.C.O.Chagas","2010","01","15","30053","auto",NA,NA,NA,NA
"24","2019-07-31 14:32:05-03","CPATSA","HTSA","1111","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Martius","Lima, J.L.S.","020","1984","11","20",NA,"Brasil","Paraíba","Bananeiras",NA,"-36.035278","-7.25","-36.035278","-7.25",NA,NA,"Nº ramos= 434.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 18:25:07-03","USP","SPF","132988","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Pirani, JR; Assis, MC; Forzza, RC; Labiak, PH","203","1998","05","05",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada para Cristália, fazenda Matão.","-42.85","-16.6","-42.85","-16.6",NA,NA,"Alt. ca. 5 m, estipe 1,7m, Ø 30 cm, folhas 15, pecíolo+bainha 37 cm, raque 4 m, folíolos 141, med. 100 x 4,8 cm, pedúnculo 20cm.; Em Mata ciliar ao longo do rio Itacambiruçú. Também ocorre Mauritia flexuosa L.F.","SPF00132988","Marcato, AC","1999","12",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 18:25:07-03","USP","SPF","132989","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Pirani, JR; Assis, MC; Forzza, RC; Labiak, PH","210","1998","05","07",NA,"Brasil","Minas Gerais","Botumirim","Serra do Tinoco, estrada para Itacambira, ca. 6Km de Botumirim.","-43.05","-16.816667","-43.05","-16.816667","1050","1050","Alt. ca. 10 m, estipe 3,5m, Ø 35 cm, folhas 10, raque 6,13m, pec.+bainha 60 cm, folíolos 193, med. 109 x 5,8 cm, pedúnculo 65 cm, raque 90 cm, bráctea 2,03 m, rostro 3,8 cm, frutos maduros castanhos.; Em encosta, formando grandes pop","SPF00132989","Marcato, AC","1999","12",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 18:25:07-03","USP","SPF","132990","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Pirani, JR; Rapini, A; Meguro, M; Forzza, RC","118","1998","01","13",NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, estrada Felício dos Santos - Itamarandiba, adjacente a Serra do Ambrósio.","-43.066667","-18.15","-43.066667","-18.15","780","780","Alt. ca 14 m, estipe ca. 7 m, raque 5,15m, pec.+bain. 62 cm, folíolos 164, mediano 92x6cm, pedúnc. 46cm, infrutescência ca 90 cm compr., Ø 43cm, frutos castanhos.; Em áreas antropizadas e matas, formando grande populações.","SPF00132990","Marcato, AC","1999","12",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 18:25:07-03","USP","SPF","132991","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Pirani, JR; Rapini, A; Assis, MC; Forzza, RC","175","1998","03","03",NA,"Brasil","Minas Gerais","Congonhas do Norte","Serra da Carapina, Serra da Carapina (Serra Talhada, n afolha do IBGE), setor N da Serra do Cipó, estrada Congonhas do Norte-Santana do Riacho.","-43.666667","-18.9","-43.666667","-18.9","1040","1040","Alt. ca. 8 m, folhas 9, raque 6,3m, folíolos 181, med. 1,14x0,07m. Infloresc. masculina, pedúnc. 44cm, bráctea 1,7m; Infloresc. hermafrodita, pedúnculo 73, raque 68 cm, bráctea 2m, Ø 20cm. Nervura principal dos folíolos castanha, as","SPF00132991","Marcato, AC","1999","12",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 18:25:07-03","USP","SPF","140844","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Fiaschi, P","249","2000","02","01",NA,"Brasil","Minas Gerais","Paracatu","MG 040, rumo a Guarda-Mor, ca. de 40km de Paracatu.","-46.946667","-17.377778","-46.946667","-17.377778","560","560","Altura total 7-15m, caule 3-8m, folhas 23, raque 5,7m, folíolo mediano 105x3,6cm, bráctea da inflorescência estaminada: comp. total 1,3m, larg. 32 cm, rostro 22 cm. Bráctea de inflorescência velha com 1,55m compr. total, 34 cm larg.,","SPF00140844","Marcato, AC","2000","01",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 18:25:07-03","USP","SPF","179343","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Marcato, AC; Pirani, JR; Groppo, M; Fiaschi, P","341","2002","01","30",NA,"Brasil","Espírito Santo","Santa Teresa","Próximo à Estação Biológica Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"Alt. ca.m, caule m, folhas, folíolos 177, mediano 122x6cm, raque inflorescência mais de 72 cm.; Grande população, em matas e áreas abertas.","SPF00179343","Marcato, AC","2002","01",NA,"23813","auto",NA,NA,NA,NA
"31","2020-07-23 11:58:11-03","CEPLAC","CEPEC","114894","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera",NA,"Borges, R.A.X.","373","2006","12","17",NA,"Brasil","Bahia","ALMADINA","Serra do Corcovado. 13,8km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","-39.603333","-14.705833","39W36'12","14S42'21","650","650","Duplicatas: CEPEC, NY, SP.",NA,"Sem Informação",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-19 14:06:01-03","Unimontes","MCMG","397","PreservedSpecimen","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Menino,G.C.O | Azevedo,I.F.P | Brandão, D.O | Rodrigues,M.P.S | Tolentino,G.","216","2008","07","13",NA,"Brasil","Minas Gerais","Janúaria","APA do Rio PandeirosCatulé","-44.3616981506348","-15.4881000518799","44°50'45","15°397'35",NA,NA,"Regeneração Natural",NA,"Santos R.M.","2008",NA,NA,"148972","auto",NA,NA,NA,NA
"33","2019-11-21 09:59:27-03","IBt","SP","392587","S","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Borges, RAX; Amorim, AM; Paixão, JL; Rodrigues, AB","373","2006","12","17",NA,"Brasil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco. Floresta Ombrófila Densa Montana. Borda de mata","-39.603333","-14.705833","-39.603333","-14.705833","650","900","Árvore ca. 10m de altura. folhas concolores. Brácteas esverdeadas, flores estaminadas amarelas","SP055784",NA,NA,NA,NA,NA,NA,"SP055784 SP055784_01",NA,NA,NA
