"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","continentOcean","relatedCatalogItem","relationshipType","fieldNumber","preparationType","infraspecificEpithet","typeStatus"
"12","2020-11-04 11:03:56-03","ESALQ","ESA","79888","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Lem.","Fontoura, T.","2002","05","03","Savassi, A.P.; Silva, F.D.; Campos, L.M.; Duarte, A.R.; Arango, B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","371.0","2002","04","24","Brasil","São Paulo","São Miguel Arcanjo","BLOQUEADO","-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"Epífita a 1m de altura sobre árvore, coletada na borda da trilha. Brácteas florais róseo-lilás com máculas vinosas.","ESA079888","ESA079888","Magnoliophyta",NA,"27904",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:56-03","ESALQ","ESA","84584","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, T.B.",NA,NA,NA,"Araki, D.F.; Rother, D.C; Oliveira S.H; Toledo, R.M; Tamashiro J.Y; Rodrigues, R.R.; Souza, V.C.; Paula-Souza, J. ; Muniz, M.R.A.","29.0","2003","04","16","Brasil","São Paulo","Eldorado","BLOQUEADO","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Erva - 0,40 m, trilha, flores roxas, sombra","ESA084584","ESA084584","Magnoliophyta",NA,"38804",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:56-03","ESALQ","ESA","79799","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Lem.","Fontoura, T.","2002","05","03","Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","56.0","2002","04","21","Brasil","São Paulo","Sete Barras","BLOQUEADO","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"Epífita de 60 cm a 1,5 m de altura no hospedeiro. Bráctea floral vermelha, verde na base. Frutos imaturos verdes.","ESA079799","ESA079799","Magnoliophyta",NA,"34059",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:25:53-03","MN","R","102770","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E. Morren ex Lindm.","Moura, R.","2001","11","08","Smith, L.B. 6292; Reitz, R.",NA,"1952","03","20","Brasil","Santa Catarina","Blumenau","Floresta Spitzkopf","-49.1","-26.883333","49°06'W","26°53'S",NA,NA,NA,"R010006345","R010006345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-19 08:15:13-03","FPS","FPS","2286","MachineObservation","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Martins, SE","2016","07","04","Schwirkowski, P.","1741","2016","07","13","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Trilha do Castelo dos Bugres","-49.054899","-26.224838","-49.054899","-26.224838",NA,NA,"<ll>dwc_commonname:</ll> Gravatá","FPS02286,FURB51847,MBM423581","FPS02286_v01 FPS02286_v02 FPS02286_v03 FURB51847",NA,NA,NA,NA,NA,NA,NA,"FURB 51847, MBM 423581","voucher",NA,NA,NA,NA
"17","2019-12-19 08:15:13-03","FPS","FPS","2171","MachineObservation","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schwirkowski, P.","2016","03","12","Schwirkowski, P.","1645","2016","03","12","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Trilha do Castelo dos Bugres.","-49.054899","-26.224838","-49.054899","-26.224838",NA,NA,"<ll>dwc_commonname:</ll> Gravatá","FPS02171,FURB49713","FPS02171_v01 FPS02171_v02 FPS02171_v03 FPS02171_v04 FURB49713",NA,NA,NA,NA,NA,NA,NA,"FURB 49713","voucher",NA,NA,NA,NA
"18","2019-08-27 13:25:16-03","IAP","PACA-AGP","115478","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E. Morren ex Lindm.","Caldas, J.","2012","12","15","Rocha, L.D.","216","2012","12","15","Brasil","RS","Caraá","nascente do Rio dos Sinos","-50.291056","-29.706944","50º17'27.8W","29º42'25.0S",NA,NA,"Habitat: epífito","PACA115478",NA,"Magnoliophyta","Bromeliales",NA,NA,NA,"Liliatae",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:19:02-03","UNICAMP","UEC","198660","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Lindm. & E.Morren","Martins, SE",NA,NA,NA,"Romanini, RP; Martins, SE","344","2015","09","16","Brazil","Paraná","Morretes","Parque Estadual do Pico do Marumbi. Estrada de Itupeva, sentido Estação Lange, logo após bifurcação da usina de energia.","-48.914444","-25.433056","-48.914444","-25.433056","380","380","Brácteas do escapo vermelhas, brácteas primárias vermelhas com ápice verde, as mais internas total/ vermelhas; brácteas florais alvas na base, vermelhas para o ápice. Flores com ovário branco, sépalas vermelhas, pétalas esverdeadas.;","UEC167218","UEC167218","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:19:02-03","UNICAMP","UEC","87144","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Lindm. & E.Morren","Moreira, BA","2009","05","26","Mello-Silva, R; Vitta, FA; Roque, N","899","1994","05","11","Brazil","São Paulo","Tapira","Rodovia SP-79, após saída da cidadeem direção a Juquiá, lado esquerdo. Propriedade da São José Administração e Matérias Primas.",NA,NA,NA,NA,"900","950","Bromélia tanque, epífita. Brácteas vermelhas. Flores verde-claras com ápice verde mais escuro.; Mata Pluvial Atlântica de Encosta.","UEC005025","UEC005025","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:19:02-03","UNICAMP","UEC","52042","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Lindm. & E.Morren","Moreira, BA","2004","03","02","Passos, LC","23127","1990","02","27","Brazil","São Paulo","Capão Bonito","Fazenda Intervales.","-48.3400001525879","-24",NA,NA,NA,NA,"Epífita com folhas centrais vermelho-alaranjadas e flores e botões nas axilas e centro, pétalas brancas.","UEC005026","UEC005026","Liliopsida",NA,"39505",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:19:02-03","UNICAMP","UEC","6800","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Lindm. & E.Morren","Moreira, BA","2009","05","26","Makino, H","45","1977","05","21","Brazil","São Paulo","São Miguel Arcanjo","Cerca de 70 Km ao sul de Itapetininga. Reserva Carlos Botelho. Mata.","-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"Sobre tronco a cerca de 1,60 m do solo. Brácteas vermelho-alaranjadas. Flores esverdeadas.","UEC005028","UEC005028","Liliopsida",NA,"27904",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:19:09-03","UNICAMP","UEC","138286","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Budke, JC","553","2002","08","23","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Parcelas permanentes.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Brácteas vermelhas, pétalas branco e verde.","UEC005092","UEC005092","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:19:09-03","UNICAMP","UEC","138287","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Breier, ACB","773","2002","12","14","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Trilha da parcela.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Brácteas vermelhas, K verde e C branca com detalhe verde.","UEC005091","UEC005091","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:19:09-03","UNICAMP","UEC","138288","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Andrade, MAR","144","2002","05","27","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Parcelas permanentes.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Brácteas vermelhas.","UEC005093","UEC005093","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:19:09-03","UNICAMP","UEC","138289","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Breier, ACB","786","2002","12","15","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Trilha da parcela.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Brácteas vermelhas, K verde e C branca com detalhe verde.","UEC005094","UEC005094","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-08-20 09:59:13-03","UNICAMP","UEC","138291","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Breier, ACB","770","2002","12","12","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Trilha da Figueira, núcleo Sete Barras.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,NA,"UEC005095","UEC005095","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:19:09-03","UNICAMP","UEC","138290","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB","2004","09",NA,"Breier, TB; Singer, RB","316","2002","06","30","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Morro três irmãos.","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"Brácteas rosa, pétala azul.","UEC005096","UEC005096","Liliopsida",NA,"37574",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-20 09:59:13-03","UNICAMP","UEC","140517","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB",NA,NA,NA,"Rocca, MA","4","2003","09","19","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Base, Trilha da Figueira.","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"Brácrteas vermelhas e flores brancas.","UEC005089","UEC005089","Liliopsida",NA,"34059",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-20 09:59:13-03","UNICAMP","UEC","140516","S","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, TB",NA,NA,NA,"Rocca, MA","5","2003","09","02","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Base, Trilha da Figueira.","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"UEC005090","UEC005090","Liliopsida",NA,"34059",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-04 13:19:00-03","UDESC","LUSC","10152","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","T.E.V. Azeredo","2008","08","12","T.E.V. Azeredo","63","2008","08","04","Brasil","Santa Catarina","Siderópolis","Barragem Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"LUSC009631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-10-14 10:00:04-03","FURB","FURB","14070","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Cadorin, TJ","2012","07","10","Cadorin, T.J.; Schimitt, J.L. & Gasper, A.L. de","59","2009","09","14","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Spitzkopf.","-49.1180556","-27.0069444","-49.1180556","-27.0069444","249","249","Epífita IFFSC e8001a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior da mata Habito: epífita de tronco caído;","FURB19672","FURB19672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-08 08:50:44-03","FURB","FURB","15959","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Moura, R","2011","10","06","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.P.L.","286","2009","10","28","Brasil","Santa Catarina","Angelina",NA,"-49.05","-27.4575","-49.0500000","-27.4575000","822","822",NA,"FURB19663","FURB19663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-10-14 10:00:04-03","FURB","FURB","17042","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Cadorin, TJ","2012","07","10","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","633","2009","11","21","Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.2355555","-26.365","-49.2355555","-26.3650000","417","417","Florística IFFSC e993a (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: rupícola; flor bráctea laranja","FURB19668","FURB19668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-10-14 10:00:04-03","FURB","FURB","18309","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schmitt, J","2012","07","10","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","926","2009","12","11","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","-49.7700000","-28.7100000","203","203","Epífita IFFSC e37a (Abaixo de 4m). Também encontrada como rupícola. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB19669","FURB19669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:00:04-03","FURB","FURB","20143","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schmitt, J","2012","07","10","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1184","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","-49.1400000","-26.2800000","770","770","Epífita IFFSC e1025a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: em barrancos; flor brácteas florais laranja","FURB19673","FURB19673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:00:04-03","FURB","FURB","20526","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schmitt, J","2012","07","10","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","694","2009","11","24","Brasil","Santa Catarina","Treviso","Brasília.","-49.4986111","-28.4436111","-49.4986111","-28.4436111","572","572","Epífita IFFSC e74a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de tronco caído; flor bráctea laranja","FURB19665","FURB19665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:00:04-03","FURB","FURB","20616","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schmitt, J","2012","07","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1207","2010","02","01","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","-48.7619444","-27.8788889","180","180","Epífita IFFSC e226a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de arbórea; flor branca","FURB19671","FURB19671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:00:04-03","FURB","FURB","21095","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Schmitt, J","2012","07","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1051","2010","01","26","Brasil","Santa Catarina","São Martinho","Chicão.","-48.87","-28.08","-48.8700000","-28.0800000","526","526","Epífita IFFSC e173a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita de arbórea; flor bráctea laranja","FURB19670","FURB19670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:00:04-03","FURB","FURB","21183","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Moura, R","2011","10","06","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1005","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.5852777","-26.7275","-49.5852777","-26.7275000","785","785","Epífita IFFSC e801a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor bráctea laranja","FURB19662","FURB19662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:00:04-03","FURB","FURB","28074","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Moura, R","2011","10","06","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2319","2010","05","25","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.585","-26.7275","-49.5850000","-26.7275000","785","785","Epífita IFFSC e801b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; interior do fragmento Habito: epífita; flor brácteas laranjas","FURB19664","FURB19664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:00:04-03","FURB","FURB","28075","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Moura, R","2011","10","04","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2516","2010","05","29","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","-49.1400000","-26.2800000","770","770","Florística IFFSC e1025b (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: erva terrícola; flor bráctea laranja, botão floral verde-claro","FURB01125","FURB01125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:00:04-03","FURB","FURB","28102","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Moura, R","2011","10","06","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2020","2010","06","24","Brasil","Santa Catarina","Praia Grande","Trilha do Rio do Boi.","-50.0744445","-29.205","-50.0744445","-29.2050000","330","330","Epífita IFFSC e01b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; Fruto vermelho; flor bráctea marrom","FURB19661","FURB19661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
