"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"12","2021-03-15 16:37:00-03","NY","NYBG","01195975","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","A. M. Amorim","4348","2004","10","29","Brazil","Bahia","Camacan","Camacã, RPPN Serra Bonita, 9.7 km de Camacã, Fazenda Serra Bonita, 9.7 km W de Camacá na estrada para Jacarecí, dai 6 km SW na estrada para a RPPN e torre da embratel","-39.5653","-15.3917",NA,NA,"835","835","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195975","NY01195975_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","777079","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.",NA,"M. F. R. Paula","28","1998","11","27","Brazil","Paraná","Morretes","Estrada da Graciosa, Recanto Mae Catira","-48.85","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777079","NY00777079_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1183879","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","E. de L. Jacques","R. C. Forzza","4813","2007","10","25","Brazil","São Paulo","Praia Grande","Jardim Real Estrada Mongagua - Praia Grande, km 300.","-46.5836","-24.0728",NA,NA,"11","11","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183879","NY01183879_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","454041","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","L. B. Smith; D. C. Wasshausen","P. K. H. Dusén","6891","1908","10","19","Brazil","Paraná","Morretes","Serra do Mar. Porto de Cima","-48.87","-25.43",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454041","NY00454041_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","454042","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","G. G. Hatschbach","53510","1989","09","20","Brazil","Espírito Santo","Domingos Martins","Vitor Hugo","-40.6592","-20.3633",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454042","NY00454042_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","454037","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.",NA,"P. E. Gibbs","3243","1976","10","26","Brazil","São Paulo","Sao Miguel Arcanjo","Ca. 50 km S de Itapetininga, estrada a Registro. Reserva Florestal de Carlos Botelho","-47.99","-23.8703",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454037","NY00454037_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","454043","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","A. M. Amorim","1692","1995","08","14","Brazil","Bahia","Una","Estrada Sao José. Una. Km 8. Ramal a direita a partir de Sao José","-39.2940831","-15.1260082",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454043","NY00454043_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","454039","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","L. B. Smith; D. C. Wasshausen","S. A. Mori","12823","1979","09","27","Brazil","Bahia","Una","Estrada que liga BR 101 (Sao José) com BA 265, a 17 km da primeira. Cerca de 35 km ao S de Itabuna","-39.2540887","-15.1469363",NA,NA,NA,NA,"Anther sample, Mark Tebbitt Brooklyn Botanic Garden 11 Nov 1998 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454039","NY00454039_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","454044","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","L. B. Smith; D. C. Wasshausen","B. Maguire","44549","1959","12","06","Brazil","São Paulo","Bertioga","Biological Station at Paranapiacaba","-46.138599395752","-23.8544006347656",NA,NA,"792.5","853.4","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454044","NY00454044_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet","37616","auto",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","884988","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","P. Fiaschi","1131","2002","10","17","Brazil","Bahia","Buerarema","Ramal à esq., ca. 15 da rodovia de Buerarema para São José de Vitória, km 9 da estrada para Arataca, ca. 9.5 km à dir. da BR 101.","-39.3011","-15.15264",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884988","NY00884988_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-13 09:19:07-03","UFRJ","RFA","8313","PreservedSpecimen","Plantae","Begoniaceae","Begonia","limmingheiana","Begonia limmingheiana","E.Morren","G.G. Hatschbach","G.G. Hatschbach","15104","1966","11","12","Brasil","Paraná","Guaratuba","Praia do Mendanha.","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Trepadeira, flor vermelha.","RFA27477",NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"23","2020-11-13 09:19:07-03","UFRJ","RFA","8889","PreservedSpecimen","Plantae","Begoniaceae","Begonia","procumbens","Begonia procumbens","Vell.","L.B. Smith","P. Occhioni","3732","1968","11","19","Brasil","Santa Catarina","Florianópolis","Tapera Ribeira.","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Flor vermelha.","RFA27785",NA,"1975",NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"24","2019-12-04 15:24:56-03","PUCPR","HUCP","3601","S","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaramillo, JC","Silva, SM; Britez, RM","117/143",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Morro do Miguel.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00023270","HUCP00023270","2017","06","29","Eudicotiledonea",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:24:56-03","PUCPR","HUCP","3424","S","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaramillo, JC","Britez, RM","1799",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Reserva Ecológica 1.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00023433","HUCP00023433",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:24:56-03","PUCPR","HUCP","11153","S","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaramillo, JC","Shirata, MT","3417","1997","10","12","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00023281","HUCP00023281","2017","06","29","Eudicotiledonea",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:24:56-03","PUCPR","HUCP","19083-B","S","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.",NA,"Bonaldi, R","165","2006","11","11","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00023256","HUCP00023256",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:11:40-03","UFBA","ALCB","60096","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Smith, SF","Hatschbach, G; Hatschbach, M; Silva, JM","71381","2000","10","18","Brasil","Espírito Santo","Marechal Floriano","Vitor Hugo","-40.6831016540527","-20.4127998352051",NA,NA,"900","900","Cresce ao longo do tronco de árvores da floresta atlântica. Flor alva.","ALCB036004","ALCB036004","2001",NA,NA,"Dicotyledon",NA,"Southern America",NA,"23038","auto",NA,NA,NA,NA,NA,NA
"29","2020-02-08 08:59:05-03","NBC","NL-BOTANY","L.2471053","PreservedSpecimen","Plantae","Begoniaceae","Begonia","limmingheiana","Begonia limmingheiana","E.Morren",NA,"Hatschbach GG",NA,"1962","12","03","Brazil",NA,NA,"Parana( Brasil). Campina Gde. Sul. Rod. BR-2, Ribeirão do Cedro.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2471053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2471053","NL-L2471053",NA,NA,NA,NA,"Cucurbitales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"30","2020-02-08 08:59:05-03","NBC","NL-BOTANY","L.2471054","PreservedSpecimen","Plantae","Begoniaceae","Begonia","limmingheiana","Begonia limmingheiana","E.Morren",NA,"Hatschbach GG",NA,"1962","11","03","Brazil",NA,NA,"Parana( Brasil). Paranagua. Sitio do Meio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2471054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2471054","NL-L2471054",NA,NA,NA,NA,"Cucurbitales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"31","2020-02-08 08:59:06-03","NBC","NL-BOTANY","U.1144590","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.",NA,"Hatschbach GG",NA,"1963","10","19","Brazil",NA,NA,"Est. Paraná, Mun. Morretes, Estr. da Graciosa, Grota Funda.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144590","NL-U1144590",NA,NA,NA,NA,"Cucurbitales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-11-04 11:03:01-03","ESALQ","ESA","125323","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans",NA,"Delfini, C.","Delfini, C.","859.0","2013","03","28","Brasil","São Paulo","Juquiá","Reserva Parcitular da Votorantim (CBA). Trilha Casa das Pedras. Floresta Umbrófila Densa.","-47.55841","-23.16651","-47.55841","-23.16651",NA,NA,"Erva trepadeira, ca. 2m alt. do solo, caules e pecíolos avermelhados.","ESA125323",NA,"2013","03","28","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:03:01-03","ESALQ","ESA","79643","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Berndt, A. et al.","Gomes, S.M.; Antunes, R.M.; Gomes, P.B.; Nakakura, H.C.C.; Melo, M.S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","444.0","2002","04","23","Brasil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Núcleo Sete Barras, Trilha da Figueira. Floresta Ombrófila Densa Submontana","-475.934","-240.322","-475,934","-240,322","112","112","Liana coletada a 6m de altura. Fruto seco marrom.","ESA079643","ESA079643",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:03:01-03","ESALQ","ESA","84558","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Araki, D.F.","Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","89.0","2003","04","19","Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales. Trilha saindo 500m antes da sede do Núcleo Barra Grande em direção à E.E. Xiutê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e com exploração de palmito.","-48.21","-24.28","-48.21","-24.28","788","788","frutos maduros castanhos","ESA084558","ESA084558",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:03:01-03","ESALQ","ESA","101851","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans",NA,NA,"Destefani, A.C.C.","97.0","2005","03","24","Brasil","São Paulo","Barra do Turvo",NA,"-48.5046997070312","-24.7563991546631",NA,NA,NA,NA,NA,"ESA101851","ESA101851",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"38172","auto",NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:03:01-03","ESALQ","ESA","4505","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaques, E.L.","Catharino, E.L.M. ; Jaramillo, C.B.J.","478.0","1985","10","18","Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"ESA004505","ESA004505",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:03:01-03","ESALQ","ESA","20926","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaques, E.L.","Wongtschowski, M. et al.","2.0","1994","09","05","Brasil","São Paulo","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA020926","ESA020926",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:03:01-03","ESALQ","ESA","28714","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans",NA,NA,"Ivanauskas, N.M.","494.0","1995","10","19","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA028714",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:03:01-03","ESALQ","ESA","28715","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Ivanauskas, N.M.","Ivanauskas, N.M.","357.0","1995","09","13","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA028715","ESA028715",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:03:01-03","ESALQ","ESA","28717","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Ivanauskas, N.M.","Ivanauskas, N.M.","584.0","1995","11","22","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA028717","ESA028717",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:03:01-03","ESALQ","ESA","101364","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans",NA,"Breier, T.B.","Breier, T.B.","699.0","2002","09","28","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA101364","ESA101364",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:03:01-03","ESALQ","ESA","24306","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaques, E.L.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; Campos, L.M.; Dias, A.S.; Pereira, V.; Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9108.0","1995","09","04","Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha para o mirante mais alto. Mata Atlântica com transição para campo de altitude.","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Escandente; botões vermelhos. Mata.","ESA024306","ESA024306",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:03:01-03","ESALQ","ESA","22243","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaques, E.L.","Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","511.0","1995","02","15","Brasil","São Paulo","Mamparra","Reserva Floresta Carlos Botelho, a 2 Km da sedinha, beira de estrada.",NA,NA,NA,NA,NA,NA,NA,"ESA022243","ESA022243",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:03:01-03","ESALQ","ESA","79810","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Melo, M.","Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","67.0","2002","04","21","Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras. Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139, Km69). Floresta Ombrófila Densa Montana ao longo e no entorno do Rio Bonito. Borda de floresta.","-475.939","-24.083","-475,939","-24,083",NA,NA,"Epífita a 2,0 m de altura no hospedeiro. Frutos castanhos.","ESA079810","ESA079810","2002","04","30","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:03:01-03","ESALQ","ESA","23549","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Jaques, E.L.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; Campos, L.M.; Dias, A.S.; Pereira, V.; Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","8955.0","1995","09","02","Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo, Trilha para o Mirante dos Angicos. Área de rochas calcáreas. Mata Atlântica com transição para campo de altitude.","-482.432","-243.006","-482,432","-243,006",NA,NA,"Escandente sobre afloramento rochoso. Botôes vermelhos. Mata.","ESA023549","ESA023549",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
