"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG5479","S","Plantae",NA,NA,"Arecaceae","Astrocaryum","astrocarium aculeatissimum","Astrocaryum astrocarium aculeatissimum",NA,"M.F. Vasconcelos","19-116",NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Dores de Guanhães","-42.866667","-19.066667",NA,NA,NA,NA,NA,"452","452","42°52'W","19°04'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:44:41-03","EAO","IAN","18562","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Astrocaryum","ayri","Astrocaryum ayri",NA,"Glaziou, AFM","8067",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN018562","IAN018562_f","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:26:25-03","PUCPR","HUCP","17768","S","Plantae","Monocotiledonea",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Bonaldi, R","Bonaldi, R","191","2007","04","14",NA,"Brasil","Paraná","Paranaguá","Tinguçu","-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00004762","HUCP00004762_1 HUCP00004762_2","(Schott) Burret.",NA,NA,NA,NA,"2007","05","16","24916","auto",NA,NA,NA,NA,NA
"14","2019-10-09 11:09:23-03","UFBA","ALCB","70939","PreservedSpecimen","Plantae","Dicotyledon",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Guedes, ML","Alves, L. de J.","113","2005","10","10","Southern America","Brasil","Bahia","Porto Seguro","Extremo Sul","-39.0647010803223","-16.4496994018555",NA,"de ca 8m. , muito espinhoso. Folhas com pinas distribuídas regularmente. Inflorescência fechada na espata. Botões amarelados.",NA,NA,"(Schott) Burret",NA,NA,NA,NA,"2006","03",NA,"68835","auto",NA,NA,NA,NA,NA
"15","2020-02-08 08:44:26-03","NBC","NL-BOTANY","L.1410302","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"Hatschbach GG",NA,"1962","12","26","Southern America","Brazil",NA,NA,"Parana (Brasil), Serra da Patra.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1410302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1410302","NL-L1410302","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 08:44:31-03","NBC","NL-BOTANY","L.1405157","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Astrocaryum","ayri","Astrocaryum ayri",NA,"Poeppig EF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1405157 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1405157","NL-L1405157","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-11-04 11:00:30-03","ESALQ","ESA","131164","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36367.0","2013","02","25",NA,"Brasil","São Paulo","Queluz","Fragmento 42 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.5289","-44.8127",NA,"Palmeira","ESA131164","ESA131164","(Schott) Burret","575","575","-22.5289","-44.8127","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:00:30-03","ESALQ","ESA","24163","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Almeida-Costa, D.G.","Barreto, K.D. et al.","868.0","1993","07","12",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,"ESA024163","ESA024163_1 ESA024163_2 ESA024163_3","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA
"19","2020-11-04 10:54:42-03","ESALQ","ESA","139086","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"Colletta, G.D","2604.0","2016","03","29",NA,"Brasil","SP","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,"Estipe ca. 5M, estéril","ESA139086",NA,"(Schott) Burret.",NA,NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA
"20","2020-11-04 11:00:30-03","ESALQ","ESA","128056","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Souza, V.C.","Bettinardi, M.L.","10.0","2013","04","01",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Alecrim trilha da Chaminé","-47.51019","-24.10004",NA,"Árvore. Folha com 4,5m. Espinhos no tronco, na raque e no cacho do fruto","ESA128056","ESA128056_1 ESA128056_2",NA,"299","299","-47.51019","-24.10004","2013","04","23",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 10:54:42-03","ESALQ","ESA","141095","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Rodrigues, R.R.","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.","25.0","2017","04","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador; Base de Fuzileiros Navais; Trilha da Base; Floresta Ombrófila Densa","-43.163297","-22.781485",NA,"Liana; frutos castanho claro","ESA141095",NA,"(Schott) Burret",NA,NA,"-43.163297","-22.781485","2017","04","26",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:00:30-03","ESALQ","ESA","50299","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Rodrigues, R.R.","Oriani, A. et al.","708.0","2005","03","31",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA050299","ESA050299_1 ESA050299_2",NA,NA,NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA
"23","2020-11-04 11:00:30-03","ESALQ","ESA","49697","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Gondim Jr., M.G.C.","Gondim Jr., M.G.C.","22.0","1998","04","18",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,"ESA049697","ESA049697_1 ESA049697_2 ESA049697_3 ESA049697_4","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA
"24","2020-11-04 11:00:30-03","ESALQ","ESA","29173","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"Ivanauskas, N.M.","768.0","1996","04","25",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,"ESA029173",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA
"25","2015-07-02 14:55:40-03","JBP","HPL","11962","S","Plantae",NA,NA,"Palmae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","H. Lorenzi","H. Lorenzi","6830","2010","02","08",NA,"Brasil","MG","Teófilo Ottoni","BR 101 para Padre Paraíso, ca. 10 km da cidade de Teófilo Ottoni, em terreno seco de encosta em antiga mata semidecídua.","-41.5053","-17.8575",NA,NA,NA,NA,NA,"600","600","4130#?#00,3 W","1746#?#02,5 S","2010","02","08","62594","auto",NA,NA,NA,NA,NA
"26","2015-07-02 14:42:46-03","JBP","HPL","11953","S","Plantae",NA,NA,"Palmae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","H. Lorenzi","H. Lorenzi, K. Soares, T.B. Flores","6830","2010","02","08",NA,"Brasil","MG","Teófilo Ottoni","Na BR 101 para Padre Paraíso, a cerca de 10 km da cidade de Teófilo Ottoni, em terreno seco de encosta, em antiga mata semidecídua.",NA,"-17.767361",NA,NA,NA,NA,NA,"600","600","41° 30#?#00,3 W","17° 46' 02,5 S","2010","02","04",NA,NA,NA,NA,NA,NA,NA
"27","2015-07-02 14:00:35-03","JBP","HPL","7270","S","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","H. Lorenzi","H. Lorenzi","5013","2004","10","19",NA,"Brasil","PR","Antonina","Coletado nas proximidades do município de Antonina.","-48.7119","-25.4286",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004","10","19","38300","auto",NA,NA,NA,NA,NA
"28","2019-08-27 13:26:42-03","IAP","PACA-AGP","65572","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","R. Reitz","Reitz, R.","5731",NA,NA,NA,NA,"Brasil","SC","São Francisco do Sul","Morro da Brejaúba","-48.6380996704102","-26.2432994842529",NA,"Habitat: Mata","PACA065572",NA,"(Schott) Burr.","50","50",NA,NA,"1959",NA,NA,"23627","auto","Liliopsida",NA,NA,NA,NA
"29","2021-03-24 17:08:38-03","UFES","SAMES","8979","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"Louzada, I.O.; Ribeiro, M.; Scheidegger, A.F.A.; Menezes, L.F.T.","2","2019","05","29",NA,"Brasil","Espírito Santo","Conceição da Barra",NA,"-39.7322006225586","-18.5932998657227",NA,"Palmeira de 4 m alt., 11 cm de diâmetro e toda armada. Tronco e folhas com muitos espinhos. Frutos marrons com cachos grandes, formato ovóide.","SAMES08979",NA,"(Schott) Burret",NA,NA,"-398638889.0","-183908333.0",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA
"30","2021-03-24 17:08:38-03","UFES","SAMES","554","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Ribeiro,M.","Ribeiro,M.; Rocha,T.L.;Silva,W.B.","503","2011","04","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 3 a 4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Palmeira de seis metros, frutos marrons, raqui da infrutescência espinhosa. Frutos na carpoteca. Habitat: Floresta Alta de Tabuleiro, km 3 a 4 da estrada interna.","SAMES00554",NA,"(Schott) Burret",NA,NA,"-398050000.0","-182625000.0","2011","04","30","41644","auto",NA,NA,NA,NA,NA
"31","2021-03-24 17:08:38-03","UFES","SAMES","540","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Ribeiro, M.","Menezes,L.F.T.","2001","2012","05","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta de Tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Planta de 8m de altura com flores.","SAMES00540",NA,"(Schott) Burret",NA,NA,"-398050000.0","-182625000.0","2019","07","11","41644","auto",NA,NA,NA,NA,NA
"32","2021-03-24 17:08:38-03","UFES","SAMES","552","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Costa,M.B.","Costa,M.B.; Fanticelle,B.S.","17","2012","10","31",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta de tabuleiro afetada por fogo, área em regeneração.","-39.7322006225586","-18.5932998657227",NA,"Palmeira com 8m de altura, fruto na carpoteca.","SAMES00552",NA,"(Schott) Burret",NA,NA,"-398050000.0","-182625000.0","2012","10","31","41644","auto",NA,NA,NA,NA,NA
"33","2021-03-24 17:08:38-03","UFES","SAMES","543","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Ribeiro,M.","Lobão,A.Q.; Figueiredo,D.D.;Giaretta,A.O.;Menezes,L.F.T.","1488","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Na estrada, floresta alta de tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Erva, ca. 4m alt., folhas com ca. 70 folíolos e 6m compr., flores alvas.","SAMES00543",NA,"(Schott) Burret",NA,NA,"-398050000.0","-182625000.0",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA
"34","2021-03-24 17:08:38-03","UFES","SAMES","8594","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"Smarzaro,R.; Conceição,D.D;Nascimento,M.M.","83","2019","01","13",NA,"Brasil","Espírito Santo","Jaguaré","Área Palmitinho.","-40.076099395752","-18.9055995941162",NA,"Folhas com presença de espinhos. Caule com anéis que alternam-se quanto a presença de espinhos.Inflorescência em formato de cachos. Frutos na carpoteca. Habito: Árboreo","SAMES08594",NA,"(Schott) Burret",NA,NA,"-399033333.0","-189519444.0",NA,NA,NA,"43085","auto",NA,NA,NA,NA,NA
"35","2021-03-24 17:08:38-03","UFES","SAMES","553","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Ribeiro,M.","Ribeiro,M.; Menezes,L.F.T.;Broggio,I.S.","183","2010","06","01",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada, periferia de Mata alta de Floresta Atlântica de Tabuleiro.","-40.2132987976074","-18.3703002929688",NA,"Árvore de cinco metros de altura. folha: 5,30 m, com cerca de 69 folíolos em um dos lados, pecíolo 1,27 m; tendo diminutos espinhos na face abaxial dos folíolos. Frutos na carpoteca. Habitat: Estrada, periferia de Mata alta de Florest","SAMES00553",NA,"(Schott) Burret",NA,NA,NA,NA,"2010","08","25","28525","auto",NA,NA,NA,NA,NA
"36","2020-07-02 18:51:26-03","UFJF","CESJ","33360","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","M.O.D. Pivari","L.F.A. Fazza; R.M. Castro; R.C. Forzza; V.R. Almeida; L.S. Fernandes; M.C.M. Garcia","1","2001","05","27","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Planta com ca. 10m de alt., folhas de 2,5 a 5 m, discolores, com face abaxial cinérea, 52 folíolos, bainha fortemente aculeada; inflorescência axilar; flores masculinas passadas; frutos castanhos; interior de mata, próximo ao curso d'água. Exsicata somen","CESJ033360","CESJ033360 CESJ033360_1 CESJ033360_2","(Schott) Burret",NA,NA,NA,NA,"2002","07",NA,"11991","auto",NA,NA,NA,NA,NA
"37","2019-11-21 14:31:02-03","UFJF","CESJ","13132","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","H.Q.B.Fernandes","L. Krieger; L.T. Souza; M.C. Brügger; P. Xú; Marília","CESJ13132","1973","10","25","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Rio do Peixe","-43.3502998352051","-21.7642002105713",NA,"8 10m, na mata primária. Caule com espinhos pretos, longos, caducos na parte inferior do caule. Folhas esbranquiçadas na face dorsal, frutos acastanhados.","CESJ013132","CESJ013132","(Schott) Burret",NA,NA,NA,NA,"1990","05","10","36144","auto",NA,NA,NA,NA,NA
"38","2019-11-21 14:31:02-03","UFJF","CESJ","7271","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","L.R.Noblick","L. Krieger","CESJ7271","1969","10","04","América do Sul","Brasil","Paraná","Vila Vellha",NA,NA,NA,NA,"No campo, folhas delicadas. Acaule.","CESJ007271","CESJ007271","(Schott) Burret",NA,NA,NA,NA,"1992","04","02",NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:31:02-03","UFJF","CESJ","38588","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","M.O.D. Pivari","M.O.D. Pivari; F.A.A. Côrtes","128","2002","06","28","América do Sul","Brasil","Minas Gerais","Caratinga","APA Lagoa Silvana","-42.1391983032227","-19.7896995544434",NA,"Frutos castanhos cobertos por espinhos negros; endosperma líquido transparentes. Material exclusivo da carpoteca.","CESJ038588","CESJ038588 CESJ038588_1 CESJ038588_2 CESJ038588_3","(Schott) Burret",NA,NA,NA,NA,"2002","06","28","49886","auto",NA,NA,NA,NA,NA
"40","2020-07-02 18:51:26-03","UFJF","CESJ","37100","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","M.O.D. Pivari","R.C. Forzza; V.R. Almeida; B.K.S. Franco","2093","2002","03","23","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama, .","-42.9674987792969","-21.4596996307373",NA,"Erva arborescentes, ca. 6m alt., estipe densamente aculeada; acúleos em anéis regulares. Folhas com pecíolo de 30 cm compr., limbo ca. 4,5m compr., folíolos discolores glaucos na face abaxial. Inflorescência ca. 50 cm compr., flores passadas. Espata cast","CESJ037100","CESJ037100 CESJ037100_1","(Schott) Burret",NA,NA,NA,NA,"2002","07",NA,"11991","auto",NA,NA,NA,NA,NA
"41","2019-11-21 14:31:02-03","UFJF","CESJ","26009","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","L.R. Noblick","L. Krieger; B.B.S. Coelho","CESJ26009","1987","03","02","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Museu Mariano Procópio","-43.3502998352051","-21.7642002105713",NA,"Material separado do registro CESJ 22856","CESJ026009",NA,"(Schott) Burret",NA,NA,NA,NA,"1992","04","03","36144","auto",NA,NA,NA,NA,NA
"42","2019-08-20 09:59:05-03","UNICAMP","UEC","115690","S","Plantae","Liliopsida",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Tamashiro, JY","Hanazaki, N; Peroni, N; Mendonça, AP","237","2000","02","15",NA,"Brazil","São Paulo","Cananéia","Agrossolar, Floresta Ombrófila Densa das Terras Baixas.","-47.912222","-24.964444",NA,"Palmeira. Nativa. Uso: alimento.","UEC001310","UEC001310","(Schott) Burret",NA,NA,"-47.912222","-24.964444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 09:59:05-03","UNICAMP","UEC","133946","S","Plantae","Liliopsida",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Urbanetz, C","Urbanetz, C; Mariuza; Domingos; Lelo","79","2003","07","25",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-47.916667","-24.883333",NA,"Palmeira de 3 m de altura, frutos comestíveis.","UEC001312","UEC001312","(Schott) Burret","100","100","-47.916667","-24.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-08-20 09:59:05-03","UNICAMP","UEC","134969","S","Plantae","Liliopsida",NA,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","Urbanetz, C","Urbanetz, C; Mariuza; Domingos; Lelo","79","2003","07","25",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-47.916667","-24.883333",NA,"Palmeira de 3 m de altura, frutos comestíveis.","UEC071104","UEC071104","(Schott) Burret","100","100","-47.916667","-24.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
