"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","previousCatalogNumber","typeStatus","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00402842","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"E. P. dos Santos","557","1998","09","11","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87",NA,NA,"1210","1210","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402842","NY00402842_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","402844","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"F. C. Hoehne","28171","1931","09","09","Brazil","São Paulo","Sao Paulo","Jardim Botanico, S. Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"Planta viva, n°63 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402844","NY00402844_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","886419","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","S. O. Grose","R. Reitz","4134","1959","10","23","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.0658","-26.9194",NA,NA,"300","300","Flor da mesma árvore sob Reitz & Klein 9130. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886419","NY00886419_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","948717","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"J. B. E. Pohl","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948717","NY00948717_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","402846","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"R. Reitz","3676","1956","09","21","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"100","100","Vouchers for wood samples deposited at Syracuse Universities <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402846","NY00402846_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","402843","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"J. N. Rose","20215","1915","07","12","Brazil","Rio de Janeiro","Rio de Janeiro","Near Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402843","NY00402843_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","402841","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"A. Euponino","140","1972","01","05","Brazil","Bahia","Santa Cruz Cabrália","Estaçao Ecológica do Pau-brasil.","-39.1815805","-16.3721094",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402841","NY00402841_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","402845","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"R. Reitz","3541","1948","09","26","Brazil","Santa Catarina","Brusque","Brusque","-48.9172","-27.0983",NA,NA,"35","35","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402845","NY00402845_01 NY00402845_02",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","402838","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"A. Peixoto","3413","1985","02","04","Brazil","Espírito Santo","Santa Teresa","Estrada de Sta. Tereza a Nova Lombardia, sitio do Sr. Alcebiades.","-40.6003","-19.9358",NA,NA,"700","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402838","NY00402838_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","886418","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","S. O. Grose","W. Boone","1143","1987","08","07","Brazil","Espírito Santo","Santa Teresa","Pátio do MBML.","-40.6003","-19.9358",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886418","NY00886418_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","948716","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"Y. E. J. Mexia","5196","1930","10","21","Brazil","Minas Gerais","Viçosa","Viçosa. Road to São Miguel, near km. 4","-42.8817","-20.7542",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948716","NY00948716_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","402847","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"R. Reitz","7105","1958","09","12","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul.","-49.563988","-27.247405",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402847","NY00402847_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","948715","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"Y. E. J. Mexia","5226","1930","10","28","Brazil","Minas Gerais","Viçosa","Viçosa. Road from São Geraldo to Chacha; Fazenda São Geraldo","-42.8817","-20.7542",NA,NA,"720","720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948715","NY00948715_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02694674","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","L.A. Gomes","L.A. Gomes","969","2012","12","07","Brazil","Sergipe","Siriri","Mata do Cipó. Borda próxima ao canavial.","-37.100417","-10.507944",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2977034' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694674",NA,NA,NA,NA,"Magnoliophyta","Lamiales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00907708","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","S. O. Grose","A. H. Gentry","49637","1985","01","17","Brazil","Minas Gerais",NA,"14 km S of Ypanema, road to Manhuaçu","-41.75","-19.67",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907708","NY00907708_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","402849","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"L. Riedel",NA,"1831",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Rio Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402849","NY00402849_01 NY00402849_02",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","402839","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"A. Peixoto","3059","1985","01","31","Brazil","Espírito Santo","Linhares","Linhares, Reserva Florestal da CVRD. Estrada 243.","-40.0719","-19.3911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402839","NY00402839_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","402850","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"H. Q. B. Fernandes","2607","1988","10","06","Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estaçao Biológica de Santa Lúcia. Leito sobre sumidouro do Rio Timbuí. Abaixo da cachoeira.","-40.6003","-19.9358",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402850","NY00402850_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","402865","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","pedicellatus","Handroanthus pedicellatus","(Bureau & K.Schum.) Mattos",NA,"R. M. Harley","25758","1988","10","29","Brazil","Bahia",NA,"Livramento do Brumado. 6 km ao N da cidade na estrada para Rio de Contas.","-41.83","-13.63",NA,NA,"650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402865","NY00402865_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","402866","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","pedicellatus","Handroanthus pedicellatus","(Bureau & K.Schum.) Mattos",NA,"G. G. Hatschbach","48146","1984","09","13","Brazil","Minas Gerais","Itaobim","Corrego 3 Irmaos","-41.5031","-16.5619",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402866","NY00402866_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-30 11:35:00-03","NY","NYBG","01805749","PreservedSpecimen","Plantae","Bignoniaceae","Tabebuia","chrysotricha","Tabebuia chrysotricha",NA,"L.A. Gomes","L.A. Gomes","325","2012","02","24","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4208","-11.3933",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2119398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805749","NY01805749_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-17 12:38:53-03","MCN-PUC-MINAS","HPUC-MG","SEM337","S","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-01-28 13:11:06-03","MCN-PUC-MINAS","HPUC-MG","CARP431","S","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","PUC Minas","-43.992222","-19.923611","43°59'32''W","19°55'25''S","934","934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 11:07:38-03","UNESP-IBB","BOTU","31097","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos",NA,"Tozin, L.R.S.","5","2014","11","26","Brasil","São Paulo","Pardinho","Fazenda Águas de Janeiro","-48.345","-23.051111","48°20'42w","23°03'04s",NA,NA,NA,"BOTU031097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 11:07:38-03","UNESP-IBB","BOTU","22664","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos",NA,"Amaral Jr., A.","594","1999","04","13","Brasil","Mato Grosso do Sul","Bataguassu",NA,"-52.277694","-21.643833","52°16'39.7w","21°38'37.8s",NA,NA,"Árvore 4m, estéril.","BOTU022664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-08 11:07:38-03","UNESP-IBB","BOTU","22691","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos",NA,"Amaral Jr., A.","621","1999","04","13","Brasil","Mato Grosso do Sul","Bataguassu",NA,"-52.277694","-21.643833","52°16'39.7w","21°38'37.8s",NA,NA,"Árvore 3m, estéril.","BOTU022691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","12505","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Vigna, E.A.G.D.","Gemtchújnicov, I.D.",NA,"1967","05","19","Brasil","São Paulo","Jumirim","Jumirim",NA,NA,"9999","9999",NA,NA,"não tem","BOTU012505",NA,"1988","01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","8970","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos",NA,"Yanagizawa, Y.",NA,"1979","07","25","Brasil","São Paulo","Botucatu","Margem da estrada de PiracicaBahia",NA,NA,"9999","9999",NA,NA,"Árvore de 4,5 m de altura com flores amarelas","BOTU008970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","12506","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Vigna, E.A.G.D.","Gemtchújnicov, I.D.",NA,"1967","06","25","Brasil","São Paulo","Rio Claro",NA,NA,NA,"9999","9999",NA,NA,"Ipê roxo","BOTU012506",NA,"1988","01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","17405","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Vigna, E.A.G.D.","Vigna, E.A.G.D.","80","1988","08",NA,"Brasil","Bahia","São Luis Pampulha",NA,NA,NA,"9999","9999",NA,NA,"Arbóreo de 2 - 3 m, folíolos caídos no chão","BOTU017405",NA,"1988","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-06-29 11:29:28-03","UFRJ","RFA","42465","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","R. Finotti","R. Finotti; J. Caruzo","266",NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal localizado na propriedade de Sr. Renato Cozzolino","-42.909444","-22.536944","42º54'34''W","22º32'13''S","50","50","Árvore com 8 m de altura PAP 25,2 cm.","RFA36837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-06-29 11:29:30-03","UFRJ","RFA","23438","PreservedSpecimen","Plantae","Bignoniaceae","Tabebuia","chrysotricha","Tabebuia chrysotricha","(Mart. ex A.DC.) Standl.","C.Rizzini/A.Azevedo","Luiz Chauvet","72","1991","10","04","Brasil","Rio de Janeiro","Maricá","Barra de Maricá. Grand. Lagoa-mar.","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"Flor amarela, arbusto 1 m.","RFA19108",NA,"1992","09","04",NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-06-29 11:29:30-03","UFRJ","RFA","22640","PreservedSpecimen","Plantae","Bignoniaceae","Tabebuia","chrysotricha","Tabebuia chrysotricha","(Mart. ex A.DC.) Standl.",NA,"Fernando Agarez","36","1988","12","06","Brasil","Rio de Janeiro","Maricá","Barra de Maricá. Restinga.","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"Arbusto de flores amarelas. Habitat: Restinga","RFA18618",NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
