"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","imagecode","stateProvince","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","sex"
"18","2020-11-04 11:02:27-03","ESALQ","ESA","106546","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Menini, L.","101.0",NA,"Brasil",NA,NA,NA,NA,"ESA106546","Magnoliophyta",NA,NA,"2004","02","ESA106546","Minas Gerais","04","-43.793098449707","-21.8425006866455",NA,NA,"Borges, R.A.X.","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
"19","2020-12-20 21:16:03-03","UFV","VIC","30865","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Silva, A.F. da","2441",NA,"Brasil","Parque Estadual Serra do Brigadeiro (PESB), Laje do ouro.",NA,NA,"Arbusto, c.a. de 1,5 metros de altura; capítulos amarelos.","VIC030865",NA,NA,"Sch. Bip.","2006","01","VIC030865","Minas Gerais","25","-42.42775","-20.65125",NA,NA,"Almeida, G.S.S.",NA,NA,NA,"2006","06","09","-42.42775","-20.65125",NA,NA,NA,NA
"20","2020-12-20 21:16:03-03","UFV","VIC","30866","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Silva, A.F. da","2463",NA,"Brasil","Parque Estadual Serra do Brigadeiro (PESB), Laje do ouro.",NA,NA,"Arbusto, c.a. de 1,5 metros de altura; capítulos amarelos.","VIC030866",NA,NA,"Sch. Bip.","2006","01","VIC030866","Minas Gerais","26","-42.42775","-20.65125",NA,NA,"Almeida, G.S.S.",NA,NA,NA,"2006","06","09","-42.42775","-20.65125",NA,NA,NA,NA
"21","2020-12-20 21:16:03-03","UFV","VIC","11716","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Carvalho, A.F.","124",NA,"Brasil","Ribeirão Grande - Comunidade Harekhrisna",NA,NA,"Arboreto, c.a. de 2,0 metros de altura; flores amarelas.","VIC011716",NA,NA,"Gardner","1992","09","VIC011716","São Paulo","03",NA,NA,NA,NA,"Almeida, G.S.S.","Pindamonhamgaba",NA,NA,"2007","03","19",NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:32:14-03","UFJF","CESJ","51312","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"N.F.O. Mota; P.L. Viana","176","América do Sul","Brasil","Pedra do Sino Hotel Fazenda, BR 040 Km 6: Trilha da Matinha. Lat.: 20º52'45,3S, Lon.: 43º49'15,7W. Alt.: 1000 - 1050 m m.",NA,NA,"Arbusto em borda de mata, 2m de altura. Capítulos amarelos.","CESJ051312","Angiosperma",NA,"Sch.Bip. ex Baker","2005","04",NA,"Minas Gerais","30","-43.8064002990723","-20.9535999298096",NA,NA,"N.F.O. Mota","Carandaí","23079","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:32:14-03","UFJF","CESJ","34095","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"R.M. Castro; M.A. Heluey","222","América do Sul","Brasil","Conceição do Ibitipoca - Parque Est. do Ibitipoca",NA,NA,"Arbusto com ca. 1,5 m de altura, no campo rupestre. Folhas discolores. Frutos paleáceos.","CESJ034095","Angiosperma",NA,"Sch.Bip. ex Baker","2001","03",NA,"Minas Gerais","25","-43.793098449707","-21.8425006866455",NA,NA,"L. Menini Neto","Lima Duarte","30417","auto","2008","09","08",NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:32:14-03","UFJF","CESJ","36047","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"D.S. Pifano; A.S.M. Valente","274","América do Sul","Brasil","Conceição do Ibitipoca estrada para Moreiras",NA,NA,"Arvoreta ca. 4,5 m na borda da mata em local de clareira. periclinio verde com flores amarelas. Aquenios marrons.","CESJ036047","Angiosperma",NA,"Sch.Bip. ex Baker","2002","01",NA,"Minas Gerais","12","-43.793098449707","-21.8425006866455",NA,NA,"J.N. Nakajima","Lima Duarte","30417","auto","2003","05",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:32:14-03","UFJF","CESJ","53390","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"J.H.C. Ribeiro; F.R.G. Salimena; L. Menini Neto; P.H. Nobre","93","América do Sul","Brasil","Serra Negra, Cânion do Funil.",NA,NA,"Arvoreta,4m, na borda de floresta de grota. Frutos secos.","CESJ053390","Angiosperma",NA,"Sch.Bip. ex Baker","2009","04",NA,"Minas Gerais","19","-43.8278007507324","-22.0891990661621",NA,NA,"C.N. Matozinhos","Rio Preto","20815","auto","2010","03",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:32:14-03","UFJF","CESJ","15003","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"J.A. Silva","s.n.","América do Sul","Brasil","Reserva Biológica Poço D'Anta",NA,NA,"Pequeno arbusto, flores amarelas, 40 a 60 cm, local descampado na mata.","CESJ015003","Angiosperma",NA,"Gardner","1977","03",NA,"Minas Gerais","02","-43.3502998352051","-21.7642002105713",NA,NA,"J.N. Nakajima","Juiz de Fora","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-30 18:32:05-03","UFJF","CESJ","54268","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"L. Menini Neto; R.C. Forzza; R.J.V. Alves; B.R. Silva; R.Dias-Melo; R.F.Monteiro","101","América do Sul","Brasil","Parque Estadual do Ibitipoca, atrás do prédio da Polícia Florestal.",NA,NA,"Arbusto ca. 2m alt., na transição da mata com campo. Folhas discolores, cálice verde, corola amarela.","CESJ054268","Angiosperma",NA,"Gardner","2004","02",NA,"Minas Gerais","04","-43.793098449707","-21.8425006866455",NA,NA,"R.A.X. Borges","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
"28","2020-06-30 18:32:00-03","UFJF","CESJ","29521","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"M.C.J. Novaes","87","América do Sul","Brasil","Parque Estadual do Ibitipoca",NA,NA,"Campo altimontano em cabeceira de drenagem, a 1680 m de alt. próx. ao Cruzeiro. Fruto redondo, preto, flores amarelo-ouro, muito pequenas e muito proximas.","CESJ029521","Angiosperma",NA,"Gardner","1996","02",NA,"Minas Gerais","18","-43.793098449707","-21.8425006866455",NA,NA,"G.L. Moreira","Lima Duarte","30417","auto","2017","12",NA,NA,NA,NA,NA,NA,NA
"29","2020-06-30 18:32:05-03","UFJF","CESJ","54266","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"B.R. Silva; R.C. Forzza; L. Menini Neto; R.J.V. Alves; R.F.Monteiro; R.Dias-Melo","1278","América do Sul","Brasil","Parque Estadual do Ibitipoca, Cruzeiro. 21º41'51S, 43º53'52W.Elev.: 1596m.",NA,NA,"Campo rupestre. Planta em solo arenoso, sol pleno, ca. 1,2m alt., caule ca. 1cm diâm., copa com 40cm diam., folhas verdes, inflorescências passadas amarelas.","CESJ054266","Angiosperma",NA,"Gardner","2004","02",NA,"Minas Gerais","05","-43.793098449707","-21.8425006866455",NA,NA,"R.A.X. Borges","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
"30","2020-06-30 18:32:05-03","UFJF","CESJ","54262","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"R.C. Forzza; L.C.S. Assis; J.G.Jardim; R.Lima; L. Menini Neto; E.Lucas; B.R. Silva; S.Edward","3066","América do Sul","Brasil","Parque Estadual do Ibitipoca, mata em frente à entrada do Parque. Elev.: 1200m",NA,NA,"Arvoreta 3m alt., brácteas verde-claras, capítulos amarelo acastanhados, ramos do estigma amarelos, 5 ex.","CESJ054262","Angiosperma",NA,"Gardner","2004","03",NA,"Minas Gerais","09","-43.793098449707","-21.8425006866455",NA,NA,"R.A.X. Borges","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
"31","2019-11-21 14:32:14-03","UFJF","CESJ","52245","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"A.M. Teles; B.Nordestan; P.L. Viana; N.F.O. Mota; Antunes","402","América do Sul","Brasil","Serra Negra, Crista da Serra. Lat.:21º57'50,9 S, Long.:43º52'45,7 W, Alt.: m.",NA,NA,"Arbusto ereto com cerca de 1,7 metros. Capítulos com flores amarelas. Campo rupestre com afloramento quartzítico.","CESJ052245","Angiosperma",NA,"Gardner","2007","04",NA,"Minas Gerais","10","-43.8278007507324","-22.0891990661621",NA,NA,"G.L. Moreira","Rio Preto","20815","auto","2017","11",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 14:32:14-03","UFJF","CESJ","49100","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"F.R.G. Salimena; P.H. Nobre","2417","América do Sul","Brasil","Serra Negra, Fazenda Cachoeira Alta. 21º57'57,1S, 43º50'29,2W, 1089 m.s.m.",NA,NA,"Arbusto, ca. 0,7m alt., capítulos amarelos, frequente no campo rupestre.","CESJ049100","Angiosperma",NA,"Gardner","2007","02",NA,"Minas Gerais","15","-43.8278007507324","-22.0891990661621",NA,NA,"G.L. Moreira","Rio Preto","20815","auto","2017","12",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 14:32:14-03","UFJF","CESJ","46686","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"V. Belchior; T. Mota; C.N. Matozinhos; T.U.P. Konno; L. Menini Neto; P.L. Viana; N.L. Abreu","16","América do Sul","Brasil","Serra Negra, Trilha para o Ninho da égua",NA,NA,"Arbusto 1,5m; capítulos amarelos.","CESJ046686","Angiosperma",NA,"Gardner","2006","01",NA,"Minas Gerais","20","-43.8278007507324","-22.0891990661621",NA,NA,"G.L. Moreira","Rio Preto","20815","auto","2017","12",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:32:14-03","UFJF","CESJ","48553","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"C.N. Matozinhos; L. Menini Neto; N.L. Abreu; T.Trindade; E.A. Feliciano; P.L. Viana","318","América do Sul","Brasil","Serra Negra, Trilha para o Ninho da Ègua",NA,NA,"Erva em campo rupestre. Capítulos amarelos.","CESJ048553","Angiosperma",NA,"Gardner","2007","01",NA,"Minas Gerais","27","-43.8278007507324","-22.0891990661621",NA,NA,"G.L. Moreira","Rio Preto","20815","auto","2011","11",NA,NA,NA,NA,NA,NA,NA
"35","2021-04-07 11:41:37-03","UFMS","CGMS","33144","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"L.C.S. Magalhães; A.P.T. Pereira; D.S. Matos; N.C.A. Guimarães; G.A. Damasceno-Junior","494",NA,"Brasil","Fazenda Rio Bonito.",NA,NA,NA,"CGMS1062535",NA,NA,"Gardner","2011","07",NA,"Mato Grosso do Sul","02","-56.5166667","-20.9027778",NA,NA,"B. Loeuille","Bonito",NA,NA,NA,NA,NA,"-56,5166667","-20,9027778",NA,NA,NA,NA
"36","2021-03-01 16:25:32-03","UNICAMP","UEC","2603","S","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Irwin, HS; Anderson, WR; Stieber, M; Lee, EYT","34208",NA,"Brazil","Serra do Pireneus, ca. 21km E. of Pirenópolis.",NA,NA,"Herb. to ca. 1.25m tall. Rays yellow; disc yellow-brown.; Sedge meadow (brejo), at margin of gallery.","UEC129744","Magnoliopsida",NA,"Sch.Bip. ex Baker","1972","01","UEC129744","Goiás","15","-48.9592018127441","-15.852499961853","1000","1000","Sanches, MC","Pirenopolis","40887","auto","1992","05",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:25:32-03","UNICAMP","UEC","54874","S","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Marcondes-Ferreira, W; Semir, J; Martins, AB; Miotto, STS; Queiroz, EP; Martins, EF","231",NA,"Brazil","Colégio do Caraça. Caminho da cascatona.",NA,NA,"Arbusto de 3m; capítulos amarelos com brácteas involucráis atro-purpúreos.; Em mata baixa.","UEC129783","Magnoliopsida",NA,"Sch.Bip. ex Baker","1990","03","UEC129783","Minas Gerais","14","-43.4152984619141","-19.959400177002",NA,NA,"Bueno, VR","Santa Bárbara","33136","auto","2017","01",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:25:32-03","UNICAMP","UEC","2606","S","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Leitão Filho, HF; Shepherd, GJ; Stubblebine, WH; et al.","9733",NA,"Brazil","Serra do Caraça.",NA,NA,"Arbusto até 1,5m; flores amarelas. F.F.O.R.P.; Nativo em matas e campos rupestres.","UEC129751","Magnoliopsida",NA,"Sch.Bip. ex Baker","1978","12","UEC129751","Minas Gerais","14","-43.4152984619141","-19.959400177002",NA,NA,"Bueno, VR","Santa Bárbara","33136","auto","2017","01",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:25:32-03","UNICAMP","UEC","176880","S","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Pickel, DBJ","SPSF3189",NA,"Brazil",NA,NA,NA,"Beira da mata.","UEC129745","Magnoliopsida",NA,"Sch.Bip. ex Baker","1948","02","UEC129745","São Paulo","12","-45.5900001525879","-22.7299995422363",NA,NA,"Smith, LB","Campos do Jordão","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:25:32-03","UNICAMP","UEC","2604","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5760",NA,"Brazil","Perto de Caparáo.",NA,NA,"Subarbusto de 1,5m. Capítulos amarelos.; Em mata e beira de mata.","UEC129752","Magnoliopsida",NA,"Gardner","1977","09","UEC129752","Minas Gerais","06",NA,NA,"1500","1600","Proença, C","Pico da Bandeira",NA,NA,"1980","01","10",NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:25:32-03","UNICAMP","UEC","2608","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Irwin, HS; Harley, RM; Onishi, E","30216",NA,"Brazil","Near summit of Serra da Piedade, ca. 35Km E. of Belo Horizonte, near BR-31.",NA,NA,"Shrub to ca. 1,25m tall. Heads yellow.; Exposed slopes. Steep iron-rich rocky slopes.","UEC129747","Magnoliopsida",NA,"Gardner","1971","01","UEC129747","Goiás","13",NA,NA,"1800","2000",NA,"Belo Horizonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:25:32-03","UNICAMP","UEC","46680","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Brown Jr, KS","18922",NA,"Venezuela","Táchira, RIo Frio ao Sul de San Cristóbal.",NA,NA,"Arbusto até 7m com lenha fraca, galho jovem alado. Flores brancas, florescimento principal em janeiro, comum em locais pertubados nos Andes. Hospedeira de Altinote stratonice e Abananote bylonome.; 500m de floresta tropical/nublada.","UEC129746","Magnoliopsida",NA,"Gardner","1987","02","UEC129746",NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 10:06:54-03","UNICAMP","UEC","49429","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Pereira, OJ","360",NA,"Brazil","Estrada Domingos Martins.",NA,NA,NA,"UEC129749","Magnoliopsida",NA,"Gardner","1984","07","UEC129749","Espírito Santo","10","-40.6591987609863","-20.3633003234863",NA,NA,NA,"Domingos Martins","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:25:32-03","UNICAMP","UEC","2607","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Leitão Filho, HF; Shepherd, GJ; Kinoshita, LS","1823",NA,"Brazil","A 6Km. de Monte Verde.",NA,NA,"Arbusto ereto até 2m, flores amarelas.; Nativo em mata úmida.","UEC129748","Magnoliopsida",NA,"Gardner","1976","03","UEC129748","Minas Gerais","16","-46.1446990966797","-22.7553005218506",NA,NA,NA,"Camanducaia","22140","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-01 16:25:32-03","UNICAMP","UEC","29834","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Leitão Filho, HF; Shepherd, GJ; Kinoshita, LS","1823",NA,"Brazil","A 6Km. de Monte Verde.",NA,NA,"Arbusto ereto até 2m, flores amarelas.; Nativo em mata úmida.","UEC140799","Magnoliopsida",NA,"Gardner","1976","03","UEC140799","Minas Gerais","16","-46.1446990966797","-22.7553005218506",NA,NA,NA,"Camanducaia","22140","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-01 16:25:32-03","UNICAMP","UEC","2605","S","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Stella, M; Silvestre, F","40",NA,"Brazil","Parque Nacional de Itaiaia, Pico das Agulhas Negras.",NA,NA,"Sub-arbusto com flores amarelas.; Beira da Mata.","UEC129753","Magnoliopsida",NA,"Gardner","1977","05","UEC129753","Rio de Janeiro","01","-44.5633010864258","-22.4960994720459","2260","2260",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
