"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","class","individualCount"
"11","2021-03-19 17:59:23-03","UFMG","BHCB","195332","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Batista, JAN; Lustre, GMC","3559","2018","02","06","Southern America","Brasil","São Paulo","Parque Estadual de Campos do Jordão, Horto Florestal. Trilha do Rio Sapucaí",NA,NA,NA,"Erva terrestre. Ocasional; observado um conjunto grande de plantas, mas concentrado em um único ponto ao longo da trilha. Em plena floração. Flores verdes; pétalas e labelo verde claro.; Em floresta montana.","BHCB195332",NA,"2018","02","06","Campos do Jordão","-45.481667","-22.7","-45.481667","-22.7",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:44:43-03","UFMG","BHCB","151456","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Mota, RC da","3569","2007","04","04","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,NA,NA,"Erva terrestre. Planta coletada em mata nebular; Pico do Inficcionado; flores esverdeadas.",NA,NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"11966","auto",NA,NA,NA
"13","2020-12-11 11:44:43-03","UFMG","BHCB","92323","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Mota, RC da","2444","2004","05","25","Southern America","Brasil","Minas Gerais","Serra do Caraça, Pico do Inficcionado, RPPN do Caraça - SANTUÁRIO CARAÇA",NA,NA,NA,"Planta coletada em mata nebular no Pico do Inficcionado, terrestre; flores verdes.",NA,NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"11966","auto",NA,NA,NA
"14","2018-10-09 16:31:58-03","UFLA","ESAL","13942","S","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Lourenço, RA","211",NA,NA,NA,NA,"Brasil","Minas Gerais","Parque Ecologico Quedas do Rio Bonito",NA,NA,NA,"erva; 0,20; verde;",NA,NA,NA,NA,NA,"Lavras","-44.999444","-21.245278","-44.999444","-21.245278",NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2403405","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.",NA,"R. Reitz & R. M. Klein","8194","1959","1","13","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"16","2020-09-12 05:00:02-03","US","US","2838394","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.",NA,"H. S. Irwin, S. F. Fonsêca, R. Souza, R. G. P. Santos & J. F. Ramos","27101","1970","3","7","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"17","2020-09-02 16:35:17-03","Cenargen","CEN","101429","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","J. A. N. Batista","Rubens Custódio Mota","3569","2007","04","04",NA,"Brasil","MG","Serra do Caraça.",NA,NA,"Exsicatas","Planta coletada em mata nebular; Pico do Inficcionado. Doação Herbário do Departamento de Botânica - ICB - UFMG. Plantas do Brasil. BHCB 151456.","CEN00101429","CEN00101429","2007","07",NA,"CATAS ALTAS DA NORUEGA","-43.497501373291","-20.6900005340576",NA,NA,NA,NA,"11539","auto",NA,NA,"1"
"18","2019-12-09 17:30:35-03","UFPR","EFC","16576","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Engels, M. E.","Engels, M. E.","177","2010","02","25",NA,"Brasil","Paraná","Rio Verde",NA,NA,NA,"Terrestre, campo seco, folhas e flores verdes","EFC016576",NA,"2011","12",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"46557","auto",NA,NA,NA
"19","2021-03-25 13:53:06-03","UNIVILLE","JOI","16597","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Mancinelli, W. S.","Mancinelli, W.","1552","2016","01","07",NA,"Brasil","Santa Catarina","Castelo dos Bugres.","700","700",NA,"; HABITO: erva; TIPO VEGETACIONAL: Floresta montana","JOI016597",NA,"2016","01","07","Joinville","-48.8456001281738","-26.3043994903564",NA,NA,NA,NA,"37150","auto",NA,NA,NA
"20","2019-07-09 12:46:57-03","F","FMNH-SEEDPLANTS","V0433566F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola",NA,"RRC ID Flag","H. S. Irwin et al.","27101","1970","3","7","South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"V0433566F","V0433566F_01 V0433566F_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27101","Monocotyledoneae",NA
"21","2020-08-20 20:37:53-03","UFSC","FLOR","1042","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Pabst, G.","Reitz, R.","8149","1959","01","13",NA,"Brasil","Santa Catarina","Fazenda da Laranja, Bom Jardim.","1400","1400",NA,"flor verde","FLOR0001042",NA,"1960",NA,NA,"São Joaquim","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"48290","auto",NA,NA,NA
"22","2017-09-11 17:11:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","habitat in sylvis umbrosis Matta dos Alhos ad Serra de Caldas prov. Minas Geraes.",NA,NA,NA,NA,NA,"P03P4N0010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:13:27-03","IBt","SP","55336","S","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Batista, JAN","Pabst, G","346","1947","02","20",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"1998","09",NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"21048","auto",NA,NA,NA
