"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","barcode","typeStatus","continentOcean","imagecode","class","verbatimLongitude","verbatimLatitude"
"11","2021-04-07 17:00:40-03","MN","R","107286","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","05",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","08","II - 2610","20","20","R010005646",NA,NA,NA,NA,NA,NA
"12","2021-04-07 17:00:40-03","MN","R","104728","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","06",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","06","II - 2933","20","20","R010005642",NA,NA,NA,NA,NA,NA
"13","2021-04-07 17:00:40-03","MN","R","107282","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","05",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","08","II - 2668","20","20","R010005290",NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:25:53-03","MN","R","46407","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Fontoura, T.","1987","08",NA,NA,"Ule, E.H.G.","1895","07","20","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","06","4038",NA,NA,"R010005640",NA,NA,NA,NA,NA,NA
"15","2021-03-31 13:36:31-03","MN","R","110636","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","05",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","08","II - 2592","20","20","R010005645",NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:25:53-03","MN","R","226694","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Kessous, I.M.","2014","04",NA,NA,"Kessous, I.M. 90; Souza, B.P. & Couto, D.R.","2014","04","17","Brasil","Pernambuco","Jaqueira","RPPN Frei Caneca. Próximo ao alojamento.","-35.7933006286621","-8.72667026519775","11830","auto","17",NA,NA,NA,"R010005892",NA,NA,NA,NA,NA,NA
"17","2021-04-07 17:00:40-03","MN","R","107283","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos","-42.9655990600586","-22.4122009277344","38539","auto","08","II - 2596",NA,NA,"R010005292",NA,NA,NA,NA,NA,NA
"18","2021-04-07 17:00:40-03","MN","R","107287","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos","-42.9655990600586","-22.4122009277344","38539","auto","08","II - 2586",NA,NA,"R010005293",NA,NA,NA,NA,NA,NA
"19","2021-04-07 17:00:40-03","MN","R","107285","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos","-42.9655990600586","-22.4122009277344","38539","auto","08","II - 2616",NA,NA,"R010005291",NA,NA,NA,NA,NA,NA
"20","2016-02-02 14:37:51-02","BGBM","B","B 10 0243655","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","Mez",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243655 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","Schenck",NA,NA,NA,"Brazil",NA,NA,"Staat Rio de Janeiro, in der Restinga von Maná.",NA,NA,NA,NA,NA,"2090",NA,NA,"B100243655","holotype","Middle and South America","B100243655",NA,NA,NA
"21","2020-12-21 16:19:25-03","MBM","MBM","181562","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.","Leme, E.M.C.",NA,NA,NA,NA,"Hatschbach, G.","1995","06","16","Brazil","Espírito Santo","Domingos Martins","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto",NA,"62849",NA,NA,"MBM181562",NA,"Southern America","MBM181562",NA,NA,NA
"22","2009-06-25 21:30:00-03","MO","MOBOT","3013334","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","compactum","Nidularium compactum","Mez",NA,NA,NA,NA,NA,"Anonymous","1879",NA,NA,"Brazil",NA,NA,"Rio-Binot.",NA,NA,NA,NA,NA,"Anonymous s.n.",NA,NA,NA,NA,"South America",NA,NA,NA,NA
"23","2021-03-04 11:04:41-03","UFRB","HURB","13596","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez.) L.B.Sm.",NA,NA,NA,NA,"Intercâmbio. Banco de germoplasma da EMBRAPA Mandioca e Fruticultura. Bossa Nova.","Alves, R.M.O.","2010","08","01","Brasil","Bahia","Camaçari","Orquilandia Tropical;","-38.3241996765137","-12.6975002288818","37124","auto",NA,"BGB 122",NA,NA,"HURB000013596",NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:10:27-03","FZB-BH","BHZB","7847","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta",NA,NA,NA,NA,NA,"BRO2001 051. Folhas centrais menores com uma listra larga horizontal no centro da folha. Proveniente do Bioma Mata Atlântica, Rio de Janeiro.Cultivado","Ferreira Junior, C.A. et al.","2009","09","08","Brasil","MG","Belo Horizonte","FZB-BH - JB - Coleção de Bromélias.","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-09-04 18:44:40-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta",NA,NA,NA,NA,NA,NA,"J. Lhotsky","1831","9",NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"Monocotyledoneae",NA,NA
"26","2017-09-11 16:27:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Nidularium","compactum","Nidularium compactum","Mez",NA,NA,NA,NA,NA,"Schenck, JHR",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro, in sabulosis restingae prope Mauá","-43.21","-22.9",NA,NA,NA,"2090",NA,NA,NA,NA,"Southern America",NA,NA,"-43.21","-22.9"
"27","2017-09-11 16:27:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Nidularium","compactum","Nidularium compactum","Mez",NA,NA,NA,NA,"Floret et fructificat Januario.&nf;(V. s. in herb. Prag. et cl. Schenck.)","Lhotsky, J",NA,NA,NA,"Guyana",NA,NA,"nec non epiphyta in truncis arborum sylvestrium ad Troxal",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
