"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","infraspecificEpithet","individualCount","fieldNumber","sex"
"11","2021-04-05 14:33:50-03","UNESC","CRI","8325","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette",NA,NA,NA,"Sinara Colonetti","2007","01","16","Brasil","Santa Catarina","Siderópolis","Barragem Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002480","CRI002480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:50-03","UNESC","CRI","8146","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","A. L. de Gasper","2009","06","17","M. Verdi; R.P. Hascker & G. Klemz","2009","05","28","Brasil","Santa Catarina","Siderópolis","Reserva Estadual Biológica do Aguaí.","-49.580278","-28.550833","49º34'49''W","28º33'3''S","273","273","CRI005798","CRI005798","Floresta Ombrófila Densa","2255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:50-03","UNESC","CRI","3161","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","1993","02","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002486","CRI002486",NA,"1538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:50-03","UNESC","CRI","690","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002490","CRI002490",NA,"1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:50-03","UNESC","CRI","1529","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","R. Negrelle",NA,NA,NA,"R. Negrelle; et al.","1992","03","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI002482","CRI002482",NA,"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:39:17-03","E","E","326460","PreservedSpecimen","Plantae","Euphorbiaceae","Pera","ferruginea","Pera ferruginea",NA,NA,NA,NA,NA,"Saltzmann",NA,NA,NA,"BR","Bahia",NA,"Bahia, in collibus.",NA,NA,NA,NA,NA,NA,"E00326460",NA,"<a href=http://data.rbge.org.uk/herb/E00326460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"possible type","E. Tropical South America","herbarium specimen of unspecif","BGBASE:383234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:39:17-03","E","E","100017","PreservedSpecimen","Plantae","Euphorbiaceae","Pera","glabrata","Pera glabrata",NA,NA,NA,NA,NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","08","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00100017",NA,"<a href=http://data.rbge.org.uk/herb/E00100017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:109504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:39:17-03","E","E","104929","PreservedSpecimen","Plantae","Euphorbiaceae","Pera","glabrata","Pera glabrata",NA,NA,NA,NA,NA,"Gottsberger, I.S. & Gottsberger, G.K.","1975","03","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104929",NA,"<a href=http://data.rbge.org.uk/herb/E00104929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:39:17-03","E","E","295085","PreservedSpecimen","Plantae","Euphorbiaceae","Pera","glabrata","Pera glabrata",NA,NA,NA,NA,NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","1988","04","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00295085",NA,"<a href=http://data.rbge.org.uk/herb/E00295085 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","89",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:305505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-23 10:39:17-03","E","E","161400","PreservedSpecimen","Plantae","Euphorbiaceae","Pera","glabrata","Pera glabrata",NA,NA,NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.","1996","10","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00161400",NA,"<a href=http://data.rbge.org.uk/herb/E00161400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","528577","PreservedSpecimen","Plantae","Peraceae","Pera","arborea","Pera arborea","Mutis","L. C. M. Croizat",NA,NA,NA,"J. S. Beard","1943","04","29","Trinidad and Tobago",NA,NA,"Trinidad. North of Trinidad. Arena reserve",NA,NA,NA,NA,NA,NA,"NY00528577",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568929' target='other'> <mi>dwc_moreinfo</mi></a>","126",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1738054","PreservedSpecimen","Plantae","Peraceae","Pera","ferruginea","Pera ferruginea","(Schott) Müll.Arg.","L.A. Gomes",NA,NA,NA,"L.A. Gomes","2011","02","23","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4039","-11.3817",NA,NA,NA,NA,"NY01738054","NY01738054_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965067' target='other'> <mi>dwc_moreinfo</mi></a>","52",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","573264","PreservedSpecimen","Plantae","Peraceae","Pera","ferruginea","Pera ferruginea","(Schott) Müll.Arg.","D. C. Zappi",NA,NA,NA,"P. T. Sano","1994","03","04","Brazil","Bahia","Rio de Contas","Ca. 2 km da cidade, em direçao a Marcolino Moura","-41.8114","-13.5792",NA,NA,"1100","1200","NY00573264","NY00573264_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451642' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","528507","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","L. B. Smith",NA,NA,NA,"R. M. Klein","1955","01","07","Brazil","Santa Catarina","Itajaí","Mata da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"300","300","NY00528507","NY00528507_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131896' target='other'> <mi>dwc_moreinfo</mi></a>","1027",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","755108","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"D. C. Daly","1993","04","01","Brazil","Acre","Marechal Thaumaturgo","Rio Juruá, Reserva Extrativista do Alto Juruá, S of confluence with Rio Acuriá and N of São João do Breu, Colocação Tapaúna","-72.68","-9.08",NA,NA,"200","200","NY00755108","NY00755108_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275702' target='other'> <mi>dwc_moreinfo</mi></a>","7679",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","528496","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","M. J. Huft",NA,NA,NA,"S. A. Mori","1979","06","13","Brazil","Bahia","Maraú","BR-030, a 5 km ao S de Maraú","-39.0144","-14.1033",NA,NA,NA,NA,"NY00528496","NY00528496_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131906' target='other'> <mi>dwc_moreinfo</mi></a>","11999",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","528506","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","L. B. Smith",NA,NA,NA,"A. Gevieski","1953","11","23","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"100","100","NY00528506","NY00528506_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131895' target='other'> <mi>dwc_moreinfo</mi></a>","47",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","528477","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"R. P. Belém","1967","01","09","Brazil","Bahia","Itacaré","Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,"NY00528477","NY00528477_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131910' target='other'> <mi>dwc_moreinfo</mi></a>","3020",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","528521","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","M. Groppo, Jr.",NA,NA,NA,"M. Groppo, Jr.","2000","08","20","Brazil","São Paulo","Socorro","Bairro Jaboticabal, ao longo da estrada Socorro-Aguas de Lindóia","-46.52","-22.5903",NA,NA,NA,NA,"NY00528521","NY00528521_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131859' target='other'> <mi>dwc_moreinfo</mi></a>","439",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01460351","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"M. G. da Silva","1980","06","04","Brazil","Pará","Tucuruí","Estrada para Repartimento, Km 25. Capoeira de terra firme, solo arenoso.","-49.7136","-3.9564",NA,NA,NA,NA,"NY01460351","NY01460351_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702046' target='other'> <mi>dwc_moreinfo</mi></a>","5358",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","528500","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","M. Peña de Sousa",NA,NA,NA,"H. de F. Leitão Filho","1968","03","12","Brazil","São Paulo","Pariquera-Açu",NA,"-47.88","-24.71",NA,NA,NA,NA,"NY00528500","NY00528500_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131875' target='other'> <mi>dwc_moreinfo</mi></a>","319",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","778750","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","J. A. Kallunki",NA,NA,NA,"S. C. de Sant'Ana","2000","04","30","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una, Região de Mata HIgrófila Sul Baiana. Coletas efetuadas a ca. 10 km no ramal de accesso ao Ecoparque de Una.","-39.08","-15.15",NA,NA,NA,NA,"NY00778750","NY00778750_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797882' target='other'> <mi>dwc_moreinfo</mi></a>","814",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","528610","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"R. Reitz","1960","02","05","Brazil","Santa Catarina","Blumenau","Mata da Companhia Hering, Bom Retiro, Blumenau","-49.082834","-26.926032",NA,NA,"400","400","NY00528610","NY00528610_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275715' target='other'> <mi>dwc_moreinfo</mi></a>","9495",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1146223","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","G. Siqueira",NA,NA,NA,"P. J. M. Maas","2009","05","08","Brazil","Espírito Santo","Linhares","Reserva do Vale de Rio Doce, Estrada Aceiro Catela Joao Pedro.","-40.0526923","-19.0986603",NA,NA,"20","20","NY01146223","NY01146223_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335773' target='other'> <mi>dwc_moreinfo</mi></a>","9849",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","870676","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","I. Cordeiro",NA,NA,NA,"R. Santos","1963","09","07","Brazil","Minas Gerais",NA,"Entre Corinto e Três Marias.",NA,NA,NA,NA,NA,NA,"NY00870676","NY00870676_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193263' target='other'> <mi>dwc_moreinfo</mi></a>","24083",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","528487","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","G. Bromley",NA,NA,NA,"R. M. Harley","1977","02","02","Brazil","Bahia","Maraú","5 km. SE of Maraú near junction with the new road north to Ponta do Mutá","-39","-14.13",NA,NA,NA,"50","NY00528487","NY00528487_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131848' target='other'> <mi>dwc_moreinfo</mi></a>","18482",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","528518","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","A. Radcliffe-Smith",NA,NA,NA,"R. M. Harley","1974","03","24","Brazil","Bahia","Belmonte","24 km SW of Belmonte, on road to Itapebi","-39.05","-16",NA,NA,NA,NA,"NY00528518","NY00528518_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131852' target='other'> <mi>dwc_moreinfo</mi></a>","17337",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","528492","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","A. M. Amorim",NA,NA,NA,"A. M. Amorim","1994","03","30","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na picada paralela do Rio Maruim","-39.08","-15.15",NA,NA,NA,NA,"NY00528492","NY00528492_01","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131870' target='other'> <mi>dwc_moreinfo</mi></a>","1618",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01240772","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","J. A. Kallunki",NA,NA,NA,"A. M. Amorim","2006","09","10","Brazil","Bahia","Una","Reserva Biológica de Una. Entrada no km 46 da Rodovia BA-001, Ilhéus/Una. Entrada principal para a sede, trilha piedade","-39.08","-15.15",NA,NA,"100","150","NY01240772","NY01240772_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1416872' target='other'> <mi>dwc_moreinfo</mi></a>","6279",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","528525","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","S. A. Mori",NA,NA,NA,"S. A. Mori","1978","04","27","Brazil","Bahia","Maracás","Fazenda Juramento, a 6 km ao S de Maracás, pela antiga rodovia para Jequié","-40.4306","-13.4411",NA,NA,"1000","1000","NY00528525","NY00528525_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131877' target='other'> <mi>dwc_moreinfo</mi></a>","10024",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","528502","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","L. B. Smith",NA,NA,NA,"R. Reitz","1956","01","20","Brazil","Santa Catarina","Palhoça","Piloes, Palhoca","-48.694057","-27.77489",NA,NA,"400","400","NY00528502","NY00528502_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131899' target='other'> <mi>dwc_moreinfo</mi></a>","2543",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1018651","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"M. de F. Freitas","2003","11","04","Brazil","Rio de Janeiro","Sao Joao da Barra","Restinga de Grussaí/Iquipari.","-41.0508","-21.6406",NA,NA,NA,NA,"NY01018651","NY01018651_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261477' target='other'> <mi>dwc_moreinfo</mi></a>","336",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","528531","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","L. J. Gillespie",NA,NA,NA,"J. R. Pirani","1994","12","03","Brazil","Espírito Santo","Sao Mateus","Praia de Guriri","-39.8589","-18.7161",NA,NA,NA,NA,"NY00528531","NY00528531_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131890' target='other'> <mi>dwc_moreinfo</mi></a>","3312",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","528614","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA,NA,NA,"R. Reitz","1961","01","20","Brazil","Santa Catarina",NA,"Morro de Campo Alegre, Sao Francisco do Sul",NA,NA,NA,NA,"1300","1300","NY00528614","NY00528614_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275716' target='other'> <mi>dwc_moreinfo</mi></a>","10683",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","528504","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Poepp. ex Baill.","L. B. Smith",NA,NA,NA,"R. Reitz","1952","03","13","Brazil","Santa Catarina","Florianópolis","Mo. Caixa Dagua, R. Tavares, Ilha S. Catarina","-48.4776878","-27.6525515",NA,NA,"5","5","NY00528504","NY00528504_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131893' target='other'> <mi>dwc_moreinfo</mi></a>","4548",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
