"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","class","individualCount"
"11","2020-12-20 21:15:45-03","UFV","VIC","45188","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Pereira, A.F.S.; Tinti, B.V.","15","2013","12","11",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Herbácea","VIC045188","VIC045188","Serra de itatiaia","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:31:35-03","UFJF","CESJ","22572","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","S.M.S. Verardo","L. Krieger; et al.","CESJ221","1988","09","17","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,"Subarbusto, em barranco, solo turfoso e coberto de Sphagnum.","CESJ022572","CESJ022572","Parque Nacional do Caparaó, Entre os lagos e o Pico da Bandeira - 2.700 msm.",NA,NA,"1989","10","26",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:31:35-03","UFJF","CESJ","14155","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Graziela M. Barroso; Nycéia","L. Krieger; et al.","CESJ14155","1976","07","09","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,"Subarbustinho, folhas duras, flores brancas, lugares frescos. 20 - 30 cm de altura.","CESJ014155","CESJ014155","Parque Nacional do Caparaó, 2000 metros.",NA,NA,"1977","10","27",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:31:35-03","UFJF","CESJ","15745","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","M.O.D. Pivari","Sidney; Rita","s.n.","1977","09","29","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,"Arbustinho, até 50 cm, inflorescência no topó, coloração creme-acinzentada.","CESJ015745","CESJ015745","Parque Nacional do Caparaó",NA,NA,"2003","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:31:35-03","UFJF","CESJ","71614","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","L.V.V. Cruz","L.V.V. Cruz; S.G. Furtado; D.E.F. Barbosa; L. Menini Neto","214","2018","06","26","América do Sul","Brasil","Minas Gerais","Alto Caparaó","-41.803697","-20.429931",NA,"Arbusto. Ca. 20 cm. Flores alvas em campo úmido próximo as lagoas do parque","CESJ071614",NA,"Parque Nacional do Caparaó, Lagoas",NA,NA,"2018","10","23","-41.803697","-20.429931","2600","2600",NA,NA,NA,NA
"16","2020-06-30 18:31:59-03","UFJF","CESJ","46886","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","L. Menini Neto","F.M. Ferreira; et al.","1011","2006","03","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455",NA,"Subarbusto cespitoso no campo rupestre em local encharcável. Flores alvas.","CESJ046886","CESJ046886","Parque Estadual do Ibitipoca","30417","auto","2008","09","04",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-30 18:31:59-03","UFJF","CESJ","40993","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","L. Menini Neto","L. Menini Neto; R.J.V. Alves","61","2003","12","02","América do Sul","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455",NA,"Erva terrestre, no campo rupestre. Folhas discolores, verde-escuras adaxialmente e alvas abaxialmente, flores alvas.","CESJ040993","CESJ040993","Parque Estadual do Ibitipoca, próximo ao Pico do Pião.","30417","auto","2008","09","04",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:31:35-03","UFJF","CESJ","9371","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","D.J.N. Hind","U.C. Câmara","9371","1970","09","29","América do Sul","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455",NA,"No campo arenoso, flores brancas.","CESJ009371","CESJ009371","Serra de Ibitipoca","30417","auto","1977","10","27",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-05 16:43:53-03","UFOP","OUPR","5696","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Forzza, R.C.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Itacolomi","44599","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-05 16:43:53-03","UFOP","OUPR","2072","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Badini, J.","Badini, J.","s.n.","1971","07","31",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Campo alto. Subarbusto",NA,NA,"Itacolomi","44599","auto","1971","07","31",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-05 16:43:53-03","UFOP","OUPR","2071","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Badini, J.","Zurlo, M.A.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Solo ácido. Subarbusto. Flores pálidas",NA,NA,"Itacolomi","44599","auto","1983","05","15",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-18 15:50:33-03","UFOP","OUPR","2070","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Badini, J.","Badini, J.","s.n.","1984","11","14",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Campo. Entre rochedos. Subarbusto. Flores brancas",NA,NA,"Itacolomi","44599","auto","1984","11","14",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-05 16:43:53-03","UFOP","OUPR","2069","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Badini, J.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Campos altos. Erva. Flores brancas",NA,NA,"Itacolomi","44599","auto","1941","07","06",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-05 16:43:53-03","UFOP","OUPR","2068","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Forzza, R.C.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Itacolomi","44599","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-05 16:43:53-03","UFOP","OUPR","2066","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Lisboa, M.A.","s.col.","s.n.","1972","08","19",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Itacolomi","44599","auto","1972","08","24",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-05 16:43:53-03","UFOP","OUPR","2063","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Campo. Subarbusto. Flores brancas",NA,NA,"Itacolomi","44599","auto","1970","08","01",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-05 16:43:53-03","UFOP","OUPR","32042","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Pedrosa, L.G.","Pedrosa, L.G.","910","2018","10","20",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Subarbusto, ca. 20cm. Flores alvas. Campo rupestre/altitude. A espécie é rara no parque, vem sofrendo declínio populacional por vários motivos, um deles é o pisoteio dos turistas que transitam no alto do Pico do Itacolomi.",NA,NA,"Parque Estadual do Itacolomi","44599","auto","2018","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:15:24-03","MBM","MBM","346738","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.","et al.; Graziela","P.L.K.; et al.; et al.","14155","1976","07","09","Southern America","Brazil","Minas Gerais","Caparaó","-41.9043998718262","-20.523099899292",NA,"Subarbustinho, folhas duras, fl. brancas, lugares frescos, 20-30 cm de altura","MBM346738","MBM346738","2000m MG","15056","auto","1977","10","27",NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-10-09 07:01:33-03","MNHN","RECOLNAT_MNHN_P","P01816303","PreservedSpecimen",NA,NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Claussen, P.",NA,"1855",NA,NA,NA,"brésil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01816303' target='other'> <mi>dwc_moreinfo</mi></a>","P01816303","P01816303_01","Minas Geraës",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","184",NA,NA
"30","2015-09-04 05:15:34-03","MNHN","RECOLNAT_MNHN_P","P02669238","PreservedSpecimen",NA,NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02669238' target='other'> <mi>dwc_moreinfo</mi></a>","P02669238","P02669238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"496",NA,NA
"31","2015-09-04 05:15:34-03","MNHN","RECOLNAT_MNHN_P","P02669239","PreservedSpecimen",NA,NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil","Minas Gerais",NA,NA,NA,"hb",". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No.420 ter <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02669239' target='other'> <mi>dwc_moreinfo</mi></a>","P02669239","P02669239_01",". Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 240",NA,NA
"32","2015-09-04 05:15:34-03","MNHN","RECOLNAT_MNHN_P","P02669245","PreservedSpecimen",NA,NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02669245' target='other'> <mi>dwc_moreinfo</mi></a>","P02669245","P02669245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1207",NA,NA
"33","2020-12-11 11:32:38-03","UFMG","BHCB","182945","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Paiva, JAM; Souza, LS; Gouvêa, YF","1051","2016","09","13","Southern America","Brasil","Minas Gerais","Alto Caparaó","-20.70615","-42.368431",NA,"Arbusto rupícola. Inflorescência branca.; Campo de altitude.",NA,NA,"Parque Nacional do Caparaó, Vale Encantado.",NA,NA,"2016","09","12","-20.70615","-42.368431","2248","2248",NA,NA,NA,NA
"34","2020-12-11 11:32:38-03","UFMG","BHCB","124927","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Krieger, PL; Leise; Márcio","14155","1976","07","09","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Lugares frescos. Subarbustinho 0,2-0,3m. Folhas duras. Flores brancas.",NA,NA,"Caparaó.",NA,NA,NA,NA,NA,NA,NA,"2000","2000",NA,NA,NA,NA
"35","2020-12-11 11:32:38-03","UFMG","BHCB","142006","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Oliveira, CT; Giacomin, LL","91","2008","08","27","Southern America","Brasil","Minas Gerais","Catas Altas","-43.514167","-20.131111",NA,"erva de 30 cm, capítulos brancos.",NA,NA,"RPPN Santuário do Caraça, subida ao Pico Cangerana",NA,NA,NA,NA,NA,"-43.514167","-20.131111","1770","1770",NA,NA,NA,NA
"36","2020-12-11 11:32:38-03","UFMG","BHCB","142048","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Oliveira, CT; Viana, PL","136","2008","10","01","Southern America","Brasil","Minas Gerais","Catas Altas","-43.526944","-20.093333",NA,"Erva de 30cm, capítulos brancos","BHCB025034",NA,"RPPN Santuário do Caraça, Subida para o Pico do Inficionado",NA,NA,"2017","03",NA,"-43.526944","-20.093333","1800","1800",NA,NA,NA,NA
"37","2020-12-11 11:32:38-03","UFMG","BHCB","186240","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Bragioni, TLS; Silva, GS; Stehmann, JR","43","2016","09","13","Southern America","Brasil","Minas Gerais","Alto Caparaó","-41.836944","-20.41",NA,"Arbusto denso ca 30cm, capítulos brancos.","BHCB186240",NA,"Parque Nacional do Caparaó",NA,NA,NA,NA,NA,"-41.836944","-20.41",NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:32:38-03","UFMG","BHCB","191532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Paiva, JAM; Souza, JAM; Silva, SHA","1684","2018","02","27","Southern America","Brasil","Minas Gerais","Ouro Preto","-43.474167","-20.428056",NA,"Subarbusto, 0,35 m. Flor creme.; Campo Rupestre Quartzítico","BHCB191532",NA,"Parque Estadual do Itacolomi",NA,NA,"2018","08","09","-43.474167","-20.428056","1717","1717",NA,NA,NA,NA
"39","2020-12-11 11:32:38-03","UFMG","BHCB","103982","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Teles, AM; Salino, A; Assis, FC; Heringer, G; Melo, LCN; Viana, PL; Almeida, TE; Santos, L","285","2006","11","23","Southern America","Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,"Plantas do Brasil. Campo de altitude, beira de riacho. Subarbusto ereto, ca. 0,2m. PLANTA PRENSADA EM ÁLCOOL.",NA,NA,"Parque Nacional do Caparaó, Trilha para o Pico do Cristal, próximo das lagoas.","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:32:38-03","UFMG","BHCB","54956","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Badini, J","s.n.","1941","07","06","Southern America","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Pico do Itacolomi.","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:32:38-03","UFMG","BHCB","54958","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Magalhães, GM","1696","1942","05","05","Southern America","Brasil","Minas Gerais","Serro","-43.3793983459473","-18.604700088501",NA,"Em valo no campo. Pouco frequente. Arbusto 0,4m - cespitoso. Flor alva.",NA,NA,"Pico do Itambé., Alto do pico.","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:32:38-03","UFMG","BHCB","54957","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Ule, EHG","2601",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Margens de ribeiros. Arbusto.",NA,NA,"Serra de Ouro Preto.","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:32:38-03","UFMG","BHCB","52761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Vasconcelos, MF de","s.n.","1999","11","25","Southern America","Brasil","Minas Gerais","Catas Altas","-43.4075012207031","-20.0746994018555",NA,"Campo de altitude. Herbáceo. Brácteas brancas.",NA,NA,"Serra do Caraça. Pico do Inficionado.","11966","auto",NA,NA,NA,NA,NA,"2050","2050",NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","1424217","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"-. Luederwaldt & Museu Paulista","16733","1906","5","13","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"US01733802","US01733802_01","Campo Itatiaya (east R. Jan)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"45","2020-09-12 05:00:02-03","US","US","1423979","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"-- Brade & -. Tamandare","6385","1913","6","10","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"US01733801","US01733801_01","Serra do Itatiaya, East. R. Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"46","2020-09-12 05:00:02-03","US","US","3697970","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"B. Loeuille, C. Siniscalchi & C. T. Oliveira","894","2014","8","3","South America - Neotropics","Brazil","Minas Gerais",NA,"-41.5788","-19.3206",NA,NA,"US01311581","US01311581_01","Conselheiro Pena, Pico do Padre Angelo",NA,NA,NA,NA,NA,NA,NA,"1503",NA,NA,NA,"Dicotyledonae","1"
"47","2020-09-12 05:00:02-03","US","US","1199786","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"E. H. Ule","2601","1892","4",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US01733799","US01733799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"48","2020-09-12 05:00:02-03","US","US","3395427","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"J. Badini","40574","1941","7","6","South America","Brazil",NA,NA,NA,NA,NA,NA,"US01733797","US01733797_01","Mello Barreto, Pico de Itacolomy, Muncipio Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"49","2020-09-12 05:00:02-03","US","US","2405524","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"ex herb. de A. Glaziou","14960","1907",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US01733798","US01733798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"50","2020-09-12 05:00:02-03","US","US","2196941","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"A. Macedo","2801","1950","12","28","South America","Brazil",NA,NA,NA,NA,NA,NA,"US01733800","US01733800_01","Itacabueni, Municipio J. Pret., Mg.",NA,NA,NA,NA,NA,NA,NA,"1400",NA,NA,NA,"Dicotyledonae","1"
