"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount","sex"
"16","2020-12-21 16:38:46-03","MBM","MBM","22853","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Hatschbach, G.","30393","1972","02","04","Southern America","Brazil","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM022853","MBM022853","30514","auto","Pabst, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:38:46-03","MBM","MBM","108280","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Kummrow, R.; Silva, J.M.; Silva, J.M.","2722","1986","01","08","Southern America","Brazil","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM108280","MBM108280","30514","auto","Romero, G.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:38:46-03","MBM","MBM","78654","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Iglesias, M.C.","244","1981","05","12","Southern America","Colombia",NA,NA,"Dep. de Cundinamarca",NA,NA,NA,NA,NA,NA,"MBM078654","MBM078654",NA,NA,"Ruiz, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:38:46-03","MBM","MBM","29950","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Pabst, G.","414","1950","11","13","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra da Carioca para Trapicheiro, Rio de Janeiro, Distrito Federal","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"MBM029950","MBM029950","57442","auto","Pabst, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-20 19:48:05-03","MNHN","RECOLNAT_MNHN_P","P00485704","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Moura, J.T. de",NA,"1887","6",NA,NA,"Brésil",NA,NA,"Prov. Rio de Janeiro : environs de Therezopolis",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485704' target='other'> <mi>dwc_moreinfo</mi></a>","P00485704","P00485704_01 P00485704_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","46",NA,NA,NA
"21","2015-09-20 19:48:16-03","MNHN","RECOLNAT_MNHN_P","P00485705","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Moura, J.T. de",NA,"1887","7",NA,NA,"Brésil",NA,NA,"Prov. Rio de Janeiro : Serra des Orgaos (Therezopolis)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485705' target='other'> <mi>dwc_moreinfo</mi></a>","P00485705","P00485705_01 P00485705_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","44",NA,NA,NA
"22","2015-09-17 00:13:07-03","MNHN","RECOLNAT_MNHN_P","P00485706","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Glaziou, A.",NA,"1891","1","10",NA,"Brésil",NA,NA,"Alto Macahé",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485706' target='other'> <mi>dwc_moreinfo</mi></a>","P00485706","P00485706_01 P00485706_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","18534",NA,NA,NA
"23","2015-09-20 17:33:13-03","MNHN","RECOLNAT_MNHN_P","P00485707","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil austro-oriental",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485707' target='other'> <mi>dwc_moreinfo</mi></a>","P00485707","P00485707_01 P00485707_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","19892",NA,NA,NA
"24","1996-03-19 09:24:34-03","MNHN","RECOLNAT_MNHN_P","P00485708","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil austro-oriental",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485708' target='other'> <mi>dwc_moreinfo</mi></a>","P00485708","P00485708_01 P00485708_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","20498",NA,NA,NA
"25","2021-02-11 17:20:51-03","UFPR","UPCB","63224","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Ceolin, L.M.","401","2008","04","04",NA,"Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí.","-49.0661010742188","-26.9193992614746",NA,NA,NA,"Planta epífita, flores vináceas..",NA,NA,"34291","auto","Ceolin, L.M.","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-11 17:21:00-03","UFPR","UPCB","86930","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bicolor","Pabstiella bicolor","(Barb. Rodr.) Luer & Toscano","Toscano de Brito, A.L.V.","3520","2016","06","09",NA,"Brasil","São Paulo","São Lorenço da Serra",NA,NA,NA,NA,NA,NA,"Coletada e cultivada pelo Orquidário Colibri. Amostra conservada em solução de glicerina com álcool..",NA,NA,NA,NA,"Toscano de Brito, A.L.V.","2016","09","15",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-11 17:21:00-03","UFPR","UPCB","86964","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bicolor","Pabstiella bicolor","(Barb. Rodr.) Luer & Toscano","Toscano de Brito, A.L.V.","3099","2012","07","29",NA,"Brasil","Santa Catarina","Pomerode",NA,"-49.1768989562988","-26.7406005859375",NA,NA,NA,"Coletada e cultivada por M. Klingelfus s.n.. Amostra conservada em solução de glicerina com álcool..",NA,NA,"14075","auto","Toscano de Brito, A.L.V.","2016","09","15",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-11 17:21:00-03","UFPR","UPCB","83332","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","cf. bicolor","Pabstiella cf. bicolor","(Barb.Rodr.) Luer & Toscano","Toscano de Brito, A.L.V. | Bolson, M. | Royer, C.A. | Santos, M.C. | Guimarães, L.R.S. | Ignowski, H.","3393","2015","04","10",NA,"Brasil","Santa Catarina","Garuva","Estrada Bonita, Rio Pirabeiraba.","-48.8549995422363","-26.0266990661621",NA,NA,NA,"Epífita, em gravetos de árvore caída nas margens do rio. Flores amarelas..",NA,NA,"22441","auto","Toscano de Brito, A.L.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-11 17:21:00-03","UFPR","UPCB","86697","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","Santos, T.F | Kersten, R.","142","2016","05","26",NA,"Brasil","Paraná","Piraquara","Estação Marumbi. Morro do Vigia.","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Planta semelhante a P. matinhensis, porém difere principalmente pela presença de uma mácula rósea no ápice do labelo..",NA,NA,"12577","auto","Santos, T.F.","2016","05","26",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","39706",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","T. M. Rodrigues; P. M. Lima, M. Simonelli","6","2005","05","27",NA,"Brasil","Espírito Santo","Linhares","Regência, mata seca de restinga, fragmento da lagoa Parda, próx. a Petrobrás","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Epífita a cerca de 1,70 m do solo, flores com pintas roxas","MBML039706","MBML039706","48094","auto","C.N. Fraga & T.M. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-09 10:13:42-03","UENF","HUENF","12190","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","H.B.M. Viana; M.A. Faitanin & N.N. Berriel","63","2019","06","14",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Fragmento de Floresta Estacianal semidecidual de tabuleiro, circundada por áreas muito degradadas na região (pastagens e áreas agrícolas). Estação Ecológica Estadual de Guaxindiba","-41.088056","-21.393611","38","38",NA,"Epífita de folhas oblongas, ramicaule cilindrico, rizoma curto e imperceptível, raizes finas e delicadas, mais de uma inflorescência por folha, multiplas flores por haste. inflorescência saindo da espata da base foliar. Flores de a","HUENF00013028",NA,NA,NA,"H.B.M. Viana","2019","06","15",NA,"41º5'17''W","21º23'37''S",NA,NA,NA,NA,NA
"32","2021-02-25 10:11:27-03","CVRD","CVRD","5675","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Folli, D.A.","2984","1997","04","08","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea matizada","CVRD005675","CVRD005675","48094","auto","C. N. Fraga & L. Menini Neto","2004","12","10",NA,NA,NA,NA,NA,"Liliopsida",NA,NA
"33","2021-02-25 10:11:27-03","CVRD","CVRD","5640","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Folli, D.A.","2943","1997","03","04","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea sapeca","CVRD005640","CVRD005640","48094","auto","Wellington Forster","2002","03","18",NA,NA,NA,NA,NA,"Liliopsida",NA,NA
"34","2021-02-25 10:11:27-03","CVRD","CVRD","4896","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Folli, D.A.","2272","1994","04","06","América do Sul","BRASIL","ES","Linhares","Erva epífita, próximo ao marco de ferro.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea matizada","CVRD004896",NA,"48094","auto","J. T. Atwood","1995","06","30",NA,NA,NA,NA,NA,"Liliopsida",NA,NA
"35","2020-09-12 05:00:02-03","US","US","2279692","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Pleurothallis","quadridentata","Pleurothallis quadridentata",NA,"R. Reitz & R. M. Klein","2827","1956","2","23","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"US00446871","US00446871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"36","2020-09-12 05:00:02-03","US","US","2535272","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Pleurothallis","quadridentata","Pleurothallis quadridentata",NA,"R. Reitz & R. M. Klein","10886","1961","3","23","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"US00446870","US00446870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"37","2021-03-25 13:53:06-03","UNIVILLE","JOI","16882","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","BILK, K.D.; CRUZ DE LIMA; A.R.; MANCINELLI, W.S.; PAGANI, A.","220","2016","03","24",NA,"Brasil","Santa Catarina","Joinville","Fazenda ABAETE. Área de Proteção Ambiental da Serra Dona Francisca","-49.126667","-26.180833","750","750",NA,"epífita","JOI016882",NA,NA,NA,"MANCINELLI, W.S.","2016","11","08",NA,"49º7'36''W","26º10'51''S",NA,NA,NA,NA,NA
"38","2021-03-25 13:53:06-03","UNIVILLE","JOI","16591","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","W. S. Mancinelli","1461","2014","03","17",NA,"Brasil","Santa Catarina","Joinville","Rio do Júlio","-48.8456001281738","-26.3043994903564","700","700",NA,"Flor amarela com calo de libelo púrpura Habito: Epífita","JOI016591",NA,"37150","auto","W. S. Mancinelli","2016","03","22",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-25 13:53:06-03","UNIVILLE","JOI","15300","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Specklinia","quadridentata","Specklinia quadridentata","(Barb.Rodr.) Luer","T.J. Cadorin","2468",NA,NA,NA,NA,"Brasil",NA,"Brasil","E 1025 B.",NA,NA,NA,NA,NA,"; HABITO: Epífita","JOI015300",NA,NA,NA,"Mancinelli, W. S.","2013","11","07",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-25 13:53:06-03","UNIVILLE","JOI","15296","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Specklinia","quadridentata","Specklinia quadridentata","(Barb.Rodr.) Luer","T.J. Cadorin","2550",NA,NA,NA,NA,"Brasil",NA,"Brasil","E 8007 A.",NA,NA,NA,NA,NA,"; HABITO: Epífita","JOI015296",NA,NA,NA,"Mancinelli, W. S.","2014","04","09",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-25 13:53:06-03","UNIVILLE","JOI","15322","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Specklinia","quadridentata","Specklinia quadridentata","(Barb.Rodr.) Luer","Mancinelli, W.S.","1248","2010","07","09",NA,"Brasil","Santa Catarina","Garuva","Pico Garuva.","-48.8549995422363","-26.0266990661621","900","900",NA,"; HABITO: Epífita","JOI015322",NA,"22441","auto","Mancinelli, W. S.","2010","07","09",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-13 16:04:59-03","UNISANTA","HUSC","2277","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","Martins, S.E.; Sampaio, P.S.P.","593","1999","11","18",NA,"Brasil","São Paulo","Bertioga","Guaratuba. Fazenda Três Marias, estrada da captação","-46.138599395752","-23.8544006347656",NA,NA,NA,"Epífita com flores creme.; Sub-bosque de floresta de restinga seca alta",NA,NA,"37616","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-08-20 20:37:49-03","UFSC","FLOR","3871","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Bresolin, A.","7","1968","03","13",NA,"Brasil","Santa Catarina","Florianópolis","Saco Grande, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335",NA,NA,NA,"epífito, flor branco-roxeada","FLOR0003871",NA,"27000","auto","Pabst, G.","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-08-20 14:54:41-03","UFSC","FLOR","3856","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Klein, R.M.","8131","1969","01","24",NA,"Brasil","Santa Catarina","Florianópolis","Saco Grande, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","250","250",NA,"epífita, flor pintada de roxo-escuro","FLOR0003856",NA,"27000","auto","Siqueira, C.E.","2013","07","11",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-08-20 14:54:41-03","UFSC","FLOR","2511","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Klein, R.M.; Bresolin, A.","8270","1969","03","14",NA,"Brasil","Santa Catarina","Florianópolis","Saco Grande, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","150","150",NA,"epífito, flor verde pintada de roxo. Exemplar único.","FLOR0002511",NA,"27000","auto","Pabst, G.","1969","05","28",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-08-20 14:54:49-03","UFSC","FLOR","1003","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","Reitz, R.; Klein, R.M.","10886","1961","03","23",NA,"Brasil","Santa Catarina","Garuva","São Francisco do Sul, Monte Crista.","-48.8549995422363","-26.0266990661621","950","950",NA,"epífita, flor esverdeada","FLOR0001003",NA,"22441","auto","Siqueira, C.E.","2013","07","11",NA,NA,NA,NA,NA,NA,NA,NA
"47","2014-10-09 13:58:31-03","UHH","HBG","501893","S","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Moura, J. de","302","1888","07",NA,"South America","Brazil",NA,NA,"Theresopolis (prov. Rio de Janeiro)",NA,NA,NA,NA,NA,"ex Herb. Kränzlin NEOTROP<br>Herbarium Hamburgense evacuated and inaccessible 1943-1992","HBG501893","HBG501893",NA,NA,"A. Cogniaux",NA,NA,NA,NA,NA,NA,"Isosyntype",NA,NA,NA,NA
"48","2014-10-09 13:58:31-03","UHH","HBG","501894","S","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Moura, J. de","46","1887","07",NA,"South America","Brazil",NA,NA,"Theresopolis (prov. Rio de Janeiro)",NA,NA,NA,NA,NA,"ex Herb. Kränzlin NEOTROP<br>Herbarium Hamburgense evacuated and inaccessible 1943-1992","HBG501894","HBG501894",NA,NA,"A. Cogniaux",NA,NA,NA,NA,NA,NA,"Isosyntype",NA,NA,NA,NA
