"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","individualCount"
"11","2020-12-21 16:21:22-03","MBM","MBM","164082","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelli","Evolvulus riedelli","Meisn.",NA,"Cervi, A.C.","3475","1991","12","Southern America","Brazil","Paraná","Rod. para Curitiba, km 2",NA,"Erva prostrada, flor zul. Cerrado","MBM164082","MBM164082",NA,"Vieira-da-Silva, C.","16","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto","2010","06","21",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:21:22-03","MBM","MBM","5055","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelli","Evolvulus riedelli","Meisn.",NA,"Lindeman, J.","3076","1966","10","Southern America","Brazil",NA,"Rio 5 Reis",NA,NA,"MBM005055","MBM005055",NA,"Simão-Bianchini, R.","17",NA,NA,NA,NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:21:22-03","MBM","MBM","55064","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelli","Evolvulus riedelli","Meisn.",NA,"Hatschbach, G.","39054","1976","10","Southern America","Brazil","Goiás","Rod. BR-020, 10km S de Posse",NA,NA,"MBM055064","MBM055064",NA,"Simão-Bianchini, R.","08","Posse","-46.3694000244141","-14.0930995941162","55730","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:21:22-03","MBM","MBM","105177","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelli","Evolvulus riedelli","Meisn.",NA,"Grottas, A.S.","293","1963","01","Southern America","Brazil","São Paulo","Araraquara",NA,NA,"MBM105177","MBM105177",NA,"Rosângela Simão","26","Araraquara","-48.1699981689453","-21.7900009155273","29178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-04 11:29:39-03","UEMA","SLUI","4097","PreservedSpecimen","Plantae","Angiospermae",NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"P. M. Santos","391","2013","05",NA,"Brasil","Piauí",NA,NA,NA,"SLUI004097",NA,NA,NA,"15","Santa Filomena","-45.922222","-9.112222",NA,NA,NA,NA,NA,"278","278","45°55'20W","09°06'44S",NA,NA,NA
"16","2018-04-26 14:53:52-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Barros, F de","2605",NA,NA,"Southern America","Brazil","São Paulo","Carioba, Itirapina, Estrada de Graú",NA,NA,"CONV016801",NA,NA,"Simão-Bianchini, R",NA,"Itirapina","-47.8199996948242","-22.25","22843","auto","1995","10",NA,NA,NA,NA,NA,"voucher","72720",NA
"17","2019-12-19 11:18:13-03","UFG","UFG","10382","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Rizzo, J.A.; Barbosa, A.","5132","1970","04",NA,"Brasil","Goiás","Alto da Serra de Caldas Novas",NA,NA,"UFG0010382","UFG0010382",NA,"Simão-Bianchini, R.","25","Caldas Novas","-48.625","-17.74169921875","36612","auto","1995","12","30",NA,NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","56801","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn. in Mart.","Type collection","L. Riedel","2216",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US00111224","US00111224_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","3232951","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn. in Mart.",NA,"G. Hatschbach","39054","1976","10","South America - Neotropics","Brazil","Goiás","Rod. BR-020, 10 km S de Posse.",NA,NA,"US03172274","US03172274_01","Dicotyledonae",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2019-11-13 11:18:10-03","USP","SPF","74149","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Loefgren, A","s.n.","1888","10",NA,"Brasil","São Paulo","Estação Visconde do Rio Claro.",NA,NA,"SPF00074149","SPF00074149",NA,"Ooststroom, SJ","01",NA,NA,NA,NA,NA,"1934",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-13 11:18:10-03","USP","SPF","86039","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Freire-Fierro, A","2091","1991","01",NA,"Brasil","Goiás",NA,NA,NA,"SPF00086039","SPF00086039",NA,"Anônimo","26",NA,"-49.083333","-16.083333",NA,NA,NA,NA,NA,NA,NA,"-49.083333","-16.083333",NA,NA,NA
"22","2019-11-13 11:18:10-03","USP","SPF","39248","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Grotta, AS","293","1963","01",NA,"Brasil","São Paulo",NA,NA,NA,"SPF00039248","SPF00039248",NA,"Simão, R","26","Araraquara","-48.1699981689453","-21.7900009155273","29178","auto","1985","07",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:18:10-03","USP","SPF","161120","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Barros, F","2605","1993","02",NA,"Brasil","São Paulo",NA,NA,NA,"SPF00161120","SPF00161120",NA,"Simão-Bianchini, R","09","Itirapina","-47.8199996948242","-22.25","22843","auto","1995","10",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-07 09:17:41-03","UEFS","HUEFS","72720","PreservedSpecimen","Plantae","Angiospermae","Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Barros, F.de","2605","1993","02",NA,"Brasil","São Paulo","Carioba, Itirapina, Estrada de Graúna",NA,NA,"HUEFS0072720","HUEFS0072720","Asteranae",NA,"09","Itirapina","-47.8199996948242","-22.25","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-06-12 17:09:55-03","F","FMNH-SEEDPLANTS","V0441206F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii",NA,NA,"F. de Barros","2605","1993","2","South America","Brazil",NA,NA,NA,NA,"V0441206F","V0441206F_01","Dicotyledoneae",NA,"9",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:09:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Riedel, L","s.n.",NA,NA,"Southern America","Brazil","São Paulo","Habitat campis quarzoso-arenosis pr. Araracoara prov. S.Pauli.",NA,"Oreas.; HABITAT: Oreas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-02 08:39:51-03","IBt","SP","285438","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Grotta, AS","293","1963","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"23","Araraquara","-48.1699981689453","-21.7900009155273","29178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-02 08:39:51-03","IBt","SP","285409","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Grotta, AS","253","1963","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"26","Araraquara","-48.1699981689453","-21.7900009155273","29178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-18 08:30:34-03","IBt","SP","11026","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Usteri, A","s.n.","1905","10",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"30","Araras","-47.3800010681152","-22.3500003814697","22739","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 08:30:34-03","IBt","SP","8304","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Gehrt, G","s.n.","1923","04",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"28","Itirapina","-47.8199996948242","-22.25","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 08:30:34-03","IBt","SP","7249","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Brade, AC","s.n.","1915","04",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"04","Jundiaí","-46.8800010681152","-23.1800003051758","17840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:03:16-03","IBt","SP","11018","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Loefgren, A","CGG985","1888","10",NA,"Brasil","São Paulo","Estação Visconde do Rio Claro (Feijão)",NA,NA,"SP023810","SP023810",NA,"Ooststroom, SJ","01","Rio Claro","-47.560001373291","-22.4099998474121","21773","auto","1934",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-18 08:30:34-03","IBt","SP","11027","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Edwall, G","s.n.","1898","02",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-02 08:39:51-03","IBt","SP","285410","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Joly, AB","s.n.","1947","11",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"22","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
