"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","fieldNumber","identifiedBy","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","sex"
"11","2013-08-23 04:12:00-03","MO","MOBOT","100340311","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Roberto Vásquez","Vásquez C. 129",NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R. Vásquez","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1006699","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Percy Núñez V.|et al.","Núñez Vargas 16158","1995","South America","Peru","S.H. Machu Picchu. Aguas calientes - puerte Ruinas. Ficus elasbiana.","2000.00000000",NA,NA,NA,NA,NA,"1","20","Cusco","Urubamba",NA,NA,"124",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2014-04-04 05:50:00-03","MO","MOBOT","1239970","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15075","1998","South America","Peru","Road Chachapoyas-Mendoza, a little past Molinopampa. Scrub and degraded forest.","2400.00000000",NA,NA,NA,NA,NA,"3","15","Amazonas",NA,"-77.59694","-6.23638","227","B. Gray","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2012-03-12 15:58:00-03","MO","MOBOT","1337073","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","John L. Clark","Clark 4503","1998","South America","Ecuador","Trek from Lloa to Mindo, forest between Hacienda Pacay and main bridge to Mindo (south side of Río Cinto). Mature forest along edge of cow pasture.","1400.00000000",NA,NA,NA,NA,NA,"2","8","Pichincha","Quito","-78.7333333","-0.1333333","41","Stig Dalstrom (SEL)","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-04-04 05:51:00-03","MO","MOBOT","1433196","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Rodolfo Vásquez|José Campos de la Cruz","Vásquez Martínez 25352","1998","South America","Peru","Mariscal Benavides. Izcuchaca. Bosque transicional, suelo amarillento.","1880.00000000",NA,NA,NA,NA,NA,"8","30","Amazonas",NA,"-77.51805","-6.32777",NA,"J.T. Atwood (SEL, MO)","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-06-09 17:46:00-03","MO","MOBOT","1758723","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Israel G. Vargas C.","Vargas Caballero 6451","2001","South America","Bolivia","Rincon de Vitalio (Vitalio K'uchu), 2 km SW, arriba de Atispaya Bosque montano humedo, laderas y hondonadas con bosque humedo a lo largo de quebradas, intervenido por ganaderia.","2050.00000000",NA,NA,NA,NA,NA,"7","27","Cochabamba","Ayopaya","-66.70694","-16.62666",NA,"Roberto Vásquez(USZ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 12:09:00-03","MO","MOBOT","2212025","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Rodolfo Vásquez","Vásquez Martínez 28855","2004","South America","Peru","Distrito Oxapampa. Parque Nacional Yanachaga-Chemillen, Sector Chacos. Bosque remanente, borde de carretera","2219.00000000",NA,NA,NA,NA,NA,"1","21","Pasco","Oxapampa","-75.3","-10.61666",NA,"Ricardo Fernandez (USM)","6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2012-04-12 05:10:00-03","MO","MOBOT","2703963","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Alfredo F. Fuentes|Ramiro Cuevas|Evert Cuevas|Honorio Pariamo","Fuentes Claros 8022","2005","South America","Bolivia","Area Natural de Manejo Integrado Apolobamba, Carpa. Bosque montano estacional con Myrtaceae sp. y Nectandra spp. Inventario fitosociologico Madidi 35. Plantas sin alcoholizar.","2360.00000000",NA,NA,NA,NA,NA,"5","6","La Paz","Bautista Saavedra","-68.83888","-15.20833","05-41","R. Vasquez","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-11-15 05:40:00-02","MO","MOBOT","2737819","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Isau Huamantupa","Huamantupa Chuquimaco 4297","2004","South America","Peru","Dist. Santa Teresa, Yerbabuenayoc. Bosque Montano Tropical.","2800.00000000",NA,NA,NA,NA,NA,"3","22","Cusco","La Convención","-72.61444","-13.12638",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-01-25 04:35:00-02","MO","MOBOT","2747226","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Luis Valenzuela G.|Efraín Suclli|Isau Huamantupa|A. Carazas","Valenzuela Gamarra 2695","2004","South America","Peru","Dist. Lares, Colca, borde de carretera. Bosque Secundario.","1821.00000000",NA,NA,NA,NA,NA,"2","19","Cusco","Calca","-72.12666","-12.86222",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2012-02-29 14:08:00-03","MO","MOBOT","2769933","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Philip A. Silverstone-Sopkin|N. Paz|A. Giraldo","Silverstone-Sopkin 9708","2003","South America","Ecuador","Reserva Ecológica Los Ilinizas, Cerro Tilipulo Grande, vertiente norte, Cordillera Tilinche, acceso desde Pucayacu y Capillas, bosque nublado primario.","1210.00000000",NA,NA,NA,NA,NA,"7","30","Cotopaxi","La Maná","-79.10638","-0.7625",NA,"C.H. Dodson (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 12:10:00-03","MO","MOBOT","3108633","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Efraín Suclli","Suclli Montañés 2209","2005","South America","Peru","Dist. Santa Teresa. Choquequiraw, San Ignacio. Matorral","3250.00000000",NA,NA,NA,NA,NA,"3","7","Cusco","La Convención","-72.51666","-13.21666",NA,"Ricardo Fernandez (USM)","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2013-02-15 05:37:00-02","MO","MOBOT","3368675","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","César Patzi","Patzi 372","2004","South America","Bolivia","Totolima. Bosque montano humedo, de 15m de alto, con sotobosque denso y presencia de muchas epifitas.","1960.00000000",NA,NA,NA,NA,NA,"1","11","Cochabamba","Ayopaya","-66.21888","-16.92416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2011-06-09 17:10:00-03","MO","MOBOT","635950","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Calaway H. Dodson|et al.","Dodson 15837","1985","South America","Ecuador",NA,"1800.00000000",NA,NA,NA,NA,NA,"5","3","Pichincha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","636200","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Calaway H. Dodson|Alvin Embree","Dodson 16178","1985","South America","Ecuador",NA,"1850.00000000",NA,NA,NA,NA,NA,"8","1","Carchi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2013-12-30 05:10:00-02","MO","MOBOT","639005","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Carlos E. Cerón|Fernando Hurtado|J. Regalado","Cerón Martínez 5926","1989","South America","Ecuador","Canton Quito. Parroquia Calacalí. 20 km de la carretera Calacalí - Nanegalito. Bosque húmedo Premontano.","2000.00000000",NA,NA,NA,NA,NA,"1","19","Pichincha",NA,"-78.65","0.03333","89-1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2013-07-28 05:58:00-03","MO","MOBOT","645823","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Gunnar Wilhelm Harling|Lennart Andersson","Harling 12732","1974","South America","Ecuador","Limon-Cuenca.","1900.00000000",NA,NA,NA,NA,NA,"3","22","Morona-Santiago",NA,"-78.6","-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","647092","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Calaway H. Dodson|Eric Hágsater","Dodson 16658","1986","South America","Ecuador",NA,"2200.00000000",NA,NA,NA,NA,NA,"12","5","Pichincha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","653259","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Camilo Díaz S.|et al.","Díaz Santibáñez 3905","1990","South America","Peru","San Andrés de Cutervo. Parque Nacional de Cutervo; entrando por Chorro Blanco sobre invernas del Sr. Nicolás Navarro.","2550.00000000",NA,NA,NA,NA,NA,"1","10","Cajamarca","Cutervo","-78.66666","-6.21666","43","E. Christenson (NY)","6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-06-12 13:55:00-03","MO","MOBOT","654766","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","J.R. Tinajero","Tinajero s.n.","1973","South America","Ecuador",NA,"2820.00000000",NA,NA,NA,NA,NA,"1","12","Tungurahua",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","665243","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Stig Dalström","Dalström 1515","1992","South America","Ecuador","Lloa to Mindo.","2200.00000000",NA,NA,NA,NA,NA,"2","20","Pichincha",NA,"-78.7","-0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2011-06-09 22:31:00-03","MO","MOBOT","665678","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Jaime L. Jaramillo","Jaramillo Asanza 8309","1985","South America","Ecuador","km 59","2000.00000000",NA,NA,NA,NA,NA,"12","29","Pichincha",NA,"-78.80277","-0.23138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011-06-09 17:11:00-03","MO","MOBOT","668056","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Calaway H. Dodson|et al.","Dodson 16883","1987","South America","Ecuador","Cachaco-Santa Rosa de Cachaco","1150.00000000",NA,NA,NA,NA,NA,"1","19","Imbabura",NA,"-78.18333","0.4833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","670593","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Benkt Sparre","Sparre 14675","1967","South America","Ecuador","Sto. Domingo-Quito.","2000.00000000",NA,NA,NA,NA,NA,"4","3","Pichincha",NA,"-78.727","-0.437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-07-28 05:59:00-03","MO","MOBOT","677896","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Gunnar Wilhelm Harling|Lennart Andersson","Harling 23524","1985","South America","Ecuador",NA,"2400.00000000",NA,NA,NA,NA,NA,"4","2","Loja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","678660","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Ulf Molau|et al.","Molau 3008","1988","South America","Ecuador",NA,"2300.00000000",NA,NA,NA,NA,NA,"2","9","Pichincha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-07-10 09:48:36-03","MBML","MBML-HERBARIO","20265",NA,"Plantae",NA,NA,"Orchidaceae","Trichopilia","santoslimae","Trichopilia santoslimae","Brade","R.R. Vervloet; et al","2133","2003",NA,"Brasil","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,NA,NA,"Epífita em árvore caída, brácteas verdes com pontos marrons, flores amarelo claro, com labelo branco de centro alaranjado. Topo de morro, dossel 19m.","MBML020265",NA,"04","03","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,"Fraga/30-10-2003",NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 11:50:12-03","UFPE","UFP","6873","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","santos-limae","Trichopilia santos-limae","Brade","Gomes, JG","s.n.","1986",NA,"Brasil",NA,NA,NA,NA,NA,"UFP006873",NA,NA,NA,"Pernambuco",NA,NA,NA,NA,"Ferreira, ABC",NA,NA,NA,"1986","07",NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","2343946","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"C. H. Dodson","111","1960","South America - Neotropics","Ecuador",NA,"1000","1000",NA,NA,NA,NA,"6","25","Cañar",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","2518201","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"A. Weberbauer","7903","1929","South America - Neotropics","Peru",NA,"2400","2500",NA,NA,NA,NA,"3","8","Cusco","Calca",NA,NA,NA,NA,"1",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2420437","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"F. Woytkowski","86","1959","South America - Neotropics","Peru",NA,NA,NA,NA,NA,NA,NA,"1","12","Junín","Tarma",NA,NA,NA,NA,"1",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","1474641","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"A. Weberbauer","6582","1909","South America - Neotropics","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Junín",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","1564043","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"E. I. Dryander","2849","1945","South America - Neotropics","Colombia",NA,NA,NA,NA,NA,NA,NA,"12",NA,"Valle del Cauca",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"44","2019-07-09 12:47:05-03","F","FMNH-SEEDPLANTS","V0450844F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"J. Cuatrecasas","23509","1947","South America","Colombia",NA,NA,NA,NA,NA,"V0450844F","V0450844F_01","1","29","Cauca",NA,"-76.8333","2.5","23509","RRC ID Flag",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"45","2019-07-09 12:42:51-03","F","FMNH-SEEDPLANTS","V0450845F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"C. Schunke","1294","1930","South America","Peru",NA,NA,NA,NA,NA,"V0450845F","V0450845F_01","2",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"46","2019-07-09 12:44:27-03","F","FMNH-SEEDPLANTS","V0450848F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"A. Weberbauer","6582","1909","South America","Peru",NA,NA,NA,NA,NA,"V0450848F","V0450848F_01",NA,NA,NA,NA,"-74.14","-9.1839",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"47","2019-07-09 12:46:30-03","F","FMNH-SEEDPLANTS","V0459861F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"F. Woytkowski","37036","1961","South America","Peru",NA,NA,NA,NA,NA,"V0459861F","V0459861F_01 V0459861F_02","11","2","Junín",NA,"-75","-11.5","37036","RRC ID Flag",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"48","2019-07-09 12:42:51-03","F","FMNH-SEEDPLANTS","V0450846F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans fragrans",NA,"A. Weberbauer","7903","1929","South America","Peru",NA,NA,NA,NA,NA,"V0450846F","V0450846F_01 V0450846F_02","3","8","Cuzco",NA,"-72.5","-12.5","7903","RRC ID Flag",NA,NA,NA,NA,NA,"Monocotyledoneae","fragrans",NA,NA,NA
"49","2019-07-09 12:46:30-03","F","FMNH-SEEDPLANTS","V0450847F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans fragrans",NA,"H. H. Rusby","2793","1885","South America","Bolivia","Yungas",NA,NA,NA,NA,"V0450847F","V0450847F_01 V0450847F_02",NA,NA,"La Paz",NA,NA,NA,"2793","RRC ID Flag",NA,NA,NA,NA,NA,"Monocotyledoneae","fragrans",NA,NA,NA
"50","2019-07-09 12:42:31-03","F","FMNH-SEEDPLANTS","V0450849F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans grata",NA,"A. Weberbauer","7840","1929","South America","Peru",NA,NA,NA,NA,NA,"V0450849F","V0450849F_01 V0450849F_02","2","20","Cuzco",NA,"-72.5","-12.5","7840","RRC ID Flag",NA,NA,NA,NA,NA,"Monocotyledoneae","grata",NA,NA,NA
"51","2020-07-23 12:17:32-03","CEPLAC","CEPEC","131333","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","santoslimae","Trichopilia santoslimae",NA,"P. Leitman","221","1988",NA,"Brasil","Parque Nacional da Serra das Lontras, trilha da Serra das Lontras.",NA,NA,NA,NA,NA,NA,"11","06","Bahia","arataca","-39.385","-15.189167",NA,"SpeciesLink/lacunas",NA,"39W23'6","15S11'21",NA,NA,NA,NA,"30/12/2014",NA,NA
"52","2021-03-03 22:00:02-03","FLAS","FLAS","213188","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","Mark Whitten","2396",NA,NA,"Ecuador",NA,NA,NA,"Preserved herbarium specimen","[Label footing:] Voucher for NSF Grant Systematics of Maxillariinae (Orchidaceae): Generic Delimitation, Pollinator Rewards, and Pollination",NA,NA,NA,NA,"Azuay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:13:54-03","IBt","SP","247770","S","Plantae",NA,NA,"Orchidaceae","Trichopilia","santos-limae","Trichopilia santos-limae","Brade","Campacci, MA","s.n.","1981",NA,"Brasil","Sem localidade",NA,NA,NA,NA,NA,NA,"03","23","Espírito Santo",NA,NA,NA,NA,"Barros, F",NA,NA,NA,"1991","03",NA,NA,NA,NA,NA
"54","2019-11-21 10:13:54-03","IBt","SP","27506","S","Plantae",NA,NA,"Orchidaceae","Trichopilia","santos-limae","Trichopilia santos-limae","Brade","s.col.","s.n.","1942",NA,"Brasil","Cultivada em São Paulo",NA,NA,NA,NA,NA,NA,"02","15","Espírito Santo",NA,NA,NA,NA,"Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
