"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","individualCount"
"11","2019-11-21 14:47:47-03","UFJF","CESJ","43350","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","F.R.G. Salimena","G. Hatschbach; et al.","64908","1996","04","16","América do Sul","Brasil","Minas Gerais","Várzea da Palma","Serra do Cabral, Agro-industrial Serra do Cabral.","-44.7308006286621","-17.5981006622314",NA,"Ereta, simples, flor rosada. Campo rupestre, solo arenoso.","CESJ043350",NA,NA,NA,NA,NA,NA,NA,NA,"60948","auto","2006","09",NA,NA
"12","2019-11-21 14:47:47-03","UFJF","CESJ","63869","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","F.R.G. Salimena","G. Hatschbach; A. Schinini; J.M. Silva","64908","1996","04","16","América do Sul","Brasil","Minas Gerais","Várzea da Palma","Serra do Cabral, Agro-Indústria Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,"Ereta, simples, flor rosada. Campo rupestre, solo arenoso.","CESJ063869",NA,NA,NA,NA,NA,NA,"1050","1050","60948","auto",NA,NA,NA,NA
"13","2019-11-21 14:47:47-03","UFJF","CESJ","71464","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","F.R.G. Salimena","G. Costa; F, Correia; T. Sousa; I.L. Santos; T. Ribeiro","3394","2018","03","26","América do Sul","Brasil","Bahia","Santa Teresinha","Serra do Leão","-39.5233001708984","-12.771900177002",NA,"Caatinga. Flor rosa.","CESJ071464",NA,NA,NA,NA,NA,NA,NA,NA,"25196","auto","2018","10",NA,NA
"14","2019-11-21 14:47:47-03","UFJF","CESJ","71468","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","F.R.G. Salimena","G. Costa; F. Correia; G.V. Fonseca; L.V.P. Silva","3247","2018","02","15","América do Sul","Brasil","Bahia","Santa Teresinha",NA,"-39.569722","-12.7275",NA,"Caatinga, afloramento rochoso. Arbusto, ca. 3,6m, folhas concentradas no ápice do ramo, flores rosas.","CESJ071468",NA,NA,"-39.569722","-12.7275",NA,NA,NA,NA,NA,NA,"2018","10",NA,NA
"15","2019-11-21 14:47:47-03","UFJF","CESJ","71466","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","F.R.G. Salimena","G. Costa; F. Correia; T. Sousa; I.L. Santos; T. Ribeiro","3396","2018","03","26","América do Sul","Brasil","Bahia","Santa Teresinha","Serra do Leão","-39.5233001708984","-12.771900177002",NA,"Caatinga. Flores rosas e amarelas.","CESJ071466",NA,NA,NA,NA,NA,NA,NA,NA,"25196","auto","2018","10",NA,NA
"16","2019-11-21 14:47:47-03","UFJF","CESJ","29792","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"F. França; et al.","1788","1996","08","31","América do Sul","Brasil","Bahia","Itatim","Encosta arbustiva na beira da fenda.","-39.7","-12.716667",NA,"Arbusto ,ca. 1,5m.alt., com flores com corola do tubo branco-esverdeada, lacínios lilases. Interior da mata.","CESJ029792",NA,NA,"-39.7","-12.716667",NA,NA,"310","430",NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:47:47-03","UFJF","CESJ","36000","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","F.R.G. Salimena","R. Mello-Silva; et al.","1531","1997","11","03","América do Sul","Brasil","Minas Gerais","Santo Hipólito","Cerca de 5km além de Santo Hipólito em direção a Monjolos, no antigo leito da estrada de ferro.","-44.2230987548828","-18.2968997955322",NA,"Arbusto,ca. 2m. alt., pétalas lilases.","CESJ036000",NA,NA,NA,NA,NA,NA,NA,NA,"32313","auto","2002","01",NA,NA
"18","2019-11-21 14:47:47-03","UFJF","CESJ","59615","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","F.R.G. Salimena","G. Hatschbach; A. Schinini; J.M. Silva","64908","1996","04","16","América do Sul","Brasil","Minas Gerais","Várzea da Palma","Serra do Cabral, Agro-Industria Serra do Cabral. Alt.1050m.","-44.7308006286621","-17.5981006622314",NA,"Ereta, simples, flor rosada. Campo rupestre, solo arenoso.","CESJ059615",NA,NA,NA,NA,NA,NA,NA,NA,"60948","auto",NA,NA,NA,NA
"19","2020-12-21 16:47:11-03","MBM","MBM","193016","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","Salimena, F.R.","Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","64908","1996","09","16","Southern America","Brazil","Minas Gerais","Várzea da Palma","Serra do Cabral, Agro-industrial Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,NA,"MBM193016","MBM193016",NA,NA,NA,NA,NA,NA,NA,"60948","auto",NA,NA,NA,NA
"20","2015-09-04 08:46:30-03","MNHN","RECOLNAT_MNHN_P","P03607355","PreservedSpecimen",NA,NA,NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"Harley, R.M.|Renvoize, S.A.& al.",NA,"1974","2","20",NA,"Brésil",NA,NA,"Estado de Bahia : Monte Santo","-39.33333","-10.45","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03607355' target='other'> <mi>dwc_moreinfo</mi></a>","P03607355","P03607355_01 P03607355_02",NA,NA,NA,NA,NA,"610",NA,NA,NA,NA,NA,"16436",NA
"21","2020-12-11 11:42:44-03","UFMG","BHCB","61719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,NA
"22","2019-10-30 04:39:00-03","MO","MOBOT","2329910","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","H.N. Moldenke","R.M. Harley|S.A. Renvoize|C.M. Erskine|C.A. Brighton|R.S. Pinheiro","Harley 16436","1974","2","20","South America","Brazil","Bahia",NA,"Monte Santo. Open scrub, among quartzite cliffs and rocks, dry woodland.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type",NA,"610.00000000",NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2791561","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke",NA,"R. M. Harley","16436","1974","2","20","South America - Neotropics","Brazil","Bahia",NA,"Monte Santo.",NA,NA,NA,NA,"US00118821","US00118821_01","Dicotyledonae",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2019-10-07 09:17:09-03","UEFS","HUEFS","42240","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","elliptica","var. silvicola","Lippia elliptica var. silvicola","Moldenke",NA,"Harley, R.M.","16436","1974","02","20",NA,"Brasil","Bahia","Monte Santo",NA,"-39.333333","-10.45",NA,"Open scrub, among quartzite cliffs and rocks, dry woodland.","HUEFS0042240",NA,"Asteranae","39W20'","10S27'","Isótipo",NA,"610","610",NA,NA,NA,NA,NA,NA
"25","2019-10-07 09:17:09-03","UEFS","HUEFS","42241","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","elliptica","var. silvicola","Lippia elliptica var. silvicola","Moldenke",NA,"Harley, R.M.","16436","1974","02","20",NA,"Brasil","Bahia","Monte Santo",NA,"-39.333333","-10.45",NA,"Open scrub, among quartzite cliffs and rocks, dry woodland.","HUEFS0042241",NA,"Asteranae","39W20'","10S27'","Isótipo",NA,"610","610",NA,NA,NA,NA,NA,NA
"26","2019-09-04 19:09:39-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica",NA,NA,"J. B. E. Pohl","160",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-23 12:24:18-03","CEPLAC","CEPEC","12133","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola",NA,"H. N. Moldenke","R. M. Harley","16436","1974","02","20",NA,"Brasil","Bahia","MONTE SANTO","No despenhadeiro.","-39.333333","-10.45",NA,NA,NA,NA,NA,"39W20'0","10S27'0","Isótipo","30/12/1975",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-23 11:59:39-03","CEPLAC","CEPEC","13735","PreservedSpecimen","Plantae",NA,NA,"Avicenniaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola",NA,"H. N. Moldenke","S. A. Mori","9994","1978","04","27",NA,"Brasil","Bahia","MARACÁS","Rod. BA-026. 26Km ao SW de Maracas.","-40.4308013916016","-13.4411001205444",NA,NA,NA,NA,NA,"0*0'99","99*99'99",NA,"01/02/1979",NA,NA,"50558","auto",NA,NA,NA,NA
"29","2017-09-11 17:14:15-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"Pohl, JBE","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Crescit in prov. Goyacensi inter Alegres et Trinidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-10 10:18:32-03","IBt","SP","312669","S","Plantae",NA,NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"Mello-Silva, R","1531","1997","10","03",NA,"Brasil","Minas Gerais","Santo Hipólito",NA,"-44.2230987548828","-18.2968997955322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32313","auto",NA,NA,NA,NA
